date,open,high,low,close,volume
2020-11-19,21.15,22.89,19.5,21.87,2749800
2020-11-20,22.05,22.16,20.12,20.75,401300
2020-11-23,21.0,21.24,19.71,19.94,294100
2020-11-24,19.85,21.0,18.67,20.1,492800
2020-11-25,20.15,22.16,20.04,20.72,256900
2020-11-27,21.75,22.01,20.91,21.54,261000
2020-11-30,21.89,22.412,21.5,21.92,240700
2020-12-01,22.11,24.27,21.75,23.42,609200
2020-12-02,23.5,23.65,22.22,22.75,225400
2020-12-03,22.75,23.15,21.19,21.85,268500
2020-12-04,21.88,22.5,21.02,21.74,191000
2020-12-07,21.7,22.15,21.08,21.59,170500
2020-12-08,21.59,21.97,20.226,20.3,165700
2020-12-09,20.82,21.37,19.27,20.65,143400
2020-12-10,20.5,20.735,19.91,20.1,77900
2020-12-11,20.0,20.45,19.99,20.2,138400
2020-12-14,20.74,22.15,20.74,21.88,360300
2020-12-15,22.08,23.0,21.868,22.14,328600
2020-12-16,22.47,23.75,22.06,22.63,298400
2020-12-17,22.98,24.88,22.68,24.23,270300
2020-12-18,24.95,27.5,24.95,27.25,579500
2020-12-21,27.0,29.74,26.945,29.05,421000
2020-12-22,29.33,31.71,28.85,30.79,246000
2020-12-23,30.55,33.74,30.55,33.5,277500
2020-12-24,34.81,36.4,33.81,35.45,234400
2020-12-28,35.9,37.0,35.6,35.68,206700
2020-12-29,35.27,36.17,33.25,34.46,214000
2020-12-30,34.81,35.97,33.95,34.98,117200
2020-12-31,34.98,38.39,33.3,37.99,260100
2021-01-04,37.79,38.75,34.12,34.63,175200
