date,open,high,low,close,volume
2000-10-05,23.1875,24.4375,20.5,23.5625,1942000
2000-10-06,23.875,23.9375,21.4375,22.0625,582200
2000-10-09,22.1875,22.5,21.0,22.25,516800
2000-10-10,22.125,23.125,21.3125,21.375,585600
2000-10-11,21.2656,22.1875,21.25,22.0,506800
2000-10-12,22.3594,23.125,19.625,20.875,527500
2000-10-13,20.6562,24.5,20.625,23.25,652900
2000-10-16,23.4375,24.75,22.9375,23.1875,265400
2000-10-17,23.0469,23.0625,19.625,20.1875,1271100
2000-10-18,20.25,24.25,19.5,22.875,612800
2000-10-19,23.125,28.0,23.125,26.375,671000
2000-10-20,25.5,26.125,24.5,25.125,328900
2000-10-23,25.375,26.125,25.1875,26.0,195800
2000-10-24,26.5,27.125,25.125,25.1875,201200
2000-10-25,24.3906,30.0,24.0,29.5,1481600
2000-10-26,29.75,32.5,27.5,31.75,549200
2000-10-27,31.375,31.375,28.75,29.8125,264400
2000-10-30,29.9844,30.625,29.25,29.5,221000
2000-10-31,29.5625,33.25,29.4375,32.5,891600
2000-11-01,32.4688,32.875,31.0,31.8125,509200
2000-11-02,30.875,32.6875,30.7656,32.5,285100
2000-11-03,32.5,32.5,31.0625,32.375,294400
2000-11-06,32.3125,32.625,31.4375,32.125,304600
2000-11-07,32.125,32.375,31.0,31.5,139200
2000-11-08,30.8125,32.0625,30.8125,31.25,115300
2000-11-09,30.8125,30.8281,27.5,28.875,270200
2000-11-10,28.0,28.0,25.625,25.75,347300
2000-11-13,25.0,26.375,24.5625,26.25,467200
2000-11-14,26.2656,28.375,26.2656,26.6875,211000
2000-11-15,26.625,29.5,26.625,28.375,468000
2000-11-16,27.75,28.125,26.6875,27.5,234000
2000-11-17,28.0,28.125,27.1562,27.5,232700
2000-11-20,27.375,27.375,25.1875,25.1875,174200
2000-11-21,26.25,26.375,24.625,25.125,237900
2000-11-22,23.9844,24.75,22.4375,22.75,354200
2000-11-24,22.8125,24.0,21.5,23.875,187100
2000-11-27,24.4375,26.125,24.3906,25.375,227800
2000-11-28,25.25,25.75,23.125,23.375,183600
2000-11-29,23.875,24.1875,22.5,22.5625,238300
2000-11-30,21.4219,22.5,20.375,22.0,432300
2000-12-01,22.0,24.25,21.75,22.0625,179800
2000-12-04,21.875,23.0625,19.75,21.0,342400
2000-12-05,22.375,23.5,20.875,23.125,270600
2000-12-06,22.6875,22.75,16.125,16.9375,2457300
2000-12-07,17.3125,19.5,16.75,18.8125,2528100
2000-12-08,16.5312,16.6875,13.0,15.0625,6711800
2000-12-11,16.0625,17.5625,15.0,16.8125,1761100
2000-12-12,16.7969,16.8125,15.75,16.4375,840500
2000-12-13,16.6875,17.125,16.0625,17.0625,647600
2000-12-14,16.8125,17.375,16.0625,17.0,1396100
2000-12-15,17.0,17.0,15.625,16.1875,692900
2000-12-18,16.375,16.375,14.0,14.75,1007900
2000-12-19,14.625,15.0,14.25,14.3125,1207300
2000-12-20,14.5,14.5,13.5,13.9375,642900
2000-12-21,13.625,15.5625,13.5,14.875,582800
2000-12-22,14.875,15.9375,14.75,15.5625,782800
2000-12-26,15.9375,16.25,15.0,15.875,517500
2000-12-27,15.875,17.4375,15.25,17.1875,565200
2000-12-28,17.0625,17.625,16.6875,17.0625,1302200
2000-12-29,17.0,18.625,16.875,17.9375,472800
2001-01-02,18.25,18.25,16.0938,16.1875,186900
2001-01-03,16.1875,25.0,15.875,21.0,1004400
2001-01-04,19.625,20.6094,19.0625,19.5625,497600
2001-01-05,20.0625,20.75,19.0,19.0625,546100
2001-01-08,18.9219,19.25,16.875,19.0625,221700
2001-01-09,19.0625,21.4375,19.0625,19.75,223500
2001-01-10,19.0,21.1875,17.875,20.625,366000
2001-01-11,20.25,21.5,20.25,21.125,836800
2001-01-12,21.125,21.375,20.625,21.125,534200
2001-01-16,20.9375,20.9375,19.625,19.625,409800
2001-01-17,20.0625,21.625,19.8906,20.5,351500
2001-01-18,20.1406,20.5,19.8125,20.0625,283700
2001-01-19,20.2344,20.625,20.0625,20.625,321500
2001-01-22,20.4375,21.3594,20.0,20.4375,120900
2001-01-23,20.5,22.625,20.5,22.625,460700
2001-01-24,23.0,27.0,22.625,25.75,1751300
2001-01-25,25.7344,25.75,22.6875,25.3125,433500
2001-01-26,25.25,25.25,23.75,24.3125,393200
2001-01-29,24.3125,25.9844,24.25,25.75,540900
2001-01-30,25.5625,27.0,25.5,26.4375,747100
