date,open,high,low,close,volume
2000-10-05,13.1875,13.25,13.125,13.125,6300
2000-10-06,13.1875,13.25,13.125,13.1875,6800
2000-10-09,13.25,13.25,13.125,13.25,3500
2000-10-10,13.25,13.3125,13.1875,13.3125,6000
2000-10-11,13.1875,13.25,13.125,13.1875,7100
2000-10-12,13.125,13.1875,13.0625,13.125,3100
2000-10-13,13.125,13.125,13.0625,13.0625,6100
2000-10-16,13.125,13.125,13.0,13.0625,3800
2000-10-17,13.125,13.125,13.0625,13.125,8400
2000-10-18,13.0625,13.1875,13.0625,13.125,3600
2000-10-19,13.0625,13.0625,12.9375,12.9375,9500
2000-10-20,12.9375,13.0,12.875,13.0,8200
2000-10-23,13.0625,13.125,13.0,13.125,1800
2000-10-24,13.0625,13.125,13.0625,13.125,5000
2000-10-25,13.1875,13.1875,13.125,13.125,5400
2000-10-26,13.1875,13.1875,13.0625,13.125,8100
2000-10-27,13.125,13.1875,13.125,13.125,8100
2000-10-30,13.1875,13.25,13.0625,13.125,11200
2000-10-31,13.25,13.375,13.1875,13.375,21200
2000-11-01,13.375,13.5,13.375,13.5,5000
2000-11-02,13.5,13.6875,13.5,13.5625,13800
2000-11-03,13.5625,13.5625,13.375,13.375,16500
2000-11-06,13.4375,13.5,13.4375,13.5,4400
2000-11-07,13.5,13.5,13.4375,13.4375,13500
2000-11-08,13.375,13.5625,13.375,13.5,10400
2000-11-09,13.5625,13.625,13.5,13.5,10600
2000-11-10,13.5625,13.5625,13.4375,13.4375,3100
2000-11-13,13.375,13.4375,13.375,13.375,5400
2000-11-14,13.375,13.5,13.375,13.4375,18200
2000-11-15,13.4375,13.5,13.4375,13.4375,3600
2000-11-16,13.5,13.5,13.4375,13.4375,5600
2000-11-17,13.4375,13.5,13.3125,13.375,11400
2000-11-20,13.4375,13.4375,13.3125,13.3125,400
2000-11-21,13.375,13.5,13.3125,13.3125,33400
2000-11-22,13.375,13.375,13.3125,13.3125,3700
2000-11-24,13.375,13.375,13.25,13.3125,8800
2000-11-27,13.25,13.3125,13.25,13.3125,10400
2000-11-28,13.25,13.4375,13.25,13.3125,14600
2000-11-29,13.4375,13.625,13.375,13.5,20800
2000-11-30,13.625,13.625,13.25,13.25,34400
2000-12-01,13.3125,13.375,13.1875,13.375,24300
2000-12-04,13.375,13.375,13.1875,13.25,14400
2000-12-05,13.25,13.375,13.125,13.375,30700
2000-12-06,13.375,13.375,13.25,13.3125,21100
2000-12-07,13.375,13.375,13.25,13.25,11400
2000-12-08,13.25,13.375,13.25,13.25,12800
2000-12-11,13.25,13.375,13.125,13.1875,15100
2000-12-12,13.25,13.3125,13.1875,13.25,6300
2000-12-13,13.125,13.25,13.125,13.125,20100
2000-12-14,13.125,13.25,13.0625,13.0625,17700
2000-12-15,13.125,13.1875,13.0625,13.1875,23400
2000-12-18,13.125,13.25,13.125,13.25,34700
2000-12-19,13.25,13.3125,13.125,13.1875,15600
2000-12-20,13.1875,13.1875,13.0625,13.0625,42000
2000-12-21,13.125,13.25,13.0,13.25,36500
2000-12-22,13.1875,13.3125,13.125,13.3125,21600
2000-12-26,13.375,13.625,13.375,13.5,22700
2000-12-27,13.5,13.625,13.375,13.5,28600
2000-12-28,13.5625,13.6875,13.5625,13.6875,8800
2000-12-29,13.6875,13.75,13.5,13.5625,21500
2001-01-02,13.5625,13.75,13.5625,13.75,3800
2001-01-03,13.8125,13.875,13.8125,13.875,11200
2001-01-04,13.75,14.0,13.625,14.0,38800
2001-01-05,14.0,14.0625,13.9375,14.0,7600
2001-01-08,14.0625,14.125,14.0625,14.0625,11500
2001-01-09,14.0625,14.25,14.0625,14.25,18900
2001-01-10,14.125,14.375,14.125,14.25,22000
2001-01-11,14.375,14.375,14.3125,14.3125,5200
2001-01-12,14.375,14.375,14.3125,14.375,13300
2001-01-16,14.375,14.375,14.1875,14.3125,18700
2001-01-17,14.3125,14.4375,14.3125,14.4375,2800
2001-01-18,14.4375,14.4375,14.4375,14.4375,500
2001-01-19,14.4375,14.5625,14.4375,14.4375,7900
2001-01-22,14.4375,14.4375,14.25,14.25,6600
2001-01-23,14.25,14.375,14.1875,14.25,13300
2001-01-24,14.3125,14.375,14.1875,14.25,14000
2001-01-25,14.3125,14.375,14.1875,14.1875,21300
2001-01-26,14.1875,14.25,14.125,14.125,12200
2001-01-29,14.12,14.35,14.06,14.25,19800
2001-01-30,14.3,14.32,14.05,14.3,34500
2001-01-31,14.33,14.44,14.3,14.33,22100
2001-02-01,14.35,14.42,14.25,14.42,72300
2001-02-02,14.44,14.44,14.25,14.25,22600
2001-02-05,14.25,14.35,14.15,14.35,14900
2001-02-06,14.34,14.34,14.17,14.2,14600
2001-02-07,14.2,14.27,14.16,14.24,10600
2001-02-08,14.18,14.24,14.15,14.24,6400
2001-02-09,14.22,14.25,14.13,14.2,6000
2001-02-12,14.1,14.1,14.01,14.1,16000
2001-02-13,14.0,14.1,13.94,14.0,12300
2001-02-14,14.11,14.11,13.92,14.0,8600
2001-02-15,14.0,14.0,13.89,14.0,9400
2001-02-16,14.0,14.0,13.9,13.95,8500
2001-02-20,13.98,13.99,13.86,13.86,14200
2001-02-21,13.95,13.99,13.83,13.89,19900
2001-02-22,13.83,13.94,13.83,13.9,5100
2001-02-23,13.9,13.94,13.8,13.83,8800
2001-02-26,13.95,13.96,13.85,13.95,6900
2001-02-27,13.95,14.05,13.83,14.05,26500
2001-02-28,14.05,14.27,14.05,14.27,21500
2001-03-01,14.27,14.35,14.25,14.34,21300
2001-03-02,14.34,14.34,13.95,14.0,19300
2001-03-05,13.99,13.99,13.8,13.8,11900
2001-03-06,13.9,13.93,13.77,13.93,14700
2001-03-07,13.98,13.98,13.76,13.85,12800
2001-03-08,13.77,13.9,13.76,13.85,13000
2001-03-09,13.85,13.88,13.71,13.81,13500
2001-03-12,13.8,13.8,13.67,13.72,8100
2001-03-13,13.55,13.65,13.43,13.43,11400
2001-03-14,13.45,13.45,13.39,13.39,9900
2001-03-15,13.39,13.5,13.35,13.5,20200
2001-03-16,13.5,13.6,13.45,13.5,11200
2001-03-19,13.45,13.65,13.42,13.65,7100
2001-03-20,13.65,13.75,13.55,13.7,14000
2001-03-21,13.6,13.68,13.55,13.65,16200
2001-03-22,13.6,13.75,13.6,13.75,11400
2001-03-23,13.65,13.8,13.65,13.75,12800
2001-03-26,13.75,13.75,13.55,13.6,16300
2001-03-27,13.57,13.6,13.3,13.3,14200
2001-03-28,13.24,13.4,13.24,13.4,6500
2001-03-29,13.4,13.55,13.32,13.55,7900
2001-03-30,13.57,13.7,13.55,13.7,13800
2001-04-02,13.73,13.84,13.65,13.8,12500
2001-04-03,13.83,13.84,13.77,13.8,3700
2001-04-04,13.75,14.0,13.6,13.9,20000
2001-04-05,13.97,13.97,13.8,13.85,4200
2001-04-06,13.75,13.83,13.75,13.83,5400
2001-04-09,13.83,13.85,13.7,13.85,12500
2001-04-10,13.81,13.82,13.7,13.82,13700
2001-04-11,13.8,13.85,13.76,13.85,7000
2001-04-12,13.85,13.85,13.84,13.85,8100
2001-04-16,13.85,13.87,13.74,13.87,8500
2001-04-17,13.89,13.95,13.65,13.7,15800
2001-04-18,13.7,13.7,13.65,13.65,4000
