date,open,high,low,close,volume
2018-05-08,34.0,34.0,34.0,34.0,0
2018-05-09,36.24,37.9,36.12,37.5,1730600
2018-05-10,37.5,37.89,36.26,36.74,293400
2018-05-11,36.88,37.35,36.5,37.16,128300
2018-05-14,37.21,37.37,36.335,36.83,172100
2018-05-15,36.81,37.0,36.51,36.75,173400
2018-05-16,36.99,36.99,36.55,36.77,48100
2018-05-17,36.93,37.18,36.75,37.17,109800
2018-05-18,37.28,37.5,36.967,37.47,70800
2018-05-21,36.5,37.75,36.5,37.44,72700
2018-05-22,37.6,37.6,37.278,37.49,87500
2018-05-23,37.35,37.6,37.14,37.56,35800
2018-05-24,37.5,38.2,36.741,38.1,84900
2018-05-25,38.24,39.62,37.585,38.94,138700
2018-05-29,38.71,39.5,38.21,38.97,89500
2018-05-30,38.075,38.859,37.38,38.56,35000
2018-05-31,38.125,38.92,37.56,38.84,36000
2018-06-01,38.91,39.0,38.004,38.41,57800
2018-06-04,38.66,38.68,36.52,38.31,68300
2018-06-05,38.09,38.83,38.0,38.62,46900
2018-06-06,38.85,39.81,37.51,38.84,92500
2018-06-07,39.23,39.37,38.0,39.04,53000
2018-06-08,38.79,39.19,38.246,38.65,46500
2018-06-11,38.92,40.0,38.465,39.48,122800
2018-06-12,39.9,41.685,38.525,40.49,134900
2018-06-13,40.2,40.75,38.76,40.32,136000
2018-06-14,40.58,41.545,40.18,40.88,166900
2018-06-15,40.78,41.0,39.71,40.75,246800
2018-06-18,40.48,42.31,39.825,40.49,397200
2018-06-19,40.95,42.22,40.03,40.95,158400
2018-06-20,41.0,41.495,40.67,40.88,155800
2018-06-21,41.09,41.115,39.4,39.95,142500
2018-06-22,40.23,41.38,39.56,41.38,2217800
2018-06-25,41.25,42.0,39.7,39.98,210800
2018-06-26,40.25,40.56,39.95,39.98,72800
2018-06-27,40.06,40.089,39.24,39.53,111400
2018-06-28,40.24,40.85,39.67,40.5,95700
2018-06-29,40.75,41.45,39.6,40.94,66500
2018-07-02,40.86,41.405,40.06,41.22,39100
2018-07-03,41.47,41.47,40.02,40.27,45800
2018-07-05,40.09,41.06,40.09,40.32,78300
2018-07-06,40.32,40.615,39.55,39.69,80400
2018-07-09,39.52,41.169,39.415,39.99,118500
2018-07-10,40.48,40.847,39.05,39.8,115300
2018-07-11,39.61,40.75,39.08,39.17,110400
2018-07-12,39.26,39.33,38.98,39.06,45200
2018-07-13,39.0,39.57,38.66,39.48,102900
2018-07-16,39.48,39.7,39.41,39.5,23500
2018-07-17,39.31,39.99,39.04,39.14,36200
2018-07-18,39.01,39.6,38.985,39.13,25300
2018-07-19,39.08,39.95,39.08,39.63,32300
2018-07-20,39.44,39.95,39.44,39.75,23700
2018-07-23,39.71,39.95,39.61,39.88,56700
2018-07-24,39.9,39.9,39.11,39.3,30000
2018-07-25,39.2,39.257,38.7,38.94,84200
2018-07-26,39.13,40.9,39.03,40.62,185900
2018-07-27,40.88,40.88,39.795,40.15,23900
2018-07-30,40.28,41.01,39.681,40.37,46800
2018-07-31,40.41,40.64,39.12,40.62,58800
2018-08-01,40.65,41.0,39.9,40.56,54800
2018-08-02,39.5,40.88,38.001,40.26,72600
2018-08-03,40.33,40.47,39.51,39.7,41600
2018-08-06,40.0,40.22,39.14,40.08,53900
2018-08-07,40.1,40.33,39.47,40.01,109300
2018-08-08,40.04,40.267,39.6,40.01,35600
2018-08-09,39.94,40.15,39.715,39.82,42600
2018-08-10,39.62,40.61,39.03,40.21,51800
2018-08-13,40.01,40.45,39.259,39.98,36200
2018-08-14,40.18,40.27,39.98,40.23,71400
2018-08-15,40.15,40.5,39.02,39.41,47300
2018-08-16,39.62,40.09,38.86,39.65,68600
2018-08-17,39.5,41.24,39.5,40.81,85900
2018-08-20,40.82,41.13,40.62,41.0,64100
2018-08-21,41.01,41.326,40.85,41.19,49500
2018-08-22,41.16,41.33,40.271,41.11,55300
2018-08-23,41.07,41.46,40.66,41.34,40000
2018-08-24,41.25,41.5,39.87,40.67,148200
2018-08-27,40.88,41.86,40.47,40.76,107500
2018-08-28,40.85,40.89,40.01,40.54,57000
2018-08-29,40.54,40.7,40.18,40.65,35900
2018-08-30,40.7,40.88,40.145,40.55,31600
2018-08-31,40.52,40.95,40.1,40.52,31500
2018-09-04,40.48,40.5,40.06,40.46,35300
2018-09-05,40.41,40.96,40.37,40.95,74900
2018-09-06,41.0,41.3,40.7,41.13,63200
