date,open,high,low,close,volume
2000-10-05,6.6,6.6,6.6,6.6,300
2000-10-06,6.6,6.6,6.5,6.5,800
2000-10-09,6.4,6.4,6.4,6.4,1800
2000-10-10,6.3,6.3,6.2,6.2,1600
2000-10-11,6.25,6.4,6.25,6.4,1300
2000-10-12,6.7,6.7,6.7,6.7,1200
2000-10-13,6.6,6.6,6.3,6.3,2000
2000-10-16,6.3,6.3,6.3,6.3,0
2000-10-17,6.3,6.4,6.2,6.25,4800
2000-10-18,6.25,6.25,6.25,6.25,1200
2000-10-19,6.2,6.2,6.2,6.2,100
2000-10-20,6.2,6.2,6.1,6.1,2000
2000-10-23,5.9,5.9,5.9,5.9,800
2000-10-24,5.8,5.8,5.2,5.5,20500
2000-10-25,5.4,5.6,5.4,5.6,8500
2000-10-26,5.5,5.75,5.5,5.75,37800
2000-10-27,5.8,5.9,5.8,5.9,2500
2000-10-30,5.9,5.9,5.8,5.8,1000
2000-10-31,5.85,5.85,5.85,5.85,100
2000-11-01,5.8,5.85,5.8,5.85,2200
2000-11-02,5.85,5.85,5.75,5.75,1700
2000-11-03,5.7,5.7,5.7,5.7,300
2000-11-06,5.7,5.7,5.7,5.7,200
2000-11-07,5.7,5.7,5.7,5.7,100
2000-11-08,5.75,5.75,5.75,5.75,1200
2000-11-09,5.6,5.6,5.4,5.5,4800
2000-11-10,5.4,5.8,5.4,5.7,5500
2000-11-13,5.6,5.6,5.5,5.5,2800
2000-11-14,5.5,5.5,5.4,5.4,1200
2000-11-15,5.5,5.5,5.35,5.35,7700
2000-11-16,5.4,5.4,5.25,5.4,11700
2000-11-17,5.4,5.85,5.4,5.85,3700
2000-11-20,5.95,6.4,5.9,6.4,10000
2000-11-21,6.8,6.95,6.45,6.55,20300
2000-11-22,6.7,7.2,6.7,7.2,3700
2000-11-24,7.2,7.55,7.1,7.55,7700
2000-11-27,7.6,7.6,7.3,7.3,9200
2000-11-28,7.3,7.3,6.9,6.9,1500
2000-11-29,6.7,6.7,6.2,6.2,6100
2000-11-30,6.2,6.2,6.2,6.2,0
2000-12-01,6.35,6.35,6.35,6.35,100
2000-12-04,6.45,6.45,6.3,6.4,13000
2000-12-05,6.4,6.4,5.9,6.0,9500
2000-12-06,5.9,5.9,5.6,5.6,5800
2000-12-07,5.5,5.8,5.5,5.5,5500
2000-12-08,5.5,5.6,5.4,5.55,14800
2000-12-11,5.85,6.05,5.75,6.0,23500
2000-12-12,5.9,6.0,5.7,5.7,26000
2000-12-13,5.8,5.8,5.65,5.65,2500
2000-12-14,5.65,5.65,5.4,5.4,10000
2000-12-15,5.4,5.6,5.4,5.6,13500
2000-12-18,5.6,5.6,5.4,5.5,3600
2000-12-19,5.45,5.45,5.3,5.3,8300
2000-12-20,5.4,5.4,5.25,5.35,576500
2000-12-21,5.45,5.55,5.15,5.45,26800
2000-12-22,5.6,5.75,5.5,5.6,36800
2000-12-26,5.6,5.6,5.15,5.3,28000
2000-12-27,5.4,5.5,5.15,5.2,9200
2000-12-28,5.3,5.45,5.2,5.35,5800
2000-12-29,5.3,5.5,5.25,5.35,11700
2001-01-02,5.6,5.7,5.6,5.6,10800
2001-01-03,5.6,6.4,5.6,6.4,15700
2001-01-04,6.5,6.5,6.5,6.5,2300
2001-01-05,6.35,6.35,6.2,6.2,1800
2001-01-08,6.2,6.2,5.8,5.8,7100
2001-01-09,5.8,5.9,5.6,5.9,26600
2001-01-10,6.0,6.4,6.0,6.4,4100
2001-01-11,6.4,6.4,6.4,6.4,8200
2001-01-12,6.4,6.4,6.4,6.4,2100
2001-01-16,6.5,6.6,6.5,6.6,200
2001-01-17,6.6,6.6,6.45,6.45,1100
2001-01-18,6.35,6.35,5.6,5.65,9200
2001-01-19,5.75,6.0,5.75,5.8,4000
2001-01-22,5.8,5.8,5.8,5.8,2200
2001-01-23,5.7,5.8,5.5,5.7,7100
2001-01-24,5.8,5.8,5.5,5.6,76300
2001-01-25,5.6,5.6,5.6,5.6,4000
2001-01-26,5.55,5.55,5.55,5.55,100
2001-01-29,5.592,5.592,5.44,5.44,2100
2001-01-30,5.4,5.4,5.4,5.4,13800
2001-01-31,5.4,5.84,5.4,5.8,75100
2001-02-01,5.92,5.92,5.72,5.72,800
2001-02-02,6.0,6.304,6.0,6.04,18700
2001-02-05,6.0,6.08,5.84,5.96,3600
2001-02-06,6.0,6.12,6.0,6.096,1300
2001-02-07,6.096,6.6,6.096,6.6,26200
2001-02-08,6.52,6.6,6.52,6.6,15700
2001-02-09,6.52,6.6,6.352,6.6,25000
2001-02-12,6.44,6.6,6.44,6.6,1000
2001-02-13,6.68,6.68,6.6,6.68,33300
2001-02-14,6.6,6.84,6.6,6.84,10300
2001-02-15,6.76,7.2,6.68,7.04,27600
2001-02-16,7.08,7.08,7.0,7.0,600
2001-02-20,7.16,7.36,7.12,7.12,7500
2001-02-21,7.2,7.2,7.2,7.2,3600
2001-02-22,7.12,7.12,7.12,7.12,4000
2001-02-23,7.04,7.04,7.04,7.04,100
2001-02-26,7.04,7.04,6.96,6.96,2200
2001-02-27,6.88,6.88,6.56,6.56,4300
2001-02-28,6.56,6.56,6.56,6.56,0
2001-03-01,6.56,6.56,6.56,6.56,100
2001-03-02,6.48,6.48,6.48,6.48,700
2001-03-05,6.416,6.416,6.416,6.416,200
2001-03-06,6.4,6.4,6.4,6.4,300
2001-03-07,6.4,6.4,6.208,6.208,2200
2001-03-08,6.224,6.224,6.208,6.224,800
2001-03-09,6.224,6.224,6.12,6.12,1000
2001-03-12,6.2,6.2,6.12,6.12,6300
2001-03-13,6.12,6.12,6.12,6.12,0
2001-03-14,6.12,6.12,6.12,6.12,1200
2001-03-15,6.008,6.008,5.68,5.84,8700
2001-03-16,5.8,5.8,5.8,5.8,100
2001-03-19,5.68,5.68,5.64,5.64,300
2001-03-20,5.8,5.88,5.8,5.88,1200
2001-03-21,5.88,5.88,5.88,5.88,0
2001-03-22,5.88,5.88,5.88,5.88,2200
2001-03-23,5.64,5.64,5.64,5.64,200
2001-03-26,5.88,5.88,5.68,5.76,157000
2001-03-27,5.96,5.96,5.88,5.92,1700
2001-03-28,5.92,5.92,5.92,5.92,0
2001-03-29,5.88,5.88,5.88,5.88,2300
2001-03-30,5.88,5.92,5.88,5.92,40800
2001-04-02,5.92,5.92,5.88,5.88,12700
2001-04-03,5.96,6.0,5.96,6.0,500
2001-04-04,6.0,6.0,5.96,5.96,200
2001-04-05,5.76,5.76,5.76,5.76,2500
2001-04-06,5.76,5.76,5.6,5.76,4500
2001-04-09,5.744,5.752,5.744,5.752,600
2001-04-10,5.752,5.84,5.752,5.84,4700
2001-04-11,5.84,5.84,5.84,5.84,0
2001-04-12,5.8,5.8,5.76,5.76,1600
2001-04-16,5.76,5.76,5.76,5.76,0
2001-04-17,5.8,5.8,5.8,5.8,500
2001-04-18,5.8,5.8,5.8,5.8,100
2001-04-19,5.8,5.8,5.8,5.8,300
2001-04-20,5.76,5.76,5.76,5.76,100
2001-04-23,5.68,5.8,5.536,5.8,14700
2001-04-24,5.88,6.2,5.88,6.16,8000
2001-04-25,6.08,6.16,6.08,6.16,10500
2001-04-26,6.24,6.24,6.16,6.16,6700
2001-04-27,6.24,6.24,6.208,6.24,1800
2001-04-30,6.12,6.28,6.12,6.28,2500
2001-05-01,6.32,6.4,6.32,6.32,6600
2001-05-02,6.36,6.36,6.32,6.32,1600
2001-05-03,6.36,6.36,6.36,6.36,1000
2001-05-04,6.36,6.392,6.0,6.08,8300
2001-05-07,6.08,6.08,6.08,6.08,100
2001-05-08,6.16,6.16,6.16,6.16,300
2001-05-09,6.16,6.16,6.16,6.16,200
2001-05-10,6.08,6.08,6.04,6.04,1100
2001-05-11,6.12,6.16,6.12,6.16,1200
2001-05-14,6.08,6.2,6.08,6.2,1200
2001-05-15,6.2,6.2,6.2,6.2,0
2001-05-16,6.28,6.28,6.232,6.232,800
2001-05-17,6.232,6.232,6.232,6.232,0
2001-05-18,6.24,6.28,6.24,6.28,3200
2001-05-21,6.28,6.36,6.28,6.36,1500
2001-05-22,6.36,6.36,6.36,6.36,500
2001-05-23,6.36,6.36,6.36,6.36,0
2001-05-24,6.4,6.4,6.4,6.4,3500
2001-05-25,6.48,6.512,6.48,6.512,2500
2001-05-29,6.52,6.52,6.52,6.52,2000
2001-05-30,6.52,6.52,6.52,6.52,1800
2001-05-31,6.44,6.52,6.44,6.52,9500
2001-06-01,6.52,6.52,6.52,6.52,200
2001-06-04,6.52,6.528,6.52,6.528,9700
2001-06-05,6.52,6.6,6.52,6.6,1300
2001-06-06,6.6,6.6,6.6,6.6,500
2001-06-07,6.632,6.632,6.632,6.632,1300
2001-06-08,6.68,6.68,6.6,6.64,16600
2001-06-11,6.6,6.6,6.6,6.6,200
2001-06-12,6.64,6.64,6.6,6.6,700
2001-06-13,6.52,6.52,6.52,6.52,5200
2001-06-14,6.56,6.6,6.56,6.6,1600
2001-06-15,6.6,6.624,6.6,6.624,700
2001-06-18,6.552,6.552,6.552,6.552,500
2001-06-19,6.624,6.624,6.624,6.624,100
2001-06-20,6.624,6.624,6.624,6.624,0
2001-06-21,6.56,6.56,6.56,6.56,100
2001-06-22,6.488,6.488,6.488,6.488,100
2001-06-25,6.568,6.568,6.52,6.536,3100
2001-06-26,6.44,6.536,6.44,6.536,2300
2001-06-27,6.52,6.52,6.52,6.52,500
2001-06-28,6.48,6.48,6.4,6.44,1000
2001-06-29,6.48,6.48,6.48,6.48,20700
2001-07-02,6.48,6.512,6.48,6.512,500
2001-07-03,6.512,6.512,6.512,6.512,0
2001-07-05,6.512,6.512,6.512,6.512,0
2001-07-06,6.488,6.488,6.4,6.44,3200
2001-07-09,6.44,6.44,6.44,6.44,0
2001-07-10,6.32,6.384,6.12,6.12,5500
2001-07-11,6.088,6.128,6.088,6.128,600
2001-07-12,6.088,6.16,6.08,6.12,4600
2001-07-13,6.2,6.312,6.2,6.312,1600
2001-07-16,6.32,6.48,6.32,6.4,5300
2001-07-17,6.32,6.4,6.32,6.4,2200
2001-07-18,6.32,6.328,6.32,6.328,600
2001-07-19,6.328,6.328,6.328,6.328,0
2001-07-20,6.28,6.288,6.28,6.28,1700
2001-07-23,6.28,6.28,6.28,6.28,0
2001-07-24,6.36,6.44,6.36,6.392,6000
2001-07-25,6.392,6.392,6.392,6.392,0
2001-07-26,6.28,6.32,6.24,6.32,5200
2001-07-27,6.36,6.36,6.36,6.36,100
2001-07-30,6.4,6.4,6.24,6.36,15300
2001-07-31,6.4,6.4,6.4,6.4,1200
2001-08-01,6.424,6.44,6.424,6.44,2600
2001-08-02,6.44,6.44,6.44,6.44,2600
2001-08-03,6.432,6.44,6.432,6.44,2000
2001-08-06,6.44,6.44,6.4,6.4,3200
2001-08-07,6.44,6.44,6.44,6.44,4700
2001-08-08,6.44,6.44,6.44,6.44,500
2001-08-09,6.44,6.44,6.32,6.32,9000
2001-08-10,6.4,6.432,6.4,6.432,2100
2001-08-13,6.432,6.44,6.4,6.4,8600
2001-08-14,6.4,6.432,6.328,6.432,14600
2001-08-15,6.4,6.44,6.4,6.44,5600
2001-08-16,6.4,6.432,6.352,6.352,1200
2001-08-17,6.408,6.44,6.408,6.44,1000
2001-08-20,6.4,6.4,6.32,6.32,2700
2001-08-21,6.32,6.32,6.32,6.32,0
2001-08-22,6.4,6.4,6.4,6.4,12500
2001-08-23,6.36,6.36,6.36,6.36,300
2001-08-24,6.4,6.4,6.32,6.36,3200
2001-08-27,6.432,6.48,6.4,6.48,7200
2001-08-28,6.48,6.48,6.48,6.48,0
2001-08-29,6.44,6.44,6.44,6.44,100
2001-08-30,6.48,6.48,6.44,6.44,1300
2001-08-31,6.44,6.44,6.44,6.44,0
2001-09-04,6.44,6.44,6.44,6.44,0
2001-09-05,6.52,6.52,6.48,6.48,1000
2001-09-06,6.52,6.52,6.416,6.416,4000
2001-09-07,6.416,6.416,6.416,6.416,100
2001-09-10,6.368,6.368,6.36,6.36,3700
2001-09-17,6.4,6.44,6.28,6.36,3300
2001-09-18,6.36,6.36,6.32,6.32,600
2001-09-19,6.24,6.32,6.16,6.24,2700
2001-09-20,6.2,6.2,6.12,6.16,1700
2001-09-21,6.24,6.24,5.92,5.92,3200
2001-09-24,5.88,6.0,5.88,6.0,1300
2001-09-25,5.96,6.08,5.84,5.96,7700
2001-09-26,5.96,5.96,5.6,5.6,4100
2001-09-27,5.48,5.48,5.4,5.4,3800
2001-09-28,5.48,5.64,5.48,5.64,8200
2001-10-01,5.52,5.52,5.52,5.52,100
2001-10-02,5.52,5.52,5.2,5.2,2200
2001-10-03,5.28,5.6,5.16,5.16,19300
2001-10-04,5.08,5.2,4.8,5.12,30100
2001-10-05,5.08,5.08,4.72,5.08,10000
2001-10-08,5.12,5.16,5.12,5.16,700
2001-10-09,5.12,5.12,5.12,5.12,1000
2001-10-10,5.04,5.24,4.68,5.24,29100
2001-10-11,5.16,5.16,4.64,4.76,31500
2001-10-12,4.76,4.92,4.76,4.92,2700
2001-10-15,5.0,5.2,5.0,5.2,4500
2001-10-16,5.24,5.24,4.76,4.8,9500
2001-10-17,4.88,4.92,4.84,4.84,5800
2001-10-18,4.88,4.88,4.688,4.8,7200
2001-10-19,4.808,4.92,4.808,4.92,2200
2001-10-22,4.84,4.84,4.608,4.84,12700
2001-10-23,4.8,4.808,4.8,4.8,2700
2001-10-24,4.6,4.808,4.6,4.808,17700
2001-10-25,4.8,4.8,4.76,4.8,1300
2001-10-26,4.88,5.192,4.88,5.12,11500
2001-10-29,5.24,5.32,5.08,5.16,9100
2001-10-30,5.2,5.2,5.2,5.2,100
2001-10-31,5.24,5.24,5.24,5.24,100
2001-11-01,5.2,5.2,5.2,5.2,200
2001-11-02,5.272,5.4,5.248,5.4,2700
2001-11-05,5.36,5.36,5.36,5.36,800
2001-11-06,5.28,5.28,5.04,5.04,6600
2001-11-07,5.024,5.024,5.024,5.024,100
2001-11-08,5.0,5.04,4.8,4.92,33000
2001-11-09,4.96,4.96,4.96,4.96,100
2001-11-12,4.92,4.96,4.92,4.96,2200
2001-11-13,4.92,5.088,4.92,5.088,2300
2001-11-14,5.04,5.08,5.04,5.04,1300
2001-11-15,5.04,5.08,4.96,4.96,4000
2001-11-16,5.0,5.16,5.0,5.16,9800
2001-11-19,5.2,5.28,5.16,5.28,2500
2001-11-20,5.32,5.36,5.2,5.36,52500
2001-11-21,5.36,5.6,5.36,5.6,15500
2001-11-23,5.6,5.8,5.6,5.72,6000
2001-11-26,5.664,5.664,5.6,5.6,1700
2001-11-27,5.648,5.664,5.648,5.664,3700
2001-11-28,5.664,5.664,5.56,5.56,3200
2001-11-29,5.6,5.64,5.6,5.64,500
2001-11-30,5.6,5.76,5.6,5.6,8000
2001-12-03,5.6,5.6,5.6,5.6,0
2001-12-04,5.52,5.6,5.52,5.6,4300
2001-12-05,5.52,5.68,5.48,5.68,7500
2001-12-06,5.64,5.712,5.64,5.68,3500
2001-12-07,5.712,5.712,5.712,5.712,1000
2001-12-10,5.632,5.632,5.56,5.56,1000
2001-12-11,5.6,5.72,5.6,5.64,13000
2001-12-12,5.584,5.68,5.584,5.648,4100
2001-12-13,5.648,5.648,5.648,5.648,0
2001-12-14,5.672,5.88,5.672,5.88,10200
2001-12-17,5.88,5.88,5.696,5.76,4500
2001-12-18,5.824,5.864,5.688,5.864,6500
2001-12-19,5.936,5.992,5.856,5.912,8500
2001-12-20,5.856,5.864,5.84,5.856,4700
2001-12-21,5.824,5.896,5.8,5.88,4500
2001-12-24,5.936,6.04,5.936,6.04,16100
2001-12-26,6.048,6.056,6.048,6.048,6800
2001-12-27,6.048,6.16,6.048,6.096,8100
2001-12-28,6.096,6.096,6.096,6.096,0
2001-12-31,6.08,6.08,6.064,6.064,3200
2002-01-02,6.024,6.096,5.992,6.072,2100
2002-01-03,6.08,6.2,6.0,6.088,4700
2002-01-04,6.088,6.088,6.088,6.088,0
2002-01-07,6.12,6.16,6.12,6.12,1500
2002-01-08,6.2,6.28,6.2,6.28,3700
2002-01-09,6.32,6.36,6.288,6.36,3300
2002-01-10,6.36,6.48,6.36,6.48,4300
2002-01-11,6.48,6.48,6.48,6.48,100
2002-01-14,6.48,6.52,6.448,6.48,3600
2002-01-15,6.48,6.48,6.4,6.4,6800
2002-01-16,6.48,6.48,6.44,6.48,1200
2002-01-17,6.44,6.44,6.44,6.44,300
2002-01-18,6.4,6.4,6.384,6.384,600
2002-01-22,6.384,6.384,6.384,6.384,0
2002-01-23,6.44,6.44,6.368,6.368,1300
2002-01-24,6.336,6.44,6.336,6.336,1300
2002-01-25,6.368,6.464,6.368,6.464,1000
2002-01-28,6.464,6.464,6.464,6.464,0
2002-01-29,6.464,6.464,6.464,6.464,0
2002-01-30,6.52,6.56,6.52,6.552,1300
2002-01-31,6.52,6.52,6.48,6.48,2300
2002-02-01,6.48,6.48,6.48,6.48,3700
2002-02-04,6.48,6.48,6.48,6.48,1200
2002-02-05,6.48,6.48,6.48,6.48,0
2002-02-06,6.528,6.528,6.48,6.48,700
2002-02-07,6.44,6.44,6.44,6.44,600
2002-02-08,6.44,6.44,6.44,6.44,0
2002-02-11,6.4,6.4,6.36,6.36,300
2002-02-12,6.328,6.328,6.32,6.32,2500
2002-02-13,6.296,6.296,6.296,6.296,100
2002-02-14,6.24,6.24,6.24,6.24,200
2002-02-15,6.24,6.24,6.24,6.24,0
2002-02-19,6.16,6.16,6.136,6.136,1200
2002-02-20,6.208,6.208,6.208,6.208,100
2002-02-21,6.16,6.16,6.16,6.16,100
2002-02-22,6.144,6.2,6.144,6.144,600
2002-02-25,6.2,6.2,6.2,6.2,200
2002-02-26,6.28,6.4,6.28,6.4,2500
2002-02-27,6.4,6.48,6.312,6.4,7600
2002-02-28,6.4,6.4,6.4,6.4,0
2002-03-01,6.32,6.32,6.28,6.28,1500
2002-03-04,6.28,6.28,6.28,6.28,0
2002-03-05,6.28,6.28,6.28,6.28,0
2002-03-06,6.24,6.52,6.24,6.52,9000
2002-03-07,6.6,6.64,6.56,6.56,4800
2002-03-08,6.48,6.64,6.4,6.64,3700
2002-03-11,6.56,6.64,6.56,6.64,3800
2002-03-12,6.64,6.64,6.64,6.64,600
2002-03-13,6.64,6.72,6.64,6.72,1500
2002-03-14,6.8,6.928,6.8,6.928,3100
2002-03-15,6.96,7.0,6.96,7.0,2800
2002-03-18,7.08,7.12,7.08,7.12,1300
2002-03-19,7.12,7.144,7.12,7.144,200
2002-03-20,7.152,7.2,7.152,7.192,2000
2002-03-21,7.192,7.2,7.16,7.2,1300
2002-03-22,7.24,7.368,7.24,7.32,3200
2002-03-25,7.36,7.424,7.328,7.328,3000
2002-03-26,7.32,7.368,7.32,7.328,2300
2002-03-27,7.288,7.288,7.216,7.216,300
2002-03-28,7.28,7.56,7.28,7.456,7600
2002-04-01,7.44,7.44,7.36,7.44,1700
2002-04-02,7.48,7.52,7.48,7.48,8200
2002-04-03,7.48,7.48,7.36,7.36,1600
2002-04-04,7.28,7.28,7.28,7.28,200
2002-04-05,7.28,7.28,7.28,7.28,0
2002-04-08,7.28,7.28,7.28,7.28,8800
2002-04-09,7.28,7.28,7.28,7.28,0
2002-04-10,7.28,7.28,7.24,7.24,4500
2002-04-11,7.28,7.28,7.2,7.2,700
2002-04-12,7.12,7.12,7.12,7.12,200
2002-04-15,7.2,7.24,7.2,7.24,3300
2002-04-16,7.32,7.32,7.28,7.28,300
2002-04-17,7.216,7.52,7.168,7.52,5000
2002-04-18,7.56,7.6,7.56,7.6,800
2002-04-19,7.64,7.8,7.64,7.696,4500
2002-04-22,7.72,7.92,7.72,7.92,6200
2002-04-23,7.84,7.992,7.84,7.992,2500
2002-04-24,7.952,7.968,7.952,7.952,2800
2002-04-25,7.952,7.952,7.952,7.952,0
2002-04-26,7.92,7.92,7.92,7.92,100
2002-04-29,7.92,8.2,7.92,8.16,16000
2002-04-30,8.08,8.16,7.96,7.96,2200
2002-05-01,8.0,8.064,8.0,8.064,300
2002-05-02,8.064,8.064,8.0,8.0,2000
2002-05-03,7.92,7.92,7.84,7.84,2600
2002-05-06,7.8,7.8,7.696,7.744,700
2002-05-07,7.76,7.76,7.64,7.64,500
2002-05-08,7.648,7.704,7.648,7.704,1600
2002-05-09,7.72,8.16,7.72,8.08,8000
2002-05-10,8.0,8.0,7.96,7.96,1500
2002-05-13,8.0,8.0,8.0,8.0,300
2002-05-14,8.08,8.08,8.0,8.008,2100
2002-05-15,8.0,8.04,8.0,8.0,2600
2002-05-16,7.92,7.92,7.84,7.84,4600
2002-05-17,7.84,7.84,7.84,7.84,0
2002-05-20,7.76,7.84,7.76,7.84,1500
2002-05-21,7.696,7.696,7.496,7.496,1800
2002-05-22,7.44,7.44,7.4,7.4,1200
2002-05-23,7.32,7.32,7.32,7.32,200
2002-05-24,7.32,7.32,7.32,7.32,0
2002-05-28,7.36,7.36,7.36,7.36,100
2002-05-29,7.296,7.296,7.264,7.264,600
2002-05-30,7.184,7.184,7.184,7.184,1000
2002-05-31,7.24,7.24,7.24,7.24,800
2002-06-03,7.24,7.24,7.24,7.24,0
2002-06-04,7.24,7.24,7.24,7.24,0
2002-06-05,7.24,7.24,7.24,7.24,0
2002-06-06,7.28,7.28,7.28,7.28,5000
2002-06-07,7.2,7.2,7.096,7.096,1200
2002-06-10,7.096,7.096,7.096,7.096,0
2002-06-11,7.088,7.168,7.088,7.168,2500
2002-06-12,7.216,7.352,7.12,7.352,5300
2002-06-13,7.352,7.352,7.352,7.352,0
2002-06-14,7.352,7.352,7.352,7.352,0
2002-06-17,7.4,7.432,7.4,7.432,1200
2002-06-18,7.44,7.44,7.44,7.44,100
2002-06-19,7.44,7.44,7.16,7.16,2700
2002-06-20,7.12,7.12,7.04,7.04,700
2002-06-21,7.12,7.12,7.12,7.12,300
2002-06-24,7.08,7.16,7.08,7.104,2300
2002-06-25,7.08,7.08,7.08,7.08,600
2002-06-26,7.024,7.024,7.024,7.024,700
2002-06-27,6.96,7.0,6.88,6.88,3800
2002-06-28,6.84,6.84,6.696,6.696,3100
2002-07-01,6.696,6.696,6.696,6.696,500
2002-07-02,6.696,6.696,6.696,6.696,0
2002-07-03,6.696,6.696,6.696,6.696,0
2002-07-05,6.656,6.656,6.656,6.656,700
2002-07-08,6.584,6.584,6.56,6.56,200
2002-07-09,6.6,6.76,6.6,6.72,4000
2002-07-10,6.64,6.704,6.64,6.704,700
2002-07-11,6.704,6.704,6.704,6.704,0
2002-07-12,6.624,6.624,6.576,6.576,1300
2002-07-15,6.52,6.52,6.44,6.44,600
2002-07-16,6.4,6.4,6.36,6.36,800
2002-07-17,6.28,6.28,6.28,6.28,600
2002-07-18,6.2,6.28,6.2,6.28,2200
2002-07-19,6.2,6.28,6.2,6.28,600
2002-07-22,6.2,6.2,6.144,6.144,1200
2002-07-23,6.2,6.36,6.12,6.36,7300
2002-07-24,6.296,6.296,6.064,6.064,3200
2002-07-25,5.984,5.984,5.984,5.984,800
2002-07-26,5.92,5.92,5.84,5.84,2200
2002-07-29,5.76,5.84,5.76,5.8,1700
2002-07-30,5.8,5.8,5.8,5.8,0
2002-07-31,5.88,6.0,5.76,6.0,8600
2002-08-01,6.08,6.08,6.08,6.08,100
2002-08-02,6.16,6.272,6.16,6.272,800
2002-08-05,6.352,6.352,6.352,6.352,200
2002-08-06,6.352,6.352,6.352,6.352,0
2002-08-07,6.36,6.36,6.28,6.28,1500
2002-08-08,6.36,6.36,6.24,6.24,800
2002-08-09,6.32,6.32,6.32,6.32,200
2002-08-12,6.36,6.44,6.36,6.44,3200
2002-08-13,6.44,6.44,6.44,6.44,600
2002-08-14,6.44,6.44,6.44,6.44,0
2002-08-15,6.44,6.44,6.44,6.44,0
2002-08-16,6.44,6.44,6.44,6.44,600
2002-08-19,6.36,6.448,6.36,6.44,2800
2002-08-20,6.488,6.488,6.488,6.488,100
2002-08-21,6.448,6.448,6.44,6.44,500
2002-08-22,6.512,6.512,6.512,6.512,100
2002-08-23,6.512,6.512,6.512,6.512,0
2002-08-26,6.52,6.56,6.48,6.48,1000
2002-08-27,6.544,6.68,6.544,6.68,1500
2002-08-28,6.6,6.6,6.56,6.56,2500
2002-08-29,6.56,6.56,6.56,6.56,0
2002-08-30,6.64,6.64,6.64,6.64,500
2002-09-03,6.64,6.712,6.64,6.712,7000
2002-09-04,6.632,6.632,6.48,6.48,800
2002-09-05,6.56,6.56,6.48,6.52,4500
2002-09-06,6.52,6.52,6.44,6.44,600
2002-09-09,6.4,6.4,6.2,6.2,2600
2002-09-10,6.24,6.28,6.24,6.28,500
2002-09-11,6.36,6.4,6.36,6.4,500
2002-09-12,6.432,6.44,6.432,6.44,16100
2002-09-13,6.44,6.44,6.44,6.44,0
2002-09-16,6.48,6.48,6.4,6.456,700
2002-09-17,6.4,6.448,6.4,6.448,300
2002-09-18,6.448,6.448,6.448,6.448,0
2002-09-19,6.4,6.48,6.4,6.48,300
2002-09-20,6.448,6.48,6.448,6.48,1800
2002-09-23,6.424,6.424,6.24,6.36,4600
2002-09-24,6.28,6.28,6.28,6.28,700
2002-09-25,6.208,6.208,6.208,6.208,800
2002-09-26,6.208,6.208,6.064,6.144,4600
2002-09-27,6.224,6.224,6.16,6.224,1300
2002-09-30,6.24,6.272,6.232,6.272,2200
2002-10-01,6.192,6.192,6.192,6.192,600
2002-10-02,6.272,6.272,6.272,6.272,700
2002-10-03,6.192,6.272,6.16,6.16,4100
2002-10-04,6.16,6.16,6.008,6.008,2200
2002-10-07,6.0,6.0,5.76,5.76,3700
2002-10-08,5.8,5.8,5.8,5.8,600
2002-10-09,5.76,5.76,5.72,5.72,600
2002-10-10,5.68,5.68,5.68,5.68,700
2002-10-11,5.68,5.68,5.68,5.68,200
2002-10-14,5.76,5.76,5.76,5.76,700
2002-10-15,5.76,5.84,5.76,5.84,2200
2002-10-16,5.84,5.84,5.84,5.84,600
2002-10-17,5.92,6.08,5.92,6.08,2500
2002-10-18,6.0,6.0,5.96,5.96,1600
2002-10-21,5.88,5.96,5.88,5.888,2200
2002-10-22,5.808,5.808,5.76,5.76,3300
