date,open,high,low,close,volume
2020-11-19,45.0,49.03,40.0,49.0,1525100
2020-11-20,47.0,49.05,41.05,48.9,499700
2020-11-23,48.0,56.432,46.0,52.78,577700
2020-11-24,53.34,56.105,46.02,47.11,538600
2020-11-25,46.2,51.5,44.0,49.5,980200
2020-11-27,48.81,51.35,48.01,49.8,67400
2020-11-30,50.25,52.01,49.21,51.0,114600
2020-12-01,51.21,55.93,50.0,54.5,157800
2020-12-02,53.68,60.27,53.24,53.39,145000
2020-12-03,53.83,56.5,49.615,50.83,310800
2020-12-04,51.18,52.602,48.24,49.0,224600
2020-12-07,48.73,50.0,44.0,44.93,166000
2020-12-08,45.0,46.0,42.3,42.87,114100
2020-12-09,42.5,44.57,42.13,43.72,63200
2020-12-10,44.12,45.93,42.78,45.73,81700
2020-12-11,45.8,45.8,43.21,43.28,32500
2020-12-14,45.55,45.68,39.76,40.2,112000
2020-12-15,40.0,40.05,38.6,39.26,69100
2020-12-16,39.38,39.38,36.8,37.09,81400
2020-12-17,37.0,41.92,35.73,40.07,95100
2020-12-18,40.09,45.45,39.965,44.0,304200
2020-12-21,44.46,46.98,42.0,43.0,113900
2020-12-22,43.0,46.38,41.91,46.24,127200
2020-12-23,46.0,50.98,44.86,49.75,101500
2020-12-24,49.7,51.7,49.01,51.5,38400
2020-12-28,50.82,51.13,48.2,48.74,37000
2020-12-29,49.0,49.72,45.77,46.76,31700
2020-12-30,46.75,50.09,46.53,48.76,103600
2020-12-31,49.22,50.77,47.37,48.08,73800
2021-01-04,48.46,49.063,45.02,45.68,36300
