date,open,high,low,close,volume
2010-10-06,20.76,20.82,20.76,20.82,7700
2010-10-07,20.88,20.88,20.68,20.86,41600
2010-10-08,20.76,21.13,20.7,21.13,27600
2010-10-11,21.13,21.13,21.13,21.13,0
2010-10-12,20.93,22.04,20.89,22.04,76300
2010-10-13,22.15,22.19,21.76,21.8,49500
2010-10-14,21.78,21.82,21.57,21.71,52800
2010-10-15,21.7,21.7,21.48,21.48,24700
2010-10-18,21.41,21.8,21.34,21.74,17900
2010-10-19,21.25,21.54,21.23,21.34,47900
2010-10-20,21.34,21.79,21.31,21.79,32000
2010-10-21,21.66,21.74,21.41,21.48,16300
2010-10-22,21.5,21.5,21.34,21.38,16100
2010-10-25,21.55,21.75,21.23,21.66,35000
2010-10-26,21.55,21.56,21.29,21.3,32000
2010-10-27,21.2,21.2,21.01,21.16,34800
2010-10-28,21.18,21.34,21.07,21.07,24700
2010-10-29,21.17,21.7,21.1,21.62,26100
2010-11-01,21.76,21.98,21.54,21.54,70900
2010-11-02,21.75,21.91,21.75,21.82,22000
2010-11-03,21.89,22.12,21.86,21.93,24000
2010-11-04,22.03,22.05,20.82,20.97,53600
2010-11-05,21.02,21.11,20.49,20.62,117800
2010-11-08,20.63,21.46,20.59,21.2,31800
2010-11-09,21.54,21.6,20.84,20.89,42000
2010-11-10,21.06,21.31,20.82,21.23,41600
2010-11-11,20.99,21.11,20.85,21.03,36400
2010-11-12,20.92,20.96,20.6,20.75,33800
2010-11-15,20.64,21.04,20.64,20.87,20700
2010-11-16,20.73,20.86,20.52,20.86,23700
2010-11-17,20.99,21.26,20.87,21.12,18700
2010-11-18,21.37,21.43,21.22,21.31,15700
2010-11-19,21.3,21.62,21.22,21.62,20800
2010-11-22,21.64,21.75,21.41,21.5,41600
2010-11-23,21.33,21.36,21.08,21.28,17400
2010-11-24,21.51,21.51,21.25,21.38,15400
2010-11-26,21.09,21.09,20.8,20.86,15400
2010-11-29,20.73,20.8,20.34,20.6,45600
2010-11-30,20.25,20.71,20.21,20.69,29900
2010-12-01,20.99,21.03,20.64,20.85,40600
2010-12-02,21.23,21.23,20.88,20.9,36200
2010-12-03,20.92,21.18,20.84,21.0,80400
2010-12-06,21.08,21.28,20.97,21.11,70100
2010-12-07,21.2,21.21,20.89,20.95,35200
2010-12-08,21.16,21.23,20.94,21.0,32700
2010-12-09,21.05,21.19,20.92,21.19,27300
2010-12-10,21.03,21.19,20.95,21.1,39200
2010-12-13,21.36,21.57,21.21,21.25,33200
2010-12-14,21.26,21.69,21.26,21.6,32600
2010-12-15,21.64,22.31,21.61,22.25,90800
2010-12-16,22.27,22.28,21.45,21.8,57300
2010-12-17,21.89,21.89,21.43,21.5,20800
2010-12-20,21.44,21.53,21.4,21.5,22400
2010-12-21,21.43,21.53,21.37,21.42,21400
2010-12-22,21.56,21.56,20.45,21.42,82900
2010-12-23,21.48,21.7,21.41,21.5,17300
2010-12-27,21.5,21.5,21.5,21.5,0
2010-12-28,21.5,21.5,21.5,21.5,0
2010-12-29,21.77,21.87,21.64,21.86,46400
2010-12-30,21.98,22.02,21.65,21.66,15100
2010-12-31,21.63,21.98,21.63,21.67,21500
2011-01-03,21.67,21.67,21.67,21.67,0
