date,open,high,low,close,volume
2018-08-10,20.0,20.5,19.5,19.98,1241400
2018-08-13,19.76,20.12,19.5,20.04,64700
2018-08-14,20.05,20.05,19.76,20.0,164000
2018-08-15,19.94,20.01,19.83,20.0,45900
2018-08-16,20.0,20.01,19.5,19.98,97000
2018-08-17,19.85,19.95,19.75,19.85,20500
2018-08-20,19.86,20.0,19.5,20.0,16500
2018-08-21,19.75,19.98,19.75,19.95,10600
2018-08-22,19.98,20.0,19.85,19.98,27900
2018-08-23,20.0,20.0,19.65,19.84,44800
2018-08-24,19.89,19.97,19.7,19.75,24600
2018-08-27,19.51,19.84,19.49,19.84,82400
2018-08-28,19.87,19.89,18.56,19.36,60100
2018-08-29,19.54,19.57,19.0,19.4,44300
2018-08-30,19.18,19.73,19.16,19.5,55900
2018-08-31,19.41,20.01,19.3,20.01,200300
2018-09-04,20.5,20.95,19.56,20.7,345100
2018-09-05,20.7,20.7,19.7,20.42,121400
2018-09-06,20.42,20.42,20.0,20.25,218300
2018-09-07,20.29,20.4,20.1,20.36,207500
2018-09-10,20.4,20.4,20.13,20.4,152500
2018-09-11,20.36,20.93,20.35,20.88,110600
2018-09-12,20.8,20.88,20.27,20.46,66100
2018-09-13,20.53,20.69,20.2,20.38,62400
2018-09-14,20.37,20.49,20.26,20.4,74300
2018-09-17,20.4,20.58,19.65,20.46,159200
2018-09-18,20.47,20.54,20.18,20.34,65400
2018-09-19,20.37,20.46,19.67,20.21,95500
2018-09-20,20.3,20.3,19.76,19.96,99400
2018-09-21,19.93,20.13,19.77,19.89,1313800
2018-09-24,19.85,20.03,19.65,19.76,36300
2018-09-25,19.75,19.98,19.32,19.61,62900
2018-09-26,19.6,19.72,19.41,19.52,53800
2018-09-27,19.46,19.88,19.02,19.84,55800
2018-09-28,19.74,19.74,19.16,19.34,46300
2018-10-01,19.31,19.73,19.31,19.67,80100
2018-10-02,19.54,19.78,19.54,19.67,33300
2018-10-03,19.75,19.75,19.07,19.36,28800
2018-10-04,19.23,19.6,19.23,19.48,83700
2018-10-05,19.51,19.51,19.28,19.49,12600
2018-10-08,19.45,19.54,18.76,19.25,51800
2018-10-09,19.22,19.33,19.02,19.05,20600
2018-10-10,19.04,19.27,18.71,18.85,18300
2018-10-11,18.79,18.93,18.59,18.63,12600
2018-10-12,18.7,18.7,17.0,17.23,27500
2018-10-15,17.25,17.73,16.47,16.59,43400
2018-10-16,16.64,17.34,16.31,17.28,46300
2018-10-17,17.22,17.99,16.84,17.3,26800
2018-10-18,17.29,17.47,16.27,17.38,22300
2018-10-19,17.26,17.35,16.31,17.0,116900
2018-10-22,17.05,17.05,16.66,16.71,13800
2018-10-23,16.58,16.85,16.52,16.6,41700
2018-10-24,16.54,17.04,16.1,16.38,19600
2018-10-25,16.43,16.75,16.13,16.74,32300
2018-10-26,16.63,16.63,16.02,16.39,67000
2018-10-29,16.57,16.84,16.43,16.63,66100
2018-10-30,16.62,16.62,16.19,16.53,17400
2018-10-31,16.53,16.69,15.63,16.37,25800
2018-11-01,16.4,16.59,16.25,16.5,12300
2018-11-02,16.49,16.59,16.42,16.46,4500
2018-11-05,16.4,16.6,16.21,16.55,25400
2018-11-06,16.56,16.64,16.4,16.57,9500
2018-11-07,16.58,16.64,16.21,16.55,9700
2018-11-08,16.51,16.64,16.29,16.64,25400
2018-11-09,16.62,16.67,16.21,16.29,14900
2018-11-12,16.27,16.48,16.22,16.28,12400
2018-11-13,16.34,16.39,16.23,16.3,10400
2018-11-14,16.35,16.35,15.84,16.24,22500
2018-11-15,16.22,16.32,16.08,16.29,13400
2018-11-16,16.23,16.68,16.08,16.4,30500
2018-11-19,16.42,16.85,16.33,16.62,59000
2018-11-20,16.61,16.85,16.03,16.21,29100
2018-11-21,16.15,16.57,16.15,16.47,5200
2018-11-23,16.39,16.5,16.26,16.5,2800
2018-11-26,16.5,16.5,16.01,16.35,8600
2018-11-27,16.33,16.33,16.11,16.11,2300
2018-11-28,16.18,16.66,16.01,16.35,27300
2018-11-29,16.35,16.43,16.07,16.4,8000
2018-11-30,16.4,16.42,16.09,16.1,8700
2018-12-03,16.23,16.23,16.0,16.1,12600
2018-12-04,16.01,16.09,15.58,15.63,55200
2018-12-06,15.74,15.78,14.97,15.26,31100
2018-12-07,14.99,15.15,14.8,15.02,42200
2018-12-10,15.02,15.02,13.86,14.3,79700
2018-12-11,14.4,14.4,13.36,14.0,19100
2018-12-12,14.1,14.5,13.45,14.5,61600
2018-12-13,14.37,14.79,13.54,14.65,16000
2018-12-14,14.64,14.75,13.87,14.66,14100
2018-12-17,14.33,15.91,14.24,14.29,16600
2018-12-18,14.57,14.57,13.9,14.24,14700
2018-12-19,14.35,14.35,13.41,13.66,32600
2018-12-20,13.67,14.09,13.52,13.94,28400
2018-12-21,13.94,14.0,13.52,13.78,47700
2018-12-24,13.7,14.1,13.53,13.53,4700
2018-12-26,13.7,15.21,13.41,14.88,30100
2018-12-27,14.9,16.5,14.36,14.81,28100
2018-12-28,14.71,15.54,14.5,15.09,12000
2018-12-31,15.1,16.4,15.1,15.65,32700
2019-01-02,15.65,15.65,14.24,14.77,61500
2019-01-03,14.5,14.5,13.94,14.02,19200
2019-01-04,14.16,15.67,14.04,14.38,17200
2019-01-07,14.13,14.93,14.12,14.78,33300
2019-01-08,15.11,15.11,14.11,14.97,42300
2019-01-09,14.96,15.39,14.16,15.38,109500
2019-01-10,14.73,15.66,14.73,15.12,8300
2019-01-11,15.01,15.34,14.52,15.0,389600
2019-01-14,15.0,15.31,14.84,15.07,25000
2019-01-15,15.08,15.13,14.88,15.01,11200
2019-01-16,15.09,15.52,15.01,15.41,12200
