date,open,high,low,close,volume
2005-03-24,976.5,1044.75,947.1,1008.0,200
2005-03-28,1050.0,1155.0,1050.0,1076.25,500
2005-03-29,1085.7,1110.9,999.6,1032.15,100
2005-03-30,1050.0,1068.9,1042.65,1050.0,0
2005-03-31,1076.25,1076.25,1044.75,1053.15,100
2005-04-01,1050.0,1097.25,1030.05,1097.25,200
2005-04-04,1097.25,1097.25,1055.25,1080.45,0
2005-04-05,1076.25,1228.5,1076.25,1155.0,300
2005-04-06,1186.5,1417.5,1181.25,1333.5,700
2005-04-07,1365.0,1415.4,1323.0,1358.7,600
2005-04-08,1260.0,1335.6,1260.0,1281.0,300
2005-04-11,1186.5,1232.7,1144.5,1185.45,300
2005-04-12,1185.45,1192.8,1114.05,1118.25,300
2005-04-13,1059.45,1197.0,1055.25,1079.4,300
2005-04-14,1139.25,1204.35,1061.55,1139.25,200
2005-04-15,1153.95,1170.75,1124.55,1137.15,300
2005-04-18,1123.5,1123.5,1050.0,1051.05,100
2005-04-19,1153.95,1153.95,1061.55,1100.4,0
2005-04-20,1128.75,1128.75,1061.55,1083.6,0
2005-04-21,1060.5,1076.25,945.0,953.4,200
2005-04-22,1035.3,1035.3,950.25,991.2,400
2005-04-25,970.2,981.75,907.2,945.0,200
2005-04-26,846.3,934.5,741.3,905.1,300
2005-04-27,772.8,929.25,772.8,903.0,200
2005-04-28,924.0,924.0,864.15,900.9,0
2005-04-29,924.0,924.0,846.3,910.35,100
2005-05-02,910.35,939.75,910.35,934.5,100
2005-05-03,976.5,976.5,892.5,959.7,200
2005-05-04,940.8,997.5,932.4,996.45,100
2005-05-05,1019.55,1023.75,955.5,1023.75,100
2005-05-06,1023.75,1050.0,990.15,1040.55,100
2005-05-09,1050.0,1057.35,1044.75,1050.0,100
2005-05-10,1054.2,1075.2,1036.35,1075.2,200
2005-05-11,1068.9,1068.9,1039.5,1060.5,0
2005-05-12,1082.55,1152.9,1025.85,1102.5,300
