date,open,high,low,close,volume
2000-10-05,7.125,7.2448,7.1198,7.1979,3709200.0
2000-10-06,7.1823,7.224,6.9375,7.0,2355600.0
2000-10-09,6.9167,6.9427,6.6875,6.7812,3314400.0
2000-10-10,6.8229,6.8333,6.599,6.6302,4178400.0
2000-10-11,6.6094,6.6719,6.4948,6.5833,6462000.0
2000-10-12,6.375,6.3802,5.8021,5.9583,12654000.0
2000-10-13,5.9583,6.1667,5.9583,6.1667,7431600.0
2000-10-16,6.1667,6.224,6.0469,6.2188,3252000.0
2000-10-17,6.1979,6.276,6.0417,6.0417,3260400.0
2000-10-18,6.0,6.2969,5.875,5.9167,5728800.0
2000-10-19,7.25,7.25,6.6719,7.1562,42860400.0
2000-10-20,7.0833,7.6146,6.9688,7.3229,16022400.0
2000-10-23,7.2917,7.5885,7.2292,7.2604,8985600.0
2000-10-24,7.2708,7.7031,7.2708,7.5885,11955600.0
2000-10-25,7.5417,7.8854,7.526,7.7135,8824800.0
2000-10-26,7.6927,7.9167,7.3802,7.4583,9880800.0
2000-10-27,7.4688,7.5781,7.3958,7.5,5766000.0
2000-10-30,7.5625,8.0729,7.5417,8.026,7286400.0
2000-10-31,8.0573,8.2656,7.7135,8.1875,10009200.0
2000-11-01,7.9583,8.0156,7.7917,7.9219,10951200.0
2000-11-02,7.9167,7.9792,7.849,7.849,6208800.0
2000-11-03,7.8281,7.8542,7.6354,7.6823,3871200.0
2000-11-06,7.6406,7.9167,7.5938,7.7969,3871200.0
2000-11-07,7.7917,7.875,7.7135,7.7552,8450400.0
2000-11-08,7.7552,7.875,7.6615,7.7812,3825600.0
2000-11-09,7.8021,7.8125,7.7344,7.8021,3027600.0
2000-11-10,7.8438,8.0052,7.8333,7.9531,3626400.0
2000-11-13,7.9323,8.2969,7.9323,8.1667,12956400.0
2000-11-14,8.1667,8.3802,8.0417,8.3281,5481600.0
2000-11-15,8.3333,8.3646,8.1615,8.1875,9397200.0
2000-11-16,8.2031,8.2344,8.0885,8.1615,4039200.0
2000-11-17,8.151,8.1719,7.9792,8.0729,9442800.0
2000-11-20,8.1042,8.125,7.8906,8.1094,3638400.0
2000-11-21,8.1302,8.1823,8.0625,8.0781,7360800.0
2000-11-22,8.1302,8.1979,7.8438,7.9375,6174000.0
2000-11-24,7.9375,7.9479,7.8021,7.8333,1876800.0
2000-11-27,7.875,7.875,7.7135,7.8073,5454000.0
2000-11-28,7.776,7.776,7.5833,7.651,6381600.0
2000-11-29,7.6354,7.8646,7.5729,7.8385,6994800.0
2000-11-30,7.8438,7.8646,7.5156,7.7969,6424800.0
2000-12-01,7.7188,8.0156,7.6875,7.9635,5484000.0
2000-12-04,7.9167,8.1354,7.8854,8.0417,2092800.0
2000-12-05,8.125,8.5573,8.1146,8.5,7290000.0
2000-12-06,8.4896,8.7917,8.4583,8.7031,7118400.0
2000-12-07,8.724,8.7292,8.6458,8.7135,4905600.0
2000-12-08,8.8333,9.25,8.7812,9.1667,7970400.0
2000-12-11,9.1458,9.151,8.9375,8.9896,5010000.0
2000-12-12,8.9948,9.0573,8.8177,8.8906,6549600.0
2000-12-13,8.8906,8.974,8.5573,8.6042,8812800.0
2000-12-14,8.6042,8.6042,8.2604,8.2812,9664800.0
2000-12-15,8.1667,8.3073,8.0833,8.125,7695600.0
2000-12-18,8.1667,8.4844,8.1667,8.4583,12512400.0
2000-12-19,8.5,8.5729,8.2188,8.401,6859200.0
2000-12-20,8.3333,8.375,8.1667,8.3021,5071200.0
2000-12-21,8.3125,8.3802,8.2188,8.3594,3814800.0
2000-12-22,8.4167,8.6875,8.4167,8.5104,5241600.0
2000-12-26,8.5938,8.6354,8.4896,8.6354,4634400.0
2000-12-27,8.5833,8.8229,8.5833,8.7448,3871200.0
2000-12-28,8.724,8.7292,8.5938,8.6719,3340800.0
2000-12-29,8.6719,8.6823,8.5417,8.6354,3826800.0
2001-01-02,8.6146,8.6146,8.1667,8.3021,6639600.0
2001-01-03,8.1771,8.3229,7.8854,8.1198,9724800.0
2001-01-04,8.1146,8.1146,7.5104,7.8073,11162400.0
