date,open,high,low,close,volume
2019-10-25,22.5,24.6,20.26,24.6,856600
2019-10-28,23.4,25.9,22.49,23.59,141500
2019-10-29,23.53,24.535,23.0,23.32,137100
2019-10-30,23.3,24.039,23.05,23.2,58300
2019-10-31,23.15,24.39,22.723,23.62,88000
2019-11-01,23.66,24.99,23.315,23.78,79800
2019-11-04,24.17,26.55,24.17,25.96,65200
2019-11-05,26.12,27.06,25.69,26.2,46000
2019-11-06,25.98,26.46,25.25,25.66,117800
2019-11-07,25.43,26.85,24.971,26.35,143000
2019-11-08,26.25,27.39,25.995,26.9,75100
2019-11-11,27.0,27.399,25.96,26.67,109900
2019-11-12,26.5,27.24,26.11,26.5,76000
2019-11-13,26.39,26.5,25.785,26.08,12900
2019-11-14,26.02,26.5,25.01,26.2,64400
2019-11-15,26.3,28.51,25.78,25.87,116400
2019-11-18,25.75,26.719,24.27,24.27,51900
2019-11-19,23.78,25.26,22.59,24.49,100700
2019-11-20,24.92,27.01,24.59,25.08,137700
2019-11-21,24.91,25.0,22.865,23.62,47900
2019-11-22,23.93,24.05,23.01,23.47,50000
2019-11-25,23.21,25.87,23.185,24.55,85100
2019-11-26,25.3,25.8,23.29,25.0,149100
2019-11-27,24.84,25.555,24.0,25.0,127300
2019-11-29,25.0,26.492,24.295,25.6,57300
2019-12-02,25.69,27.25,25.55,26.17,102800
2019-12-03,25.96,28.3,24.87,25.94,155700
2019-12-04,25.77,27.3,24.95,26.7,126300
2019-12-05,26.76,28.1,25.69,26.75,110100
2019-12-06,26.75,28.48,23.7,24.24,138500
2019-12-09,24.25,25.6,22.75,23.15,140600
2019-12-10,23.81,23.96,21.64,22.57,125600
2019-12-11,22.5,23.8,20.28,21.0,146300
2019-12-12,20.9,21.99,20.7,21.25,120300
2019-12-13,20.84,23.31,20.84,22.25,111400
2019-12-16,22.41,23.25,20.91,21.26,97900
2019-12-17,21.06,21.99,19.755,20.1,65800
2019-12-18,20.049,20.26,18.51,18.59,90500
2019-12-19,18.75,20.17,18.74,20.17,85100
2019-12-20,20.26,24.89,19.5,23.41,2005500
2019-12-23,24.12,27.86,22.16,27.06,173200
2019-12-24,27.0,28.48,24.644,25.59,36200
2019-12-26,25.66,47.838,25.4,37.67,656200
2019-12-27,38.48,39.45,32.38,33.0,125500
2019-12-30,34.01,35.473,31.77,32.5,79900
2019-12-31,32.32,32.63,29.225,31.14,118400
2020-01-02,31.07,31.5,27.578,29.9,112000
2020-01-03,29.55,31.47,28.7,31.34,52600
2020-01-06,30.72,35.2,29.6,34.34,204300
2020-01-07,33.97,33.98,31.9,32.78,66100
2020-01-08,32.85,34.05,31.005,33.23,95600
2020-01-09,33.68,34.52,32.92,33.73,122500
2020-01-10,33.91,34.54,31.15,31.27,98200
2020-01-13,31.27,32.16,29.02,31.06,124000
2020-01-14,31.06,32.85,29.77,32.18,125100
2020-01-15,32.45,36.796,32.45,34.28,146500
2020-01-16,34.63,37.01,34.6,36.05,159700
2020-01-17,36.63,38.688,34.985,35.31,78200
2020-01-21,35.22,38.0,35.22,37.25,148200
2020-01-22,37.38,38.42,36.62,36.74,98000
2020-01-23,37.25,38.61,35.54,37.48,82100
2020-01-24,37.62,38.45,35.1,35.55,58300
2020-01-27,34.76,38.8,33.02,37.99,144100
2020-01-28,38.44,39.16,37.1,37.97,63000
2020-01-29,37.58,39.228,36.366,38.45,30100
2020-01-30,38.15,38.885,34.21,34.89,75000
2020-01-31,35.0,38.35,33.24,33.37,44500
2020-02-03,33.58,35.94,32.46,34.16,49300
2020-02-04,34.61,35.565,32.05,33.0,48700
2020-02-05,33.41,34.12,32.087,33.22,80400
2020-02-06,33.44,34.2,31.65,32.55,53200
2020-02-07,32.44,33.16,30.36,31.74,79500
2020-02-10,31.73,33.895,30.51,31.55,48200
2020-02-11,31.45,32.605,30.9,32.09,30200
2020-02-12,32.5,33.345,30.965,31.92,31600
2020-02-13,31.95,32.78,31.4,32.55,20900
2020-02-14,32.76,34.16,31.535,33.5,30400
2020-02-18,33.75,38.46,32.55,37.63,48500
2020-02-19,37.81,41.99,36.586,39.03,43500
2020-02-20,39.02,43.19,39.02,42.83,55100
2020-02-21,43.01,44.465,40.35,41.4,83600
2020-02-24,40.0,41.14,35.15,36.76,111800
2020-02-25,37.01,38.89,35.32,36.34,46400
2020-02-26,36.64,38.477,33.885,36.11,86300
2020-02-27,35.39,36.385,31.95,31.99,47700
2020-02-28,30.93,36.72,30.93,36.12,82300
2020-03-02,36.29,36.75,34.81,36.17,68700
2020-03-03,36.17,36.99,32.657,33.62,53000
2020-03-04,33.94,37.77,33.85,37.77,39600
2020-03-05,36.05,42.57,35.72,41.79,71800
2020-03-06,39.99,41.98,38.67,41.98,58600
2020-03-09,38.38,42.5,37.93,39.43,144000
2020-03-10,40.99,41.98,36.49,38.99,117300
2020-03-11,37.86,39.51,31.09,34.75,92500
2020-03-12,32.3,35.099,29.79,30.41,134300
2020-03-13,32.31,33.256,29.598,31.26,79000
2020-03-16,23.2,30.84,22.06,25.22,79600
2020-03-17,25.76,30.5,24.75,29.84,138100
2020-03-18,28.48,30.35,24.14,26.85,53900
2020-03-19,25.65,27.94,25.0,26.88,147500
2020-03-20,25.88,27.0,22.215,26.0,134800
2020-03-23,26.0,26.0,23.17,25.0,46900
2020-03-24,26.45,26.65,24.5,26.0,44100
2020-03-25,25.53,28.07,25.01,26.69,73300
2020-03-26,26.0,28.85,25.6,28.0,66300
2020-03-27,27.0,28.045,24.17,24.65,85000
2020-03-30,24.97,25.97,24.97,25.86,30000
2020-03-31,26.12,26.12,24.1,25.82,85000
2020-04-01,25.97,25.97,24.5,25.06,160600
2020-04-02,24.71,30.35,24.71,28.42,48600
2020-04-03,28.79,30.525,28.49,30.1,78200
2020-04-06,31.62,34.04,31.6,34.04,72800
2020-04-07,34.2,35.0,30.32,31.63,39900
2020-04-08,31.7,32.974,29.43,31.42,34600
2020-04-09,32.39,33.44,30.4,31.51,36200
2020-04-13,31.83,33.98,31.83,32.33,24400
2020-04-14,33.45,36.45,33.25,34.65,57000
2020-04-15,33.52,33.6,28.2,29.42,64400
2020-04-16,29.24,31.13,28.01,28.8,39200
2020-04-17,29.66,33.57,28.96,30.48,27200
2020-04-20,29.6,31.26,28.61,29.21,27600
2020-04-21,28.4,30.97,27.47,30.14,46900
2020-04-22,31.25,33.61,29.215,33.29,35300
2020-04-23,34.09,34.975,31.85,33.86,50500
2020-04-24,34.14,34.76,33.06,34.23,15800
2020-04-27,34.95,39.555,34.48,37.55,37400
2020-04-28,38.94,40.91,36.965,37.58,34600
2020-04-29,39.19,40.613,38.55,38.93,29200
2020-04-30,38.47,38.96,33.5,33.84,30300
2020-05-01,32.61,32.61,30.44,31.5,38200
2020-05-04,30.79,31.52,30.18,30.77,28000
2020-05-05,31.75,36.98,31.75,35.2,37800
2020-05-06,35.31,41.175,34.16,39.08,48600
2020-05-07,39.98,47.94,39.98,43.5,111600
2020-05-08,43.21,45.0,38.5,38.79,64800
2020-05-11,38.67,40.05,35.72,39.11,40100
2020-05-12,38.25,39.89,37.39,37.39,25500
2020-05-13,37.32,38.98,35.35,38.77,34500
2020-05-14,37.89,38.84,34.0,36.62,58700
2020-05-15,36.97,38.83,35.305,38.55,34700
2020-05-18,39.92,43.41,38.89,41.76,118700
2020-05-19,41.11,42.08,35.0,35.0,57400
2020-05-20,36.14,39.27,35.52,38.32,52500
2020-05-21,38.64,40.111,35.995,36.85,75500
2020-05-22,37.0,42.5,36.7,41.33,52700
2020-05-26,43.16,45.935,41.61,43.28,172000
2020-05-27,44.2,44.935,39.81,43.78,63800
2020-05-28,44.61,45.759,40.54,40.84,59700
2020-05-29,41.19,43.95,40.979,42.28,156700
2020-06-01,42.44,44.245,42.07,42.31,65900
2020-06-02,42.32,46.023,41.282,44.9,101600
2020-06-03,45.67,50.24,43.53,44.0,66500
2020-06-04,43.36,45.305,42.11,43.3,36700
2020-06-05,44.39,47.48,43.58,47.09,127500
2020-06-08,47.75,64.54,47.562,54.6,125700
2020-06-09,54.12,55.14,50.02,51.27,100100
2020-06-10,50.75,51.71,49.38,50.07,126000
2020-06-11,48.79,51.24,48.19,48.54,81500
2020-06-12,50.96,51.7,47.35,49.44,70600
2020-06-15,46.66,47.485,41.12,43.14,176700
2020-06-16,45.07,47.68,43.0,43.16,126200
2020-06-17,43.78,45.7,41.75,44.69,201400
2020-06-18,44.47,46.27,42.02,42.99,172700
2020-06-19,42.87,47.12,42.585,46.57,484200
2020-06-22,46.15,47.36,44.274,45.52,179600
2020-06-23,45.83,47.0,44.47,45.18,187600
2020-06-24,44.2,45.84,41.4,41.55,72800
2020-06-25,41.55,42.17,39.21,41.13,103800
2020-06-26,38.04,39.45,35.14,35.43,237000
2020-06-29,35.55,36.11,33.15,33.62,86500
2020-06-30,33.43,33.78,31.39,32.91,141400
2020-07-01,33.54,33.54,31.21,32.2,82700
2020-07-02,32.88,32.88,30.42,31.58,103700
2020-07-06,32.23,32.83,30.69,32.34,77700
2020-07-07,31.98,32.65,31.18,31.76,37200
2020-07-08,32.02,32.35,30.51,31.55,40200
2020-07-09,31.57,31.93,29.58,30.03,50000
2020-07-10,30.22,30.62,28.9,29.24,57800
