date,open,high,low,close,volume
2018-08-22,24.93,25.0,24.88,24.98,611600
2018-08-23,24.98,25.03,24.92,24.94,504300
2018-08-24,24.97,24.97,24.93,24.97,399900
2018-08-27,25.0,25.0,24.96,24.98,432300
2018-08-28,24.99,25.01,24.95,24.99,426600
2018-08-29,25.01,25.07,25.0,25.03,401900
2018-08-30,25.06,25.06,25.03,25.03,309400
2018-08-31,25.06,25.2,25.05,25.1,590400
2018-09-04,25.1,25.11,25.01,25.01,199400
2018-09-05,25.04,25.04,24.91,24.98,259900
2018-09-06,25.01,25.01,24.95,24.97,168000
2018-09-07,24.95,24.95,24.85,24.89,193200
2018-09-10,24.9,24.99,24.88,24.97,124300
2018-09-11,24.97,24.98,24.88,24.94,201700
2018-09-12,24.95,24.95,24.87,24.87,193400
2018-09-13,24.81,24.9,24.81,24.89,188500
2018-09-14,24.9,24.9,24.82,24.83,212000
2018-09-17,24.87,24.87,24.73,24.77,158000
2018-09-18,24.8,24.8,24.72,24.72,366100
2018-09-19,24.77,24.78,24.66,24.69,167300
2018-09-20,24.7,24.79,24.67,24.67,271700
2018-09-21,24.78,24.79,24.68,24.71,239300
2018-09-24,24.75,24.78,24.71,24.72,63800
2018-09-25,24.74,24.74,24.65,24.65,80900
2018-09-26,24.73,24.76,24.7,24.74,141100
2018-09-27,24.75,24.78,24.73,24.73,139200
2018-09-28,24.75,24.84,24.74,24.77,63400
2018-10-01,24.79,24.83,24.68,24.68,140300
2018-10-02,24.77,24.79,24.66,24.66,158600
2018-10-03,24.66,24.69,24.36,24.51,174800
2018-10-04,24.51,24.51,24.02,24.3,183100
2018-10-05,24.24,24.24,24.1,24.1,132500
2018-10-08,24.19,24.21,24.07,24.07,85300
2018-10-09,24.21,24.23,24.13,24.17,81300
2018-10-10,24.21,24.23,24.05,24.09,120900
2018-10-11,24.14,24.18,24.07,24.07,96400
2018-10-12,24.25,24.34,24.18,24.23,81600
2018-10-15,24.28,24.28,24.15,24.21,261000
2018-10-16,24.28,24.39,24.22,24.35,77600
2018-10-17,24.4,24.47,24.35,24.35,95000
2018-10-18,24.42,24.45,24.32,24.32,68400
2018-10-19,24.39,24.46,24.35,24.35,54000
2018-10-22,24.47,24.49,24.42,24.46,85600
2018-10-23,24.45,24.5,24.35,24.36,114200
2018-10-24,24.45,24.48,24.37,24.37,67900
2018-10-25,24.4,24.48,24.4,24.47,87700
2018-10-26,24.52,24.52,24.4,24.47,51900
2018-10-29,24.55,24.63,24.5,24.54,84300
2018-10-30,24.55,24.6,24.48,24.52,55200
2018-10-31,24.27,24.27,24.11,24.11,90700
2018-11-01,24.2,24.2,24.01,24.13,198500
2018-11-02,24.21,24.21,24.11,24.12,80700
2018-11-05,24.12,24.19,24.07,24.14,46800
2018-11-06,24.23,24.28,24.15,24.19,107600
