date,open,high,low,close,volume
2020-11-16,33.0,38.75,33.0,38.5,14600
2020-11-17,41.3,41.81,40.344,40.5,5900
2020-11-18,41.07,41.5,40.19,40.19,1600
2020-11-19,40.0,40.0,40.0,40.0,1200
2020-11-20,40.287,40.287,39.0,39.806,1600
2020-11-23,39.241,39.241,38.831,38.831,500
2020-11-24,39.05,40.0,39.05,40.0,900
2020-11-25,38.5,38.613,38.5,38.613,1600
2020-11-27,39.5,39.5,39.5,39.5,400
2020-11-30,39.21,39.95,39.21,39.9,900
2020-12-01,39.9,39.9,39.9,39.9,0
2020-12-02,47.54,48.0,41.0,41.94,2800
2020-12-03,41.94,41.94,41.94,41.94,0
2020-12-04,41.94,41.94,41.94,41.94,0
2020-12-07,42.12,42.12,42.12,42.12,800
2020-12-08,42.12,42.12,42.12,42.12,0
2020-12-09,41.75,41.75,41.75,41.75,500
2020-12-10,44.99,44.99,44.49,44.49,300
2020-12-11,47.0,47.0,44.546,44.546,500
2020-12-14,45.0,45.258,44.75,45.258,3200
2020-12-15,45.05,47.05,45.0,47.0,12600
2020-12-16,48.576,49.0,47.26,48.0,2700
2020-12-17,49.99,54.484,49.99,50.0,4200
2020-12-18,50.0,50.71,50.0,50.0,3800
2020-12-21,50.05,50.05,50.0,50.0,2800
2020-12-22,50.03,50.03,49.99,50.0,2400
2020-12-23,51.99,52.0,51.95,52.0,500
2020-12-24,52.27,54.89,52.0,53.0,4500
2020-12-28,56.89,56.89,52.79,54.0,4800
2020-12-29,54.0,54.0,54.0,54.0,0
2020-12-30,54.0,54.0,54.0,54.0,0
2020-12-31,54.0,54.0,54.0,54.0,0
2021-01-04,54.0,56.5,54.0,56.5,1200
