date,open,high,low,close,volume
2007-02-01,20.0,22.0,20.0,20.1,18300
2007-02-02,20.61,20.61,20.25,20.25,14700
2007-02-05,20.01,20.5,20.0,20.2,14200
2007-02-06,20.5,20.5,20.0,20.0,44400
2007-02-07,20.0,20.5,19.89,20.07,19600
2007-02-08,20.4,20.4,20.0,20.14,18800
2007-02-09,21.75,21.75,20.48,20.53,43400
2007-02-12,20.5,21.9,20.26,20.52,11300
2007-02-13,20.56,21.0,20.25,20.45,10800
2007-02-14,20.65,20.65,20.25,20.3,12700
2007-02-15,20.65,20.65,20.3,20.49,10100
2007-02-16,20.8,20.8,20.15,20.24,18100
2007-02-20,20.1,20.2,20.0,20.01,17100
2007-02-21,20.0,20.3,20.0,20.24,71100
2007-02-22,21.4,21.4,20.25,20.4,22500
2007-02-23,20.25,20.25,20.0,20.15,15700
2007-02-26,19.75,20.1,19.7,20.0,53900
2007-02-27,20.0,20.19,20.0,20.0,136600
2007-02-28,20.45,20.45,20.0,20.01,61900
2007-03-01,20.0,20.03,20.0,20.0,47200
2007-03-02,19.85,20.01,19.85,20.01,76900
2007-03-05,19.89,20.15,19.88,20.0,165400
2007-03-06,20.0,20.1,20.0,20.0,49200
2007-03-07,20.0,20.09,20.0,20.0,20400
2007-03-08,20.0,20.11,20.0,20.0,14000
2007-03-09,20.0,20.09,20.0,20.0,8300
2007-03-12,20.15,20.15,20.0,20.01,7500
2007-03-13,20.0,20.07,20.0,20.0,10300
2007-03-14,20.0,20.09,19.95,20.0,12900
2007-03-15,20.0,20.0,19.9,19.97,4600
2007-03-16,20.0,20.12,20.0,20.12,4400
2007-03-19,20.15,20.15,19.78,19.97,14400
2007-03-20,19.8,20.01,19.8,20.0,36100
2007-03-21,19.9,20.05,19.9,20.0,25400
2007-03-22,20.1,20.1,19.9,19.95,12000
2007-03-23,19.9,19.95,19.9,19.94,11800
2007-03-26,19.94,20.04,19.52,19.65,90700
2007-03-27,19.78,19.82,19.5,19.77,24100
2007-03-28,19.57,19.72,19.33,19.47,17200
2007-03-29,19.32,19.78,19.3,19.4,19000
2007-03-30,19.61,19.61,19.32,19.33,4100
2007-04-02,19.25,19.6,19.17,19.25,26000
