date,open,high,low,close,volume
2019-01-17,11.3,11.85,11.3,11.75,824000
2019-01-18,11.75,11.75,11.5,11.612,79200
2019-01-22,11.61,11.84,11.58,11.81,197900
2019-01-23,11.76,11.9,11.72,11.9,92900
2019-01-24,11.88,11.88,11.52,11.58,80900
2019-01-25,11.601,11.661,11.6,11.63,47900
2019-01-28,11.66,11.7,11.585,11.68,46400
2019-01-29,11.68,11.8,11.61,11.76,62700
2019-01-30,11.79,11.79,11.65,11.69,82000
2019-01-31,11.701,11.8,11.55,11.595,68800
2019-02-01,11.6,11.68,11.556,11.59,69700
2019-02-04,11.54,11.63,11.52,11.52,29100
2019-02-05,11.53,11.55,11.46,11.55,42300
2019-02-06,11.556,11.556,11.42,11.48,33300
2019-02-07,11.5,11.5,11.31,11.405,41600
2019-02-08,11.35,11.48,11.35,11.44,13100
2019-02-11,11.47,11.63,11.392,11.63,80600
2019-02-12,11.63,11.63,11.425,11.56,37700
2019-02-13,11.47,11.59,11.47,11.59,10000
2019-02-14,11.59,11.6,11.48,11.6,5700
2019-02-15,11.59,11.62,11.551,11.62,12600
2019-02-19,11.6,11.75,11.565,11.74,26000
2019-02-20,11.682,11.73,11.548,11.68,9900
2019-02-21,11.68,11.73,11.61,11.73,13400
2019-02-22,11.72,11.8,11.655,11.8,27000
2019-02-25,11.71,11.8,11.66,11.8,9800
2019-02-26,11.79,11.85,11.712,11.85,14400
2019-02-27,11.88,11.9,11.841,11.9,500
2019-02-28,11.9,11.9,11.834,11.834,200
2019-03-01,11.89,11.89,11.838,11.88,5100
2019-03-04,11.76,11.89,11.75,11.75,10700
2019-03-05,11.76,11.87,11.75,11.87,8400
2019-03-06,11.77,11.89,11.75,11.76,5200
2019-03-07,11.89,11.89,11.7,11.7,60400
2019-03-08,11.67,11.79,11.67,11.79,36100
2019-03-11,11.68,11.84,11.65,11.65,43800
2019-03-12,11.82,11.84,11.7,11.75,27900
2019-03-13,11.74,11.9,11.68,11.81,41300
2019-03-14,11.9,12.03,11.71,12.03,66200
2019-03-15,11.902,12.3,11.36,11.36,129400
2019-03-18,11.78,12.15,11.63,12.15,82900
2019-03-19,12.0,12.15,11.87,12.08,18700
2019-03-20,11.965,12.15,11.9,12.14,3500
2019-03-21,11.85,12.099,11.65,11.9,20600
2019-03-22,11.8,12.0,11.735,12.0,13400
2019-03-25,11.75,11.918,11.65,11.65,8100
2019-03-26,11.78,11.78,11.65,11.7,6300
2019-03-27,11.65,11.73,11.65,11.7,2900
2019-03-28,11.65,11.8,11.65,11.8,2300
2019-03-29,11.79,12.0,11.71,12.0,12500
2019-04-01,12.0,12.1,11.68,12.05,38800
2019-04-02,11.91,11.95,11.82,11.95,9900
2019-04-03,11.76,12.1,11.76,12.0,4000
2019-04-04,11.738,12.0,11.738,12.0,16100
2019-04-05,12.0,12.0,11.75,11.81,12700
2019-04-08,11.98,11.98,11.92,11.92,700
2019-04-09,11.84,11.885,11.79,11.885,1800
2019-04-10,11.85,11.9,11.85,11.9,2500
2019-04-11,11.77,11.87,11.65,11.87,1400
2019-04-12,11.89,12.0,11.728,11.82,5000
2019-04-15,11.77,11.8,11.61,11.72,33200
2019-04-16,11.82,12.0,11.75,11.75,2300
2019-04-17,11.72,11.8,11.66,11.66,2900
2019-04-18,11.641,11.92,11.612,11.92,2200
2019-04-22,11.92,11.92,11.92,11.92,300
2019-04-23,11.79,11.8,11.65,11.8,29000
2019-04-24,11.8,11.8,11.65,11.65,2100
2019-04-25,11.65,11.8,11.65,11.66,11700
2019-04-26,11.8,11.8,11.66,11.79,6300
2019-04-29,11.72,11.75,11.69,11.74,1000
2019-04-30,11.75,11.75,11.65,11.7,7600
2019-05-01,11.674,11.75,11.67,11.75,1200
2019-05-02,11.75,11.75,11.75,11.75,200
2019-05-03,11.7,11.75,11.7,11.7,15300
2019-05-06,11.67,11.77,11.65,11.65,24000
2019-05-07,11.66,11.725,11.65,11.68,28600
2019-05-08,11.69,11.69,11.68,11.69,2100
2019-05-09,11.7,11.7,11.66,11.7,1700
2019-05-10,11.7,11.7,11.66,11.7,7300
2019-05-13,11.683,11.7,11.65,11.68,27500
2019-05-14,11.65,11.65,11.625,11.65,34900
2019-05-15,11.665,11.69,11.662,11.69,2700
2019-05-16,11.6,11.6,11.38,11.38,25300
2019-05-17,11.325,11.64,11.306,11.64,4200
2019-05-20,11.47,11.47,11.15,11.27,4200
2019-05-21,11.29,11.3,11.191,11.22,9200
2019-05-22,11.198,11.27,11.17,11.23,17300
2019-05-23,11.21,11.21,11.1,11.15,13100
2019-05-24,11.11,11.16,11.05,11.06,35700
2019-05-28,11.06,11.06,10.99,11.03,20000
2019-05-29,11.02,11.04,10.85,10.93,6600
2019-05-30,10.93,10.93,10.65,10.78,18400
2019-05-31,10.724,11.098,10.675,10.8,21200
2019-06-03,10.89,11.38,10.75,11.28,37000
2019-06-04,11.25,11.25,10.9,10.93,38500
2019-06-05,10.92,10.94,10.892,10.94,11000
2019-06-06,11.02,11.025,10.85,10.87,6900
