date,open,high,low,close,volume
2013-02-08,20.5,20.6,19.81,19.95,4990100
2013-02-11,19.99,20.0,19.5,19.7,260300
2013-02-12,19.45,19.85,19.45,19.65,343400
2013-02-13,19.66,20.09,19.66,20.04,189200
2013-02-14,19.96,20.0,19.76,19.93,264000
2013-02-15,19.94,20.0,19.86,19.9,155100
2013-02-19,20.0,20.17,19.85,20.12,309700
2013-02-20,20.1,20.22,20.0,20.17,105400
2013-02-21,20.08,20.15,19.89,20.03,108400
2013-02-22,20.0,20.25,20.0,20.25,70300
2013-02-25,20.2,20.35,20.1,20.1,101300
2013-02-26,20.1,20.15,19.86,20.0,81100
2013-02-27,19.94,20.02,19.9,20.01,50300
2013-02-28,20.03,20.11,20.01,20.07,77100
2013-03-01,20.02,20.1,20.0,20.05,43100
2013-03-04,20.01,20.01,19.95,19.95,34900
2013-03-05,20.05,20.22,19.92,20.17,175700
2013-03-06,20.15,20.15,20.02,20.04,85500
2013-03-07,20.0,20.15,19.97,20.02,37900
2013-03-08,20.09,20.24,20.03,20.19,68300
2013-03-11,20.19,20.34,20.19,20.31,56600
2013-03-12,20.16,20.6,20.16,20.58,46800
2013-03-13,20.7,20.7,20.42,20.45,112200
2013-03-14,20.44,20.5,20.38,20.5,39300
2013-03-15,20.41,20.65,20.26,20.64,63400
2013-03-18,20.29,20.66,20.26,20.66,48200
2013-03-19,20.63,20.66,20.46,20.63,71100
2013-03-20,20.63,20.74,20.53,20.74,109100
2013-03-21,20.69,20.9,20.56,20.77,128100
2013-03-22,20.72,20.77,20.62,20.75,173700
2013-03-25,20.72,20.84,20.55,20.65,122200
2013-03-26,20.6,20.75,20.51,20.75,107600
2013-03-27,20.6,20.73,20.46,20.66,86700
2013-03-28,20.68,20.82,20.37,20.63,493400
2013-04-01,20.56,20.62,20.29,20.54,56000
2013-04-02,20.57,20.68,20.42,20.66,43400
2013-04-03,20.66,20.83,20.51,20.59,100400
2013-04-04,20.64,20.69,20.53,20.67,74000
2013-04-05,20.48,20.71,20.46,20.7,24500
2013-04-08,20.74,20.99,20.49,20.96,110100
2013-04-09,20.99,21.0,20.66,20.95,68600
2013-04-10,20.8,20.95,20.48,20.51,74500
2013-04-11,20.5,20.75,20.5,20.62,40700
2013-04-12,20.52,20.89,20.52,20.83,37800
2013-04-15,20.72,20.91,20.57,20.72,111600
2013-04-16,20.89,20.98,20.69,20.95,95100
2013-04-17,20.83,20.83,19.98,20.61,79800
2013-04-18,20.64,20.75,20.14,20.64,25000
2013-04-19,20.63,20.98,20.5,20.95,19300
2013-04-22,20.95,20.95,20.7,20.88,12700
2013-04-23,20.94,20.94,20.52,20.69,29100
2013-04-24,20.75,20.79,20.44,20.5,43400
2013-04-25,20.5,20.64,20.16,20.36,30300
2013-04-26,20.38,20.68,20.11,20.55,77500
2013-04-29,20.58,20.58,20.32,20.48,28700
2013-04-30,20.51,20.72,20.32,20.66,24100
2013-05-01,20.6,20.61,20.3,20.5,41800
2013-05-02,20.54,20.57,20.35,20.56,39100
2013-05-03,20.65,20.65,20.27,20.37,20900
2013-05-06,20.32,20.51,20.21,20.51,11800
2013-05-07,20.44,20.51,20.11,20.5,67600
2013-05-08,20.47,20.56,20.32,20.52,44100
2013-05-09,20.42,20.42,20.15,20.27,27300
2013-05-10,20.33,20.36,20.25,20.34,14100
2013-05-13,20.35,20.4,20.08,20.25,20600
2013-05-14,20.21,20.21,20.07,20.17,43700
2013-05-15,20.06,20.2,19.57,19.99,51200
2013-05-16,19.88,19.92,19.84,19.92,20900
2013-05-17,19.95,20.02,19.65,19.91,68200
2013-05-20,19.82,20.16,19.67,19.93,46000
2013-05-21,19.88,19.96,19.68,19.72,16100
2013-05-22,19.59,19.77,19.59,19.75,9200
2013-05-23,19.66,19.74,19.48,19.58,41400
2013-05-24,19.53,19.64,19.47,19.58,13800
2013-05-28,19.72,19.72,18.98,19.05,90200
2013-05-29,19.0,19.06,18.1,18.31,359200
2013-05-30,18.36,18.45,17.95,18.0,213600
2013-05-31,18.0,18.18,17.85,17.88,102500
2013-06-03,17.87,17.99,17.33,17.71,99500
2013-06-04,17.67,17.86,17.31,17.42,171800
2013-06-05,17.57,17.57,17.25,17.28,44900
2013-06-06,17.24,17.48,17.06,17.45,134000
2013-06-07,17.51,17.86,17.4,17.82,28700
2013-06-10,17.79,18.57,17.71,18.56,25400
2013-06-11,18.43,18.52,18.14,18.21,38800
2013-06-12,18.28,18.28,17.19,17.7,37100
2013-06-13,17.5,18.01,17.49,18.0,22600
2013-06-14,18.1,18.22,17.71,17.92,24800
2013-06-17,17.96,18.65,17.81,18.24,43600
2013-06-18,18.26,18.38,17.8,18.3,32100
2013-06-19,18.34,18.69,18.2,18.52,25800
2013-06-20,18.37,18.38,17.33,17.84,52200
2013-06-21,17.89,18.63,16.5,18.2,316900
2013-06-24,18.02,18.09,17.51,17.69,73600
2013-06-25,17.8,18.16,17.65,18.04,63900
2013-06-26,18.17,18.37,17.74,17.77,29600
2013-06-27,17.91,17.97,17.78,17.93,27000
2013-06-28,17.88,18.23,17.76,18.17,176200
2013-07-01,18.39,18.55,18.28,18.44,51700
2013-07-02,18.5,18.6,18.25,18.46,28700
2013-07-03,18.45,18.49,18.33,18.34,13700
2013-07-05,18.16,18.16,16.57,17.34,75100
2013-07-08,17.2,17.25,16.99,17.04,26600
2013-07-09,17.04,17.14,16.71,17.09,73600
2013-07-10,17.14,17.14,16.9,17.06,12500
2013-07-11,17.2,17.36,16.72,17.2,138300
2013-07-12,17.14,17.27,17.05,17.21,19400
2013-07-15,17.15,17.36,17.02,17.31,16500
2013-07-16,17.29,17.49,17.04,17.46,38900
2013-07-17,17.5,17.54,17.23,17.34,17300
2013-07-18,17.44,17.84,17.43,17.57,18100
2013-07-19,17.48,17.6,17.33,17.54,18300
2013-07-22,17.48,17.69,17.4,17.54,16100
2013-07-23,17.63,17.63,17.42,17.52,14700
2013-07-24,17.52,17.52,17.28,17.4,19800
2013-07-25,17.28,17.68,16.91,17.62,50300
2013-07-26,17.51,17.56,17.08,17.52,13600
2013-07-29,17.61,17.65,17.43,17.49,17500
2013-07-30,17.55,17.64,17.32,17.44,11700
2013-07-31,17.49,17.57,17.16,17.16,18500
2013-08-01,17.25,17.25,16.71,16.86,36600
2013-08-02,16.85,17.1,16.76,16.89,17000
2013-08-05,16.94,16.94,16.73,16.73,18600
2013-08-06,16.72,16.86,16.62,16.81,21200
2013-08-07,16.9,16.9,16.52,16.62,25900
2013-08-08,16.62,16.68,16.04,16.54,122300
2013-08-09,16.54,16.67,16.19,16.39,27600
2013-08-12,16.38,16.53,16.11,16.47,17300
2013-08-13,16.68,16.69,16.5,16.65,53900
2013-08-14,16.65,16.65,16.3,16.33,39300
2013-08-15,16.18,16.34,16.03,16.17,65800
2013-08-16,16.17,16.47,16.08,16.19,35300
2013-08-19,16.24,16.43,15.51,15.9,71100
2013-08-20,15.98,16.33,15.98,16.25,27500
2013-08-21,16.28,16.28,16.0,16.0,6300
2013-08-22,15.91,16.0,15.83,15.88,29900
2013-08-23,15.86,15.95,15.64,15.93,15400
2013-08-26,15.83,16.11,15.8,15.86,12000
2013-08-27,15.8,15.93,15.63,15.66,41900
2013-08-28,15.63,15.73,15.63,15.69,22300
2013-08-29,15.79,15.86,15.68,15.7,32600
2013-08-30,15.62,15.79,15.62,15.73,35400
2013-09-03,16.5,16.5,15.68,15.7,173900
2013-09-04,15.71,15.79,15.65,15.74,74000
2013-09-05,15.77,15.79,15.67,15.72,57700
2013-09-06,15.81,16.12,15.67,15.67,133700
2013-09-09,15.77,16.55,15.73,16.48,51500
2013-09-10,16.52,16.9,16.38,16.74,49000
2013-09-11,16.76,16.87,16.47,16.68,34900
2013-09-12,16.62,17.33,16.5,17.14,45200
2013-09-13,17.15,18.0,17.14,17.63,181700
2013-09-16,18.04,18.2,17.72,17.78,99400
2013-09-17,17.88,18.0,17.64,17.74,54900
2013-09-18,17.64,18.43,17.57,18.28,100300
2013-09-19,18.28,18.4,17.83,17.99,35700
2013-09-20,18.0,18.2,17.75,18.09,88700
2013-09-23,18.02,18.02,17.88,17.92,42200
2013-09-24,17.99,18.0,17.89,17.89,34500
2013-09-25,17.98,18.0,17.92,17.96,41300
2013-09-26,17.41,17.55,17.35,17.37,26500
2013-09-27,17.36,17.42,17.21,17.27,14400
2013-09-30,17.26,17.65,17.21,17.35,32000
2013-10-01,17.43,17.55,17.33,17.5,28900
2013-10-02,17.46,17.75,17.46,17.67,19100
2013-10-03,17.73,17.75,17.27,17.53,17900
2013-10-04,17.48,17.54,17.23,17.44,33500
2013-10-07,17.27,17.49,17.23,17.45,33200
2013-10-08,17.49,17.73,17.22,17.33,20800
2013-10-09,17.45,17.45,17.28,17.38,19800
2013-10-10,17.52,17.58,17.35,17.46,8900
2013-10-11,17.47,17.56,17.44,17.49,19900
2013-10-14,17.47,17.69,17.42,17.58,13500
2013-10-15,17.48,17.64,17.37,17.45,18700
2013-10-16,17.42,17.5,17.36,17.5,57100
2013-10-17,17.44,17.71,17.44,17.71,18200
2013-10-18,17.84,17.95,17.66,17.95,26500
2013-10-21,17.95,18.21,17.95,18.21,30400
2013-10-22,18.31,18.38,18.15,18.15,24000
2013-10-23,18.12,18.38,18.05,18.05,39300
2013-10-24,18.03,18.24,18.03,18.1,25100
2013-10-25,18.18,18.18,18.05,18.07,4900
