date,open,high,low,close,volume
2013-07-19,14.75,14.8,14.0,14.04,10649600
2013-07-22,14.0,14.05,13.95,14.0,872600
2013-07-23,14.01,14.11,13.95,14.09,608300
2013-07-24,14.07,14.14,14.01,14.02,105600
2013-07-25,14.0,14.03,13.68,14.03,609300
2013-07-26,13.99,14.19,13.96,14.13,282000
2013-07-29,14.09,14.16,14.0,14.04,26200
2013-07-30,14.12,14.14,14.01,14.01,48300
2013-07-31,14.0,14.04,14.0,14.03,309800
2013-08-01,14.04,14.05,14.0,14.01,140900
2013-08-02,14.0,14.01,13.91,14.0,419300
2013-08-05,14.0,14.03,14.0,14.01,78900
2013-08-06,14.0,14.01,13.9,13.95,219600
2013-08-07,13.99,13.99,13.75,13.82,114400
2013-08-08,13.75,13.88,13.57,13.63,52100
2013-08-09,13.56,13.56,13.11,13.46,159200
2013-08-12,13.46,13.72,13.46,13.6,61700
2013-08-13,13.48,14.0,13.48,13.9,150200
2013-08-14,13.55,14.02,13.55,13.99,143200
2013-08-15,13.5,13.97,13.5,13.59,68000
2013-08-16,13.7,13.97,13.7,13.87,577500
2013-08-19,13.9,13.9,13.38,13.42,31300
2013-08-20,13.46,13.69,13.44,13.6,124300
2013-08-21,13.52,13.61,13.17,13.18,63000
2013-08-22,13.15,13.31,12.14,13.29,191600
2013-08-23,13.29,13.68,13.15,13.6,138400
2013-08-26,13.52,13.81,13.36,13.54,130700
2013-08-27,13.26,13.72,13.26,13.66,14900
2013-08-28,13.57,13.76,13.07,13.28,55900
2013-08-29,13.05,13.35,12.99,13.27,46400
2013-08-30,13.22,13.39,13.05,13.18,37000
2013-09-03,13.36,13.55,13.0,13.55,85700
2013-09-04,13.46,13.95,13.12,13.53,301600
2013-09-05,13.42,13.62,13.05,13.25,64700
2013-09-06,13.25,13.51,13.0,13.19,132400
2013-09-09,13.41,13.53,13.27,13.45,126900
2013-09-10,13.63,13.63,13.15,13.53,68100
2013-09-11,13.53,13.53,13.16,13.42,52100
2013-09-12,13.49,13.71,13.37,13.58,105400
2013-09-13,13.59,13.98,13.47,13.67,153500
2013-09-16,13.67,14.24,13.43,13.96,123700
2013-09-17,13.97,14.06,13.92,13.97,350200
2013-09-18,13.92,14.1,13.8,14.09,119700
2013-09-19,14.15,14.26,13.84,13.95,118200
2013-09-20,13.94,14.05,13.44,13.45,336400
2013-09-23,13.51,14.01,13.36,13.88,222800
2013-09-24,13.85,14.0,13.67,13.79,112700
2013-09-25,13.71,14.06,13.63,13.97,139300
2013-09-26,14.0,14.01,13.81,13.94,182800
2013-09-27,13.9,13.9,13.48,13.72,122000
2013-09-30,13.33,13.72,13.33,13.51,1014400
2013-10-01,13.55,13.95,13.45,13.69,187900
2013-10-02,13.67,13.82,13.4,13.63,125300
2013-10-03,13.57,13.65,13.29,13.65,91100
2013-10-04,13.59,13.81,13.41,13.52,65400
2013-10-07,13.36,13.58,13.23,13.39,45900
2013-10-08,13.33,13.46,13.0,13.15,181400
2013-10-09,13.19,13.69,13.1,13.22,135300
2013-10-10,13.3,13.52,13.23,13.38,87800
2013-10-11,13.3,13.51,13.17,13.44,194400
2013-10-14,13.4,13.61,13.2,13.6,61900
2013-10-15,13.55,13.63,13.17,13.56,206800
2013-10-16,13.61,13.74,13.44,13.54,80800
2013-10-17,13.47,13.88,13.41,13.59,95400
2013-10-18,13.72,13.72,13.28,13.68,210700
2013-10-21,13.66,13.69,13.48,13.57,41900
2013-10-22,13.57,13.7,13.5,13.67,265300
2013-10-23,13.58,13.74,13.55,13.69,42600
2013-10-24,13.69,13.87,13.63,13.82,80700
2013-10-25,13.87,14.19,13.75,14.15,273600
2013-10-28,14.07,14.09,13.94,14.05,77900
2013-10-29,14.04,14.04,13.92,14.01,212300
2013-10-30,14.03,14.13,13.86,14.0,168900
2013-10-31,14.0,14.05,13.56,13.62,267400
2013-11-01,13.57,13.69,13.4,13.65,90500
2013-11-04,13.74,13.74,13.48,13.6,183100
2013-11-05,13.58,13.63,13.5,13.53,34200
2013-11-06,13.57,13.66,13.5,13.56,32100
2013-11-07,13.57,13.66,13.49,13.5,142300
2013-11-08,13.54,13.58,13.0,13.07,232500
2013-11-11,13.0,13.25,13.0,13.07,389400
2013-11-12,13.03,13.24,12.93,13.11,57500
2013-11-13,13.07,13.25,13.04,13.22,30300
2013-11-14,13.24,13.5,13.24,13.45,55500
2013-11-15,13.42,13.75,13.41,13.55,70500
2013-11-18,13.62,13.87,13.56,13.86,87800
2013-11-19,13.9,14.0,13.3,13.72,106300
2013-11-20,13.73,13.98,13.66,13.79,43300
2013-11-21,13.87,14.0,13.8,13.86,85300
2013-11-22,13.88,13.99,13.73,13.8,72400
2013-11-25,13.8,13.93,13.66,13.76,40000
2013-11-26,13.7,13.97,13.7,13.86,42600
2013-11-27,13.83,13.99,13.74,13.92,41600
2013-11-29,14.0,14.0,13.76,13.93,16700
2013-12-02,13.88,13.99,13.57,13.96,63900
2013-12-03,13.91,13.92,13.58,13.79,31800
2013-12-04,13.78,13.89,13.63,13.85,41000
2013-12-05,13.87,13.97,13.7,13.88,28700
2013-12-06,13.98,14.08,13.89,13.98,48600
2013-12-09,14.0,14.02,13.72,13.86,35700
2013-12-10,13.87,13.91,13.57,13.8,227500
2013-12-11,13.86,13.86,13.3,13.46,32800
2013-12-12,13.45,13.57,13.08,13.17,25900
2013-12-13,13.24,13.38,13.15,13.22,89400
2013-12-16,13.23,13.45,13.1,13.14,167000
2013-12-17,13.15,13.19,12.97,13.1,453800
2013-12-18,13.1,13.28,13.09,13.21,205000
2013-12-19,13.16,13.3,13.07,13.15,68900
2013-12-20,13.2,13.42,13.09,13.2,330200
2013-12-23,13.2,13.73,13.2,13.39,42100
2013-12-24,13.48,13.61,13.3,13.43,12700
2013-12-26,13.32,13.49,13.04,13.06,48600
2013-12-27,13.11,13.26,12.95,13.19,157000
2013-12-30,13.22,13.36,13.09,13.29,49500
2013-12-31,13.27,13.28,12.98,13.2,85600
2014-01-02,13.13,13.13,12.8,12.83,148000
2014-01-03,12.82,13.41,12.82,13.33,370700
2014-01-06,13.31,13.41,13.25,13.31,61200
2014-01-07,13.42,13.48,13.16,13.17,102100
2014-01-08,13.2,13.3,12.92,13.13,27000
2014-01-09,13.13,13.23,13.0,13.15,128600
2014-01-10,13.19,13.5,13.15,13.29,130400
2014-01-13,13.31,13.45,13.04,13.19,148800
2014-01-14,13.28,13.51,13.04,13.21,122300
2014-01-15,13.17,13.25,13.06,13.17,61200
2014-01-16,13.11,13.24,13.03,13.17,78100
2014-01-17,13.12,13.26,12.92,13.13,35700
2014-01-21,13.15,13.15,12.93,13.11,491000
2014-01-22,13.12,13.2,13.0,13.12,74200
2014-01-23,13.03,13.34,13.03,13.29,50400
2014-01-24,13.18,13.78,13.18,13.38,89400
2014-01-27,13.42,13.44,12.85,13.0,71400
2014-01-28,12.97,13.32,12.93,13.03,145900
2014-01-29,12.95,13.25,12.73,13.06,272200
2014-01-30,13.15,13.5,13.06,13.31,52000
2014-01-31,13.15,13.77,13.15,13.65,89400
2014-02-03,13.59,13.7,13.29,13.34,67500
2014-02-04,13.44,13.56,13.11,13.49,47900
2014-02-05,13.49,13.49,13.01,13.2,40200
2014-02-06,13.3,13.32,13.1,13.17,41300
2014-02-07,13.2,13.35,13.12,13.31,51900
2014-02-10,13.36,13.46,13.19,13.46,61700
2014-02-11,13.42,13.55,13.35,13.46,24000
2014-02-12,13.42,13.59,13.3,13.4,63200
2014-02-13,13.33,13.7,13.33,13.7,29800
2014-02-14,13.77,13.99,13.36,13.59,45600
2014-02-18,13.55,13.76,13.48,13.74,55400
2014-02-19,13.69,13.77,13.42,13.6,28300
2014-02-20,13.63,13.76,13.54,13.74,153300
2014-02-21,13.76,13.76,13.22,13.45,103300
2014-02-24,13.52,13.79,13.22,13.6,73600
2014-02-25,13.57,13.57,13.26,13.5,66100
2014-02-26,13.55,13.88,13.39,13.85,87300
2014-02-27,13.81,14.33,13.42,14.32,50700
2014-02-28,14.27,14.4,14.12,14.19,54700
2014-03-03,14.15,14.18,13.79,14.05,39900
2014-03-04,14.23,15.5,14.2,14.62,183200
2014-03-05,14.64,14.84,14.35,14.75,141500
2014-03-06,14.74,14.83,14.24,14.62,116400
2014-03-07,14.64,14.71,14.24,14.44,29300
2014-03-10,14.46,14.58,14.21,14.48,80100
2014-03-11,14.54,14.92,14.3,14.59,51700
2014-03-12,14.5,14.56,14.27,14.4,48100
2014-03-13,14.45,14.45,14.21,14.24,101500
2014-03-14,14.22,14.45,14.21,14.27,67800
2014-03-17,14.32,14.36,14.21,14.29,21500
2014-03-18,14.34,14.37,14.18,14.3,300000
2014-03-19,14.27,14.49,14.12,14.19,279700
