date,open,high,low,close,volume
2012-03-28,17.0,17.72,16.18,16.45,2354400
2012-03-29,16.35,16.9,16.35,16.77,100400
2012-03-30,16.85,17.23,16.65,16.8,110900
2012-04-02,16.8,17.94,16.79,17.21,72000
2012-04-03,17.41,17.67,16.71,16.85,22900
2012-04-04,16.65,16.65,16.35,16.41,96400
2012-04-05,16.19,16.51,16.01,16.05,224400
2012-04-09,16.25,16.25,15.5,15.75,56500
2012-04-10,15.82,15.87,15.17,15.45,29200
2012-04-11,15.63,15.8,15.52,15.68,15400
2012-04-12,15.58,16.3,15.53,15.9,11300
2012-04-13,15.9,16.2,15.83,16.01,31300
2012-04-16,16.04,16.07,15.53,15.78,71300
2012-04-17,15.83,15.83,15.6,15.61,11200
2012-04-18,15.67,15.86,15.25,15.47,101000
2012-04-19,15.6,16.15,15.25,15.46,112800
2012-04-20,15.35,16.37,15.0,15.77,119500
2012-04-23,15.59,16.09,15.21,16.0,40000
2012-04-24,16.04,16.13,15.79,15.8,5200
2012-04-25,16.0,16.1,15.56,15.9,25600
2012-04-26,16.3,16.3,15.68,15.82,38200
2012-04-27,15.99,16.74,15.73,16.35,42000
2012-04-30,16.37,17.23,15.92,16.91,22800
2012-05-01,16.78,17.62,16.41,17.05,66000
2012-05-02,16.13,17.48,16.13,17.05,73000
2012-05-03,17.18,17.52,16.47,16.81,38000
2012-05-04,16.46,16.98,16.09,16.57,15300
2012-05-07,16.68,17.01,16.3,16.55,21600
2012-05-08,16.61,16.61,16.35,16.42,13100
2012-05-09,15.45,16.5,15.45,16.33,10300
2012-05-10,16.31,16.39,16.15,16.35,15000
2012-05-11,16.19,16.25,15.92,16.23,18600
2012-05-14,16.15,16.26,15.44,15.9,65000
2012-05-15,16.0,16.19,15.8,16.05,27600
2012-05-16,15.99,16.05,15.4,15.65,80000
2012-05-17,15.58,15.59,14.46,14.73,52700
2012-05-18,15.0,15.0,14.21,14.46,30000
2012-05-21,14.42,15.02,14.27,14.97,5900
2012-05-22,14.94,15.27,14.47,14.47,15600
2012-05-23,14.47,14.82,14.44,14.71,11700
2012-05-24,14.76,14.76,14.5,14.76,12700
2012-05-25,14.72,14.9,14.5,14.9,17800
2012-05-29,14.87,15.01,14.5,14.62,57100
2012-05-30,14.51,14.67,14.03,14.26,22800
2012-05-31,14.26,14.75,14.18,14.75,14800
2012-06-01,14.55,14.85,13.94,14.5,43100
2012-06-04,14.49,14.49,14.04,14.2,24700
2012-06-05,14.16,14.16,13.81,14.03,4800
2012-06-06,14.05,14.05,13.16,13.92,17200
2012-06-07,14.1,14.1,13.05,13.66,14600
2012-06-08,13.49,13.84,12.84,13.67,38700
2012-06-11,13.93,13.93,12.96,13.06,25200
2012-06-12,13.24,13.92,13.06,13.58,35800
2012-06-13,13.54,13.69,13.19,13.5,21500
2012-06-14,13.5,14.4,13.5,13.71,36700
2012-06-15,13.69,14.2,13.67,13.67,36700
2012-06-18,13.71,14.24,13.56,13.75,18300
2012-06-19,13.9,14.39,13.7,14.29,34300
2012-06-20,14.6,15.75,14.6,15.3,60300
2012-06-21,15.12,15.45,14.88,15.36,55800
2012-06-22,15.33,15.66,14.82,15.35,538400
2012-06-25,15.17,16.81,15.0,16.38,58700
2012-06-26,16.25,16.67,15.77,16.3,40600
2012-06-27,16.48,17.15,15.26,15.88,36800
2012-06-28,15.71,16.26,15.62,16.25,9100
2012-06-29,16.28,16.67,15.79,16.45,29700
2012-07-02,16.41,16.44,15.66,16.0,38400
2012-07-03,15.94,16.02,15.54,15.95,12300
2012-07-05,15.83,16.56,15.73,15.99,49700
2012-07-06,15.89,16.02,15.53,15.75,7000
2012-07-09,15.68,16.79,15.34,16.09,63200
2012-07-10,16.89,17.32,15.96,16.09,83800
2012-07-11,16.23,16.23,15.48,15.98,19800
2012-07-12,15.88,15.89,14.96,15.54,30100
2012-07-13,15.7,16.82,15.32,16.54,8900
2012-07-16,16.54,16.54,15.76,16.12,4200
2012-07-17,16.09,16.47,15.34,16.19,114500
2012-07-18,16.17,16.39,15.83,16.29,5300
2012-07-19,16.31,16.31,15.35,15.74,81300
2012-07-20,15.62,15.62,14.85,15.04,65700
2012-07-23,14.83,15.14,14.83,15.02,5400
2012-07-24,15.01,15.03,14.8,14.81,7400
2012-07-25,14.98,15.21,14.82,15.07,12000
2012-07-26,15.33,16.02,14.84,15.5,32300
2012-07-27,15.62,15.86,15.54,15.85,5500
2012-07-30,15.84,16.47,15.09,15.27,21400
2012-07-31,15.05,15.17,15.01,15.09,7900
2012-08-01,15.02,15.83,15.02,15.06,23800
2012-08-02,15.06,17.09,15.06,16.21,39600
2012-08-03,16.45,17.18,16.45,16.85,53600
2012-08-06,16.76,16.87,16.29,16.34,10700
2012-08-07,16.66,17.0,15.33,15.65,31300
2012-08-08,15.54,16.66,15.5,16.41,20100
2012-08-09,16.26,17.0,16.23,16.99,50400
2012-08-10,16.75,16.8,16.37,16.51,24000
2012-08-13,16.62,16.64,15.78,16.1,7000
2012-08-14,16.19,16.19,15.66,15.95,5500
2012-08-15,16.0,16.82,16.0,16.63,9700
2012-08-16,16.74,16.83,16.31,16.71,9100
2012-08-17,16.56,17.01,16.2,17.0,10300
2012-08-20,17.14,17.14,16.85,17.02,5600
2012-08-21,16.91,16.91,16.09,16.26,7800
2012-08-22,16.36,16.63,16.07,16.54,6100
2012-08-23,16.58,16.78,16.06,16.31,31800
2012-08-24,16.3,16.81,16.1,16.55,1400
2012-08-27,16.45,16.54,15.95,16.05,22300
2012-08-28,16.11,16.33,15.71,15.99,43600
2012-08-29,16.07,16.46,15.99,16.45,6000
2012-08-30,16.32,16.75,16.32,16.67,1500
2012-08-31,16.86,17.08,16.77,16.79,20600
2012-09-04,16.73,17.03,16.47,16.88,8600
2012-09-05,16.71,16.95,16.71,16.81,8800
2012-09-06,16.8,17.53,16.8,17.49,105900
2012-09-07,17.53,17.93,17.5,17.79,4100
2012-09-10,17.84,18.15,17.76,17.79,7000
2012-09-11,17.87,17.87,16.64,17.62,19300
2012-09-12,17.54,17.54,17.19,17.44,4700
2012-09-13,17.49,17.91,17.47,17.75,30100
2012-09-14,17.72,17.9,17.53,17.71,43000
2012-09-17,17.71,17.71,17.56,17.59,26000
2012-09-18,17.6,17.6,17.55,17.57,10000
2012-09-19,17.58,18.01,17.46,17.68,20300
2012-09-20,17.7,17.7,17.4,17.51,11400
2012-09-21,17.73,17.79,17.5,17.62,34100
2012-09-24,17.53,17.6,17.4,17.5,17000
2012-09-25,17.51,17.51,17.22,17.25,17500
2012-09-26,17.61,17.61,17.24,17.47,11800
2012-09-27,17.52,17.52,16.82,17.27,33700
2012-09-28,17.25,17.63,16.75,17.25,49300
2012-10-01,17.14,17.49,17.14,17.33,14300
2012-10-02,17.43,17.63,17.24,17.24,18600
2012-10-03,17.33,17.48,17.25,17.3,13400
2012-10-04,17.39,17.5,17.19,17.5,7500
2012-10-05,17.57,17.73,17.01,17.04,26500
2012-10-08,17.11,17.44,17.11,17.2,1200
2012-10-09,17.22,17.23,17.16,17.2,9900
2012-10-10,17.16,17.16,16.93,16.95,9800
2012-10-11,17.04,17.84,17.04,17.48,8900
2012-10-12,17.56,18.1,17.56,17.93,5200
2012-10-15,17.91,18.11,17.34,18.0,23700
2012-10-16,17.97,18.27,17.76,18.18,12100
2012-10-17,18.14,18.15,17.9,18.03,9600
2012-10-18,17.95,18.19,17.53,18.12,6900
2012-10-19,17.96,18.05,17.46,17.89,38800
2012-10-22,17.74,17.74,17.66,17.69,4100
2012-10-23,17.67,17.79,17.51,17.51,3600
2012-10-24,17.48,17.73,17.3,17.71,15100
2012-10-25,17.9,17.9,17.39,17.6,7800
2012-10-26,17.51,17.51,17.13,17.45,13600
2012-10-31,17.37,17.74,17.22,17.48,11300
2012-11-01,17.5,17.5,16.59,17.15,38300
2012-11-02,17.13,17.25,16.87,17.03,9400
2012-11-05,16.98,17.47,16.85,17.42,22300
2012-11-06,17.4,17.43,17.11,17.25,10300
2012-11-07,17.03,17.36,16.98,16.98,37300
2012-11-08,17.02,17.5,16.99,17.01,33800
2012-11-09,16.9,17.39,16.9,17.06,5500
2012-11-12,17.16,17.43,17.09,17.23,2000
2012-11-13,17.26,17.4,16.96,17.14,4800
2012-11-14,17.23,17.27,16.59,16.61,5500
2012-11-15,16.53,17.5,16.51,16.92,25300
2012-11-16,16.83,17.21,16.74,16.88,21900
2012-11-19,17.0,17.2,16.77,17.0,58000
2012-11-20,16.92,17.15,16.81,16.96,62100
2012-11-21,16.99,17.14,16.5,17.14,28300
2012-11-23,17.15,17.86,17.14,17.61,16900
2012-11-26,17.38,17.9,17.35,17.75,14800
2012-11-27,14.7,17.46,14.7,16.8,92000
2012-11-28,16.79,17.56,16.62,17.5,16600
2012-11-29,17.55,17.69,17.34,17.55,46300
2012-11-30,17.6,17.6,17.12,17.5,339600
2012-12-03,17.55,17.6,17.1,17.48,20800
2012-12-04,17.51,17.79,17.21,17.79,22400
2012-12-05,17.8,17.8,17.11,17.3,10300
2012-12-06,17.39,17.5,17.02,17.05,6700
2012-12-07,17.23,17.44,16.9,17.14,6000
2012-12-10,17.2,17.37,16.99,17.0,18900
2012-12-11,17.12,17.38,16.38,16.51,24800
2012-12-12,16.59,16.88,16.48,16.78,41300
2012-12-13,16.8,16.85,16.73,16.74,14700
2012-12-14,16.64,16.79,16.64,16.74,3100
2012-12-17,16.85,16.85,16.52,16.62,8600
2012-12-18,16.54,16.69,16.18,16.55,7500
2012-12-19,16.35,16.35,15.73,15.82,20500
2012-12-20,15.98,16.25,15.87,16.25,19900
2012-12-21,16.0,16.23,15.9,16.0,123200
2012-12-24,16.0,16.09,15.96,16.0,12700
2012-12-26,16.0,16.09,15.96,16.03,15200
2012-12-27,16.09,16.13,15.93,16.1,12600
2012-12-28,16.0,16.08,15.98,16.05,15600
2012-12-31,16.05,16.6,16.05,16.55,29100
2013-01-02,16.75,16.75,16.54,16.73,17200
2013-01-03,16.85,17.38,16.85,17.05,13800
2013-01-04,17.23,17.5,17.23,17.41,10500
2013-01-07,17.28,17.49,17.28,17.41,2300
2013-01-08,17.35,17.4,17.35,17.35,3100
2013-01-09,17.45,17.45,16.79,17.06,21100
2013-01-10,17.0,17.3,16.8,17.02,19100
2013-01-11,17.06,17.1,16.68,16.69,11800
2013-01-14,16.76,16.76,16.41,16.61,23500
2013-01-15,16.52,16.68,16.43,16.55,9400
2013-01-16,15.75,16.0,15.54,15.61,39400
2013-01-17,15.7,16.14,15.7,16.13,25300
2013-01-18,16.08,16.09,15.87,15.87,8900
2013-01-22,15.92,16.13,15.92,16.13,13000
2013-01-23,16.02,16.45,16.02,16.43,13000
2013-01-24,16.43,16.54,16.08,16.12,29600
2013-01-25,16.27,16.55,16.22,16.45,12900
2013-01-28,16.37,16.77,16.37,16.7,7300
2013-01-29,16.6,16.81,16.4,16.5,18300
2013-01-30,16.51,16.65,16.51,16.61,3600
2013-01-31,16.64,17.04,16.64,16.8,25000
2013-02-01,16.78,16.86,16.6,16.67,22900
2013-02-04,16.66,16.68,16.43,16.5,45500
2013-02-05,16.51,16.72,16.43,16.68,41600
2013-02-06,16.53,17.35,16.31,17.04,13500
2013-02-07,17.09,17.09,16.2,16.63,59000
2013-02-08,16.62,16.89,16.62,16.84,3000
2013-02-11,16.7,16.73,16.38,16.39,17400
2013-02-12,16.45,17.34,16.43,17.3,25100
2013-02-13,17.19,17.25,16.98,17.19,8300
2013-02-14,17.07,17.22,16.98,17.13,6100
2013-02-15,17.22,17.73,17.19,17.63,80700
2013-02-19,17.66,17.9,17.36,17.55,17000
2013-02-20,17.51,17.59,17.37,17.45,49200
2013-02-21,17.48,17.5,17.25,17.47,14300
2013-02-22,17.5,17.5,17.29,17.48,54300
2013-02-25,17.48,17.52,17.38,17.45,35700
2013-02-26,17.45,17.56,17.3,17.51,48400
2013-02-27,17.49,17.58,17.42,17.5,68100
2013-02-28,17.27,18.1,17.27,17.96,7000
2013-03-01,18.0,18.41,17.79,18.12,43700
2013-03-04,18.25,19.1,18.07,18.96,84500
2013-03-05,19.1,19.12,18.81,18.97,27700
2013-03-06,19.09,19.09,18.68,18.92,13800
2013-03-07,19.01,19.35,18.85,18.96,16800
2013-03-08,18.96,18.96,18.76,18.88,16300
2013-03-11,18.78,18.9,18.24,18.54,41600
2013-03-12,18.6,18.92,18.48,18.84,47600
2013-03-13,18.94,18.96,18.69,18.8,12700
2013-03-14,18.46,18.89,18.18,18.89,75700
2013-03-15,18.98,19.74,18.76,19.48,208500
2013-03-18,19.2,19.42,18.9,19.42,26100
2013-03-19,19.5,19.5,19.4,19.43,10400
2013-03-20,19.46,20.88,19.44,20.53,33900
2013-03-21,20.54,20.54,20.01,20.07,26200
2013-03-22,20.11,20.35,20.05,20.05,38500
2013-03-25,20.05,20.16,20.0,20.07,7500
2013-03-26,20.1,20.19,19.96,20.07,35100
2013-03-27,19.9,20.13,19.85,20.05,39400
2013-03-28,20.16,20.35,19.95,20.2,71000
2013-04-01,20.15,20.25,19.23,19.71,77300
2013-04-02,19.87,20.2,19.87,20.01,46400
2013-04-03,20.01,20.25,19.91,20.03,30900
2013-04-04,20.0,20.57,20.0,20.06,12600
