date,open,high,low,close,volume
2019-06-07,25.16,37.99,25.11,34.0,18882300
2019-06-10,38.9,44.77,33.05,33.3,9277700
2019-06-11,34.5,35.8,30.51,35.45,3599700
2019-06-12,35.84,40.8,34.17,36.51,4669900
2019-06-13,38.75,41.7,37.575,40.4,4296100
2019-06-14,39.44,42.68,38.51,42.01,2497000
2019-06-17,42.75,43.905,39.61,40.87,2080200
2019-06-18,41.41,42.3,40.39,40.83,1217200
2019-06-19,41.07,48.36,38.32,46.96,2796700
2019-06-20,45.69,47.45,43.63,44.29,1837100
2019-06-21,44.05,44.05,38.75,38.86,2872600
2019-06-24,39.71,39.83,33.3,34.22,3334200
2019-06-25,34.71,35.49,33.6,35.1,1561900
2019-06-26,35.64,35.907,33.09,33.55,1052700
2019-06-27,33.63,35.1,33.1,34.3,969900
2019-06-28,34.14,35.75,33.97,34.5,846600
2019-07-01,35.4,35.857,31.67,32.79,1856800
2019-07-02,34.65,37.34,34.3,34.81,5367700
2019-07-03,34.5,35.62,33.62,34.9,1315500
2019-07-05,35.14,38.79,34.761,38.6,2252000
2019-07-08,38.05,41.22,37.05,37.3,2692600
2019-07-09,37.09,39.45,37.0,38.31,1081100
2019-07-10,38.73,38.94,36.15,37.05,1354400
2019-07-11,37.2,39.55,36.25,38.53,1447100
2019-07-12,38.42,39.35,37.44,37.74,697100
2019-07-15,37.9,40.0,37.535,37.85,1493400
2019-07-16,38.22,38.89,37.03,37.15,824900
2019-07-17,37.31,37.89,35.45,35.69,1011700
2019-07-18,35.46,35.6,33.4,33.94,1282400
2019-07-19,34.0,34.9,33.97,34.14,541800
2019-07-22,34.0,34.8,34.0,34.39,534700
2019-07-23,34.5,35.35,34.04,34.09,518900
2019-07-24,34.48,34.93,33.2,34.14,795200
2019-07-25,34.1,35.94,33.32,33.52,1118800
2019-07-26,33.8,34.65,32.51,34.29,893700
2019-07-29,34.29,35.43,34.114,35.11,966000
2019-07-30,35.07,35.9,33.6,33.98,796200
2019-07-31,34.22,34.78,33.52,34.47,860200
2019-08-01,34.59,35.35,32.11,33.4,914200
2019-08-02,33.55,33.66,32.368,33.57,700900
2019-08-05,32.97,32.99,30.65,31.56,961700
2019-08-06,31.88,32.42,31.48,32.32,615800
2019-08-07,32.12,32.14,29.78,29.99,1298500
2019-08-08,30.67,31.93,30.05,30.96,3330500
2019-08-09,25.71,27.6,25.55,26.12,3759600
2019-08-12,26.04,27.99,26.0,26.43,1301100
2019-08-13,26.8,27.24,25.34,25.75,1337400
2019-08-14,25.22,25.32,22.06,22.1,2233200
2019-08-15,23.67,25.0,22.81,24.47,2443600
2019-08-16,24.5,25.27,23.5,23.69,2312100
2019-08-19,23.89,24.854,23.0,24.41,1498600
