date,open,high,low,close,volume
2013-02-11,6.0686,6.1569,5.9608,6.1275,92000
2013-02-12,6.3235,6.5098,6.3235,6.5098,17200
2013-02-13,6.5196,6.6863,6.5196,6.6373,75100
2013-02-14,7.1078,8.1471,7.1078,7.3235,41500
2013-02-15,7.2843,7.2843,7.0196,7.1569,18200
2013-02-19,6.9412,6.9412,5.9412,6.0294,232300
2013-02-20,5.8235,6.0,5.6275,5.6275,223100
2013-02-21,5.549,6.2353,5.549,5.6275,1619300
2013-02-22,5.951,5.951,5.5882,5.7451,899500
2013-02-25,5.8922,6.0098,5.8627,5.9412,1653900
2013-02-26,5.9608,6.1078,5.8431,6.0098,555000
2013-02-27,5.8725,5.9216,5.7059,5.7745,1576100
2013-02-28,5.7353,5.7353,5.5294,5.549,597100
2013-03-01,5.9412,6.0294,5.6765,5.7451,5949300
2013-03-04,5.598,5.6765,5.4706,5.5196,1036200
2013-03-05,5.7647,5.7745,5.6471,5.6569,649400
2013-03-06,5.7451,6.2157,5.6275,6.098,1794300
2013-03-07,6.2353,6.2353,6.0098,6.0294,776600
2013-03-08,6.0588,6.2059,6.0098,6.1961,1899800
2013-03-11,6.0784,6.1275,5.6961,5.7745,3214100
2013-03-12,5.9412,6.0784,5.8922,5.9804,1844900
2013-03-13,6.098,6.1275,5.9314,5.9412,2410800
2013-03-14,6.0392,6.1275,5.9608,6.0196,3249500
2013-03-15,6.0098,6.0784,5.7549,5.8431,26537300
2013-03-18,5.8333,5.8627,5.7353,5.7647,1430100
2013-03-19,5.7353,5.8039,5.6667,5.7255,718300
2013-03-20,5.6667,5.6863,5.3529,5.3725,1235100
2013-03-21,5.4804,5.5196,5.3529,5.3824,1434500
2013-03-22,5.3529,5.3529,5.2157,5.2353,818300
2013-03-25,5.2353,5.2451,5.1667,5.1667,447800
2013-03-26,5.3627,5.4412,5.3627,5.4216,1435800
2013-03-27,5.5,5.6176,5.4804,5.598,546000
2013-03-28,5.6078,5.6863,5.5098,5.5392,593000
2013-04-01,5.5588,5.5588,5.4804,5.5098,515600
2013-04-02,5.5392,5.598,5.4216,5.4412,714300
2013-04-03,5.4608,5.5098,5.2059,5.2353,750600
2013-04-04,5.2843,5.4412,5.1569,5.4216,490200
2013-04-05,5.3922,5.5098,5.3922,5.4608,379900
2013-04-08,5.549,5.5784,5.5196,5.5392,225100
2013-04-09,5.6373,5.7255,5.6373,5.7255,154500
2013-04-10,5.6961,5.6961,5.598,5.6373,368600
2013-04-11,5.5784,5.6275,5.4314,5.4314,242200
2013-04-12,5.3725,5.4216,5.1176,5.1176,506600
2013-04-15,4.6863,4.7353,4.5196,4.549,562600
2013-04-16,4.6078,4.6863,4.3824,4.3824,435300
2013-04-17,4.2255,4.3039,3.902,3.9216,623300
2013-04-18,3.9314,3.9608,3.8627,3.951,231700
2013-04-19,3.8922,3.9412,3.7745,3.8039,336800
2013-04-22,3.8725,3.9314,3.7941,3.7941,296500
2013-04-23,3.8725,3.9314,3.8039,3.8431,247100
2013-04-24,3.9608,4.1471,3.9412,4.1373,380200
