date,open,high,low,close,volume
2020-11-23,10.0,10.0,9.68,9.75,236100
2020-11-24,9.75,9.812,9.7,9.75,129900
2020-11-25,9.8,9.85,9.72,9.75,75200
2020-11-27,9.82,9.85,9.7,9.73,103000
2020-11-30,10.24,10.24,9.73,9.75,213500
2020-12-01,9.81,9.83,9.72,9.78,61700
2020-12-02,9.82,9.88,9.8,9.83,26200
2020-12-03,9.8,9.865,9.75,9.85,54100
2020-12-04,9.87,10.0,9.84,9.95,296400
2020-12-07,9.99,10.1,9.85,9.9,172900
2020-12-08,9.95,9.95,9.85,9.93,163800
2020-12-09,9.97,9.998,9.85,9.89,410400
2020-12-10,10.05,10.05,9.86,9.93,541000
2020-12-11,9.95,10.12,9.95,10.02,480300
2020-12-14,10.3,10.5,10.03,10.12,543900
2020-12-15,10.2,10.24,10.05,10.07,224100
2020-12-16,10.1,10.14,10.05,10.1,94300
2020-12-17,10.08,10.16,10.08,10.12,104600
2020-12-18,10.09,10.17,10.09,10.1,592600
2020-12-21,10.1,10.14,10.05,10.08,63600
2020-12-22,10.07,10.19,10.06,10.12,144000
2020-12-23,10.15,10.19,10.1,10.19,230200
2020-12-24,10.38,10.39,10.16,10.18,156400
2020-12-28,10.37,10.37,10.13,10.35,391500
2020-12-29,10.45,10.48,10.25,10.28,271400
2020-12-30,10.2,10.36,10.2,10.25,415200
2020-12-31,10.25,10.27,10.12,10.12,171400
2021-01-04,10.18,10.25,10.17,10.24,269900
