date,open,high,low,close,volume
2014-05-14,15.1667,15.48,13.8917,14.1667,2797800
2014-05-15,14.1667,14.1667,13.75,13.9,967800
2014-05-16,13.9,14.0,13.6667,13.7833,536400
2014-05-19,13.785,13.8057,13.475,13.4917,574800
2014-05-20,13.5,13.5,13.25,13.43,655800
2014-05-21,13.4667,14.3317,13.4667,14.2483,663600
2014-05-22,14.4667,14.5517,14.1833,14.365,323400
2014-05-23,14.255,14.5533,14.1683,14.3767,239400
2014-05-27,14.4167,14.4617,14.35,14.3883,72600
2014-05-28,14.3683,14.4167,14.2117,14.405,84000
2014-05-29,14.4167,14.4692,14.3367,14.3783,196800
2014-05-30,14.3917,14.4167,14.26,14.29,63000
2014-06-02,14.2183,14.2183,13.9567,14.0233,176400
2014-06-03,14.0,14.2917,14.0,14.2517,74400
2014-06-04,14.3333,14.3333,14.1667,14.2083,121200
2014-06-05,14.1683,14.3133,14.1417,14.1667,153600
2014-06-06,14.13,14.2733,14.0017,14.2733,133200
2014-06-09,14.2417,14.4133,14.0067,14.35,99000
2014-06-10,14.2517,14.4167,14.1667,14.365,106800
2014-06-11,14.375,14.4567,14.2917,14.4167,109800
2014-06-12,14.4983,14.4983,14.375,14.4167,100200
2014-06-13,14.4167,14.4818,14.3433,14.3433,39600
2014-06-16,14.34,14.4167,14.3317,14.3833,106800
2014-06-17,14.4167,14.4167,14.3417,14.4117,118800
2014-06-18,14.4167,15.1333,14.3333,14.3933,198600
2014-06-19,14.4167,15.0,14.3333,14.6167,175200
2014-06-20,14.805,14.965,14.6683,14.6783,191400
2014-06-23,15.0017,15.3375,15.0017,15.1333,173400
2014-06-24,15.0917,15.1667,14.82,14.9217,60600
2014-06-25,14.85,14.9933,14.67,14.7667,66000
2014-06-26,14.7577,14.8983,14.7083,14.8933,124200
2014-06-27,14.72,15.0,14.4033,14.4033,796200
2014-06-30,14.5133,14.555,14.375,14.405,174600
2014-07-01,14.4867,14.5,14.3683,14.425,126600
2014-07-02,14.4383,14.485,14.3683,14.39,62400
2014-07-03,14.447,14.4583,14.3083,14.4267,79800
2014-07-07,14.3717,14.83,14.3717,14.4183,55200
2014-07-08,14.4167,14.4983,14.1667,14.2617,143400
2014-07-09,14.31,14.455,14.085,14.1383,118800
2014-07-10,14.0583,14.0833,14.0017,14.0267,129000
2014-07-11,14.0017,14.0667,13.9183,14.045,103200
2014-07-14,14.0967,14.0967,14.0233,14.0433,100200
2014-07-15,14.05,14.0583,14.025,14.025,124800
2014-07-16,14.0583,14.0583,14.0117,14.045,58200
2014-07-17,14.425,14.425,13.76,14.15,77400
