date,open,high,low,close,volume
2020-12-10,9.8,9.8,9.8,9.8,25300
2020-12-11,9.925,10.02,9.86,9.97,12700
2020-12-14,9.965,9.98,9.93,9.93,1414200
2020-12-15,9.93,9.98,9.93,9.98,54500
2020-12-16,9.98,9.98,9.93,9.945,1133000
2020-12-17,9.956,10.01,9.956,9.98,17500
2020-12-18,9.97,9.97,9.95,9.96,124700
2020-12-21,9.95,9.989,9.95,9.97,9100
2020-12-22,9.95,10.0,9.95,9.98,20600
2020-12-23,9.98,10.0,9.953,9.98,67900
2020-12-24,10.0,10.1,9.98,10.08,1440700
2020-12-28,10.15,10.2,10.06,10.1,33400
2020-12-29,10.1,10.1,10.02,10.02,17100
2020-12-30,10.03,10.03,9.98,9.98,14400
2020-12-31,9.99,10.03,9.98,10.02,43600
2021-01-04,10.01,10.095,10.01,10.07,3800
