date,open,high,low,close,volume
2000-10-05,5.375,5.375,5.375,5.375,1800
2000-10-06,5.125,5.125,5.125,5.125,800
2000-10-09,5.125,5.5,5.125,5.5,7800
2000-10-10,5.25,5.25,5.1875,5.1875,1800
2000-10-11,5.0,5.5,4.75,5.5,37500
2000-10-12,5.75,5.75,5.25,5.25,4700
2000-10-13,5.125,6.0,5.125,5.875,17400
2000-10-16,6.0,6.25,5.625,5.625,11500
2000-10-17,5.5,5.5,4.75,4.75,7700
2000-10-18,4.9375,5.5,4.75,5.25,4200
2000-10-19,5.0,5.0,4.875,4.875,2000
2000-10-20,5.0,5.125,4.75,4.75,13900
2000-10-23,4.875,5.0,4.625,5.0,10400
2000-10-24,4.625,5.0,4.625,5.0,19200
2000-10-25,4.75,4.9375,4.75,4.9375,3200
2000-10-26,4.75,5.0,4.75,5.0,3900
2000-10-27,4.75,4.875,4.6875,4.875,8000
2000-10-30,4.75,5.0,4.625,4.875,7600
2000-10-31,5.0,5.125,5.0,5.125,3000
2000-11-01,4.875,5.0625,4.75,5.0625,4400
2000-11-02,5.125,5.125,4.6875,4.875,7500
2000-11-03,4.875,4.875,4.75,4.75,1300
2000-11-06,4.9375,5.375,4.75,4.75,9500
2000-11-07,5.0,5.25,4.6875,4.6875,13600
2000-11-08,4.6875,4.6875,4.6875,4.6875,1600
2000-11-09,4.9375,4.9375,4.625,4.625,8600
2000-11-10,4.875,5.0,4.5625,4.5625,6800
2000-11-13,4.6875,5.375,4.5625,5.25,23100
2000-11-14,4.875,6.375,4.875,6.375,16500
2000-11-15,6.375,6.375,6.0,6.0,9000
2000-11-16,5.875,6.125,5.625,6.125,7500
2000-11-17,5.875,6.25,5.625,6.25,10700
2000-11-20,6.25,6.25,5.875,6.0,5900
2000-11-21,5.875,6.0,5.5625,6.0,7900
2000-11-22,5.75,5.875,5.75,5.875,5900
2000-11-24,5.75,5.75,5.625,5.625,3200
2000-11-27,5.625,5.625,5.5,5.5625,4700
2000-11-28,5.875,5.875,5.625,5.625,9400
2000-11-29,5.5,5.5,5.25,5.25,3100
2000-11-30,5.1875,5.1875,5.0,5.0,5900
2000-12-01,5.25,5.375,5.0,5.25,4200
2000-12-04,5.0,5.25,5.0,5.125,18900
2000-12-05,5.25,5.25,5.0,5.0,3900
2000-12-06,5.0625,5.25,5.0625,5.125,1800
2000-12-07,5.25,5.875,5.25,5.875,5600
2000-12-08,5.875,5.9375,5.875,5.875,1100
2000-12-11,5.875,5.875,5.5625,5.75,6700
2000-12-12,5.5,5.5625,5.5,5.5625,7000
2000-12-13,5.5625,5.8125,5.5625,5.625,8000
2000-12-14,5.75,5.75,5.75,5.75,1000
2000-12-15,5.5,5.5,5.5,5.5,2800
2000-12-18,5.375,5.375,5.25,5.25,1400
2000-12-19,5.125,5.125,5.0,5.0,3800
2000-12-20,4.75,4.75,4.625,4.75,12000
2000-12-21,4.625,5.5,4.625,5.0,18800
2000-12-22,5.0,5.0,4.875,5.0,5500
2000-12-26,4.875,4.875,4.5625,4.75,5200
2000-12-27,4.75,4.875,4.625,4.625,3900
2000-12-28,4.625,4.875,4.625,4.875,13400
2000-12-29,4.75,5.0,4.6875,4.75,10200
2001-01-02,5.0,5.0,4.875,5.0,4100
2001-01-03,5.125,5.375,5.125,5.375,3800
2001-01-04,5.375,5.5,5.375,5.5,2500
2001-01-05,5.875,5.875,5.625,5.875,9500
2001-01-08,5.75,5.75,5.625,5.625,1400
2001-01-09,5.8125,5.8125,5.7188,5.7188,800
2001-01-10,5.625,5.625,5.625,5.625,3400
2001-01-11,5.75,5.75,5.75,5.75,1000
2001-01-12,5.875,5.875,5.75,5.75,2600
2001-01-16,5.75,5.75,5.75,5.75,0
2001-01-17,5.75,5.75,5.5,5.5,7100
2001-01-18,5.5,5.5,5.375,5.375,1100
2001-01-19,5.375,5.5,5.25,5.375,4800
2001-01-22,5.3125,5.3125,5.3125,5.3125,100
2001-01-23,5.3125,5.3125,5.3125,5.3125,0
2001-01-24,5.3125,5.3125,5.3125,5.3125,0
2001-01-25,5.3125,5.3125,5.3125,5.3125,0
2001-01-26,5.5,5.875,5.5,5.5,5400
2001-01-29,5.75,5.88,5.75,5.75,3300
2001-01-30,5.7,5.7,5.7,5.7,700
2001-01-31,5.5,5.5,5.0,5.0,38100
2001-02-01,5.0,5.05,4.9,5.05,11700
2001-02-02,5.1,5.1,5.1,5.1,2600
2001-02-05,5.2,5.5,5.2,5.4,4700
2001-02-06,5.3,5.3,5.1,5.1,7300
2001-02-07,5.2,5.25,5.2,5.25,600
2001-02-08,5.2,5.3,5.2,5.22,900
2001-02-09,5.15,5.3,5.15,5.3,700
2001-02-12,5.3,5.3,5.0,5.0,6000
2001-02-13,5.0,5.1,5.0,5.1,7100
2001-02-14,5.05,5.05,5.05,5.05,100
2001-02-15,5.05,5.1,5.0,5.0,4400
2001-02-16,5.0,5.0,5.0,5.0,100
2001-02-20,4.8,4.85,4.8,4.85,4300
2001-02-21,4.8,4.8,4.8,4.8,500
2001-02-22,4.88,4.88,4.8,4.8,11100
2001-02-23,4.8,4.8,4.8,4.8,400
2001-02-26,4.8,4.8,4.8,4.8,400
2001-02-27,4.75,4.9,4.75,4.8,3600
2001-02-28,4.75,4.75,4.7,4.7,2600
2001-03-01,4.7,4.7,4.7,4.7,0
2001-03-02,4.9,4.9,4.9,4.9,2000
2001-03-05,5.0,5.0,5.0,5.0,300
2001-03-06,5.0,5.0,5.0,5.0,300
2001-03-07,5.1,5.3,5.1,5.28,4700
2001-03-08,5.28,5.29,5.14,5.14,4700
2001-03-09,5.05,5.05,5.05,5.05,1300
2001-03-12,5.05,5.05,5.05,5.05,0
2001-03-13,5.1,5.25,5.1,5.25,2500
2001-03-14,5.15,5.28,5.05,5.1,5200
2001-03-15,5.1,5.1,5.0,5.1,4200
2001-03-16,5.1,5.1,5.1,5.1,100
2001-03-19,5.05,5.05,4.65,4.65,18300
2001-03-20,4.65,4.85,4.63,4.65,12800
2001-03-21,4.65,4.65,4.65,4.65,0
2001-03-22,4.64,4.64,4.64,4.64,600
2001-03-23,4.6,4.6,4.6,4.6,5200
2001-03-26,4.61,4.61,4.61,4.61,2000
2001-03-27,4.6,5.05,4.6,5.05,8500
2001-03-28,5.04,5.04,5.04,5.04,4000
2001-03-29,5.09,5.09,5.0,5.0,11500
2001-03-30,4.9,4.9,4.55,4.6,17900
2001-04-02,4.6,4.6,4.6,4.6,400
2001-04-03,4.6,4.6,4.59,4.59,600
2001-04-04,4.8,4.8,4.8,4.8,400
2001-04-05,4.75,4.75,4.7,4.7,900
