date,open,high,low,close,volume
2020-05-15,3.1,3.23,3.049,3.17,57900
2020-05-18,3.25,3.65,3.17,3.35,294700
2020-05-19,3.37,3.48,3.23,3.26,136700
2020-05-20,3.31,3.43,3.29,3.36,101600
2020-05-21,3.4,3.49,3.27,3.37,98700
2020-05-22,3.38,3.45,3.3,3.38,83600
2020-05-26,3.5,3.5,3.3,3.34,140100
2020-05-27,3.38,3.49,3.3,3.41,185900
2020-05-28,3.43,3.466,3.3,3.31,88600
2020-05-29,3.3,3.36,3.07,3.19,142000
2020-06-01,3.22,3.44,3.09,3.37,125400
2020-06-02,3.43,3.44,3.27,3.4,124400
2020-06-03,3.41,3.44,3.16,3.16,155200
2020-06-04,3.18,3.28,3.06,3.21,130700
2020-06-05,3.34,3.34,3.132,3.22,142600
2020-06-08,3.21,3.588,3.21,3.48,211100
2020-06-09,3.47,3.54,3.36,3.51,94900
2020-06-10,3.6,3.78,3.21,3.45,339300
2020-06-11,3.09,3.45,3.03,3.21,276300
2020-06-12,3.46,3.46,3.12,3.31,213800
2020-06-15,3.25,3.44,3.15,3.35,173200
2020-06-16,3.49,3.5,3.26,3.35,328100
2020-06-17,3.35,3.41,3.26,3.29,106000
2020-06-18,3.29,3.3,3.08,3.11,388000
2020-06-19,3.09,3.16,3.09,3.1,222600
2020-06-22,3.1,3.14,3.0,3.11,148700
2020-06-23,3.12,3.235,3.09,3.09,176200
2020-06-24,3.11,3.11,2.95,2.98,299700
2020-06-25,2.93,3.14,2.9,3.09,170500
2020-06-26,3.06,3.09,2.9,2.9,179400
2020-06-29,2.94,2.98,2.78,2.88,141100
2020-06-30,2.89,2.891,2.76,2.82,131700
2020-07-01,2.78,2.83,2.69,2.74,198900
2020-07-02,2.78,2.79,2.708,2.75,89800
2020-11-13,1.9,2.22,1.9,2.14,794800
2020-11-16,2.14,2.234,2.11,2.19,538300
2020-11-17,2.18,2.21,2.07,2.18,622500
2020-11-18,2.19,2.433,2.16,2.27,788600
2020-11-19,2.26,2.41,2.19,2.26,457800
2020-11-20,2.22,2.32,2.165,2.25,481300
2020-11-23,2.2,2.42,2.16,2.31,710200
2020-11-24,2.34,2.41,2.26,2.27,455700
2020-11-25,2.3,2.36,2.22,2.31,300900
2020-11-27,2.4,2.58,2.385,2.49,822800
2020-11-30,2.47,2.53,2.31,2.48,662700
2020-12-01,2.46,2.59,2.32,2.32,673000
2020-12-02,2.35,2.84,2.33,2.67,1890100
2020-12-03,2.56,2.61,2.426,2.47,721500
2020-12-04,2.45,2.747,2.45,2.63,789000
2020-12-07,2.57,2.75,2.5,2.52,537400
2020-12-08,2.5,2.63,2.42,2.55,584100
2020-12-09,2.59,2.647,2.35,2.45,671100
2020-12-10,2.44,2.615,2.39,2.46,702200
2020-12-11,2.47,2.59,2.33,2.53,842200
2020-12-14,2.55,2.68,2.455,2.46,627800
2020-12-15,2.7,3.22,2.65,2.84,10095600
2020-12-16,3.47,4.15,3.01,3.1,45828800
2020-12-17,2.98,3.11,2.77,3.07,8004500
2020-12-18,3.177,3.2,2.87,2.9,2645100
2020-12-21,2.85,2.862,2.71,2.82,2558200
2020-12-22,2.82,2.82,2.66,2.74,1748900
2020-12-23,2.73,2.97,2.62,2.96,1305100
2020-12-24,2.92,2.94,2.79,2.81,805200
2020-12-28,2.79,2.97,2.79,2.86,1642900
2020-12-29,2.92,2.92,2.727,2.81,1178400
2020-12-30,2.82,2.88,2.75,2.84,866200
2020-12-31,2.85,2.9,2.76,2.78,1281500
2021-01-04,2.85,3.155,2.79,3.12,2508600
