date,open,high,low,close,volume
2017-06-02,25.0,30.395,20.27,20.59,1667700
2017-06-05,21.5,22.81,19.51,20.59,948700
2017-06-06,20.08,20.38,19.44,19.67,751900
2017-06-07,19.41,19.71,17.03,17.36,506100
2017-06-08,17.2,17.815,16.19,17.59,678000
2017-06-09,17.73,18.26,17.67,17.84,774600
2017-06-12,18.1,19.1,18.1,19.1,406900
2017-06-13,19.49,19.98,18.99,19.96,262100
2017-06-14,19.71,19.9,19.11,19.4,141500
2017-06-15,19.22,19.95,19.15,19.71,284300
2017-06-16,19.51,20.29,19.18,20.26,556900
2017-06-19,20.26,20.399,19.67,19.74,93800
2017-06-20,19.55,19.61,18.39,18.85,183200
2017-06-21,18.8,18.8,17.65,17.88,231600
2017-06-22,18.09,18.47,17.75,18.19,178300
2017-06-23,18.25,19.64,17.76,18.4,518900
2017-06-26,18.46,18.69,18.0,18.58,50400
2017-06-27,18.65,19.435,18.18,18.87,97400
2017-06-28,18.98,19.47,18.73,19.3,125400
2017-06-29,19.42,20.05,19.05,19.84,116800
2017-06-30,19.94,20.56,19.81,20.36,113100
2017-07-03,20.48,20.48,20.12,20.3,19500
2017-07-05,20.25,20.25,19.64,20.02,81800
2017-07-06,19.9,20.38,19.64,20.17,165000
2017-07-07,20.0,20.0,18.5,18.76,212500
2017-07-10,18.8,19.01,18.34,18.85,143700
2017-07-11,18.69,19.0,18.29,18.99,64900
2017-07-12,19.23,19.4,18.93,19.0,58500
2017-07-13,18.95,19.1,18.66,18.98,67500
2017-07-14,18.84,19.12,18.4,18.6,66500
2017-07-17,18.96,19.04,18.46,18.6,97800
2017-07-18,18.45,18.88,18.16,18.62,45500
2017-07-19,18.4,18.77,18.06,18.13,98600
2017-07-20,17.99,18.29,17.65,17.88,150700
2017-07-21,18.13,18.21,17.415,17.68,169200
2017-07-24,17.62,17.85,15.94,16.63,176600
2017-07-25,16.73,17.18,15.77,15.97,182300
2017-07-26,15.62,15.81,15.08,15.27,290600
2017-07-27,15.03,15.89,15.0,15.35,94500
2017-07-28,15.42,15.51,14.4,15.0,101700
2017-07-31,14.71,14.853,14.52,14.58,173800
2017-08-01,14.53,14.54,13.81,13.99,251000
2017-08-02,13.99,15.275,13.78,14.92,179000
2017-08-03,14.89,15.22,14.28,14.48,162200
2017-08-04,14.42,14.57,14.17,14.38,57700
2017-08-07,14.27,14.47,14.1,14.16,86400
2017-08-08,14.05,14.455,14.0,14.05,77800
2017-08-09,13.93,14.24,13.93,14.13,69600
