date,open,high,low,close,volume
2000-10-05,20.3125,20.3125,20.0,20.0781,2200
2000-10-06,20.0,20.1562,20.0,20.0,16800
2000-10-09,20.0,20.0781,20.0,20.0,800
2000-10-10,20.0,20.4688,19.6875,19.6875,9600
2000-10-11,19.8438,20.0781,19.8438,20.0,5800
2000-10-12,20.0,20.1562,20.0,20.0,4300
2000-10-13,19.8438,20.0,19.8438,19.8438,1800
2000-10-16,19.8438,19.8438,19.8438,19.8438,400
2000-10-17,20.0,20.0,19.8438,20.0,9100
2000-10-18,19.8438,20.1562,19.8438,20.0,20100
2000-10-19,19.8438,19.8438,19.8438,19.8438,600
2000-10-20,19.8438,19.8438,19.8438,19.8438,0
2000-10-23,19.8438,20.1562,19.8438,19.8438,8900
2000-10-24,19.8438,20.0,19.8438,20.0,9800
2000-10-25,20.1562,20.1562,19.8438,19.8438,8100
2000-10-26,20.0,20.0,19.8438,19.8438,5100
2000-10-27,19.8438,20.1562,19.8438,20.0,10900
2000-10-30,20.0,20.1562,20.0,20.0,1600
2000-10-31,19.9219,20.1562,19.8438,20.0,14800
2000-11-01,20.0781,20.1562,19.9219,20.0781,24400
2000-11-02,20.3125,20.3906,20.0,20.3906,1200
2000-11-03,20.0,20.0,20.0,20.0,1100
2000-11-06,20.0,20.0781,20.0,20.0781,6900
2000-11-07,20.0781,20.0781,20.0,20.0,600
2000-11-08,20.0,20.0,19.9219,20.0,1600
2000-11-09,20.0,20.1562,20.0,20.1562,2900
2000-11-10,20.0,20.0,20.0,20.0,8700
2000-11-13,20.0,20.0,19.9219,19.9219,4100
2000-11-14,20.0,20.5469,19.9219,20.3125,12400
2000-11-15,20.3906,21.0938,20.3906,20.4688,7400
2000-11-16,20.625,20.9375,20.625,20.9375,20100
2000-11-17,21.25,21.5625,20.625,21.25,9800
2000-11-20,21.0938,22.1875,20.7812,21.5625,5400
2000-11-21,21.875,21.875,20.3125,20.9375,2100
2000-11-22,21.5625,21.5625,20.3125,20.3125,500
2000-11-24,20.3125,20.3125,20.3125,20.3125,100
2000-11-27,20.3125,20.3125,20.1562,20.1562,5300
2000-11-28,20.625,20.625,20.1562,20.1562,1800
2000-11-29,20.1562,20.5469,20.0,20.0781,2300
2000-11-30,20.0781,20.0781,19.0625,19.5312,42200
