date,open,high,low,close,volume
2002-06-24,6.6116,6.9174,6.6116,6.9174,13900
2002-06-25,7.0248,7.0248,6.9215,7.0248,5700
2002-06-26,6.7149,7.0207,6.6116,6.9174,13500
2002-06-27,6.8182,7.0041,6.6529,7.0041,10800
2002-06-28,6.6529,7.0041,6.6529,6.7893,12900
2002-07-01,6.6736,7.0041,6.6736,7.0041,1400
2002-07-02,7.0041,7.0041,6.6736,6.6736,800
2002-07-03,6.6736,6.6736,6.6736,6.6736,0
2002-07-05,6.6736,6.6736,6.6736,6.6736,0
2002-07-08,7.0124,7.0124,6.6736,6.9835,6200
2002-07-09,6.9835,6.9835,6.9835,6.9835,0
2002-07-10,6.9215,7.0124,6.6818,7.0124,6900
2002-07-11,6.6942,6.9215,6.6942,6.7149,11500
2002-07-12,6.7149,6.7149,6.7149,6.7149,0
2002-07-15,6.8595,6.8595,6.7149,6.7149,3800
2002-07-16,6.7149,6.7149,6.7149,6.7149,0
2002-07-17,6.7149,6.7149,6.7149,6.7149,0
2002-07-18,6.8595,6.8595,6.8595,6.8595,800
2002-07-19,6.7149,6.8182,6.7149,6.8182,1400
2002-07-22,6.7149,6.7149,6.7149,6.7149,4800
2002-07-23,6.7149,6.8595,6.7149,6.8595,2600
2002-07-24,6.7975,6.7975,6.7355,6.7355,3000
2002-07-25,6.7521,6.7521,6.7521,6.7521,200
2002-07-26,6.7479,6.7479,6.7479,6.7479,1200
2002-07-29,6.7521,6.7769,6.7521,6.7769,6700
2002-07-30,6.7521,6.7562,6.7521,6.7562,800
2002-07-31,6.7562,6.7562,6.7562,6.7562,0
2002-08-01,6.719,6.719,6.5909,6.6116,14500
2002-08-02,6.7149,6.7149,6.5702,6.5702,22000
2002-08-05,6.5702,6.6322,6.5661,6.6322,3800
2002-08-06,6.6322,6.6322,6.6322,6.6322,0
2002-08-07,6.6322,6.6322,6.6322,6.6322,1200
2002-08-08,6.5661,6.5702,6.5165,6.5702,1400
2002-08-09,6.6942,6.6942,6.6942,6.6942,2400
2002-08-12,6.6942,6.6942,6.6942,6.6942,7200
2002-08-13,6.6942,6.6942,6.6942,6.6942,0
2002-08-14,6.6942,6.6942,6.5331,6.5331,2400
2002-08-15,6.5702,6.5702,6.5124,6.5124,2600
2002-08-16,6.5124,6.5124,6.5124,6.5124,0
2002-08-19,6.5124,6.5124,6.5124,6.5124,0
2002-08-20,6.6529,6.6529,6.6529,6.6529,400
2002-08-21,6.6529,6.6529,6.6529,6.6529,1200
2002-08-22,6.5331,6.6529,6.2397,6.5661,39100
2002-08-23,6.2149,6.5083,6.1157,6.1157,63500
2002-08-26,6.5083,6.5083,6.5083,6.5083,16100
2002-08-27,6.5083,6.5083,6.5083,6.5083,4800
2002-08-28,6.2397,6.5083,6.1157,6.5083,10300
2002-08-29,6.5083,6.5083,6.405,6.405,3000
2002-08-30,6.405,6.405,6.405,6.405,0
2002-09-03,6.405,6.405,6.405,6.405,0
2002-09-04,6.405,6.405,6.405,6.405,0
2002-09-05,6.405,6.405,6.405,6.405,0
2002-09-06,6.405,6.405,6.405,6.405,0
2002-09-09,6.405,6.405,6.405,6.405,0
2002-09-10,6.405,6.405,6.405,6.405,0
2002-09-11,6.405,6.405,6.405,6.405,400
2002-09-12,6.405,6.405,6.3017,6.3017,6000
2002-09-13,6.405,6.405,6.405,6.405,200
2002-09-16,6.405,6.405,6.2562,6.2562,800
2002-09-17,6.3017,6.3017,6.0496,6.2769,6900
2002-09-18,6.3017,6.3017,6.095,6.3017,25800
2002-09-19,6.3017,6.3017,6.3017,6.3017,0
2002-09-20,6.095,6.095,6.095,6.095,600
2002-09-23,6.095,6.095,6.095,6.095,400
2002-09-24,6.095,6.1446,6.095,6.1446,5500
2002-09-25,6.1983,6.1983,6.1983,6.1983,200
2002-09-26,6.1983,6.1983,6.1983,6.1983,600
2002-09-27,6.1983,6.1983,6.1983,6.1983,0
2002-09-30,6.1983,6.1983,6.1983,6.1983,0
2002-10-01,6.095,6.095,6.095,6.095,1800
2002-10-02,6.095,6.1983,6.095,6.1983,4500
2002-10-03,6.1983,6.1983,6.1983,6.1983,0
2002-10-04,6.157,6.157,6.157,6.157,2400
2002-10-07,6.157,6.157,6.157,6.157,0
2002-10-08,6.1364,6.2025,6.095,6.2025,14100
2002-10-09,6.1983,6.1983,6.095,6.095,3300
2002-10-10,6.3017,6.3017,6.1983,6.3017,8400
2002-10-11,6.2975,6.3017,6.2975,6.3017,600
2002-10-14,6.3017,6.3017,6.3017,6.3017,0
2002-10-15,6.3017,6.3017,6.3017,6.3017,0
2002-10-16,6.3017,6.3017,6.3017,6.3017,0
2002-10-17,6.3388,6.3388,6.2562,6.2562,5500
2002-10-18,6.2562,6.2562,6.2562,6.2562,0
2002-10-21,6.3471,6.3471,6.2645,6.2645,7200
2002-10-22,6.2645,6.2645,6.2645,6.2645,0
2002-10-23,6.3512,6.3512,6.2645,6.2645,3000
2002-10-24,6.3388,6.405,6.281,6.281,12300
2002-10-25,6.4669,6.4669,6.4669,6.4669,200
2002-10-28,6.4752,6.5,6.2893,6.5,4200
2002-10-29,6.5,6.5,6.5,6.5,0
2002-10-30,6.2851,6.2851,6.2851,6.2851,2400
2002-10-31,6.4669,6.4669,6.4669,6.4669,400
2002-11-01,6.5826,6.5826,6.5041,6.5041,1400
2002-11-04,6.5083,6.5083,6.5083,6.5083,1400
2002-11-05,6.5083,6.5083,6.5083,6.5083,1200
2002-11-06,6.5083,6.5083,6.5083,6.5083,0
2002-11-07,6.5083,6.5083,6.5083,6.5083,0
2002-11-08,6.4132,6.5496,6.4132,6.4504,2000
2002-11-11,6.4504,6.4504,6.4504,6.4504,0
2002-11-12,6.4504,6.4504,6.4504,6.4504,0
2002-11-13,6.4545,6.4545,6.4545,6.4545,1200
2002-11-14,6.4545,6.4545,6.4545,6.4545,1200
2002-11-15,6.4545,6.4545,6.4545,6.4545,0
2002-11-18,6.4545,6.4545,6.4545,6.4545,600
2002-11-19,6.4545,6.4545,6.4545,6.4545,0
2002-11-20,6.4504,6.4504,6.4504,6.4504,1600
2002-11-21,6.4504,6.4504,6.4504,6.4504,400
2002-11-22,6.4504,6.4504,6.4504,6.4504,0
2002-11-25,6.4504,6.4504,6.4504,6.4504,0
2002-11-26,6.4504,6.4504,6.4504,6.4504,0
2002-11-27,6.4504,6.4504,6.4504,6.4504,1400
2002-11-29,6.4504,6.4504,6.4504,6.4504,0
2002-12-02,6.4256,6.5083,6.4256,6.5083,7200
2002-12-03,6.5083,6.5083,6.5083,6.5083,0
2002-12-04,6.5083,6.5289,6.5083,6.5289,6200
2002-12-05,6.5207,6.5207,6.5207,6.5207,200
2002-12-06,6.4463,6.5289,6.4463,6.5289,5500
2002-12-09,6.5289,6.5289,6.5289,6.5289,0
2002-12-10,6.5289,6.5289,6.5289,6.5289,0
2002-12-11,6.4793,6.4793,6.4793,6.4793,200
2002-12-12,6.5207,6.5455,6.5207,6.5455,1400
2002-12-13,6.5496,6.5496,6.5496,6.5496,200
2002-12-16,6.5496,6.5496,6.5496,6.5496,0
2002-12-17,6.5496,6.5496,6.5496,6.5496,0
2002-12-18,6.5496,6.5496,6.5496,6.5496,0
2002-12-19,6.5496,6.5496,6.5496,6.5496,0
2002-12-20,6.5496,6.5496,6.5496,6.5496,0
2002-12-23,6.6116,6.6736,6.5372,6.5372,3300
2002-12-24,6.5372,6.5372,6.5372,6.5372,0
2002-12-26,6.5372,6.5372,6.5372,6.5372,0
2002-12-27,6.6281,6.6281,6.5785,6.6116,1600
2002-12-30,6.6116,6.6116,6.6116,6.6116,0
2002-12-31,6.6116,6.6116,6.6116,6.6116,0
2003-01-02,6.6116,6.6116,6.5372,6.5372,5500
2003-01-03,6.6033,6.6116,6.6033,6.6116,2000
2003-01-06,6.6116,6.6116,6.6116,6.6116,2600
2003-01-07,6.6116,6.6116,6.6116,6.6116,200
2003-01-08,6.6116,6.6116,6.6116,6.6116,0
2003-01-09,6.6116,6.6116,6.6116,6.6116,0
2003-01-10,6.6653,6.781,6.6612,6.781,5000
2003-01-13,6.8017,7.1405,6.8017,7.1405,12100
2003-01-14,7.2727,7.2727,6.2438,6.843,26600
2003-01-15,6.9917,6.9917,6.7149,6.843,4800
2003-01-16,6.8512,6.8802,6.781,6.781,1600
2003-01-17,6.9421,7.2727,6.9421,7.2727,5000
2003-01-21,7.314,7.686,7.0041,7.2107,19000
2003-01-22,6.9421,7.3678,6.9421,7.1074,7900
2003-01-23,7.1074,7.1074,7.1074,7.1074,0
2003-01-24,7.0992,7.0992,7.0992,7.0992,200
2003-01-27,7.0868,7.3554,7.0289,7.3554,7700
2003-01-28,7.3306,7.3595,7.3306,7.3595,3000
2003-01-29,7.3595,7.3595,7.3595,7.3595,0
2003-01-30,7.3595,7.3595,7.3595,7.3595,0
2003-01-31,7.2479,7.3678,7.2479,7.3678,800
2003-02-03,7.405,7.4174,7.405,7.4174,5700
2003-02-04,7.3347,7.3347,7.3347,7.3347,1200
2003-02-05,7.3347,7.3347,7.3347,7.3347,0
2003-02-06,7.3347,7.3347,7.3347,7.3347,200
2003-02-07,7.314,7.4504,7.314,7.3347,4000
2003-02-10,7.3347,7.3347,7.314,7.314,2400
2003-02-11,7.314,7.314,7.314,7.314,600
2003-02-12,7.314,7.314,7.314,7.314,0
2003-02-13,7.2934,7.2934,7.2934,7.2934,1200
2003-02-14,7.2934,7.2934,7.2934,7.2934,200
2003-02-18,7.2934,7.2934,7.2934,7.2934,0
2003-02-19,7.2934,7.2934,7.2934,7.2934,0
2003-02-20,7.3843,7.5413,7.3843,7.5413,11700
2003-02-21,7.4215,7.5413,7.3595,7.5413,3300
2003-02-24,7.5413,7.5413,7.5413,7.5413,0
2003-02-25,7.5537,7.624,7.5537,7.624,3000
2003-02-26,7.6446,7.7686,7.6446,7.7686,4000
