date,open,high,low,close,volume
2012-09-26,100.0,100.08,100.0,100.04,56300
2012-09-27,100.04,100.2,100.04,100.2,2200
2012-09-28,100.0,100.4,99.4,100.04,19300
2012-10-01,100.04,100.24,100.04,100.08,2500
2012-10-02,100.2,100.2,100.0,100.12,2000
2012-10-03,100.0,100.16,100.0,100.0,2100
2012-10-04,100.0,100.0,99.68,99.72,900
2012-10-05,99.8,99.8,99.2,99.24,7400
2012-10-08,99.4,100.0,98.64,99.4,5600
2012-10-09,99.48,99.96,99.2,99.76,3200
2012-10-10,99.6,99.8,99.2,99.76,1700
2012-10-11,99.6,99.6,99.04,99.2,3600
2012-10-12,99.2,99.4,99.16,99.24,2500
2012-10-15,99.2,99.6,99.2,99.36,2700
2012-10-16,99.8,99.96,99.56,99.8,800
2012-10-17,99.96,100.0,99.64,99.64,1000
2012-10-18,99.64,100.28,99.6,99.6,500
2012-10-19,99.76,100.2,99.6,99.8,1500
2012-10-22,99.96,100.4,99.96,100.4,1700
2012-10-23,100.2,100.8,99.8,100.0,2000
2012-10-24,99.96,99.96,99.2,99.6,1700
2012-10-25,99.8,99.8,98.04,98.52,4700
2012-10-26,98.72,98.8,97.96,98.8,5400
2012-10-31,97.96,99.68,97.96,99.68,9500
2012-11-01,99.88,99.96,98.88,98.88,1500
2012-11-02,99.0,99.16,98.64,99.16,600
2012-11-05,99.0,99.36,98.4,99.0,1300
2012-11-06,99.0,100.2,99.0,100.0,10500
2012-11-07,100.0,100.12,100.0,100.12,12400
2012-11-08,99.92,100.12,99.72,100.04,5100
2012-11-09,99.72,99.72,99.24,99.6,800
2012-11-12,99.4,99.4,98.4,98.4,1800
2012-11-13,98.4,98.4,96.24,97.0,4500
2012-11-14,96.8,96.8,90.44,92.0,29000
2012-11-15,91.8,91.8,86.64,88.08,9200
2012-11-16,88.6,91.0,88.0,88.36,4800
2012-11-19,90.04,90.52,87.24,88.24,11900
2012-11-20,88.68,89.52,87.72,88.4,6000
2012-11-21,89.2,90.8,88.4,89.76,4800
2012-11-23,89.48,91.48,89.48,89.6,2100
2012-11-26,89.88,91.48,88.88,90.0,7700
2012-11-27,89.68,91.84,89.28,90.08,10500
2012-11-28,90.32,92.68,90.32,91.2,5300
2012-11-29,92.28,93.48,91.08,92.12,10800
2012-11-30,91.88,94.64,91.8,93.64,6900
2012-12-03,93.2,93.52,90.96,91.56,3800
2012-12-04,91.88,92.16,90.36,91.44,6900
2012-12-05,92.68,92.68,90.2,90.64,4300
2012-12-06,90.2,90.4,88.64,89.2,6900
2012-12-07,90.0,90.36,88.88,90.12,1900
2012-12-10,89.64,90.56,89.08,89.88,2000
2012-12-11,89.4,90.56,88.04,89.36,8500
2012-12-12,89.12,90.16,88.88,89.16,2700
2012-12-13,88.92,89.32,88.8,89.2,3800
2012-12-14,89.2,89.96,88.96,89.6,2200
2012-12-17,89.24,89.44,88.48,88.88,2800
2012-12-18,88.36,89.2,88.08,88.96,15200
2012-12-19,88.84,90.96,88.64,89.72,9100
2012-12-20,89.4,90.52,89.36,90.28,7900
2012-12-21,90.2,91.92,90.12,90.8,4500
2012-12-24,91.2,91.72,89.84,90.2,6300
2012-12-26,90.68,90.68,89.64,89.88,9500
2012-12-27,90.0,90.04,89.28,89.4,5900
2012-12-28,88.8,90.04,88.4,88.8,11500
2012-12-31,89.56,91.44,89.0,90.76,8500
2013-01-02,91.28,93.52,91.28,93.24,3400
2013-01-03,93.84,95.28,93.2,94.84,2100
2013-01-04,95.8,96.08,93.96,94.48,5000
2013-01-07,93.56,95.76,93.56,95.76,3100
2013-01-08,95.76,95.76,94.64,94.64,5500
2013-01-09,95.2,96.52,94.96,96.08,3900
2013-01-10,96.84,96.84,95.04,96.0,11500
2013-01-11,96.28,96.28,94.96,95.36,3600
2013-01-14,95.68,96.32,94.6,95.16,3400
2013-01-15,94.8,95.2,94.0,95.12,4800
2013-01-16,95.2,95.2,94.76,95.08,3000
2013-01-17,95.2,96.0,95.0,95.92,27900
2013-01-18,96.12,96.36,95.84,95.96,9700
2013-01-22,96.28,97.28,96.12,97.08,8200
2013-01-23,96.32,97.96,96.32,97.64,9400
2013-01-24,97.96,97.96,97.52,97.56,6700
2013-01-25,97.96,98.88,97.64,97.96,6200
2013-01-28,97.64,98.08,97.2,98.04,7400
2013-01-29,98.32,98.8,98.08,98.68,5100
2013-01-30,98.36,98.72,97.84,98.4,10400
2013-01-31,98.6,98.8,98.0,98.8,9800
2013-02-01,98.6,99.96,98.6,99.72,8900
2013-02-04,99.4,99.72,97.96,98.72,4400
2013-02-05,99.6,99.64,98.32,99.64,5300
2013-02-06,99.4,99.4,97.88,99.24,5900
2013-02-07,98.92,99.24,98.04,98.88,4100
2013-02-08,99.2,99.2,98.36,98.8,3900
2013-02-11,99.0,99.56,98.24,99.56,2500
2013-02-12,99.4,99.4,98.8,99.12,6200
2013-02-13,99.2,99.52,98.88,99.28,8800
2013-02-14,98.8,99.6,98.8,99.6,7000
2013-02-15,99.6,99.6,98.64,99.0,12100
2013-02-19,98.72,99.96,98.72,99.96,5500
2013-02-20,100.16,100.16,98.64,99.52,8100
2013-02-21,98.92,99.2,98.04,98.6,8000
2013-02-22,98.76,99.2,98.44,99.16,6600
2013-02-25,99.6,99.6,98.0,98.4,10000
2013-02-26,96.72,96.96,96.08,96.52,4100
2013-02-27,96.08,97.68,96.08,97.16,2900
2013-02-28,97.52,98.32,95.48,96.2,13600
2013-03-01,96.48,98.24,96.48,98.08,8600
2013-03-04,97.76,98.6,97.44,98.6,4300
2013-03-05,98.92,98.96,98.04,98.6,5400
2013-03-06,98.44,98.64,97.0,97.2,8100
2013-03-07,97.56,97.88,96.76,97.48,6400
2013-03-08,97.64,98.56,97.64,98.56,3700
2013-03-11,98.88,98.92,96.92,98.52,6100
2013-03-12,98.84,99.04,97.92,98.44,8800
2013-03-13,97.96,99.24,97.96,99.0,4400
2013-03-14,98.68,99.0,98.0,98.04,3600
2013-03-15,98.4,98.76,97.48,98.08,2300
2013-03-18,97.12,98.36,96.92,98.2,5600
2013-03-19,98.16,98.28,95.0,96.88,15000
2013-03-20,97.64,97.8,96.28,97.4,8100
2013-03-21,96.72,97.92,96.04,97.52,8000
2013-03-22,97.84,98.8,97.84,98.28,4300
2013-03-25,98.6,99.0,98.28,98.48,7300
2013-03-26,98.8,99.36,97.64,98.32,25500
2013-03-27,97.56,98.2,97.4,97.68,11500
2013-03-28,98.08,98.2,96.76,97.16,31400
2013-04-01,96.96,97.56,96.96,97.2,4500
2013-04-02,97.92,98.12,97.48,97.92,6000
2013-04-03,98.52,98.52,96.24,96.68,9300
2013-04-04,97.0,97.64,96.68,97.04,7600
2013-04-05,96.04,96.4,95.48,96.4,9000
2013-04-08,96.0,96.56,95.8,96.36,13500
2013-04-09,96.6,97.32,96.2,97.32,9900
2013-04-10,97.2,98.68,97.2,98.68,15400
2013-04-11,99.16,100.24,98.56,99.84,16200
2013-04-12,99.72,99.76,98.92,99.64,6100
2013-04-15,99.64,99.96,96.8,96.84,14400
2013-04-16,97.76,98.12,96.08,96.96,7100
2013-04-17,96.92,97.0,95.6,96.2,4800
2013-04-18,96.68,97.08,96.0,96.8,5600
2013-04-19,97.28,97.32,94.48,95.16,11300
2013-04-22,95.56,96.72,95.44,96.44,4500
2013-04-23,96.84,97.96,95.96,96.72,5200
2013-04-24,97.0,98.24,96.32,97.84,7600
2013-04-25,97.56,98.92,97.4,98.76,21600
2013-04-26,98.8,99.68,97.68,98.52,19600
2013-04-29,99.4,99.4,98.28,98.4,6700
2013-04-30,99.2,99.64,98.0,98.44,8900
2013-05-01,99.0,99.2,96.8,97.56,6500
2013-05-02,98.4,98.8,97.44,97.56,4600
2013-05-03,98.8,98.88,98.4,98.88,4700
2013-05-06,98.68,99.24,98.68,99.2,4400
2013-05-07,99.08,99.6,99.0,99.56,3500
2013-05-08,99.2,100.52,99.2,100.16,13500
2013-05-09,99.6,100.16,99.16,100.0,6800
2013-05-10,100.08,101.6,99.8,101.6,9700
2013-05-13,102.0,102.0,100.4,100.6,5200
2013-05-14,100.36,101.6,100.32,100.6,7100
2013-05-15,101.0,101.8,100.16,100.64,10200
2013-05-16,100.72,101.56,100.48,101.2,5400
2013-05-17,101.48,101.8,101.16,101.48,4500
2013-05-20,101.72,102.0,100.8,101.64,7400
2013-05-21,101.64,102.0,101.24,102.0,6800
2013-05-22,101.76,102.0,100.44,101.6,13400
2013-05-23,101.16,102.12,100.88,101.84,9100
2013-05-24,102.16,102.4,101.44,101.92,4900
2013-05-28,101.52,103.36,101.52,103.04,6900
2013-05-29,102.72,103.8,102.24,103.04,9600
2013-05-30,103.36,103.68,101.88,102.56,10700
2013-05-31,102.52,102.88,100.6,101.52,5300
2013-06-03,101.64,101.76,100.08,100.88,3600
2013-06-04,101.24,101.4,99.8,99.8,5400
2013-06-05,100.32,100.56,97.6,97.8,7500
2013-06-06,97.92,99.6,97.92,99.36,6200
2013-06-07,100.0,100.64,99.16,100.64,4000
2013-06-10,98.68,98.76,97.04,98.76,1900
2013-06-11,97.8,98.84,97.44,97.92,2100
2013-06-12,97.72,98.24,96.04,97.08,4000
2013-06-13,97.28,98.44,96.44,98.04,2800
2013-06-14,97.72,98.36,97.08,97.12,3100
2013-06-17,97.96,98.2,96.72,97.08,2200
2013-06-18,96.64,97.56,96.32,96.4,2400
2013-06-19,96.8,96.8,94.0,94.48,6600
2013-06-20,94.36,94.36,91.96,92.48,8000
2013-06-21,92.92,94.28,92.8,94.28,3600
2013-06-24,93.4,93.4,92.24,93.28,4200
2013-06-25,93.6,94.4,93.16,94.24,4800
2013-06-26,94.84,97.0,94.8,96.96,6800
2013-06-27,96.32,101.2,96.32,98.68,16900
2013-06-28,98.96,99.6,98.44,98.92,5800
2013-07-01,100.4,100.4,98.36,99.0,10500
2013-07-02,99.44,99.68,96.8,97.04,2400
2013-07-03,97.44,97.76,97.08,97.56,700
2013-07-05,97.6,97.96,96.44,96.96,2300
2013-07-08,96.68,97.68,96.48,97.24,600
2013-07-09,98.16,99.36,98.16,98.4,4600
2013-07-10,98.64,99.36,96.88,96.92,2900
2013-07-11,97.88,97.88,96.48,96.48,2300
2013-07-12,96.88,97.68,96.88,97.2,900
2013-07-15,96.84,97.6,96.44,97.32,1600
2013-07-16,97.0,98.04,96.04,97.04,3100
2013-07-17,96.84,99.2,96.84,99.08,3500
2013-07-18,99.0,99.8,95.64,99.32,3000
2013-07-19,99.32,99.8,97.24,97.6,3400
2013-07-22,97.88,98.36,97.32,97.36,1700
2013-07-23,97.4,97.8,95.72,96.36,1800
2013-07-24,95.68,96.0,93.24,93.72,2400
