date,open,high,low,close,volume
2018-11-20,2.1008,2.1008,1.6707,1.6707,87400
2018-11-21,1.8387,2.435,1.8387,2.1188,38900
2018-11-23,2.2009,2.2009,1.9588,1.9608,14900
2018-11-26,1.9408,1.9408,1.5526,1.6767,24900
2018-11-27,1.7607,1.8007,1.7007,1.7927,21900
2018-11-28,1.8687,1.8707,1.7947,1.7947,14400
2018-11-29,1.8087,1.8267,1.4006,1.6267,57400
2018-11-30,1.5606,1.5706,1.5606,1.5706,16900
2018-12-03,1.5406,1.6987,1.5406,1.6887,16900
2018-12-04,1.6867,1.6867,1.5186,1.6206,2900
2018-12-06,1.3225,1.6507,1.3225,1.6246,90900
2018-12-07,1.5526,1.6507,1.5526,1.6006,11900
2018-12-10,1.5986,1.6006,1.3986,1.3986,14400
2018-12-11,1.5986,1.5986,1.5806,1.5986,21400
2018-12-12,1.6006,1.6206,1.6006,1.6206,6400
2018-12-13,1.6006,1.7767,1.6006,1.7707,13400
2018-12-14,1.7127,1.7307,1.6006,1.6006,69900
2018-12-17,1.7607,1.7607,1.4766,1.4766,14900
2018-12-18,1.4606,1.6987,1.3565,1.6707,59900
2018-12-19,1.6747,1.6747,1.6006,1.6006,16400
2018-12-20,1.6006,1.6747,1.5646,1.5646,27900
2018-12-21,1.4386,1.4386,1.4386,1.4386,4900
2018-12-24,1.6206,1.6206,1.4606,1.4606,3400
2018-12-26,1.4606,1.4606,1.4606,1.4606,400
2018-12-27,1.3445,1.5006,1.3445,1.4626,12900
2018-12-28,1.3405,1.3545,1.1265,1.3405,15400
2018-12-31,1.4906,1.4906,1.4906,1.4906,1400
2019-01-02,1.3605,1.4206,1.3605,1.4206,1400
2019-01-03,1.4206,1.4206,1.4206,1.4206,0
2019-01-04,1.4046,1.4046,1.4006,1.4006,5900
2019-01-07,1.3505,1.3505,1.3505,1.3505,1400
2019-01-08,1.3505,1.4886,1.3505,1.4006,18400
2019-01-09,1.3986,1.3986,1.3986,1.3986,3900
2019-01-10,1.3986,1.3986,1.3986,1.3986,0
2019-01-11,1.3285,1.4586,1.3285,1.3285,2400
2019-01-14,1.3285,1.3285,1.3285,1.3285,0
2019-01-15,1.3285,1.3285,1.3285,1.3285,900
2019-01-16,1.3285,1.3285,1.3285,1.3285,0
2019-01-17,1.4466,1.4466,1.3065,1.3065,2400
2019-01-18,1.3906,1.3906,1.3906,1.3906,900
2019-01-22,1.2665,1.2665,1.2665,1.2665,400
2019-01-23,1.2705,1.2705,1.0324,1.1124,12400
2019-01-24,1.1885,1.1885,1.1885,1.1885,900
2019-01-25,1.3005,1.3946,1.3005,1.3505,47900
2019-01-28,1.3505,1.4006,1.3505,1.4006,41900
2019-01-29,1.4006,1.4006,1.3005,1.3005,24400
2019-01-30,1.3005,1.3005,1.3005,1.3005,400
2019-01-31,1.3505,1.3505,1.3505,1.3505,1400
2019-02-01,1.3505,1.3505,1.3505,1.3505,400
2019-02-04,1.3505,1.3505,1.3505,1.3505,400
2019-02-05,1.3505,1.3505,1.3505,1.3505,400
2019-02-06,1.3105,1.3105,1.3105,1.3105,1400
2019-02-07,1.3085,1.3105,1.3005,1.3005,14900
2019-02-08,1.3005,1.3005,1.3005,1.3005,400
2019-02-11,1.2285,1.2285,1.2285,1.2285,400
2019-02-12,1.2305,1.2305,1.2005,1.2005,11900
2019-02-13,1.2025,1.2025,1.1345,1.1405,24900
2019-02-14,1.1705,1.1905,1.0424,1.1905,12400
2019-02-15,1.2105,1.2105,1.2105,1.2105,4900
2019-02-19,1.1905,1.1905,1.1905,1.1905,400
2019-02-20,1.1905,1.1905,1.1905,1.1905,0
2019-02-21,1.0224,1.2965,1.0104,1.1965,23900
2019-02-22,1.2005,1.3005,1.1605,1.1605,2900
2019-02-25,1.1064,1.1625,1.1064,1.1625,2400
2019-02-26,1.1605,1.1965,1.1605,1.1965,2400
2019-02-27,1.1965,1.1965,1.1965,1.1965,400
2019-02-28,1.1965,1.1965,1.1965,1.1965,400
2019-03-01,1.1365,1.1365,1.0004,1.0004,20900
2019-03-04,1.0004,1.0004,1.0004,1.0004,900
2019-03-05,1.0004,1.0004,1.0004,1.0004,400
2019-03-06,1.1204,1.1204,1.1204,1.1204,400
2019-03-07,1.1204,1.2325,1.1204,1.1204,1400
2019-03-08,1.1204,1.1204,1.1204,1.1204,400
2019-03-11,1.1204,1.1204,1.1204,1.1204,400
2019-03-12,1.1204,1.1204,1.1204,1.1204,400
2019-03-13,1.1204,1.1204,1.1204,1.1204,400
2019-03-14,1.1204,1.1204,1.1204,1.1204,0
