date,open,high,low,close,volume
2020-11-27,9.76,9.76,9.76,9.76,100
2020-11-30,9.76,9.76,9.76,9.76,0
2020-12-01,9.9,10.22,9.88,10.195,52100
2020-12-02,10.195,10.195,10.195,10.195,0
2020-12-03,10.2,10.86,10.2,10.45,1300
2020-12-04,10.45,10.909,10.0,10.65,28800
2020-12-07,11.0,11.0,10.355,10.6,20700
2020-12-08,10.65,11.12,10.2,10.6,30500
2020-12-09,10.55,11.5,10.55,11.022,18100
2020-12-10,11.0,11.79,10.91,11.1,3449200
2020-12-11,27.29,27.66,21.77,24.0,14346200
2020-12-14,25.8,26.0,19.7,21.03,4985700
2020-12-15,21.77,22.42,18.81,19.0,3029300
2020-12-16,19.4,20.58,19.1,20.58,2797200
2020-12-17,20.1,24.5,20.08,23.75,3385000
2020-12-18,24.3,26.3,23.58,25.0,3969200
2020-12-21,24.85,26.048,24.71,25.75,1476100
2020-12-22,26.95,29.85,26.68,29.85,2796100
2020-12-23,32.82,33.88,28.51,30.31,3425900
2020-12-24,30.32,31.51,29.17,30.02,1266600
2020-12-28,32.7,33.3,28.22,28.95,2058400
2020-12-29,29.44,29.55,25.3,27.33,1703100
2020-12-30,27.4,28.55,26.5,27.25,1247800
2020-12-31,27.44,27.55,25.0,25.87,1123500
2021-01-04,27.45,27.45,23.374,24.25,1856600
