date,open,high,low,close,volume
2010-02-10,18.75,18.95,18.53,18.65,4515300
2010-02-11,18.65,18.89,18.6,18.89,185100
2010-02-12,19.0,19.0,18.75,18.85,78900
2010-02-16,18.89,18.91,18.75,18.88,356400
2010-02-17,18.95,18.98,18.76,18.79,37300
2010-02-18,18.75,18.78,18.54,18.73,103800
2010-02-19,18.6,19.02,18.6,18.75,49600
2010-02-22,18.81,18.82,18.62,18.75,91200
2010-02-23,19.03,19.03,18.6,18.8,49400
2010-02-24,18.65,18.82,18.5,18.55,32900
2010-02-25,18.32,18.75,18.32,18.52,37900
2010-02-26,18.52,18.85,18.47,18.81,71200
2010-03-01,18.88,18.88,18.64,18.68,23600
2010-03-02,18.75,18.89,18.55,18.89,22000
2010-03-03,18.76,18.81,18.57,18.8,48100
2010-03-04,18.85,19.06,18.85,18.96,24300
2010-03-05,19.08,19.1,18.67,18.8,105400
2010-03-08,18.88,19.44,18.8,19.44,41400
2010-03-09,19.55,19.65,19.25,19.46,28300
2010-03-10,19.5,19.5,18.85,19.01,29900
2010-03-11,19.0,19.5,18.95,19.43,85300
2010-03-12,19.45,19.53,19.36,19.4,21500
2010-03-15,19.3,19.43,18.99,18.99,28600
2010-03-16,19.08,19.64,19.08,19.2,49500
2010-03-17,19.24,19.3,19.24,19.29,18300
2010-03-18,19.3,19.44,18.86,19.44,159300
2010-03-19,19.65,19.65,19.11,19.65,46600
2010-03-22,19.59,19.63,19.25,19.25,121000
2010-03-23,19.26,19.32,19.04,19.15,37900
2010-03-24,19.23,19.65,19.23,19.44,58000
2010-03-25,19.53,19.6,19.41,19.46,64300
2010-03-26,19.36,19.47,19.3,19.41,25800
2010-03-29,19.5,19.84,19.41,19.5,33700
2010-03-30,19.6,19.75,19.45,19.7,52800
2010-03-31,20.0,20.56,19.52,19.73,699000
2010-04-01,19.73,19.73,18.93,19.21,68300
2010-04-05,19.27,19.47,19.27,19.38,44100
2010-04-06,19.32,19.67,19.32,19.66,10400
2010-04-07,19.58,19.93,19.52,19.9,19600
2010-04-08,19.84,19.84,19.53,19.63,35300
2010-04-09,19.63,19.8,19.55,19.65,50200
2010-04-12,19.61,19.7,19.47,19.47,20900
2010-04-13,19.41,19.84,19.07,19.65,27900
2010-04-14,19.67,20.07,19.48,19.59,16800
2010-04-15,19.55,19.55,19.39,19.5,8400
2010-04-16,19.51,19.53,19.38,19.39,14000
2010-04-19,19.3,19.76,19.19,19.57,37900
2010-04-20,19.62,19.62,19.43,19.52,8200
2010-04-21,19.52,19.85,19.1,19.5,43700
2010-04-22,19.47,19.5,19.22,19.5,10900
2010-04-23,19.46,19.46,19.35,19.35,12000
2010-04-26,19.28,19.34,19.14,19.21,9100
2010-04-27,19.17,19.17,19.06,19.1,8300
2010-04-28,19.17,19.19,19.1,19.16,3100
2010-04-29,19.23,19.23,18.95,19.06,49700
2010-04-30,19.0,19.0,18.73,18.81,37100
2010-05-03,18.87,18.88,18.75,18.87,28600
2010-05-04,18.57,18.87,18.35,18.45,320800
2010-05-05,18.42,18.53,18.42,18.49,22100
2010-05-06,18.44,18.54,18.26,18.33,17500
2010-05-07,18.26,18.34,17.32,17.34,130100
2010-05-10,17.5,18.5,17.5,18.12,50500
2010-05-11,18.12,18.32,18.1,18.17,34400
2010-05-12,18.17,18.79,18.0,18.79,15200
2010-05-13,18.68,18.68,18.02,18.29,66800
2010-05-14,18.24,18.37,18.1,18.29,6600
2010-05-17,18.35,18.49,18.2,18.45,12400
2010-05-18,18.58,18.58,18.3,18.33,5200
2010-05-19,18.33,18.42,18.06,18.08,13800
2010-05-20,17.9,18.19,17.9,18.1,41200
2010-05-21,17.97,18.24,17.87,18.02,47500
2010-05-24,18.64,18.64,17.95,18.0,12700
2010-05-25,17.72,18.01,17.66,17.92,33600
2010-05-26,18.01,18.21,17.85,17.91,27900
2010-05-27,18.17,18.43,18.06,18.41,16300
2010-05-28,18.32,18.32,17.92,18.05,20300
2010-06-01,17.99,18.37,17.77,17.77,20900
2010-06-02,18.2,18.51,18.07,18.51,27600
2010-06-03,18.45,18.59,18.28,18.42,8300
2010-06-04,18.1,18.19,17.82,17.83,32100
2010-06-07,17.91,18.04,17.85,17.9,14200
2010-06-08,17.94,17.97,17.72,17.76,36700
2010-06-09,17.9,18.06,17.69,17.78,20800
2010-06-10,17.96,18.05,17.82,17.97,24800
2010-06-11,17.9,18.0,17.85,18.0,17400
2010-06-14,18.12,18.29,17.77,17.84,15900
2010-06-15,17.96,18.11,17.84,18.0,149800
2010-06-16,17.91,18.23,17.88,18.16,16700
2010-06-17,18.26,18.26,18.05,18.11,86600
2010-06-18,18.14,18.39,18.0,18.22,223100
2010-06-21,18.36,18.36,17.71,17.83,19700
2010-06-22,17.85,17.99,17.85,17.85,64600
2010-06-23,17.89,17.9,17.82,17.87,14500
2010-06-24,17.82,17.84,17.58,17.59,40800
2010-06-25,17.7,18.5,17.7,18.23,355000
2010-06-28,18.19,18.19,17.91,17.94,24500
2010-06-29,17.9,17.9,17.62,17.68,44700
2010-06-30,17.74,17.81,17.66,17.71,67500
2010-07-01,17.65,17.96,17.63,17.77,16900
2010-07-02,17.82,17.82,17.57,17.67,30800
2010-07-06,17.82,17.95,17.77,17.77,21900
2010-07-07,17.89,17.93,17.76,17.84,136700
2010-07-08,18.03,18.03,17.77,17.93,21700
2010-07-09,17.89,18.02,17.85,18.02,6900
2010-07-12,17.92,17.93,17.73,17.86,13100
2010-07-13,18.08,18.18,17.99,18.02,77600
2010-07-14,17.9,18.14,17.9,17.94,24800
2010-07-15,17.92,17.92,17.6,17.73,40400
2010-07-16,17.67,17.77,17.63,17.7,26900
2010-07-19,17.71,17.71,17.65,17.7,27400
2010-07-20,17.56,17.66,17.55,17.62,86800
2010-07-21,17.69,17.69,17.45,17.56,89900
2010-07-22,17.75,18.09,17.67,18.08,18700
2010-07-23,17.95,18.17,17.91,18.15,18000
2010-07-26,18.26,18.26,18.02,18.05,24300
2010-07-27,18.06,18.18,18.06,18.13,11700
2010-07-28,18.13,18.15,18.07,18.13,14300
2010-07-29,18.19,18.19,17.95,18.06,14000
2010-07-30,17.87,18.03,17.8,18.0,17700
2010-08-02,18.18,18.22,17.98,18.08,22200
2010-08-03,17.87,17.94,17.74,17.79,21200
2010-08-04,17.89,18.0,17.89,17.99,22000
2010-08-05,17.9,18.0,17.9,17.97,4600
2010-08-06,17.76,17.88,17.6,17.83,14000
2010-08-09,17.83,18.03,17.75,17.98,17000
2010-08-10,17.83,18.0,17.69,17.83,16900
2010-08-11,17.66,17.8,17.6,17.69,28600
2010-08-12,17.6,17.89,17.6,17.73,10800
2010-08-13,17.62,17.71,17.6,17.65,22500
2010-08-16,17.5,18.03,17.5,17.64,43200
2010-08-17,17.75,17.8,17.63,17.76,21300
2010-08-18,17.77,17.96,17.75,17.94,5800
2010-08-19,17.83,17.84,17.52,17.57,20000
2010-08-20,17.55,17.64,17.5,17.57,73000
2010-08-23,17.61,18.08,17.5,17.54,66700
2010-08-24,17.41,17.6,17.41,17.41,17700
2010-08-25,17.38,17.82,17.38,17.8,46300
2010-08-26,17.82,17.83,17.3,17.34,28600
2010-08-27,17.46,17.76,17.22,17.73,40300
2010-08-30,17.62,17.63,17.28,17.44,23300
2010-08-31,17.35,17.78,17.07,17.33,74200
2010-09-01,17.52,17.6,17.26,17.6,99700
2010-09-02,17.64,17.75,17.35,17.54,115200
2010-09-03,17.7,17.78,17.51,17.63,65200
2010-09-07,17.61,17.61,17.36,17.43,65700
2010-09-08,17.5,17.5,17.3,17.4,137400
2010-09-09,17.57,17.57,17.29,17.34,15200
2010-09-10,17.44,17.5,17.34,17.39,11700
2010-09-13,17.52,17.56,17.1,17.49,21400
