date,open,high,low,close,volume
2014-03-21,16.05,16.45,15.95,16.0,2379300
2014-03-24,16.05,16.29,16.03,16.1,242500
2014-03-25,16.2,16.74,16.2,16.51,217400
2014-03-26,16.7,16.75,16.39,16.7,106700
2014-03-27,16.5,16.5,16.25,16.35,51600
2014-03-28,16.35,16.4,16.2,16.2,39400
2014-03-31,16.27,16.6,16.15,16.6,254800
2014-04-01,16.64,16.64,16.35,16.6,116300
2014-04-02,16.64,16.64,16.38,16.6,94100
2014-04-03,16.65,16.65,16.38,16.65,59800
2014-04-04,16.65,16.69,16.42,16.65,294900
2014-04-07,16.7,17.11,16.47,16.89,134200
2014-04-08,16.75,16.94,16.59,16.82,67200
2014-04-09,16.94,16.99,16.61,16.91,69500
2014-04-10,16.97,16.98,16.68,16.82,130000
2014-04-11,16.62,16.99,16.6,16.84,110800
2014-04-14,16.8,16.9,16.63,16.9,86500
2014-04-15,16.97,16.98,16.8,16.9,151700
2014-04-16,16.99,17.47,16.93,17.46,121000
2014-04-17,17.4,17.8,17.25,17.66,146000
2014-04-21,17.66,17.79,17.25,17.48,78700
2014-04-22,17.55,17.93,17.53,17.66,68400
2014-04-23,17.67,18.48,17.67,18.18,91300
2014-04-24,18.29,18.64,18.01,18.08,137000
2014-04-25,18.05,18.3,17.75,18.28,76900
2014-04-28,18.39,18.65,17.93,18.43,204700
2014-04-29,18.68,18.69,17.84,18.17,113400
2014-04-30,18.06,18.15,17.85,18.15,92600
2014-05-01,18.22,18.69,18.01,18.32,112000
2014-05-02,18.32,18.54,17.97,18.17,94500
2014-05-05,18.33,18.41,18.02,18.28,76400
2014-05-06,18.2,18.36,17.65,18.16,106300
2014-05-07,18.16,18.29,17.64,17.77,107400
2014-05-08,17.7,18.15,17.5,17.94,26000
2014-05-09,18.4,18.4,17.75,17.91,61000
2014-05-12,18.05,18.14,17.93,17.97,51800
2014-05-13,18.0,18.2,17.72,17.95,37700
2014-05-14,17.86,18.15,17.76,17.84,31900
2014-05-15,17.79,18.16,17.52,18.0,37700
2014-05-16,18.05,18.33,17.87,18.17,31800
2014-05-19,18.08,18.35,18.08,18.32,57400
2014-05-20,18.4,19.01,18.24,18.78,100600
2014-05-21,19.02,19.34,18.87,19.08,81500
2014-05-22,18.97,19.63,18.86,19.0,100000
2014-05-23,19.09,19.48,18.84,19.19,97000
2014-05-27,19.31,20.43,19.2,19.85,147800
2014-05-28,19.93,20.44,19.73,19.93,81500
2014-05-29,20.2,20.95,19.92,20.81,212900
2014-05-30,20.91,21.42,20.75,21.19,227400
2014-06-02,21.54,21.73,21.26,21.61,79100
2014-06-03,20.99,22.83,20.28,22.1,301700
2014-06-04,22.12,23.75,20.13,22.46,642600
2014-06-05,22.65,23.36,22.06,22.31,368800
2014-06-06,22.48,23.26,21.94,22.43,165600
2014-06-09,21.95,23.09,21.8,22.52,420700
2014-06-10,22.61,23.69,22.52,23.42,453200
2014-06-11,23.56,24.41,22.76,23.9,336100
2014-06-12,24.21,24.34,21.67,22.73,578500
