date,open,high,low,close,volume
2000-10-05,5.2639,5.2917,5.2222,5.25,115200
2000-10-06,5.2361,5.2917,5.1667,5.1806,92700
2000-10-09,5.2222,5.2361,5.125,5.1667,272100
2000-10-10,5.1667,5.3333,5.1667,5.1944,110700
2000-10-11,5.2222,5.2222,5.1389,5.1806,139800
2000-10-12,5.1806,5.1806,5.1389,5.1806,184500
2000-10-13,5.1944,5.2222,5.1111,5.1667,178500
2000-10-16,5.1806,5.25,5.1111,5.1806,200700
2000-10-17,5.1944,5.1944,5.0972,5.0972,111600
2000-10-18,5.0417,5.1389,5.0,5.0833,193500
2000-10-19,5.0972,5.1528,5.0833,5.1389,87300
2000-10-20,5.0972,5.1528,5.0694,5.1528,178500
2000-10-23,5.125,5.1528,5.0139,5.0139,97500
2000-10-24,5.0,5.0278,4.9167,4.9167,381000
2000-10-25,4.9028,4.9722,4.875,4.8889,240300
2000-10-26,4.8333,4.9306,4.75,4.8194,298200
2000-10-27,4.8194,4.9167,4.7639,4.9167,139500
2000-10-30,4.9583,5.0,4.8889,4.9861,87300
2000-10-31,4.9861,5.1528,4.9861,5.1528,246600
2000-11-01,5.1111,5.1528,5.0417,5.1389,162300
2000-11-02,5.1111,5.1111,5.0139,5.0139,121500
2000-11-03,5.0,5.0278,4.9167,4.9444,108300
2000-11-06,4.9722,5.0972,4.9444,5.0833,75900
2000-11-07,5.0972,5.1111,5.0278,5.0694,309600
2000-11-08,5.1111,5.1111,5.0278,5.0417,145800
2000-11-09,5.0417,5.0556,4.9861,5.0417,110700
2000-11-10,5.0139,5.0417,4.9722,4.9861,48600
2000-11-13,5.0,5.0278,4.9444,5.0139,125400
2000-11-14,4.9861,5.0972,4.9861,5.0556,120900
2000-11-15,5.0972,5.1806,5.0972,5.1806,129000
2000-11-16,5.125,5.2639,5.0972,5.1944,275700
2000-11-17,5.25,5.2778,5.1667,5.2778,112500
2000-11-20,5.25,5.2917,5.1944,5.2917,106200
2000-11-21,5.25,5.2917,5.1944,5.25,248700
2000-11-22,5.2778,5.3194,5.1528,5.1944,149700
