date,open,high,low,close,volume
2000-10-05,17.1429,17.2321,16.3095,16.3095,26200.0
2000-10-06,16.9345,17.1131,16.6964,16.9643,6200.0
2000-10-09,16.6667,16.9048,16.6667,16.9048,1000.0
2000-10-10,16.756,16.756,16.4658,16.6667,16400.0
2000-10-11,16.25,16.4881,16.1905,16.4583,14400.0
2000-10-12,16.25,16.25,15.8333,15.8333,14400.0
2000-10-13,16.0417,16.4807,15.8929,16.4435,65200.0
2000-10-16,16.3095,16.4881,16.25,16.25,20000.0
2000-10-17,16.4881,16.5476,16.3988,16.4881,39600.0
2000-10-18,16.4286,16.6369,16.4286,16.5476,14600.0
2000-10-19,16.4286,17.0238,16.4286,16.9643,17000.0
2000-10-20,17.1131,17.4107,16.5476,16.5476,54200.0
2000-10-23,17.0833,17.0833,16.5179,16.6369,41600.0
2000-10-24,16.5179,16.7857,16.5179,16.5476,66400.0
2000-10-25,16.5476,16.6667,16.4583,16.4583,41000.0
2000-10-26,16.4881,16.5774,16.369,16.4286,19000.0
2000-10-27,16.4881,16.7857,16.4881,16.7857,13400.0
2000-10-30,16.622,16.8155,16.4881,16.5476,40200.0
2000-10-31,16.7857,16.7857,16.131,16.131,20200.0
2000-11-01,15.7738,16.7857,15.7738,16.4286,29400.0
2000-11-02,16.6964,16.6964,16.3988,16.3988,110800.0
2000-11-03,16.3095,16.7262,16.1905,16.7262,75200.0
2000-11-06,16.3095,16.5476,16.0119,16.0119,11000.0
2000-11-07,16.0119,16.5476,16.0119,16.5179,14200.0
2000-11-08,16.5625,16.5774,16.3393,16.369,13200.0
2000-11-09,16.3393,16.4286,16.2202,16.4286,49800.0
2000-11-10,16.3095,16.3095,15.6548,15.6548,33200.0
2000-11-13,15.744,16.1533,15.744,16.0417,25600.0
2000-11-14,16.0119,16.1607,15.9598,16.131,52200.0
2000-11-15,16.131,17.0833,16.0714,16.9048,48200.0
2000-11-16,16.8452,17.0238,16.4286,16.4286,37200.0
2000-11-17,16.7857,17.1131,16.4881,16.8155,44400.0
2000-11-20,16.7262,16.8155,16.7262,16.756,44000.0
2000-11-21,16.5774,16.5774,16.4583,16.4881,14600.0
2000-11-22,16.4881,16.6071,16.4881,16.6071,33800.0
2000-11-24,16.4881,16.9643,16.4881,16.9643,16400.0
2000-11-27,16.9643,16.9643,16.3393,16.3393,28000.0
2000-11-28,16.369,17.619,16.369,17.381,34200.0
2000-11-29,17.5893,17.5893,16.4286,16.9345,26000.0
2000-11-30,16.9643,17.0238,16.5774,17.0238,17600.0
2000-12-01,16.5774,17.2619,16.5774,16.7857,29800.0
2000-12-04,16.7857,16.9345,16.3095,16.3095,33800.0
2000-12-05,16.4286,16.9643,16.3095,16.9048,36000.0
2000-12-06,16.875,16.9643,16.1905,16.1905,101800.0
2000-12-07,16.1905,16.3988,15.7143,16.0119,119400.0
2000-12-08,15.9524,16.1905,15.9524,16.1905,30200.0
2000-12-11,16.1905,16.6667,16.1905,16.3988,40000.0
2000-12-12,16.6667,16.6667,16.4286,16.6667,14800.0
2000-12-13,16.4881,16.6667,16.4881,16.6071,63400.0
2000-12-14,16.4881,16.875,16.0714,16.875,12600.0
2000-12-15,16.5774,16.9643,16.1905,16.6071,108600.0
2000-12-18,16.5104,16.6667,16.1905,16.4286,32200.0
2000-12-19,16.3988,16.5476,16.3988,16.4286,81600.0
2000-12-20,16.3095,16.6667,16.3095,16.3095,35200.0
2000-12-21,16.3393,16.6369,15.9524,15.9524,51400.0
2000-12-22,16.0714,16.5476,16.0714,16.4583,43600.0
2000-12-26,16.3244,16.5179,16.3244,16.5179,24800.0
2000-12-27,16.5179,16.756,16.4881,16.5179,70400.0
2000-12-28,16.5179,18.0952,16.5179,18.0952,111000.0
2000-12-29,18.0952,18.5714,17.619,17.7976,131800.0
2001-01-02,17.7976,18.006,17.2024,17.3512,47000.0
2001-01-03,17.3512,18.5417,17.3214,18.5417,58000.0
2001-01-04,18.1548,18.1845,17.1131,17.8571,91000.0
2001-01-05,17.2619,17.6935,17.2619,17.381,33200.0
2001-01-08,17.6786,17.6786,17.619,17.619,18000.0
2001-01-09,17.5,17.6711,17.1131,17.1131,24200.0
2001-01-10,17.6786,17.7976,17.3512,17.7976,33600.0
2001-01-11,17.7679,17.7827,17.5,17.619,18800.0
2001-01-12,17.5298,17.619,17.4405,17.4405,13800.0
2001-01-16,17.5298,17.7976,17.1726,17.4405,49600.0
2001-01-17,17.6786,18.0357,17.128,17.8869,92400.0
2001-01-18,18.125,18.1548,17.619,17.619,82200.0
2001-01-19,18.1548,18.1548,17.3512,17.9762,138600.0
2001-01-22,17.7976,18.0357,17.7976,18.0357,165400.0
2001-01-23,17.9762,18.006,17.7976,18.006,231600.0
2001-01-24,17.9762,17.9762,17.7381,17.8571,202200.0
2001-01-25,17.619,17.8274,17.5595,17.5595,90000.0
2001-01-26,17.5,17.8274,17.381,17.7381,47600.0
2001-01-29,17.6786,17.8571,17.619,17.7976,41400.0
2001-01-30,17.619,17.7381,17.4405,17.6488,74400.0
2001-01-31,17.381,17.7381,17.3214,17.5595,86400.0
2001-02-01,17.4405,17.7381,17.4405,17.4702,26800.0
2001-02-02,17.5,17.6935,17.4702,17.5893,47400.0
2001-02-05,17.5893,18.0655,17.5298,18.0655,72800.0
2001-02-06,17.7679,18.125,17.7381,18.125,13000.0
2001-02-07,17.7976,17.9762,17.7976,17.9762,53000.0
2001-02-08,17.8274,17.9167,17.7976,17.9167,79400.0
2001-02-09,17.8274,17.9464,17.7976,17.9464,72000.0
2001-02-12,17.7976,18.1548,17.7381,18.0952,87000.0
2001-02-13,18.0952,18.2217,17.9167,18.006,26800.0
2001-02-14,17.9167,18.3631,17.8571,18.3631,49400.0
2001-02-15,18.3333,18.3333,17.9762,17.9762,81200.0
2001-02-16,17.8571,18.0952,17.5595,17.7083,19800.0
2001-02-20,17.7083,18.0952,17.6786,17.9167,120600.0
2001-02-21,17.7976,18.006,17.7232,17.9911,21000.0
2001-02-22,17.7381,17.9464,17.5,17.7381,30400.0
2001-02-23,17.7381,18.0952,17.5,18.0952,101000.0
2001-02-26,18.125,18.5119,17.9762,18.5119,61200.0
2001-02-27,18.5119,18.5714,18.3036,18.311,104200.0
2001-02-28,18.631,18.75,17.8571,17.8869,30400.0
2001-03-01,17.8869,17.9167,17.3512,17.5893,35200.0
2001-03-02,17.619,18.244,17.619,18.0952,40800.0
2001-03-05,18.125,18.3333,18.006,18.006,14400.0
2001-03-06,18.1548,18.1622,17.8869,18.0952,48200.0
2001-03-07,18.2068,18.3631,18.0357,18.1548,28600.0
2001-03-08,18.125,18.1548,18.0952,18.0952,29400.0
2001-03-09,18.0952,18.1845,17.8274,18.006,20400.0
