date,open,high,low,close,volume
2000-10-04,,,,,
2000-10-05,13.6215,13.8931,13.5827,13.8155,199800.0
2000-10-06,13.6603,13.7767,13.3498,13.4274,123000.0
2000-10-09,13.4371,13.505,13.0005,13.117,228400.0
2000-10-10,13.0102,13.1946,12.7677,12.8065,176600.0
2000-10-11,12.7289,12.9229,12.2632,12.8647,213900.0
2000-10-12,12.8065,12.8841,12.3796,12.4572,476800.0
2000-10-13,12.4572,13.0005,12.4184,12.8065,242300.0
2000-10-16,12.8065,13.0005,12.496,12.6513,270100.0
2000-10-17,12.4572,12.8065,12.4184,12.4184,185900.0
2000-10-18,12.5251,12.5348,12.2632,12.302,165400.0
2000-10-19,12.3796,12.9229,12.2632,12.8453,114500.0
2000-10-20,13.0393,13.0393,12.302,12.4184,315000.0
2000-10-23,12.5737,12.7289,12.4184,12.6125,118500.0
2000-10-24,12.5737,12.6125,12.4572,12.6125,540100.0
2000-10-25,12.4378,12.8065,12.2632,12.7677,170000.0
2000-10-26,12.7677,12.8065,12.3408,12.7677,740900.0
2000-10-27,12.8065,12.9229,12.5737,12.8065,302000.0
2000-10-30,12.8453,13.5827,12.8065,13.5827,358100.0
2000-10-31,13.6603,13.8931,13.5827,13.8543,331800.0
2000-11-01,13.7088,13.7088,13.311,13.4274,266400.0
2000-11-02,13.3498,13.5438,13.3498,13.4274,239800.0
2000-11-03,13.3498,13.5438,13.2334,13.4662,161100.0
2000-11-06,13.4274,13.5438,13.2334,13.3498,178600.0
2000-11-07,13.311,13.311,13.0393,13.2722,125900.0
2000-11-08,13.2722,13.4274,13.1558,13.1946,95900.0
2000-11-09,13.1558,13.2722,12.9617,13.0782,326300.0
2000-11-10,13.0782,13.117,12.8065,12.8453,298300.0
2000-11-13,12.6901,12.8065,12.4572,12.8065,220400.0
2000-11-14,12.7386,13.2722,12.6901,13.2722,315900.0
2000-11-15,13.2334,13.2334,12.7289,13.0393,198700.0
2000-11-16,13.0393,13.2334,12.9229,13.1558,375800.0
2000-11-17,13.2431,13.3498,13.117,13.2334,320700.0
