date,open,high,low,close,volume
2000-10-19,1.9848,2.1995,1.8455,2.1967,41542000
2000-10-20,2.1967,2.3779,2.18,2.3528,15871000
2000-10-23,2.3417,2.3417,2.1131,2.1577,6477000
2000-10-24,2.1688,2.2079,2.1577,2.18,3721600
2000-10-25,2.1716,2.1967,2.1632,2.1772,3013200
2000-10-26,2.1828,2.1967,2.1103,2.1521,2051400
2000-10-27,2.1632,2.2274,2.1632,2.219,2999600
2000-10-30,2.219,2.3194,2.2134,2.2775,4098200
2000-10-31,2.2887,2.4197,2.2887,2.3472,3896400
2000-11-01,2.3528,2.403,2.3528,2.364,1694800
2000-11-02,2.3584,2.4197,2.3584,2.4197,1735200
2000-11-03,2.4253,2.4866,2.4225,2.4309,2488600
2000-11-06,2.4309,2.4337,2.3584,2.3584,1970600
2000-11-07,2.3584,2.364,2.3249,2.3389,1242000
2000-11-08,2.3444,2.5117,2.3444,2.495,3053600
2000-11-09,2.4894,2.5424,2.4755,2.5006,1181400
2000-11-10,2.4894,2.4894,2.442,2.442,434800
2000-11-13,2.4309,2.4309,2.3361,2.364,2181400
2000-11-14,2.4197,2.5089,2.4197,2.4978,2434800
2000-11-15,2.4978,2.5647,2.4643,2.481,2284400
2000-11-16,2.4476,2.4978,2.4392,2.4922,1472800
2000-11-17,2.4922,2.5145,2.4755,2.481,726400
2000-11-20,2.481,2.6316,2.481,2.6288,2833800
2000-11-21,2.6622,2.7877,2.6622,2.7765,4421200
2000-11-22,2.7375,2.7403,2.5089,2.5312,5517400
2000-11-24,2.5424,2.6762,2.5424,2.6539,1737400
2000-11-27,2.6762,2.7542,2.6762,2.6985,1641000
2000-11-28,2.6706,2.6762,2.6149,2.6399,612000
2000-11-29,2.6344,2.6595,2.5229,2.5368,1932600
2000-11-30,2.5201,2.5201,2.3751,2.4197,3076000
2000-12-01,2.5647,2.6873,2.5647,2.6344,4916600
2000-12-04,2.6232,2.665,2.6176,2.665,1165800
2000-12-05,2.7041,2.9494,2.7041,2.9243,5120600
2000-12-06,2.8797,2.8825,2.7208,2.7264,1735200
2000-12-07,2.7319,2.8992,2.7319,2.8379,1950400
2000-12-08,2.8825,3.0302,2.8825,2.9215,2849400
2000-12-11,2.9326,2.9856,2.8936,2.9828,2587200
2000-12-12,2.9828,2.9884,2.9271,2.9884,1129800
2000-12-13,3.0051,3.0525,2.9828,3.0163,1564800
2000-12-14,3.0051,3.0051,2.9048,2.9103,1674600
2000-12-15,2.8546,2.8546,2.6093,2.6706,5329200
