date,open,high,low,close,volume
2020-12-15,7.98,13.14,7.31,12.05,488700
2020-12-16,13.5,67.37,13.48,65.1,3261600
2020-12-17,54.546,160.68,54.13,122.5,3160000
2020-12-18,101.282,107.0,72.26,77.98,1169100
2020-12-21,70.0,75.75,50.0,53.04,752800
2020-12-22,51.52,51.52,38.5,41.06,684500
2020-12-23,40.0,58.52,32.75,56.98,2488300
2020-12-24,51.25,55.97,45.01,45.01,557000
2020-12-28,45.006,48.99,41.1,42.36,292500
2020-12-29,41.68,46.5,38.71,39.41,237100
2020-12-30,40.91,41.8,37.5,38.79,138700
2020-12-31,38.8,41.2,37.5,37.53,132700
2021-01-04,37.6,38.5,33.17,34.02,104800
