date,open,high,low,close,volume
2000-10-05,57.0,57.375,56.0625,56.1875,290200.0
2000-10-06,56.0,56.0,52.3906,53.375,230800.0
2000-10-09,53.25,54.4375,52.75,54.125,86100.0
2000-10-10,53.875,55.0,53.875,54.75,245000.0
2000-10-11,52.9375,52.9375,49.875,50.25,768200.0
2000-10-12,54.0,54.0,51.75,52.125,440800.0
2000-10-13,54.125,57.75,54.125,57.5,645800.0
2000-10-16,60.0,60.125,59.0,59.4375,848900.0
2000-10-17,58.5,59.0,55.75,56.25,154500.0
2000-10-18,55.5,57.25,54.75,56.625,486100.0
2000-10-19,60.625,61.375,58.75,59.5,259900.0
2000-10-20,61.5,62.0,60.5625,60.625,310800.0
2000-10-23,62.0,63.375,61.9375,62.0625,379300.0
2000-10-24,65.0,66.0,63.75,64.625,860900.0
2000-10-25,63.125,63.2344,59.5,60.1875,875100.0
2000-10-26,62.4375,62.75,60.25,61.875,445800.0
2000-10-27,61.375,62.6875,61.375,61.8125,623700.0
2000-10-30,62.9375,64.5,62.9375,63.875,391700.0
2000-10-31,66.4375,67.625,65.5,66.875,963700.0
2000-11-01,64.0,65.25,63.75,64.5,183400.0
2000-11-02,66.0625,66.375,64.9375,65.25,221500.0
2000-11-03,65.25,65.5,64.5625,64.875,134800.0
2000-11-06,64.5,65.25,63.8125,63.875,167700.0
2000-11-07,63.0,63.625,62.25,62.5,283100.0
2000-11-08,64.0,64.0,62.0,62.5,374900.0
2000-11-09,60.9375,60.9375,57.5,59.5,486800.0
2000-11-10,58.8281,59.0,55.75,56.25,319200.0
2000-11-13,56.75,57.4375,55.8125,56.6875,416500.0
2000-11-14,58.75,59.0,58.125,58.375,190400.0
2000-11-15,60.75,62.25,60.0,61.0,354300.0
2000-11-16,59.375,59.4375,58.375,59.1562,163200.0
2000-11-17,59.9375,60.4375,59.5625,60.0,175800.0
2000-11-20,59.5625,60.0,58.25,59.0,73100.0
2000-11-21,57.0,57.375,55.3594,56.75,145400.0
2000-11-22,55.3125,55.625,53.25,53.25,106500.0
2000-11-24,56.5,58.0,56.5,57.6875,114000.0
2000-11-27,58.0,58.1875,55.5,55.625,195900.0
2000-11-28,56.625,57.0,54.875,54.875,280900.0
2000-11-29,55.375,55.375,53.75,54.625,348400.0
2000-11-30,54.25,54.625,52.75,53.4375,359900.0
2000-12-01,55.0,56.25,53.75,54.125,221500.0
2000-12-04,56.25,57.625,56.25,57.3594,184700.0
2000-12-05,59.6875,62.5,59.5,62.125,499000.0
2000-12-06,63.9375,64.5,63.0,63.4375,658800.0
2000-12-07,62.75,63.25,61.5,62.0,224300.0
2000-12-08,65.5,66.3125,64.0,65.25,782400.0
2000-12-11,69.0,69.5,67.25,67.4531,716200.0
2000-12-12,66.875,66.875,64.0,64.5,225100.0
2000-12-13,66.25,66.5,64.6875,65.375,355100.0
2000-12-14,64.375,64.75,63.375,63.4375,130700.0
2000-12-15,63.375,63.625,59.875,59.9375,168000.0
2000-12-18,64.25,64.3125,62.375,63.3125,140500.0
2000-12-19,61.375,63.125,61.0,62.5,412500.0
2000-12-20,60.125,62.4375,58.9375,59.125,263800.0
2000-12-21,61.125,61.125,59.0625,59.25,145700.0
2000-12-22,61.75,61.75,60.0,60.25,79500.0
2000-12-26,60.0156,61.0,59.5,61.0,73400.0
2000-12-27,63.0,63.125,60.625,61.5,80300.0
2000-12-28,61.0,62.7344,60.75,61.3125,68000.0
2000-12-29,62.5,63.75,62.25,62.8125,195600.0
2001-01-02,62.0,63.0,60.5,60.9375,236900.0
2001-01-03,59.625,62.375,58.375,62.25,285700.0
2001-01-04,65.1875,66.1875,64.375,64.375,703400.0
2001-01-05,65.25,66.0,64.125,64.4375,468700.0
2001-01-08,65.0,65.25,63.25,65.0625,429500.0
2001-01-09,64.9375,65.1875,64.25,64.9375,294900.0
2001-01-10,62.875,64.5,62.5625,64.4844,232300.0
2001-01-11,61.0156,61.5625,59.875,60.5,543000.0
2001-01-12,61.75,62.125,60.75,61.0625,258700.0
2001-01-16,59.9375,60.3125,57.5,59.0,177300.0
2001-01-17,62.5,63.625,62.0,62.6875,528300.0
2001-01-18,64.7344,64.875,63.375,64.25,306000.0
2001-01-19,67.125,67.1562,64.625,65.3125,576400.0
2001-01-22,63.75,64.625,62.7188,63.125,318400.0
2001-01-23,62.75,63.0,61.375,62.0625,458600.0
2001-01-24,64.0,65.3438,64.0,64.625,229200.0
2001-01-25,64.3125,64.6875,63.125,64.0,157700.0
2001-01-26,62.8125,63.4844,61.375,62.25,173700.0
2001-01-29,61.75,64.0,61.75,63.375,157300.0
2001-01-30,63.25,64.0,63.25,63.5,102400.0
2001-01-31,64.0,64.5,63.625,63.6875,154000.0
2001-02-01,64.625,65.125,64.625,65.0,267400.0
2001-02-02,63.375,63.875,62.875,63.2344,83900.0
2001-02-05,62.6562,63.5,62.5,63.1875,42000.0
2001-02-06,62.9375,63.3125,62.5,63.1875,69300.0
2001-02-07,62.0625,62.8125,62.0,62.1875,113400.0
