date,open,high,low,close,volume
2000-10-05,5.4143,5.594,5.3918,5.594,5284100
2000-10-06,5.5828,5.6951,5.3132,5.3806,3486400
2000-10-09,5.3806,5.5154,5.3693,5.4817,1622400
2000-10-10,5.5154,5.5154,5.3693,5.4143,1784300
2000-10-11,5.4143,5.4817,5.3356,5.3581,2273400
2000-10-12,5.3806,5.3806,4.7965,4.7965,8149500
2000-10-13,4.8077,5.1334,4.7852,4.9537,5310800
2000-10-16,4.965,5.1222,4.92,5.0211,2966700
2000-10-17,5.0211,5.0436,4.7965,4.9425,3777900
2000-10-18,4.8976,5.0885,4.8526,5.0885,2270600
2000-10-19,5.0436,5.111,4.9874,5.0324,2014100
2000-10-20,5.0324,5.0548,4.9537,4.9762,1464400
2000-10-23,4.9425,4.9762,4.8863,4.9088,3596500
2000-10-24,4.9987,5.0099,4.8189,4.8639,2784700
2000-10-25,4.8751,4.965,4.8077,4.8189,1979100
2000-10-26,4.774,4.8302,4.6504,4.774,5151100
2000-10-27,4.7852,4.8414,4.7403,4.7628,4956400
2000-10-30,4.7628,5.2233,4.7403,5.1896,8676500
2000-10-31,5.3019,5.4929,5.2907,5.3918,6167600
2000-11-01,5.3469,5.448,5.3469,5.448,3957600
2000-11-02,5.4255,5.4704,5.2682,5.403,3957600
2000-11-03,5.3918,5.4367,5.3806,5.3918,4560200
2000-11-06,5.4143,5.5041,5.403,5.4929,2576100
2000-11-07,5.5378,5.5491,5.403,5.4817,3082400
2000-11-08,5.4704,5.4817,5.3806,5.4367,2111500
2000-11-09,5.4592,5.4817,5.2795,5.4592,2827600
2000-11-10,5.3469,5.6052,5.3469,5.3806,2993400
2000-11-13,5.3918,5.4817,5.3132,5.4255,3243800
2000-11-14,5.4367,5.5715,5.4255,5.5266,2882100
2000-11-15,5.594,5.9871,5.594,5.9422,11303800
2000-11-16,5.931,6.2343,5.8524,6.077,6295600
2000-11-17,6.1332,6.2904,6.0882,6.2904,5361400
2000-11-20,6.2455,6.4477,6.1556,6.3915,4889600
2000-11-21,6.4365,6.4365,6.3017,6.3803,3700600
2000-11-22,6.2904,6.4702,6.2343,6.4028,3323900
2000-11-24,6.3803,6.4477,6.3578,6.3915,1325300
2000-11-27,6.4252,6.4477,6.3241,6.3915,5510000
2000-11-28,6.4252,6.6499,6.4028,6.5937,4115600
2000-11-29,6.5713,6.751,6.5713,6.7173,2913800
2000-11-30,6.6724,6.6948,6.3691,6.4702,10755200
2000-12-01,6.4252,6.4252,6.1444,6.1556,5185600
2000-12-04,6.1444,6.2343,6.0545,6.223,4716000
2000-12-05,6.1893,6.2006,6.0208,6.1444,5052600
2000-12-06,6.1444,6.1556,6.0658,6.1107,6380200
2000-12-07,6.1107,6.2792,6.0995,6.2343,2587200
2000-12-08,6.223,6.268,6.1556,6.2343,2902100
2000-12-11,6.3354,6.3915,6.2904,6.3017,5118800
2000-12-12,6.3017,6.4702,6.3017,6.414,2782000
2000-12-13,6.3803,6.3803,6.2118,6.2118,4718200
2000-12-14,6.223,6.223,6.0208,6.0545,6790800
2000-12-15,6.0545,6.0658,5.931,6.0096,5185600
2000-12-18,6.0208,6.3803,5.9984,6.3017,3681600
2000-12-19,6.3017,6.4814,6.3017,6.3578,4164000
2000-12-20,6.4028,6.4028,6.0882,6.0995,11282100
2000-12-21,6.0658,6.0658,5.7513,5.785,9095400
2000-12-22,5.7962,5.7962,5.6502,5.74,4471200
2000-12-26,5.7513,5.7737,5.6951,5.6951,2509300
2000-12-27,5.6839,5.8299,5.6839,5.8074,3016200
2000-12-28,5.7962,6.0658,5.7625,6.0096,3512500
2000-12-29,6.0096,6.0995,5.931,5.931,2866000
2001-01-02,5.9422,5.9422,5.7288,5.74,4119500
2001-01-03,5.7513,6.1107,5.7513,6.0658,5344700
2001-01-04,6.0545,6.268,6.0545,6.077,6414100
2001-01-05,6.0882,6.0882,5.8299,5.8861,6997800
2001-01-08,5.7513,5.9647,5.7513,5.8524,4219100
2001-01-09,5.785,5.8748,5.7737,5.8187,3343400
2001-01-10,5.7737,5.9535,5.7176,5.8748,5069900
2001-01-11,5.7737,5.8299,5.7288,5.74,4601900
2001-01-12,5.7288,5.9085,5.6726,5.8748,5703100
