date,open,high,low,close,volume
2000-10-05,14.8125,14.8125,14.5,14.625,4200
2000-10-06,14.5625,14.75,14.5,14.625,3000
2000-10-09,14.5,14.625,14.5,14.625,2800
2000-10-10,14.625,14.875,14.5625,14.875,8700
2000-10-11,15.0,15.0,14.375,14.4375,11000
2000-10-12,14.5625,14.6875,14.25,14.25,3100
2000-10-13,14.5625,14.875,14.4375,14.4375,5600
2000-10-16,14.5625,14.5625,14.3125,14.3125,1700
2000-10-17,14.4375,14.5625,14.25,14.25,5800
2000-10-18,14.25,14.25,13.625,14.125,10600
2000-10-19,14.0,14.0625,13.75,14.0625,3400
2000-10-20,14.1875,14.375,14.0625,14.375,4500
2000-10-23,14.5,14.625,14.375,14.5625,2300
2000-10-24,14.6875,14.75,14.1875,14.3125,8600
2000-10-25,14.1875,14.375,14.1875,14.3125,4100
2000-10-26,14.1875,14.3125,14.125,14.3125,8700
2000-10-27,14.5,14.625,14.1875,14.25,6500
2000-10-30,14.25,14.5,14.125,14.25,12800
2000-10-31,14.25,14.25,13.875,14.0625,6200
2000-11-01,14.125,14.25,13.75,14.0,9000
2000-11-02,14.0,14.125,14.0,14.125,10600
2000-11-03,14.25,14.375,14.0,14.0625,25800
2000-11-06,13.9375,14.1875,13.9375,14.1875,8900
2000-11-07,14.125,14.125,13.9375,14.0,5700
2000-11-08,14.25,14.25,13.9375,13.9375,1600
2000-11-09,13.9375,14.1875,13.9375,14.0625,2500
2000-11-10,14.25,14.25,14.1875,14.1875,1600
2000-11-13,14.0,14.1875,13.9375,14.0,11300
2000-11-14,14.1875,14.25,13.9375,14.1875,3400
2000-11-15,14.125,14.3125,14.0,14.0,10200
2000-11-16,14.125,14.3125,14.125,14.3125,1100
2000-11-17,14.3125,14.5,14.3125,14.5,2800
2000-11-20,14.375,14.375,14.3125,14.3125,3000
2000-11-21,14.125,14.4375,13.9375,13.9375,5400
2000-11-22,13.9375,14.0,13.9375,14.0,5600
2000-11-24,14.0,14.625,13.9375,14.1875,6400
2000-11-27,14.0625,14.4375,13.875,14.0,21400
2000-11-28,14.0,14.0625,14.0,14.0,7000
2000-11-29,14.125,14.5625,14.125,14.125,10700
2000-11-30,14.0,14.25,13.875,14.0,8100
2000-12-01,14.0,14.1875,13.75,14.0,15900
2000-12-04,14.125,14.25,14.0,14.125,4900
2000-12-05,14.0625,14.375,14.0,14.125,5300
2000-12-06,14.125,14.375,14.0625,14.125,6200
2000-12-07,14.25,14.3125,14.0,14.25,5100
2000-12-08,14.125,14.125,14.0,14.0625,8400
