date,open,high,low,close,volume
2000-10-05,62.625,63.75,61.5,61.5,49300
2000-10-06,61.6875,64.5,61.6875,63.9375,32100
2000-10-09,63.75,64.875,63.75,63.9375,17000
2000-10-10,63.9375,66.375,63.9375,65.0625,27600
2000-10-11,65.0625,66.0,63.75,63.9375,33600
2000-10-12,63.9375,64.5,63.375,63.9375,22000
2000-10-13,63.5625,65.625,63.5625,65.4375,58100
2000-10-16,65.4375,66.75,65.0625,65.0625,45600
2000-10-17,65.0625,65.0625,63.9375,64.3125,22400
2000-10-18,64.125,65.8125,63.0,63.9375,23500
2000-10-19,63.9375,63.9375,62.1562,63.375,12800
2000-10-20,63.1875,64.125,63.0,63.375,17400
2000-10-23,63.375,65.8125,63.0,65.0625,34200
2000-10-24,65.4375,66.0,63.5625,63.9375,31000
2000-10-25,63.9375,65.625,60.375,61.6875,62700
2000-10-26,62.0625,62.625,60.75,61.6875,68200
2000-10-27,61.5,62.0625,60.5625,61.875,27700
2000-10-30,61.3125,65.0625,61.3125,65.0625,31200
2000-10-31,66.5625,66.5625,63.75,64.6875,41500
2000-11-01,64.6875,67.125,64.5,66.1875,28600
2000-11-02,66.375,67.125,65.8125,66.0,24600
2000-11-03,66.375,66.375,64.6875,65.0625,15700
2000-11-06,65.0625,66.1875,63.1875,63.75,23400
2000-11-07,63.75,64.5,63.0,63.75,31100
2000-11-08,63.375,65.25,63.375,63.9375,9900
2000-11-09,63.5625,64.875,62.0625,64.3125,19700
2000-11-10,65.0625,65.4375,64.125,65.0625,22900
2000-11-13,64.3125,65.25,62.625,64.125,20700
2000-11-14,64.125,64.6875,62.8125,63.75,16600
2000-11-15,63.375,65.0625,62.8125,64.6875,22500
2000-11-16,64.125,65.625,62.8125,63.1875,31300
2000-11-17,63.9375,64.875,63.75,64.6875,18600
2000-11-20,64.3125,65.4375,63.1875,65.25,23300
2000-11-21,64.6875,66.0,63.9375,65.625,29500
2000-11-22,64.875,66.1875,64.875,66.1875,19500
2000-11-24,65.625,66.0,65.0625,65.625,10000
2000-11-27,65.0625,67.875,65.0625,66.1875,65900
2000-11-28,66.5625,66.9375,66.0,66.5625,22900
2000-11-29,66.1875,68.4375,66.0,68.4375,24700
2000-11-30,68.0625,69.0,66.9375,68.625,38600
2000-12-01,68.8125,70.875,68.4375,69.375,39700
2000-12-04,69.5625,70.875,69.1875,69.5625,24700
2000-12-05,70.3125,71.25,68.8125,69.9375,48300
2000-12-06,69.9375,70.875,66.75,67.875,53100
2000-12-07,67.125,69.375,67.125,68.625,30400
2000-12-08,68.8125,72.0,67.6875,72.0,39600
2000-12-11,72.0,72.0,69.0,70.5,66000
2000-12-12,70.125,70.3125,68.4375,68.4375,32400
2000-12-13,68.8125,68.8125,66.75,66.9375,62100
2000-12-14,67.3125,67.3125,66.5625,66.5625,75400
2000-12-15,66.0,67.875,66.0,67.6875,114400
2000-12-18,67.5,69.5625,67.125,67.3125,75100
2000-12-19,67.3125,69.1875,66.1875,69.1875,57400
2000-12-20,69.5625,70.3125,69.375,69.5625,37000
2000-12-21,70.125,72.0,69.5625,72.0,70200
2000-12-22,72.0,73.5,71.4375,73.3125,39300
2000-12-26,72.75,75.375,72.75,74.8125,33300
2000-12-27,74.4375,75.75,74.25,75.75,26600
2000-12-28,75.1875,76.5,75.1875,76.5,36800
2000-12-29,76.125,76.3125,73.125,74.4375,40900
2001-01-02,74.8125,75.1875,70.875,70.875,40700
2001-01-03,70.875,72.0,68.625,69.0,49800
2001-01-04,68.625,68.8125,64.125,65.8125,74600
2001-01-05,65.25,66.75,63.375,64.875,49600
2001-01-08,64.875,67.125,64.5,65.8125,46000
2001-01-09,65.4375,65.625,64.125,65.4375,18500
2001-01-10,64.875,66.75,64.875,66.75,24900
2001-01-11,64.875,65.8125,63.375,63.5625,26000
2001-01-12,63.5625,64.3125,62.625,63.75,30800
2001-01-16,64.3125,64.6875,61.5,62.25,46100
2001-01-17,63.0,63.75,61.5,63.375,20900
2001-01-18,62.625,64.5,60.5625,62.625,78100
2001-01-19,61.875,65.25,61.875,64.6875,71500
2001-01-22,65.4375,65.8125,63.75,64.6875,31100
2001-01-23,65.4375,68.8125,65.4375,66.75,34000
2001-01-24,66.75,67.125,65.25,65.625,29900
2001-01-25,65.25,67.5,64.875,65.8125,35000
2001-01-26,66.375,67.3125,63.75,66.375,30400
2001-01-29,66.0,68.55,65.61,67.02,37900
2001-01-30,67.02,67.2,65.4,66.99,24700
2001-01-31,66.99,67.47,65.4,66.27,38100
2001-02-01,66.27,66.45,64.95,65.4,27800
2001-02-02,64.95,65.22,64.53,64.89,25200
2001-02-05,64.89,65.55,64.65,65.1,22000
2001-02-06,65.1,66.3,64.92,66.3,33000
2001-02-07,65.85,67.47,65.85,66.42,14700
2001-02-08,66.45,67.98,66.45,67.53,15300
2001-02-09,67.8,69.12,67.74,69.12,35500
2001-02-12,69.3,69.6,68.67,69.3,733900
2001-02-13,68.55,68.85,67.8,68.4,82400
2001-02-14,68.4,68.7,67.08,67.74,29700
2001-02-15,67.8,68.7,67.17,67.56,35100
2001-02-16,67.86,69.42,67.35,67.83,36500
2001-02-20,67.95,69.0,67.05,67.53,28400
2001-02-21,67.53,68.85,66.93,67.38,41800
2001-02-22,66.78,68.4,66.78,67.77,26900
2001-02-23,67.35,67.5,64.95,66.54,37500
2001-02-26,66.3,68.1,66.0,68.1,20000
2001-02-27,67.8,68.28,66.6,67.26,22500
2001-02-28,67.98,70.5,66.66,70.5,29100
2001-03-01,70.05,70.05,68.25,69.36,54000
2001-03-02,69.36,69.57,68.7,69.03,41200
2001-03-05,69.15,69.63,68.85,69.42,25500
2001-03-06,69.42,69.63,68.4,69.54,16600
2001-03-07,69.54,69.75,68.46,68.7,21700
2001-03-08,68.4,68.7,67.5,67.98,28500
2001-03-09,68.25,70.32,67.95,69.66,142700
2001-03-12,69.15,70.44,69.0,70.44,71800
2001-03-13,70.41,70.86,70.23,70.86,88800
2001-03-14,70.2,70.2,69.42,70.02,121200
2001-03-15,70.02,70.5,69.84,70.5,35900
2001-03-16,70.8,71.19,69.96,70.02,63800
2001-03-19,69.96,70.47,69.87,70.47,44000
2001-03-20,70.29,71.1,69.96,70.14,28300
2001-03-21,69.96,71.37,69.75,69.84,40500
2001-03-22,69.78,69.78,67.5,68.79,68200
2001-03-23,68.79,68.79,66.9,67.74,65500
2001-03-26,68.1,70.65,67.35,70.2,45600
2001-03-27,70.5,72.3,69.6,71.67,83600
2001-03-28,70.92,72.48,70.53,72.36,131700
2001-03-29,72.12,74.55,71.52,74.25,75700
2001-03-30,74.25,78.0,74.25,77.46,220200
2001-04-02,77.25,78.39,74.7,75.78,94300
2001-04-03,74.85,76.8,73.59,76.5,46900
2001-04-04,75.45,76.8,74.91,75.42,48200
2001-04-05,75.9,76.65,74.1,76.65,42400
2001-04-06,75.9,76.29,73.05,75.0,43700
2001-04-09,74.7,76.5,74.58,76.29,25700
2001-04-10,76.17,77.94,76.17,77.4,41500
2001-04-11,77.4,77.4,75.6,76.53,49900
2001-04-12,76.5,77.4,75.45,77.4,33500
2001-04-16,76.65,77.82,75.63,77.4,35900
2001-04-17,77.4,77.7,75.6,77.1,76600
2001-04-18,76.95,77.1,72.9,73.17,84900
2001-04-19,73.65,74.7,70.5,72.51,91400
2001-04-20,72.51,72.75,70.5,72.33,49100
2001-04-23,72.0,72.9,71.25,71.94,59400
2001-04-24,72.0,72.27,71.46,71.94,44100
2001-04-25,71.94,74.7,71.91,73.32,64100
2001-04-26,73.05,73.89,73.05,73.8,53100
2001-04-27,73.8,74.1,73.05,74.1,35300
2001-04-30,73.5,73.8,73.05,73.11,36400
2001-05-01,73.8,73.8,72.9,73.5,41800
2001-05-02,72.9,73.14,71.73,72.03,28100
2001-05-03,72.03,72.36,70.95,71.55,33500
2001-05-04,71.55,74.4,71.13,74.4,36300
2001-05-07,73.95,74.37,73.35,73.89,37200
2001-05-08,73.8,74.31,73.53,74.04,36300
2001-05-09,73.5,74.25,73.5,73.74,29800
2001-05-10,73.74,73.74,72.66,72.75,750500
2001-05-11,72.15,72.15,70.5,71.4,48800
2001-05-14,71.85,72.57,70.83,72.03,36400
2001-05-15,72.6,72.6,70.86,71.7,69400
2001-05-16,71.7,71.7,70.5,70.5,79200
2001-05-17,70.53,71.4,69.3,70.41,63900
2001-05-18,70.41,71.16,70.05,70.83,37600
2001-05-21,71.16,71.19,69.93,70.41,82300
2001-05-22,70.41,71.55,70.2,71.19,158000
2001-05-23,71.55,72.12,69.45,71.04,163200
2001-05-24,70.5,72.0,70.08,71.46,969400
2001-05-25,71.34,71.43,70.5,70.59,98600
2001-05-29,70.62,70.8,69.87,70.38,64900
2001-05-30,70.2,71.1,69.9,69.9,100200
2001-05-31,69.93,71.28,69.93,71.13,100100
2001-06-01,71.13,71.13,69.3,70.29,75600
2001-06-04,70.29,70.89,69.93,70.8,66500
2001-06-05,70.65,71.37,70.41,70.86,74100
2001-06-06,70.65,70.74,69.96,70.11,48600
2001-06-07,70.05,70.35,69.0,69.45,37100
2001-06-08,69.24,69.75,69.24,69.36,30300
2001-06-11,69.33,70.29,69.3,69.81,55800
2001-06-12,69.75,70.5,69.24,70.5,54500
2001-06-13,69.72,70.2,69.6,69.72,74200
2001-06-14,69.72,69.72,69.0,69.3,73700
2001-06-15,69.0,70.05,69.0,70.05,116500
2001-06-18,69.96,70.68,69.3,69.6,44300
2001-06-19,70.2,70.95,69.75,70.56,53100
2001-06-20,70.5,71.25,70.05,71.22,65300
2001-06-21,71.1,71.22,68.7,68.97,156800
2001-06-22,68.97,69.09,67.35,68.55,111100
2001-06-25,68.52,68.64,66.84,67.38,117900
2001-06-26,68.1,68.1,66.12,68.04,148300
2001-06-27,68.25,68.37,67.26,68.28,81500
2001-06-28,68.55,69.39,68.1,69.3,128200
2001-06-29,69.0,69.75,66.75,67.5,310100
2001-07-02,68.1,69.45,67.95,69.27,116200
2001-07-03,69.27,70.02,69.06,69.69,51700
2001-07-05,69.63,71.55,69.48,71.31,68500
2001-07-06,71.28,71.55,70.8,71.46,68800
2001-07-09,71.82,71.82,69.69,70.05,77500
2001-07-10,70.35,70.98,69.84,70.41,47300
2001-07-11,70.59,70.59,69.03,69.42,37800
2001-07-12,69.9,70.77,69.06,70.05,57800
2001-07-13,69.9,71.07,69.48,70.59,65900
2001-07-16,70.5,71.25,70.08,70.29,41300
2001-07-17,70.05,71.22,69.45,71.13,57200
2001-07-18,71.13,71.34,69.81,70.59,77100
2001-07-19,70.59,71.25,70.53,70.95,73200
2001-07-20,70.95,71.1,70.5,70.83,61400
2001-07-23,70.8,71.04,68.55,69.0,86500
2001-07-24,68.55,68.85,67.5,67.89,87100
2001-07-25,67.89,69.06,67.23,68.85,64600
2001-07-26,68.88,70.5,68.58,70.08,50300
2001-07-27,69.9,70.05,68.7,69.57,47600
2001-07-30,69.75,70.53,68.88,70.2,50100
