date,open,high,low,close,volume
2000-10-05,14.875,15.125,14.8125,14.8125,50400
2000-10-06,14.875,14.9375,14.25,14.5625,51600
2000-10-09,14.5,14.5,13.75,14.0,64800
2000-10-10,14.0,14.0625,12.125,13.2656,135500
2000-10-11,13.3125,14.5,13.3125,14.3594,60100
2000-10-12,14.125,14.5,13.875,14.0625,15700
2000-10-13,14.3125,15.3594,13.9375,15.1875,115100
2000-10-16,14.9375,15.25,14.375,14.5,37400
2000-10-17,15.3125,15.4375,14.6875,14.75,166400
2000-10-18,14.75,14.8125,14.5,14.8125,99800
2000-10-19,14.9375,15.25,14.75,15.0625,60600
2000-10-20,15.1406,15.5625,15.0,15.5,109900
2000-10-23,15.625,16.0,15.625,15.75,55600
2000-10-24,15.75,16.0625,15.75,16.0,119500
2000-10-25,16.0,16.1094,15.9375,16.0,52900
2000-10-26,15.9375,16.125,15.6875,15.875,193400
2000-10-27,15.7656,15.875,15.125,15.625,86400
2000-10-30,15.375,16.0625,15.375,15.875,86100
2000-10-31,16.125,16.9375,15.75,16.0,171300
2000-11-01,16.0625,16.8125,16.0,16.5625,141100
2000-11-02,16.5,17.0,16.5,16.6875,45800
2000-11-03,16.75,17.0,16.1875,16.5,37800
2000-11-06,16.875,17.25,16.6406,17.0,131600
2000-11-07,16.875,17.0,16.75,16.9375,50300
2000-11-08,16.9375,17.0,16.875,16.875,26400
2000-11-09,16.5,16.9375,16.25,16.875,97200
2000-11-10,16.75,16.9375,16.1875,16.6875,120100
2000-11-13,16.75,18.625,16.7031,17.875,456100
2000-11-14,17.875,18.125,17.375,17.625,187700
2000-11-15,17.625,18.875,17.625,18.4375,209200
2000-11-16,18.5,18.625,17.875,17.9375,44200
2000-11-17,17.9688,18.5,17.9688,18.4219,81300
2000-11-20,18.2188,18.375,17.75,17.875,41000
2000-11-21,17.9375,18.25,17.375,17.375,95300
2000-11-22,17.3125,17.5469,16.25,17.4375,65300
2000-11-24,17.3906,18.0,17.3906,18.0,27400
2000-11-27,18.1875,18.5,18.125,18.125,81900
2000-11-28,18.0625,18.5,18.0625,18.4375,79800
2000-11-29,18.4375,18.5625,18.125,18.25,230800
2000-11-30,18.125,18.25,14.625,14.6875,256700
2000-12-01,15.75,18.25,15.7031,17.4375,215000
2000-12-04,17.5,18.4375,17.25,18.0,170700
2000-12-05,18.0625,19.25,18.0625,18.3125,167300
2000-12-06,18.0938,18.3125,17.5625,17.9375,63800
2000-12-07,17.9375,18.875,17.6875,18.6875,217500
2000-12-08,19.125,20.625,19.0625,19.8125,330100
2000-12-11,20.2188,20.5,20.0,20.125,486100
2000-12-12,20.375,20.375,20.0,20.0,532500
2000-12-13,20.0625,20.25,18.6875,19.5,202000
