date,open,high,low,close,volume
2000-10-05,4.4,4.4,4.4,4.4,1700
2000-10-06,4.3,4.3,4.25,4.25,1700
2000-10-09,4.2,4.2,4.2,4.2,20700
2000-10-10,4.1,4.2,4.1,4.15,5500
2000-10-11,4.1,4.1,4.025,4.025,19500
2000-10-12,4.025,4.025,4.025,4.025,2200
2000-10-13,4.025,4.025,4.025,4.025,0
2000-10-16,4.075,4.15,4.075,4.15,2000
2000-10-17,4.15,4.15,4.0,4.0,8200
2000-10-18,4.05,4.05,4.0,4.025,7200
2000-10-19,4.0,4.0,4.0,4.0,2000
2000-10-20,4.1,4.1,4.0,4.0,6500
2000-10-23,4.0,4.0,4.0,4.0,0
2000-10-24,4.1,4.15,4.1,4.125,1500
2000-10-25,4.125,4.125,4.125,4.125,0
2000-10-26,4.0,4.2,3.95,4.2,14200
2000-10-27,4.3,4.6,4.3,4.6,39500
2000-10-30,4.625,4.625,4.625,4.625,1000
2000-10-31,4.625,4.625,4.625,4.625,0
2000-11-01,4.625,4.625,4.625,4.625,0
2000-11-02,4.625,4.625,4.625,4.625,0
2000-11-03,4.625,4.625,4.625,4.625,0
2000-11-06,4.6,4.6,4.525,4.525,7500
2000-11-07,4.525,4.525,4.525,4.525,0
2000-11-08,4.45,4.55,4.45,4.45,2500
2000-11-09,4.425,4.6,4.425,4.5,19500
2000-11-10,4.5,4.5,4.45,4.45,3000
2000-11-13,4.5,4.5,4.5,4.5,6000
2000-11-14,4.5,4.55,4.45,4.45,6700
2000-11-15,4.1,4.25,4.1,4.25,36200
2000-11-16,4.3,4.35,4.15,4.25,11000
2000-11-17,4.25,4.25,4.25,4.25,0
2000-11-20,4.15,4.3,4.15,4.3,6000
2000-11-21,4.25,4.35,4.2,4.25,5000
2000-11-22,4.3,4.3,4.1,4.1,6700
2000-11-24,4.1,4.1,4.1,4.1,0
2000-11-27,4.1,4.1,4.1,4.1,0
2000-11-28,4.15,4.15,4.15,4.15,2500
2000-11-29,4.15,4.15,4.15,4.15,0
2000-11-30,4.2,4.2,4.1,4.1,17500
