date,open,high,low,close,volume
2000-10-05,3.4844,3.4844,3.4844,3.4844,800
2000-10-06,3.4219,3.4531,3.4219,3.4531,20000
2000-10-09,3.4688,3.5,3.4688,3.5,19200
2000-10-10,3.5312,3.5312,3.5234,3.5234,9600
2000-10-11,3.5234,3.5234,3.5234,3.5234,0
2000-10-12,3.5,3.5,3.4688,3.4688,9600
2000-10-13,3.3906,3.4062,3.2812,3.4062,113600
2000-10-16,3.4375,3.4375,3.375,3.375,39200
2000-10-17,3.3594,3.3906,3.3594,3.3594,4800
2000-10-18,3.3594,3.3594,3.3438,3.3438,9600
2000-10-19,3.3203,3.3281,3.2969,3.3203,28000
2000-10-20,3.3203,3.3203,3.2812,3.2812,20800
2000-10-23,3.2812,3.2812,3.1875,3.1875,291200
2000-10-24,3.1719,3.1719,3.1719,3.1719,4800
2000-10-25,3.1875,3.1875,3.1875,3.1875,3200
2000-10-26,3.2188,3.2344,3.1953,3.2344,8800
2000-10-27,3.2031,3.2031,3.1875,3.1875,23200
2000-10-30,3.1875,3.2188,3.1875,3.2188,5600
2000-10-31,3.25,3.2812,3.25,3.2812,12800
2000-11-01,3.25,3.25,3.25,3.25,19200
2000-11-02,3.25,3.25,3.25,3.25,6400
2000-11-03,3.25,3.25,3.25,3.25,0
2000-11-06,3.2656,3.2656,3.25,3.25,32800
2000-11-07,3.2188,3.2656,3.2188,3.25,44800
2000-11-08,3.25,3.2812,3.25,3.2812,18400
2000-11-09,3.2812,3.2812,3.2812,3.2812,0
2000-11-10,3.2656,3.2656,3.2656,3.2656,800
2000-11-13,3.25,3.25,3.25,3.25,32000
2000-11-14,3.2812,3.2812,3.2344,3.25,18400
2000-11-15,3.2344,3.2344,3.2031,3.2031,33600
2000-11-16,3.1875,3.2188,3.1875,3.2188,10400
2000-11-17,3.1719,3.25,3.125,3.25,24800
2000-11-20,3.2188,3.2344,3.1875,3.2031,31200
2000-11-21,3.2344,3.2344,3.1875,3.1875,10400
2000-11-22,3.1328,3.1719,3.125,3.125,27200
2000-11-24,3.125,3.125,3.125,3.125,1600
2000-11-27,3.1562,3.1562,3.0625,3.0625,25600
2000-11-28,3.0938,3.1094,3.0938,3.1094,3200
2000-11-29,3.1094,3.1094,2.9844,3.0078,48800
2000-11-30,2.9922,3.0312,2.9531,2.9531,24000
2000-12-01,2.9531,2.9531,2.9531,2.9531,4000
2000-12-04,2.9375,2.9844,2.9219,2.9531,57600
2000-12-05,2.9531,3.0625,2.9531,3.0312,260000
2000-12-06,3.0312,3.0625,3.0234,3.0312,827200
2000-12-07,3.0469,3.0625,3.0156,3.0391,22400
2000-12-08,3.0625,3.0625,3.0078,3.0078,33600
2000-12-11,3.0078,3.0078,2.9688,3.0,39200
2000-12-12,2.9844,3.0312,2.9844,3.0156,25600
2000-12-13,3.0,3.0078,2.9688,2.9688,29600
2000-12-14,3.0,3.0156,2.9609,2.9609,28800
2000-12-15,2.9609,2.9922,2.9609,2.9844,46400
2000-12-18,2.9844,2.9844,2.9531,2.9531,20000
2000-12-19,2.9531,2.9531,2.9531,2.9531,4800
2000-12-20,2.9375,2.9375,2.9219,2.9297,10400
2000-12-21,2.9141,2.9531,2.9062,2.9062,31200
2000-12-22,2.8906,2.9141,2.875,2.875,28000
2000-12-26,2.8906,2.9062,2.875,2.9062,40000
2000-12-27,2.9219,2.9375,2.8906,2.9375,30400
2000-12-28,2.9062,2.9062,2.8828,2.8984,32800
2000-12-29,2.8828,2.8828,2.875,2.875,24000
2001-01-02,2.875,2.875,2.875,2.875,6400
2001-01-03,2.875,2.9062,2.875,2.9062,43200
2001-01-04,2.9219,2.9375,2.9219,2.9375,56800
2001-01-05,2.9375,2.9375,2.9062,2.9062,4800
2001-01-08,2.9531,2.9531,2.9062,2.9062,18400
2001-01-09,2.9297,2.9297,2.9297,2.9297,8000
2001-01-10,2.9375,2.9531,2.9375,2.9531,21600
2001-01-11,2.9844,2.9844,2.9219,2.9531,85600
2001-01-12,2.9219,2.9375,2.9219,2.9375,4000
2001-01-16,2.9531,3.0,2.9062,2.9688,59200
2001-01-17,2.9688,3.0,2.9531,2.9844,16000
2001-01-18,2.9531,2.9531,2.875,2.875,109600
2001-01-19,2.8906,2.9375,2.8906,2.9062,58400
