date,open,high,low,close,volume
2000-10-05,16.0,16.125,15.875,16.0625,70000
2000-10-06,16.0312,16.25,16.0312,16.0938,24400
2000-10-09,16.0312,16.1562,16.0312,16.0625,24400
2000-10-10,16.0938,16.4375,16.0938,16.3125,39600
2000-10-11,16.2188,16.375,16.1875,16.25,14800
2000-10-12,16.125,16.25,16.0312,16.0625,40200
2000-10-13,16.0312,16.375,16.0312,16.375,36400
2000-10-16,16.375,16.375,16.0625,16.3438,37800
2000-10-17,16.4375,16.4375,16.1562,16.2188,20600
2000-10-18,16.125,16.1562,16.0312,16.1562,11600
2000-10-19,16.125,16.125,16.0,16.0625,134600
2000-10-20,16.0625,16.125,15.9375,16.0625,25800
2000-10-23,16.0,16.0,15.8125,15.8125,13800
2000-10-24,15.8125,15.9062,15.5,15.6875,109000
2000-10-25,15.6562,15.6562,15.4062,15.4688,79400
2000-10-26,15.375,15.9688,15.375,15.9688,209800
2000-10-27,16.0312,16.0312,15.875,16.0312,17000
2000-10-30,15.9688,16.25,15.9688,16.0938,45800
2000-10-31,16.1875,16.4375,16.125,16.4375,34000
2000-11-01,16.3125,16.3125,15.9375,16.0,30400
2000-11-02,16.0,16.2188,15.75,16.2188,19400
2000-11-03,16.1562,16.1875,16.0,16.1875,12800
2000-11-06,16.2812,16.2812,16.0,16.2812,22600
2000-11-07,16.2188,16.2812,16.0,16.2812,8200
2000-11-08,16.2188,16.25,16.0,16.0,16800
2000-11-09,16.0,16.0,15.8125,15.9688,23600
2000-11-10,15.8438,15.8438,15.25,15.6875,79800
2000-11-13,15.7812,16.3125,15.7188,16.3125,79800
2000-11-14,16.2812,16.5,16.0,16.4375,83200
2000-11-15,16.375,17.0312,16.25,17.0,89400
2000-11-16,16.9062,17.1875,16.5625,16.5625,61800
2000-11-17,16.6875,17.0312,16.6875,17.0312,26600
2000-11-20,16.9688,17.25,16.8438,17.1875,23200
2000-11-21,17.1875,17.25,17.0,17.0938,77000
2000-11-22,17.0,17.25,17.0,17.125,32400
2000-11-24,17.0625,17.375,17.0625,17.375,14400
2000-11-27,17.375,17.375,17.125,17.1562,5600
2000-11-28,17.2188,17.2812,17.0,17.2188,56600
2000-11-29,17.125,17.2188,17.0312,17.0312,26800
2000-11-30,17.0312,17.25,17.0312,17.1875,20200
2000-12-01,17.0938,17.1875,16.875,17.1875,49600
2000-12-04,17.125,17.1875,16.9688,17.0,82400
2000-12-05,17.0625,17.5,17.0312,17.5,34200
2000-12-06,17.4688,17.5,16.875,16.875,34400
2000-12-07,16.75,16.7812,16.625,16.6875,12000
2000-12-08,16.6875,16.75,16.1875,16.75,58600
2000-12-11,16.7188,17.25,16.7188,17.1562,25400
2000-12-12,17.0938,17.1562,17.0,17.1562,60600
2000-12-13,17.0625,17.2812,17.0,17.0625,33800
