date,open,high,low,close,volume
2000-10-05,14.8125,14.875,14.8125,14.875,11200
2000-10-06,14.6875,14.6875,14.5,14.5,7600
2000-10-09,14.5,14.5,14.5,14.5,0
2000-10-10,14.25,14.25,14.25,14.25,800
2000-10-11,14.25,14.375,14.25,14.25,22800
2000-10-12,14.125,14.25,14.125,14.25,14800
2000-10-13,14.25,14.25,14.25,14.25,3200
2000-10-16,14.2188,14.2188,14.0312,14.0312,4400
2000-10-17,14.1875,14.1875,14.125,14.125,3600
2000-10-18,14.0938,14.0938,14.0625,14.0625,11600
2000-10-19,14.1094,14.1094,13.9688,13.9688,32800
2000-10-20,13.875,13.875,13.375,13.75,13600
2000-10-23,13.375,13.5,13.2812,13.5,49200
2000-10-24,13.25,13.625,13.0625,13.625,10000
2000-10-25,13.5,13.625,13.3125,13.3125,50400
2000-10-26,13.3438,13.3438,12.9375,13.0625,18400
2000-10-27,13.2812,13.2812,13.2812,13.2812,400
2000-10-30,13.25,13.25,13.25,13.25,8000
2000-10-31,13.375,13.375,13.3438,13.3438,21200
2000-11-01,13.4688,13.4688,13.4062,13.4062,41200
2000-11-02,13.5,13.6875,13.4688,13.6875,26800
2000-11-03,13.5625,13.5625,13.5,13.5,800
2000-11-06,13.5156,13.625,13.5,13.625,50800
2000-11-07,13.625,13.75,13.625,13.6875,18800
2000-11-08,13.75,13.8125,13.75,13.75,3600
2000-11-09,13.7656,13.7656,13.5,13.6875,24400
2000-11-10,13.75,13.875,13.75,13.875,16400
2000-11-13,13.6562,13.875,13.6562,13.875,3200
2000-11-14,13.7812,13.7812,13.6875,13.6875,20000
2000-11-15,13.6875,13.6875,13.5938,13.625,150400
2000-11-16,13.5625,13.5625,13.375,13.4062,59600
2000-11-17,13.4062,13.4375,13.25,13.25,14000
2000-11-20,13.0312,13.2188,12.9062,13.1875,11200
2000-11-21,13.125,13.125,12.9062,13.125,14400
2000-11-22,13.125,13.125,12.75,13.125,101600
2000-11-24,13.125,13.25,13.125,13.25,2400
2000-11-27,13.1875,13.1875,12.8438,12.875,52400
2000-11-28,12.9062,12.9688,12.7812,12.9688,51600
2000-11-29,13.0,13.0,12.7656,12.9688,5600
2000-11-30,12.9688,12.9688,12.7344,12.9688,14400
2000-12-01,12.9688,12.9688,12.6562,12.875,14800
