date,open,high,low,close,volume
2000-10-05,4.0,4.1875,3.9375,4.1875,32500
2000-10-06,4.0,4.125,4.0,4.125,3900
2000-10-09,4.125,4.125,4.125,4.125,500
2000-10-10,4.0,4.0,3.9375,4.0,8200
2000-10-11,4.0,4.0,3.9375,4.0,600
2000-10-12,3.875,4.0,3.875,4.0,25400
2000-10-13,3.75,4.0,3.75,4.0,2000
2000-10-16,3.9375,4.0,3.9375,3.9375,4700
2000-10-17,3.875,3.875,3.6875,3.6875,20200
2000-10-18,3.625,3.9375,3.625,3.875,10600
2000-10-19,3.9375,3.9375,3.9375,3.9375,100
2000-10-20,3.9375,3.9375,3.75,3.875,10300
2000-10-23,3.75,3.9375,3.6875,3.9375,6200
2000-10-24,3.8125,3.875,3.8125,3.875,2200
2000-10-25,3.875,3.875,3.875,3.875,200
2000-10-26,4.0,4.0,3.875,3.875,5800
2000-10-27,3.875,3.875,3.8125,3.875,8400
2000-10-30,3.75,4.0625,3.75,4.0,9500
2000-10-31,3.9375,3.9375,3.9375,3.9375,2000
2000-11-01,4.0,4.0,3.875,3.875,300
2000-11-02,3.875,3.875,3.8125,3.8125,4600
2000-11-03,3.875,4.0,3.875,4.0,16300
2000-11-06,4.0,4.0,3.875,3.875,11300
2000-11-07,4.0,4.0625,3.875,4.0625,14500
2000-11-08,3.875,3.875,3.875,3.875,4900
2000-11-09,4.0,4.0,3.8125,4.0,18600
2000-11-10,4.0,4.125,4.0,4.125,16100
2000-11-13,4.125,4.125,3.875,3.875,7100
2000-11-14,4.0,4.0,4.0,4.0,1000
2000-11-15,4.0,4.0,4.0,4.0,14000
2000-11-16,4.0,4.0,3.875,3.875,1500
2000-11-17,3.875,3.875,3.875,3.875,900
2000-11-20,3.875,3.875,3.8125,3.8125,1100
2000-11-21,3.75,3.9375,3.75,3.75,45100
2000-11-22,3.75,3.875,3.75,3.875,14800
2000-11-24,3.9375,3.9375,3.875,3.875,10000
2000-11-27,3.75,4.0,3.75,4.0,18600
2000-11-28,3.75,3.9375,3.75,3.9375,260600
2000-11-29,4.0,4.0,3.9375,4.0,5400
2000-11-30,3.9375,3.9375,3.75,3.875,167500
2000-12-01,3.75,3.9375,3.75,3.75,10200
2000-12-04,3.6875,3.875,3.6875,3.75,16000
2000-12-05,3.875,3.875,3.75,3.875,3700
2000-12-06,3.9375,4.0,3.75,3.875,14600
2000-12-07,3.75,4.125,3.75,4.125,16600
2000-12-08,4.125,4.125,4.0625,4.0625,4000
2000-12-11,4.0,4.0625,3.875,4.0312,158200
2000-12-12,4.0,4.0,4.0,4.0,1800
2000-12-13,4.0,4.1875,4.0,4.125,7700
2000-12-14,4.0,4.125,4.0,4.125,6500
2000-12-15,4.1875,4.1875,4.1875,4.1875,200
2000-12-18,4.1875,4.1875,4.0,4.0,3000
2000-12-19,4.0,4.0,3.75,3.9375,14700
2000-12-20,3.75,3.9375,3.75,3.875,11600
2000-12-21,3.75,3.875,3.5625,3.875,18400
2000-12-22,3.875,3.875,3.75,3.875,7500
2000-12-26,4.0,4.0625,3.875,3.875,4200
2000-12-27,3.75,4.0,3.625,3.75,30700
2000-12-28,3.75,4.125,3.75,4.0625,27000
2000-12-29,4.0,4.5625,4.0,4.5625,87400
2001-01-02,4.375,4.375,4.125,4.125,8500
2001-01-03,4.0625,4.25,4.0625,4.25,5500
2001-01-04,4.125,4.375,4.0625,4.375,3500
2001-01-05,4.375,4.375,4.3125,4.375,4700
2001-01-08,4.25,4.25,4.0625,4.125,16100
2001-01-09,4.125,4.125,4.125,4.125,4100
2001-01-10,4.125,4.125,4.0,4.125,3700
2001-01-11,4.0,4.125,4.0,4.125,10300
2001-01-12,4.125,4.25,3.9375,4.125,18700
2001-01-16,4.0,4.25,3.875,4.25,31400
2001-01-17,4.125,4.1875,4.0,4.125,9900
2001-01-18,4.125,4.25,4.125,4.1875,23800
2001-01-19,4.25,4.3125,4.1875,4.25,12000
2001-01-22,4.375,4.75,4.3125,4.625,33600
2001-01-23,4.5,4.5,4.25,4.25,50900
2001-01-24,4.375,4.625,4.375,4.625,31700
2001-01-25,4.6875,4.9375,4.625,4.875,59500
2001-01-26,4.75,4.9375,4.625,4.9375,24200
2001-01-29,4.9,5.0,4.9,4.95,40500
2001-01-30,5.0,5.0,4.9,4.99,11700
2001-01-31,4.95,4.95,4.75,4.85,5500
2001-02-01,4.7,4.8,4.7,4.8,6900
2001-02-02,4.72,4.86,4.7,4.86,1600
2001-02-05,4.94,4.94,4.83,4.92,1600
2001-02-06,4.8,4.94,4.8,4.94,4600
2001-02-07,4.9,4.9,4.9,4.9,200
2001-02-08,4.9,4.9,4.9,4.9,300
2001-02-09,4.71,4.89,4.71,4.89,3900
2001-02-12,4.89,4.89,4.7,4.7,4200
2001-02-13,4.8,4.8,4.75,4.78,400
2001-02-14,4.7,4.75,4.6,4.75,4300
2001-02-15,4.72,4.75,4.65,4.73,10100
2001-02-16,4.73,4.73,4.73,4.73,100
2001-02-20,4.73,4.73,4.7,4.7,1300
2001-02-21,4.7,4.7,4.5,4.7,10100
2001-02-22,4.6,4.7,4.5,4.67,6800
2001-02-23,4.65,4.65,4.65,4.65,3400
2001-02-26,4.7,4.7,4.36,4.55,6300
2001-02-27,4.55,4.55,4.05,4.3,14200
2001-02-28,4.2,4.25,4.05,4.25,4500
2001-03-01,4.2,4.25,4.06,4.2,10500
2001-03-02,4.2,4.33,4.2,4.33,10600
2001-03-05,4.25,4.29,4.06,4.06,5300
2001-03-06,4.06,4.22,4.05,4.22,10800
2001-03-07,4.22,4.22,4.1,4.1,3000
2001-03-08,4.22,4.3,4.1,4.3,1200
2001-03-09,4.29,4.29,4.1,4.29,6200
2001-03-12,4.25,4.27,4.25,4.27,5100
2001-03-13,4.35,4.45,4.06,4.2,16200
2001-03-14,4.05,4.18,4.05,4.18,5200
2001-03-15,4.1,4.19,4.1,4.19,5200
2001-03-16,4.1,4.17,4.07,4.17,4900
2001-03-19,4.1,4.19,4.1,4.19,1900
2001-03-20,4.19,4.23,4.19,4.2,7600
2001-03-21,4.22,4.22,4.15,4.2,1200
2001-03-22,4.07,4.1,3.9,4.1,14100
2001-03-23,4.0,4.2,4.0,4.1,3600
2001-03-26,4.15,4.15,4.15,4.15,100
2001-03-27,4.17,4.24,4.11,4.22,8700
2001-03-28,4.11,4.17,4.02,4.06,14000
2001-03-29,4.17,4.17,4.11,4.16,5500
2001-03-30,4.15,4.6,4.11,4.6,23000
2001-04-02,4.4,4.4,4.2,4.35,5700
2001-04-03,4.25,4.25,4.11,4.11,3400
2001-04-04,4.2,4.2,4.0,4.15,2500
2001-04-05,4.25,4.3,4.11,4.2,6100
2001-04-06,4.05,4.1,4.01,4.07,20800
2001-04-09,4.12,4.17,4.12,4.17,3100
2001-04-10,4.19,4.19,4.01,4.15,7600
2001-04-11,4.15,4.15,4.15,4.15,100
2001-04-12,4.19,4.19,4.01,4.14,14800
2001-04-16,4.04,4.1,3.9,3.95,23600
2001-04-17,3.95,3.95,3.95,3.95,100
2001-04-18,4.0,4.0,3.82,3.82,21400
2001-04-19,3.9,4.0,3.9,4.0,43800
2001-04-20,4.0,4.0,3.85,3.94,25400
2001-04-23,3.97,3.97,3.75,3.8,9400
2001-04-24,3.81,4.0,3.81,3.88,18300
2001-04-25,3.76,4.0,3.76,4.0,26200
2001-04-26,4.1,4.14,4.1,4.13,11400
2001-04-27,4.13,4.13,4.13,4.13,5000
2001-04-30,4.13,4.13,4.13,4.13,1100
2001-05-01,4.05,4.07,3.85,4.0,20300
2001-05-02,4.0,4.0,3.87,3.95,1900
2001-05-03,3.98,4.0,3.98,4.0,12600
2001-05-04,4.0,4.0,4.0,4.0,15300
2001-05-07,3.9,4.0,3.9,4.0,300
2001-05-08,3.9,4.0,3.9,4.0,7900
2001-05-09,4.0,4.0,4.0,4.0,600
2001-05-10,4.0,4.02,3.95,3.98,28800
2001-05-11,3.99,4.24,3.99,4.24,85200
2001-05-14,4.24,4.3,4.24,4.3,24800
2001-05-15,4.3,4.3,4.3,4.3,13600
2001-05-16,4.2,4.3,4.16,4.3,5600
2001-05-17,4.3,4.8,4.25,4.8,22200
2001-05-18,4.8,4.95,4.76,4.95,8600
2001-05-21,4.9,5.2,4.84,5.05,32100
2001-05-22,5.05,5.05,5.0,5.0,20200
2001-05-23,4.95,4.95,4.75,4.9,6800
2001-05-24,4.8,4.95,4.7,4.75,10100
2001-05-25,4.85,4.95,4.85,4.9,27100
2001-05-29,4.8,4.8,4.55,4.55,37000
2001-05-30,4.62,4.73,4.51,4.73,3700
2001-05-31,4.65,4.79,4.6,4.7,18500
2001-06-01,4.78,4.78,4.55,4.6,18000
2001-06-04,4.55,4.75,4.51,4.7,5300
2001-06-05,4.75,4.8,4.62,4.7,5800
2001-06-06,4.7,4.75,4.65,4.75,1700
2001-06-07,4.8,4.8,4.72,4.72,4000
2001-06-08,4.75,4.75,4.75,4.75,200
2001-06-11,4.66,4.66,4.66,4.66,600
2001-06-12,4.73,4.73,4.73,4.73,100
2001-06-13,4.75,4.75,4.75,4.75,1000
2001-06-14,4.75,4.75,4.75,4.75,4200
2001-06-15,4.65,4.9,4.65,4.9,21000
2001-06-18,4.9,4.9,4.85,4.89,4500
2001-06-19,4.7,4.75,4.7,4.75,2500
2001-06-20,4.6,4.69,4.6,4.69,1100
2001-06-21,4.69,4.69,4.69,4.69,0
2001-06-22,4.55,4.7,4.4,4.6,25200
2001-06-25,4.85,4.85,4.6,4.65,8900
2001-06-26,4.55,4.6,4.55,4.6,1300
2001-06-27,4.45,4.45,4.35,4.4,14700
2001-06-28,4.2,4.45,4.2,4.45,237000
2001-06-29,4.31,4.45,4.31,4.45,10700
2001-07-02,4.5,4.5,4.5,4.5,7000
2001-07-03,4.25,4.4,4.25,4.4,8700
2001-07-05,4.45,4.48,4.4,4.48,1900
2001-07-06,4.45,4.45,4.4,4.4,2000
2001-07-09,4.4,4.4,4.4,4.4,100
2001-07-10,4.4,4.4,4.26,4.26,5200
2001-07-11,4.25,4.3,4.25,4.25,11300
2001-07-12,4.3,4.3,4.3,4.3,51400
2001-07-13,4.38,4.45,4.38,4.38,2700
2001-07-16,4.3,4.3,4.25,4.25,27400
2001-07-17,4.1,4.2,4.05,4.2,13800
2001-07-18,4.15,4.15,4.15,4.15,7000
2001-07-19,4.12,4.12,4.1,4.1,3600
2001-07-20,4.1,4.1,4.1,4.1,14100
2001-07-23,4.2,4.2,4.2,4.2,200
2001-07-24,4.24,4.35,4.24,4.25,25100
2001-07-25,4.27,4.27,4.15,4.15,6300
2001-07-26,4.15,4.15,4.15,4.15,200
2001-07-27,4.1,4.1,4.1,4.1,4000
2001-07-30,4.1,4.1,4.1,4.1,5700
2001-07-31,4.15,4.2,4.1,4.1,6500
2001-08-01,4.05,4.1,4.05,4.1,6100
2001-08-02,4.1,4.15,4.1,4.15,1600
2001-08-03,4.25,4.26,4.25,4.25,6500
2001-08-06,4.25,4.4,4.25,4.4,24600
2001-08-07,4.35,4.36,4.3,4.3,11200
2001-08-08,4.3,4.3,4.25,4.25,21000
2001-08-09,4.2,4.21,4.2,4.21,13000
2001-08-10,4.2,4.25,4.2,4.21,8300
2001-08-13,4.25,4.25,4.23,4.23,27000
2001-08-14,4.25,4.28,4.25,4.25,19200
2001-08-15,4.32,4.32,4.2,4.2,55200
2001-08-16,4.16,4.16,4.15,4.15,24800
