date,open,high,low,close,volume
2000-10-05,5.1546,5.1931,5.1546,5.1931,6300
2000-10-06,5.1931,5.1931,5.1162,5.1162,6100
2000-10-09,5.0392,5.0777,5.0008,5.0777,21000
2000-10-10,5.0392,5.1162,5.0392,5.0777,34300
2000-10-11,5.1162,5.1931,5.0777,5.1931,39900
2000-10-12,5.1162,5.1162,5.1162,5.1162,3600
2000-10-13,5.0777,5.1931,5.0777,5.1931,38700
2000-10-16,5.1162,5.1162,5.1162,5.1162,7700
2000-10-17,5.1546,5.1739,5.0392,5.0777,43500
2000-10-18,5.0392,5.0392,5.0392,5.0392,1100
2000-10-19,5.0585,5.1354,5.0585,5.1354,31000
2000-10-20,5.1739,5.2123,5.1354,5.1354,61800
2000-10-23,5.1162,5.1162,5.0777,5.1162,10600
2000-10-24,5.0777,5.0777,4.9623,5.0777,34400
2000-10-25,5.0585,5.1354,5.0392,5.0777,33100
2000-10-26,5.0392,5.0392,5.0008,5.0008,17900
2000-10-27,5.0008,5.0392,5.0008,5.0008,24700
2000-10-30,4.9623,5.1546,4.9238,5.1546,72100
2000-10-31,5.1546,5.1546,5.1162,5.1354,53600
2000-11-01,5.1162,5.1546,5.0777,5.1162,72600
2000-11-02,5.1162,5.1354,5.0392,5.1354,29200
2000-11-03,5.1354,5.1546,5.0008,5.0008,71100
2000-11-06,5.0392,5.0392,5.0008,5.02,21600
2000-11-07,5.0008,5.1162,5.0008,5.1162,8400
2000-11-08,5.1354,5.1354,5.1162,5.1354,18100
2000-11-09,5.0777,5.1162,5.0392,5.1162,29200
2000-11-10,5.1162,5.1162,5.02,5.0969,19200
2000-11-13,5.0777,5.1162,4.9623,5.1162,44600
2000-11-14,5.1162,5.1739,5.0392,5.1354,70100
2000-11-15,5.0777,5.1162,5.02,5.1162,20600
2000-11-16,5.0777,5.0969,5.0008,5.0392,18100
2000-11-17,5.1162,5.1162,5.02,5.02,6300
2000-11-20,5.02,5.1546,5.02,5.0777,48500
2000-11-21,5.0777,5.1162,5.0392,5.1162,16800
2000-11-22,5.1162,5.1546,5.1162,5.1546,7700
2000-11-24,5.1546,5.1931,5.1546,5.1931,200
2000-11-27,5.1931,5.1931,5.1162,5.1162,7700
2000-11-28,5.1546,5.1546,5.0777,5.1162,22600
2000-11-29,5.1162,5.1162,5.0585,5.0777,13900
2000-11-30,5.0777,5.1162,5.0392,5.1162,41900
2000-12-01,5.1162,5.1354,5.0777,5.1162,28300
2000-12-04,5.1162,5.1162,5.0777,5.0777,34300
2000-12-05,5.0969,5.1546,5.0777,5.1354,10400
2000-12-06,5.1354,5.1354,4.9623,4.9623,17300
2000-12-07,4.9815,5.0777,4.9815,5.0392,21000
2000-12-08,5.0969,5.0969,5.0777,5.0969,7900
2000-12-11,5.1546,5.1931,5.0777,5.1546,46400
2000-12-12,5.1162,5.1931,5.1162,5.1931,23700
2000-12-13,5.1739,5.1739,5.0392,5.0777,90900
2000-12-14,5.0777,5.1931,5.0777,5.1546,20000
2000-12-15,5.1162,5.1162,5.0777,5.1162,22700
2000-12-18,5.0777,5.2123,5.0777,5.2123,57200
2000-12-19,5.1931,5.2316,5.1162,5.1162,44200
2000-12-20,5.1162,5.1162,5.1162,5.1162,100
2000-12-21,5.1162,5.1931,5.1162,5.1739,95700
2000-12-22,5.2123,5.2123,5.1354,5.2123,78700
2000-12-26,5.2123,5.2316,5.1931,5.2316,93700
2000-12-27,5.3085,5.5201,5.1546,5.5201,54000
2000-12-28,5.4816,5.5201,5.4431,5.5201,39900
2000-12-29,5.5201,5.5201,5.2316,5.2316,32400
2001-01-02,5.27,5.347,5.1546,5.2316,107900
2001-01-03,5.2469,5.8393,5.2469,5.8393,104100
2001-01-04,5.8393,5.924,5.7547,5.7547,45300
2001-01-05,5.7547,5.7547,5.5008,5.5431,26400
2001-01-08,5.4585,5.4585,5.3316,5.3316,13900
2001-01-09,5.2046,5.2046,5.0777,5.1623,36400
2001-01-10,5.1623,5.3316,5.1623,5.3316,31500
2001-01-11,5.3527,5.4162,5.2893,5.3316,9600
2001-01-12,5.3527,5.3527,5.3104,5.3104,10400
2001-01-16,5.3316,5.3316,5.2046,5.3316,11700
2001-01-17,5.3739,5.3739,5.0354,5.2046,157000
2001-01-18,5.2893,5.3316,5.2469,5.3104,53300
2001-01-19,5.2681,5.3316,5.2469,5.2893,33000
2001-01-22,5.3104,5.3316,5.3104,5.3104,15400
2001-01-23,5.2681,5.3316,5.2469,5.3104,33000
2001-01-24,5.2681,5.2681,5.2469,5.2469,1700
2001-01-25,5.2893,5.3316,5.2893,5.2893,16500
2001-01-26,5.1623,5.2681,5.1623,5.2681,30500
2001-01-29,5.3485,5.4162,5.2469,5.3146,26900
2001-01-30,5.3146,5.3316,5.274,5.2977,67900
2001-01-31,5.3383,5.3485,5.2909,5.2909,13400
2001-02-01,5.1623,5.2876,5.1623,5.2131,45400
2001-02-02,5.2469,5.2469,5.1623,5.1623,21200
2001-02-05,5.1894,5.1962,5.1894,5.1962,2300
2001-02-06,5.1962,5.2639,5.1454,5.2639,16100
2001-02-07,5.2199,5.2808,5.2131,5.2808,12300
2001-02-08,5.2537,5.2808,5.1454,5.1454,28300
2001-02-09,5.1048,5.1792,5.1048,5.1115,19300
2001-02-12,5.1285,5.1623,5.1115,5.1555,23900
2001-02-13,5.1623,5.2368,5.1115,5.2131,42900
2001-02-14,5.2131,5.2808,5.2131,5.2469,38700
2001-02-15,5.2808,5.2977,5.0845,5.0845,53600
2001-02-16,5.1623,5.2673,5.1454,5.1962,52300
2001-02-20,5.1285,5.1623,4.8678,4.9423,23900
2001-02-21,4.9423,4.9931,4.8915,4.9931,54600
2001-02-22,5.0777,5.1149,5.0269,5.0269,15500
2001-02-23,5.01,5.1623,4.9761,5.1555,30500
2001-02-26,5.1928,5.3316,5.1251,5.3316,35300
2001-02-27,5.3316,5.4331,5.3316,5.3823,210100
2001-02-28,5.4128,5.4128,5.1285,5.2469,44000
2001-03-01,5.2199,5.2199,5.1115,5.1115,9500
2001-03-02,5.1691,5.3248,5.1691,5.3248,3800
2001-03-05,5.3146,5.3316,5.1115,5.1115,51900
2001-03-06,5.1623,5.1623,5.0845,5.1623,90800
2001-03-07,5.1285,5.2131,5.1285,5.1792,22700
2001-03-08,5.1454,5.2131,5.1454,5.1792,29700
2001-03-09,5.1623,5.1623,5.0878,5.0912,22600
2001-03-12,5.1115,5.1792,5.0845,5.0845,21600
2001-03-13,5.0845,5.2977,5.0777,5.2808,36800
2001-03-14,5.2469,5.2774,5.1454,5.1623,25400
2001-03-15,5.0777,5.2131,5.0675,5.1285,106200
2001-03-16,5.1691,5.1691,5.0777,5.1454,48400
2001-03-19,5.0777,5.1623,5.0777,5.1623,12300
2001-03-20,5.1352,5.1623,5.1115,5.1285,62700
2001-03-21,5.1115,5.2266,5.1115,5.1285,77800
2001-03-22,5.1454,5.1454,4.9931,5.01,86900
2001-03-23,5.0404,5.054,4.9761,5.01,45400
2001-03-26,4.9931,5.0709,4.9084,4.9084,50100
2001-03-27,4.9423,5.1522,4.9423,5.0777,28800
2001-03-28,5.0134,5.1115,4.9931,4.9931,34100
2001-03-29,5.0269,5.0709,5.01,5.01,18900
2001-03-30,5.01,5.4128,5.01,5.406,87400
2001-04-02,5.3993,5.3993,5.0777,5.0777,67300
2001-04-03,5.0777,5.1792,5.0438,5.0946,29700
2001-04-04,5.0946,5.0946,5.0438,5.0438,4700
2001-04-05,5.0506,5.3316,5.01,5.3316,45700
2001-04-06,5.3316,5.3316,5.2469,5.2639,22600
2001-04-09,5.2808,5.3113,5.1691,5.1792,14000
2001-04-10,5.1285,5.2808,5.1285,5.1996,13400
2001-04-11,5.1623,5.1962,5.0777,5.1962,53000
2001-04-12,5.1962,5.2469,5.1285,5.2469,9900
2001-04-16,5.2469,5.2469,5.1082,5.1454,11700
2001-04-17,5.1792,5.2131,5.1454,5.2131,1300
