date,open,high,low,close,volume
2000-10-05,3.25,3.25,3.2188,3.25,5800
2000-10-06,2.6875,3.375,2.625,3.375,37000
2000-10-09,3.4375,3.4375,2.5,2.75,15000
2000-10-10,2.625,2.75,2.5625,2.75,2700
2000-10-11,2.5625,2.75,2.5625,2.75,2400
2000-10-12,2.7188,2.75,2.7188,2.7188,2400
2000-10-13,2.5,2.75,2.25,2.4375,12000
2000-10-16,2.5469,2.5469,2.5,2.5,4600
2000-10-17,2.6406,2.6406,2.5312,2.625,8300
2000-10-18,2.5469,2.625,2.5312,2.625,2000
2000-10-19,2.75,2.75,2.375,2.625,16900
2000-10-20,2.5,2.5,2.5,2.5,1100
2000-10-23,2.5625,2.5625,2.5,2.5,3100
2000-10-24,2.3281,2.5,2.25,2.4062,11700
2000-10-25,2.5,2.6875,2.2812,2.4375,3900
2000-10-26,2.3125,2.3281,2.2812,2.2812,3200
2000-10-27,2.2812,2.2812,2.0312,2.0312,19600
2000-10-30,2.0781,2.2188,2.0312,2.1562,10000
2000-10-31,2.1719,2.8438,2.1562,2.75,33200
2000-11-01,2.6406,2.8281,2.0312,2.625,37000
2000-11-02,2.5156,2.6719,2.25,2.375,9900
2000-11-03,2.25,2.375,2.0625,2.0625,14600
2000-11-06,2.3125,2.75,2.25,2.625,28200
2000-11-07,2.2656,3.0,2.25,2.9688,12800
2000-11-08,2.6406,3.0,2.5,2.75,4200
2000-11-09,2.6406,2.6406,2.25,2.5,11400
2000-11-10,2.5,2.5312,2.3125,2.3125,14700
2000-11-13,2.5,2.5,2.5,2.5,2000
2000-11-14,2.5,2.5,2.3125,2.4375,3400
2000-11-15,2.3125,2.4688,2.3125,2.375,1900
2000-11-16,2.375,2.5,2.375,2.5,1300
2000-11-17,2.3281,2.5,2.25,2.25,4500
2000-11-20,2.2656,2.625,2.0312,2.5938,26200
2000-11-21,2.3125,2.375,2.125,2.375,3200
2000-11-22,2.2031,2.4375,2.1875,2.375,24500
2000-11-24,2.375,2.375,2.375,2.375,0
2000-11-27,2.0625,2.625,2.0312,2.625,15400
2000-11-28,2.25,2.75,2.25,2.5625,6300
2000-11-29,2.5469,2.6875,2.25,2.5,7300
2000-11-30,2.375,2.375,2.375,2.375,1700
2000-12-01,2.375,2.5,2.375,2.5,7200
2000-12-04,2.5,2.5,2.375,2.375,12000
2000-12-05,2.375,2.375,2.375,2.375,3500
2000-12-06,2.3906,2.3906,2.125,2.375,13400
2000-12-07,2.25,2.25,2.125,2.25,23900
2000-12-08,2.1406,2.25,2.1406,2.1875,4200
2000-12-11,2.1875,2.3125,2.125,2.125,6400
2000-12-12,2.1406,2.1875,2.0625,2.0625,20000
2000-12-13,2.0312,2.1875,2.0312,2.0312,31800
2000-12-14,2.0469,2.1875,2.0312,2.0312,11600
2000-12-15,2.0781,2.25,2.0625,2.25,16800
2000-12-18,2.3594,2.375,2.0625,2.0625,2800
2000-12-19,2.0625,2.0625,2.0312,2.0312,39800
2000-12-20,2.0625,2.0625,1.8125,1.8125,49400
2000-12-21,1.8906,2.0,1.75,1.75,18800
2000-12-22,1.9219,2.0625,1.75,1.9375,26200
2000-12-26,2.0,2.375,2.0,2.25,10700
2000-12-27,2.3594,2.375,2.0,2.0,7500
2000-12-28,2.0156,2.375,2.0,2.0312,11300
2000-12-29,2.4844,2.4844,1.875,2.125,35100
2001-01-02,2.0,2.375,2.0,2.1875,18400
2001-01-03,2.0312,2.375,2.0312,2.375,8100
2001-01-04,2.4688,2.4688,2.25,2.25,300
2001-01-05,2.125,2.5,2.0,2.0625,8800
2001-01-08,2.5,2.5,2.0625,2.125,7100
2001-01-09,2.125,2.3125,2.125,2.3125,500
2001-01-10,2.375,2.375,2.25,2.375,3300
2001-01-11,2.25,2.3125,2.25,2.3125,400
2001-01-12,2.375,2.375,2.2812,2.375,3400
2001-01-16,2.2656,2.375,2.25,2.3438,10000
2001-01-17,2.1406,2.3125,2.1406,2.3125,11300
2001-01-18,2.25,2.25,2.25,2.25,6600
2001-01-19,2.375,2.375,2.25,2.3125,10400
2001-01-22,2.3594,2.375,2.1875,2.25,1100
2001-01-23,2.1406,2.1875,2.125,2.1875,2600
2001-01-24,2.25,2.25,2.25,2.25,5900
2001-01-25,2.1875,2.2188,2.1875,2.1875,1700
2001-01-26,2.2031,2.25,2.1875,2.25,2100
2001-01-29,2.1875,2.25,2.1875,2.25,20200
2001-01-30,2.3594,2.375,2.25,2.3125,9100
2001-01-31,2.3125,2.5,2.25,2.375,46700
2001-02-01,2.5,2.625,2.4375,2.625,38100
2001-02-02,2.75,3.125,2.625,2.875,27900
2001-02-05,2.875,3.25,2.8125,2.9375,3400
2001-02-06,3.2344,3.25,2.75,2.75,12900
2001-02-07,2.625,2.6562,2.625,2.6562,4300
2001-02-08,2.6562,2.6562,2.625,2.6562,500
2001-02-09,2.75,3.0,2.6875,3.0,22200
2001-02-12,3.0,3.0,2.9375,2.9375,13100
2001-02-13,3.0,3.0,2.75,2.75,23700
2001-02-14,2.8125,2.8125,2.6875,2.6875,4300
2001-02-15,2.75,2.75,2.625,2.625,12200
2001-02-16,2.625,2.75,2.625,2.75,14500
2001-02-20,2.625,2.875,2.625,2.75,5000
2001-02-21,2.7656,2.8125,2.75,2.75,5400
2001-02-22,2.7969,2.875,2.7969,2.875,3200
2001-02-23,2.875,2.9375,2.75,2.75,10400
2001-02-26,2.8125,2.875,2.75,2.75,17200
2001-02-27,2.8594,2.875,2.75,2.875,10100
2001-02-28,2.875,2.875,2.75,2.875,2700
2001-03-01,2.875,2.875,2.625,2.625,14300
2001-03-02,2.625,2.75,2.625,2.625,14200
2001-03-05,2.625,2.6562,2.625,2.625,12100
2001-03-06,2.6875,2.875,2.6875,2.875,9300
2001-03-07,2.75,2.75,2.6875,2.6875,4600
2001-03-08,2.75,2.875,2.75,2.75,10900
2001-03-09,2.75,2.75,2.5312,2.5625,15100
2001-03-12,2.5781,2.625,2.5625,2.5625,4700
2001-03-13,2.5,2.8438,2.3125,2.8125,4600
2001-03-14,2.625,2.75,2.625,2.625,3100
2001-03-15,2.5,2.5312,2.5,2.5312,1500
2001-03-16,2.375,2.875,2.3125,2.625,31100
2001-03-19,2.75,2.75,2.5938,2.5938,800
2001-03-20,2.5938,2.625,2.5,2.625,1700
2001-03-21,2.5156,2.5625,2.5156,2.5625,12100
2001-03-22,2.5938,2.5938,2.4688,2.5625,13900
2001-03-23,2.5625,2.5625,2.5625,2.5625,2700
2001-03-26,2.5625,2.5625,2.5625,2.5625,5300
2001-03-27,2.5,2.6875,2.3125,2.6875,45100
2001-03-28,2.75,2.8125,2.75,2.75,5800
2001-03-29,2.5156,2.8125,2.5,2.5,5300
2001-03-30,2.4375,2.5,2.4375,2.5,900
2001-04-02,2.4062,2.4062,2.3125,2.375,2200
2001-04-03,2.2812,2.375,2.25,2.375,24400
2001-04-04,2.375,2.375,2.25,2.25,700
2001-04-05,2.375,2.5,2.375,2.375,9200
2001-04-06,2.375,2.625,2.3125,2.3125,6800
2001-04-09,2.36,2.36,2.25,2.25,3600
2001-04-10,2.2,2.21,2.18,2.2,13300
2001-04-11,2.31,2.35,2.3,2.35,6100
2001-04-12,2.55,2.55,2.25,2.25,800
2001-04-16,2.25,2.4,2.21,2.4,1900
2001-04-17,2.4,2.4,2.35,2.35,2500
2001-04-18,2.3,2.76,2.3,2.68,10400
2001-04-19,2.31,2.6,2.3,2.3,7200
2001-04-20,2.33,2.5,2.3,2.5,3500
2001-04-23,2.32,2.32,2.32,2.32,2400
2001-04-24,2.3,2.4,2.29,2.3,7200
2001-04-25,2.32,2.35,2.25,2.32,15200
2001-04-26,2.35,2.4,2.32,2.4,5200
2001-04-27,2.5,2.5,2.4,2.4,3800
2001-04-30,2.5,2.55,2.4,2.5,2000
2001-05-01,2.45,2.5,2.45,2.45,3100
2001-05-02,2.45,2.45,2.4,2.45,1900
2001-05-03,2.45,2.45,2.4,2.45,1500
2001-05-04,2.41,2.56,2.4,2.42,6100
2001-05-07,2.56,2.6,2.46,2.47,3900
2001-05-08,2.35,2.47,2.3,2.4,2900
2001-05-09,2.41,2.45,2.35,2.43,21800
2001-05-10,2.4,2.4,2.35,2.35,600
2001-05-11,2.4,2.4,2.35,2.35,26100
2001-05-14,2.35,2.38,2.29,2.3,7900
2001-05-15,2.37,2.4,2.3,2.3,700
2001-05-16,2.4,2.42,2.3,2.42,1800
2001-05-17,2.38,2.41,2.35,2.35,11200
2001-05-18,2.4,2.41,2.3,2.39,19100
2001-05-21,2.43,2.43,2.3,2.43,11200
2001-05-22,2.43,2.45,2.37,2.4,3700
2001-05-23,2.45,2.45,2.42,2.42,400
2001-05-24,2.37,2.42,2.37,2.42,1200
2001-05-25,2.4,2.59,2.4,2.58,28200
2001-05-29,2.5,2.5,2.3,2.35,13800
2001-05-30,2.36,2.5,2.36,2.5,1300
2001-05-31,2.5,2.51,2.35,2.51,6800
2001-06-01,2.5,2.51,2.4,2.4,2300
2001-06-04,2.51,2.67,2.45,2.67,8600
2001-06-05,2.69,2.69,2.45,2.45,2500
2001-06-06,2.45,2.64,2.45,2.64,400
2001-06-07,2.59,2.75,2.59,2.7,13600
2001-06-08,2.59,2.65,2.36,2.62,17600
2001-06-11,2.6,2.6,2.6,2.6,300
2001-06-12,2.55,2.6,2.55,2.6,1700
2001-06-13,2.55,2.55,2.36,2.36,2400
2001-06-14,2.59,2.59,2.59,2.59,600
2001-06-15,2.6,2.6,2.36,2.36,15800
2001-06-18,2.36,2.36,2.3,2.36,10200
2001-06-19,2.37,2.56,2.37,2.39,4400
2001-06-20,2.39,2.55,2.39,2.55,2100
2001-06-21,2.5,2.5,2.38,2.38,4300
2001-06-22,2.38,2.51,2.36,2.36,8900
2001-06-25,2.38,2.5,2.38,2.4,6100
2001-06-26,2.49,2.5,2.35,2.5,3000
2001-06-27,2.59,2.59,2.35,2.35,10600
2001-06-28,2.36,2.6,2.35,2.6,5100
2001-06-29,2.35,2.38,2.35,2.38,700
2001-07-02,2.6,2.6,2.6,2.6,5600
2001-07-03,2.59,2.6,2.35,2.35,1400
2001-07-05,2.5,2.6,2.5,2.55,3300
2001-07-06,2.55,2.55,2.55,2.55,0
2001-07-09,2.6,2.6,2.5,2.5,700
2001-07-10,2.55,2.55,2.55,2.55,2000
2001-07-11,2.59,2.7,2.59,2.6,7900
2001-07-12,2.6,2.6,2.56,2.56,300
2001-07-13,2.56,2.56,2.55,2.55,1300
2001-07-16,2.63,2.63,2.55,2.55,6900
2001-07-17,2.63,2.65,2.55,2.57,16900
2001-07-18,2.63,2.63,2.57,2.57,400
2001-07-19,2.6,2.6,2.37,2.5,11100
2001-07-20,2.54,2.63,2.54,2.63,14000
2001-07-23,2.7,2.75,2.57,2.57,29300
2001-07-24,2.62,2.73,2.58,2.71,1900
2001-07-25,2.5,2.5,2.5,2.5,300
2001-07-26,2.53,2.71,2.51,2.68,2600
2001-07-27,2.91,3.0,2.75,3.0,38000
2001-07-30,2.79,3.15,2.71,3.15,13600
2001-07-31,3.0,3.0,2.9,2.9,4300
2001-08-01,2.76,3.0,2.76,2.95,4800
2001-08-02,2.91,2.95,2.7,2.7,5300
2001-08-03,2.52,2.7,2.5,2.55,19400
2001-08-06,2.6,2.85,2.36,2.5,13400
2001-08-07,2.45,2.45,2.4,2.45,7500
2001-08-08,2.4,2.6,2.32,2.45,10000
2001-08-09,2.44,2.64,2.15,2.6,50300
2001-08-10,2.63,2.7,2.26,2.32,59200
2001-08-13,2.33,2.49,2.27,2.35,5200
2001-08-14,2.38,2.4,2.27,2.27,5200
2001-08-15,2.42,2.42,2.26,2.33,6300
2001-08-16,2.41,2.54,2.3,2.43,15600
2001-08-17,2.39,2.47,2.33,2.47,3800
2001-08-20,2.29,2.53,2.29,2.45,12200
2001-08-21,2.5,2.5,2.33,2.45,5800
2001-08-22,2.25,2.39,2.23,2.39,1600
2001-08-23,2.25,2.4,2.23,2.33,3200
2001-08-24,2.31,2.37,2.17,2.17,15900
2001-08-27,2.2,2.2,2.2,2.2,3100
2001-08-28,2.18,2.19,2.13,2.13,6200
2001-08-29,2.12,2.13,2.11,2.13,8700
2001-08-30,2.11,2.11,2.02,2.02,4100
2001-08-31,2.03,2.1,2.03,2.06,2900
2001-09-04,2.06,2.1,2.04,2.04,1500
2001-09-05,2.06,2.25,2.05,2.19,2900
2001-09-06,2.15,2.24,2.15,2.18,4300
2001-09-07,2.28,2.45,2.2,2.37,14300
2001-09-10,2.35,2.35,2.2,2.25,5200
2001-09-17,2.26,2.4,2.26,2.39,4000
2001-09-18,2.3,2.4,2.15,2.15,9700
2001-09-19,2.4,2.4,2.17,2.17,6500
2001-09-20,2.3,2.38,2.22,2.22,13400
2001-09-21,2.23,2.23,1.47,1.84,46100
2001-09-24,1.85,2.4,1.8,2.32,11700
2001-09-25,2.32,2.4,2.17,2.17,12500
2001-09-26,2.15,2.4,2.0,2.0,4300
2001-09-27,2.05,2.05,1.83,2.01,23100
2001-09-28,2.05,2.05,2.05,2.05,1400
2001-10-01,1.91,2.05,1.9,1.95,11900
2001-10-02,1.9,1.95,1.85,1.95,2000
2001-10-03,1.75,2.05,1.75,2.05,10300
2001-10-04,2.3,2.4,2.15,2.15,2600
2001-10-05,2.0,2.25,2.0,2.25,5600
2001-10-08,2.03,2.06,2.03,2.06,300
2001-10-09,2.03,2.15,2.03,2.15,300
2001-10-10,2.15,2.15,2.15,2.15,0
2001-10-11,2.03,2.25,2.03,2.25,3200
2001-10-12,2.05,2.05,2.05,2.05,1000
2001-10-15,2.2,2.35,2.11,2.11,5100
2001-10-16,2.11,2.11,1.96,2.03,6300
2001-10-17,2.03,2.03,1.96,2.03,3100
2001-10-18,1.99,1.99,1.96,1.96,200
2001-10-19,1.96,1.96,1.9,1.9,2000
2001-10-22,1.9,1.9,1.9,1.9,600
2001-10-23,1.9,2.03,1.81,1.83,12100
2001-10-24,2.0,2.08,1.81,2.0,5900
2001-10-25,2.02,2.03,1.9,1.9,1800
2001-10-26,2.0,2.03,1.81,1.9,119900
2001-10-29,2.0,2.0,1.8,1.8,5500
2001-10-30,1.96,1.96,1.8,1.8,1500
2001-10-31,1.8,1.9,1.8,1.9,2800
2001-11-01,1.85,1.97,1.8,1.97,11500
2001-11-02,1.65,1.93,1.65,1.93,2900
2001-11-05,1.68,1.75,1.65,1.75,10200
2001-11-06,1.8,1.8,1.75,1.75,1600
2001-11-07,1.8,1.8,1.65,1.7,13900
2001-11-08,1.65,1.65,1.5,1.5,12900
2001-11-09,1.6,1.8,1.5,1.58,69100
2001-11-12,1.55,2.0,1.55,1.9,16400
2001-11-13,1.95,1.95,1.78,1.81,26900
2001-11-14,1.95,2.0,1.85,2.0,11900
2001-11-15,1.97,2.0,1.97,2.0,15900
2001-11-16,2.11,2.19,2.0,2.0,15200
2001-11-19,2.19,2.19,1.92,1.92,4100
2001-11-20,2.0,2.2,1.9,2.0,12200
2001-11-21,2.0,2.08,1.87,2.08,2600
2001-11-23,1.9,1.9,1.9,1.9,2500
2001-11-26,1.9,1.92,1.8,1.92,23600
2001-11-27,1.92,1.92,1.76,1.86,2300
2001-11-28,1.85,1.9,1.85,1.9,4400
2001-11-29,1.95,1.95,1.85,1.85,4900
2001-11-30,1.89,1.89,1.81,1.81,1800
2001-12-03,1.81,1.81,1.81,1.81,0
2001-12-04,1.81,1.81,1.81,1.81,0
2001-12-05,1.9,1.99,1.81,1.99,3500
2001-12-06,1.73,1.99,1.73,1.82,2200
2001-12-07,1.85,1.85,1.85,1.85,700
2001-12-10,1.85,1.9,1.81,1.85,4800
2001-12-11,1.81,1.81,1.77,1.79,2500
2001-12-12,1.82,1.83,1.7,1.72,9500
2001-12-13,1.65,1.85,1.65,1.85,1200
2001-12-14,1.7,1.7,1.7,1.7,3300
2001-12-17,1.76,1.76,1.7,1.7,2800
2001-12-18,1.67,1.67,1.67,1.67,300
2001-12-19,1.66,1.71,1.66,1.66,7200
2001-12-20,1.65,1.71,1.65,1.66,8800
2001-12-21,1.66,1.74,1.66,1.7,3500
2001-12-24,1.68,1.7,1.65,1.7,3800
2001-12-26,1.65,1.84,1.62,1.84,17400
2001-12-27,1.75,1.75,1.67,1.74,2600
2001-12-28,1.65,1.9,1.65,1.65,17400
2001-12-31,1.66,1.8,1.66,1.75,6900
2002-01-02,1.65,1.8,1.65,1.8,3300
2002-01-03,1.75,1.75,1.75,1.75,100
2002-01-04,1.8,1.8,1.8,1.8,1000
2002-01-07,1.8,1.95,1.6,1.95,22400
2002-01-08,1.77,1.8,1.75,1.75,4300
2002-01-09,1.76,1.76,1.75,1.75,1500
2002-01-10,1.85,1.85,1.84,1.85,900
2002-01-11,1.9,1.9,1.9,1.9,500
2002-01-14,1.9,1.9,1.8,1.8,2300
2002-01-15,1.7,1.7,1.7,1.7,100
2002-01-16,1.7,1.85,1.6,1.82,14700
2002-01-17,1.6,1.6,1.6,1.6,900
2002-01-18,1.6,1.65,1.5,1.51,5500
2002-01-22,1.61,1.84,1.51,1.58,3500
2002-01-23,1.51,1.51,1.51,1.51,1900
2002-01-24,1.52,1.55,1.51,1.51,3400
2002-01-25,1.51,1.63,1.51,1.63,6800
2002-01-28,1.63,1.7,1.49,1.51,11300
2002-01-29,1.5,1.87,1.5,1.87,4800
2002-01-30,1.72,1.75,1.7,1.75,1100
2002-01-31,1.61,1.8,1.6,1.6,17600
2002-02-01,1.6,1.6,1.6,1.6,0
2002-02-04,1.65,1.7,1.65,1.7,1300
2002-02-05,1.65,1.65,1.6,1.65,2200
2002-02-06,1.52,1.7,1.52,1.55,5400
2002-02-07,1.55,1.55,1.55,1.55,400
2002-02-08,1.55,1.55,1.55,1.55,3800
2002-02-11,1.51,1.52,1.39,1.45,38500
2002-02-12,1.42,1.42,1.34,1.36,9900
2002-02-13,1.52,1.53,1.33,1.34,9500
2002-02-14,1.35,1.36,1.29,1.33,9800
2002-02-15,1.3,1.3,1.29,1.3,3700
2002-02-19,1.28,1.34,1.25,1.34,38600
2002-02-20,1.13,1.31,1.02,1.25,36300
2002-02-21,1.26,1.26,1.26,1.26,900
2002-02-22,1.3,1.5,1.3,1.5,15300
2002-02-25,1.6,1.68,1.55,1.65,22700
2002-02-26,1.62,1.75,1.57,1.65,6800
2002-02-27,1.7,1.8,1.66,1.8,7000
2002-02-28,1.8,1.86,1.8,1.86,8600
2002-03-01,1.8,1.87,1.8,1.8,4200
2002-03-04,1.8,1.85,1.8,1.8,5800
2002-03-05,1.76,1.98,1.76,1.85,6500
2002-03-06,1.82,1.86,1.82,1.86,900
2002-03-07,1.86,1.86,1.86,1.86,600
2002-03-08,1.81,1.81,1.8,1.8,2200
2002-03-11,1.96,1.96,1.77,1.77,44900
2002-03-12,1.67,1.69,1.66,1.69,6000
2002-03-13,1.71,1.74,1.71,1.74,1200
2002-03-14,1.74,1.96,1.74,1.96,10000
2002-03-15,1.98,1.98,1.97,1.97,400
2002-03-18,1.75,1.75,1.57,1.63,5700
2002-03-19,1.6,1.65,1.4,1.5,38800
2002-03-20,1.64,1.96,1.64,1.95,9600
2002-03-21,1.88,1.88,1.87,1.87,300
2002-03-22,1.87,1.88,1.83,1.83,1800
2002-03-25,1.88,1.88,1.83,1.83,2300
2002-03-26,1.89,1.89,1.66,1.66,1500
2002-03-27,1.81,1.97,1.81,1.83,7500
2002-03-28,1.83,1.83,1.83,1.83,0
2002-04-01,1.86,1.95,1.66,1.95,51200
2002-04-02,1.85,1.85,1.85,1.85,1100
2002-04-03,1.98,1.98,1.7,1.7,3700
2002-04-04,1.8,1.85,1.7,1.7,12800
2002-04-05,1.66,1.71,1.66,1.66,1400
2002-04-08,1.9,1.9,1.69,1.69,600
2002-04-09,1.8,1.8,1.73,1.73,4400
2002-04-10,1.73,1.93,1.73,1.93,4000
2002-04-11,1.94,1.95,1.94,1.95,2100
2002-04-12,1.95,2.0,1.95,2.0,11300
2002-04-15,1.96,2.0,1.96,1.96,6000
2002-04-16,1.95,1.95,1.9,1.9,200
2002-04-17,1.95,2.04,1.95,2.01,43800
2002-04-18,2.01,2.05,2.0,2.0,8200
2002-04-19,2.0,2.05,2.0,2.0,14900
2002-04-22,2.02,2.12,2.0,2.1,11000
2002-04-23,2.07,2.1,2.07,2.1,4200
2002-04-24,2.1,2.19,2.07,2.1,25800
2002-04-25,2.03,2.18,1.9,1.9,6800
2002-04-26,2.0,2.33,2.0,2.33,26800
2002-04-29,2.5,4.0,2.45,3.95,588700
2002-04-30,3.74,3.9,3.4,3.41,259700
2002-05-01,3.49,3.5,2.85,3.08,110300
2002-05-02,3.14,3.49,3.1,3.49,53200
2002-05-03,3.46,3.69,3.36,3.69,45800
2002-05-06,3.68,3.68,3.2,3.5,66700
2002-05-07,3.5,3.5,3.24,3.25,64800
2002-05-08,3.26,3.42,3.26,3.42,48500
2002-05-09,3.44,3.55,3.28,3.38,29900
2002-05-10,3.58,3.7,3.3,3.61,19800
2002-05-13,3.43,3.99,3.43,3.9,66700
2002-05-14,3.89,4.37,3.88,4.34,213200
2002-05-15,4.3,4.31,3.82,4.13,95400
2002-05-16,3.91,4.04,3.61,3.74,65600
2002-05-17,3.73,3.98,3.31,3.48,56700
2002-05-20,3.16,3.65,3.15,3.47,31700
