date,open,high,low,close,volume
2000-10-05,0.8125,0.8125,0.7917,0.8125,15200
2000-10-06,0.8333,0.8333,0.7708,0.7708,7800
2000-10-09,0.7917,0.8333,0.7917,0.7917,5400
2000-10-10,0.8125,0.8125,0.75,0.75,78000
2000-10-11,0.8333,0.9792,0.75,0.875,85800
2000-10-12,0.8333,0.8333,0.75,0.75,111600
2000-10-13,0.7708,0.8333,0.7708,0.7917,24000
2000-10-16,0.7917,0.7917,0.7917,0.7917,1400
2000-10-17,0.8333,0.8333,0.7708,0.7708,17600
2000-10-18,0.8125,0.8125,0.7917,0.8125,54000
2000-10-19,0.8125,0.8125,0.8021,0.8125,38000
2000-10-20,0.8125,0.8125,0.7917,0.7917,92400
2000-10-23,0.8021,0.8125,0.7708,0.7917,99800
2000-10-24,0.776,0.7917,0.7708,0.7917,25400
2000-10-25,0.8333,0.8542,0.7917,0.8333,100200
2000-10-26,0.8125,0.875,0.7917,0.7917,177800
2000-10-27,0.8542,0.8542,0.7917,0.8333,108000
2000-10-30,0.8542,0.8542,0.8333,0.8333,149000
2000-10-31,0.875,0.875,0.7917,0.8125,18600
2000-11-01,0.8333,0.8542,0.8229,0.8542,43200
2000-11-02,0.8542,0.8646,0.8333,0.8333,98000
2000-11-03,0.8333,0.8542,0.7292,0.7292,161400
2000-11-06,0.8125,0.8333,0.7604,0.7708,118800
2000-11-07,0.7604,0.7708,0.7396,0.7396,96800
2000-11-08,0.7292,0.7292,0.7292,0.7292,22200
2000-11-09,0.8125,0.8125,0.6667,0.7083,87000
2000-11-10,0.6979,0.7292,0.6771,0.6875,91400
2000-11-13,0.75,0.75,0.6458,0.6458,192200
2000-11-14,0.6667,0.6667,0.6042,0.6667,208800
2000-11-15,0.6667,0.6667,0.5521,0.5521,1405400
2000-11-16,0.6458,0.6667,0.6458,0.6667,21200
2000-11-17,0.6667,0.6667,0.6458,0.6667,141800
2000-11-20,0.6667,0.6667,0.6354,0.6667,152400
2000-11-21,0.6667,0.7083,0.6458,0.7083,234600
2000-11-22,0.6771,0.7083,0.6667,0.6875,173400
2000-11-24,0.7083,0.75,0.6667,0.6667,103200
