date,open,high,low,close,volume
2000-10-05,10.625,10.75,10.3125,10.75,45100
2000-10-06,10.75,10.75,10.0,10.0,11700
2000-10-09,10.25,10.25,9.875,10.125,22300
2000-10-10,10.1094,10.125,9.8125,9.8125,1300
2000-10-11,9.9844,9.9844,9.375,9.375,9900
2000-10-12,10.0,10.0,9.25,9.4375,6500
2000-10-13,9.875,10.1875,9.6562,9.6875,16400
2000-10-16,9.625,9.75,9.4375,9.5,18300
2000-10-17,9.75,9.75,9.375,9.5312,37500
2000-10-18,9.625,9.75,9.5312,9.5312,3200
2000-10-19,9.7812,9.7812,9.4062,9.4375,15900
2000-10-20,9.4375,9.4688,9.25,9.25,22400
2000-10-23,9.4844,9.5,9.3125,9.375,9400
2000-10-24,9.5,9.875,9.4375,9.875,20700
2000-10-25,9.6875,9.75,9.25,9.25,27300
2000-10-26,9.5,9.5,8.9375,9.5,39400
2000-10-27,9.375,9.75,9.375,9.5,7600
2000-10-30,9.8125,9.8125,9.5,9.8125,11300
2000-10-31,9.875,10.375,9.5625,9.875,31200
2000-11-01,9.6875,10.125,9.5625,9.875,3600
2000-11-02,9.6406,10.1406,9.6406,10.0625,20000
2000-11-03,9.9844,10.25,9.75,10.0,26000
2000-11-06,10.125,10.25,9.875,9.875,21300
2000-11-07,9.8906,9.9375,9.5625,9.9219,10100
2000-11-08,9.9375,10.0,9.875,9.9375,7700
2000-11-09,9.75,10.25,9.75,9.875,43200
2000-11-10,10.25,10.25,9.4375,9.8438,13600
2000-11-13,9.875,9.875,9.4688,9.625,6400
2000-11-14,9.6094,10.125,9.5625,9.8125,49700
2000-11-15,9.8906,10.125,9.875,10.125,3700
2000-11-16,10.25,10.25,9.875,9.875,4900
2000-11-17,10.125,10.125,9.9375,10.125,7500
2000-11-20,9.9375,10.0625,9.75,9.875,23200
2000-11-21,9.75,10.0,9.625,9.875,29300
2000-11-22,9.75,10.125,9.25,10.0,77200
2000-11-24,10.0,10.0,9.5,9.5,5400
2000-11-27,9.75,10.0625,9.5,10.0625,28400
2000-11-28,9.875,10.0625,9.5625,10.0,135400
2000-11-29,10.0,10.1875,9.5,10.0625,36200
2000-11-30,9.875,10.375,9.125,9.625,181200
2000-12-01,9.5,10.25,9.25,10.125,40000
2000-12-04,9.75,10.125,9.4062,10.125,27700
2000-12-05,10.0625,10.5,9.75,10.1875,45200
2000-12-06,10.25,10.25,9.875,9.875,24200
2000-12-07,9.6875,9.875,9.625,9.75,11800
2000-12-08,10.125,10.125,9.5625,9.8125,17700
2000-12-11,9.75,10.4375,9.75,10.4375,37300
2000-12-12,10.4375,10.5,10.3125,10.3125,11700
2000-12-13,10.375,10.625,10.3125,10.3125,18900
2000-12-14,10.625,10.75,10.375,10.5625,29100
2000-12-15,10.2656,10.625,10.25,10.625,17500
2000-12-18,10.625,10.6875,10.125,10.1875,14800
2000-12-19,10.5,10.5625,10.3125,10.5625,16800
2000-12-20,10.3125,10.625,10.0,10.0625,9600
2000-12-21,10.125,10.25,9.875,10.0625,17000
2000-12-22,10.1875,10.25,9.875,10.0625,23600
2000-12-26,10.125,10.25,9.9375,10.0625,27000
2000-12-27,10.1875,10.1875,9.75,9.9375,11500
2000-12-28,9.9375,10.125,9.75,10.0625,26700
2000-12-29,10.0312,10.125,9.875,10.0625,16500
2001-01-02,10.125,10.25,9.875,10.0156,14500
2001-01-03,10.0,10.125,9.9375,10.125,4300
2001-01-04,10.125,10.125,9.875,10.0,19700
2001-01-05,10.0,10.125,9.875,10.0625,13200
2001-01-08,10.0,10.125,10.0,10.0,10400
2001-01-09,10.125,10.1875,10.0,10.0625,19400
