date,open,high,low,close,volume
2000-10-05,15.52,15.52,15.52,15.52,0
2000-10-06,15.52,15.52,15.52,15.52,0
2000-10-09,15.52,15.52,15.52,15.52,0
2000-10-10,15.52,15.52,15.52,15.52,0
2000-10-11,15.52,15.52,15.52,15.52,0
2000-10-12,15.52,15.52,15.52,15.52,0
2000-10-13,15.52,15.52,15.52,15.52,0
2000-10-16,15.52,15.52,15.52,15.52,0
2000-10-17,15.52,15.52,15.52,15.52,0
2000-10-18,15.52,15.52,15.52,15.52,0
2000-10-19,15.52,15.52,15.52,15.52,0
2000-10-20,15.52,15.52,15.52,15.52,0
2000-10-23,15.52,15.52,15.52,15.52,0
2000-10-24,15.52,15.52,15.52,15.52,0
2000-10-25,15.52,15.52,15.52,15.52,0
2000-10-26,15.52,15.52,15.52,15.52,0
2000-10-27,15.52,15.52,15.52,15.52,0
2000-10-30,15.52,15.52,15.52,15.52,0
2000-10-31,15.52,15.52,15.52,15.52,0
2000-11-01,15.52,15.52,15.52,15.52,0
2000-11-02,15.52,15.52,15.52,15.52,0
2000-11-03,15.52,15.52,15.52,15.52,0
2000-11-06,15.52,15.52,15.52,15.52,0
2000-11-07,15.52,15.52,15.52,15.52,0
2000-11-08,15.52,15.52,15.52,15.52,0
2000-11-09,15.52,15.52,15.52,15.52,0
2000-11-10,15.52,15.52,15.52,15.52,0
2000-11-13,15.52,15.52,15.52,15.52,0
2000-11-14,15.52,15.52,15.52,15.52,0
2000-11-15,15.52,15.52,15.52,15.52,0
2000-11-16,15.52,15.52,15.52,15.52,0
2000-11-17,15.52,15.52,15.52,15.52,0
2000-11-20,15.52,15.52,15.52,15.52,0
2000-11-21,15.52,15.52,15.52,15.52,0
2000-11-22,15.52,15.52,15.52,15.52,0
2000-11-24,15.52,15.52,15.52,15.52,0
2000-11-27,20.32,20.32,20.32,20.32,300
2000-11-28,20.32,20.32,20.32,20.32,0
2000-11-29,20.32,20.32,20.32,20.32,0
2000-11-30,20.32,20.32,20.32,20.32,0
