date,open,high,low,close,volume
2000-10-05,15.9035,16.3713,15.3422,15.3422,1180900
2000-10-06,15.7164,15.8099,14.4067,14.7107,474600
2000-10-09,14.5938,14.5938,13.097,13.6817,1563300
2000-10-10,13.7986,13.9857,13.097,13.2607,1059500
2000-10-11,12.8631,13.3309,11.9744,12.6292,1642400
2000-10-12,12.7228,13.7519,12.3954,13.5647,1788000
2000-10-13,13.2841,15.3422,13.097,15.3188,1108700
2000-10-16,15.3364,16.9793,15.0382,16.8624,1654700
2000-10-17,16.6987,16.9326,14.5002,15.6229,815800
2000-10-18,15.2019,15.2019,13.7051,14.7107,1057900
2000-10-19,15.1551,15.9035,15.1083,15.5995,2155700
2000-10-20,15.6696,17.3067,15.272,17.1664,1511400
2000-10-23,16.6519,17.5874,16.6519,16.9092,803300
2000-10-24,16.7454,17.6108,16.5817,16.839,980200
2000-10-25,15.389,15.9035,13.9623,14.3599,1606800
2000-10-26,14.6874,14.6874,12.7696,13.8454,1373300
2000-10-27,14.4067,15.3422,14.0793,14.1962,1125000
2000-10-30,14.4067,14.4067,13.2841,13.5414,1220700
2000-10-31,13.6349,14.1728,13.2841,14.0793,1577200
2000-11-01,13.8922,14.0793,13.3309,13.4712,609800
2000-11-02,14.0325,14.1962,13.4946,13.9389,625000
2000-11-03,13.8337,14.664,13.6349,14.5236,447800
2000-11-06,14.4067,14.6874,13.9857,14.0325,339100
2000-11-07,13.8688,14.0325,13.4712,13.6583,369300
2000-11-08,13.5004,13.9857,12.9099,13.1204,449700
2000-11-09,12.7462,13.0035,11.6938,12.3252,725500
2000-11-10,12.3252,12.3486,11.226,11.2494,716100
2000-11-13,9.776,9.7994,7.2501,8.0687,8721000
2000-11-14,8.6066,8.7469,7.9985,8.3259,3223900
2000-11-15,8.4195,8.4663,7.9751,8.3727,1901100
2000-11-16,8.3727,8.3727,7.8114,8.0453,1264500
2000-11-17,8.0921,8.1856,7.9284,8.0921,1019700
2000-11-20,7.905,8.5598,7.905,8.5131,999100
2000-11-21,8.3376,8.7937,8.2558,8.4429,701200
2000-11-22,8.2324,8.6534,8.0921,8.6066,2079300
2000-11-24,8.7001,8.9808,8.6066,8.7235,660800
2000-11-27,9.0217,9.203,8.7937,8.7937,2258100
2000-11-28,9.0276,9.051,8.0687,8.2558,882400
2000-11-29,8.1389,8.2792,7.7646,8.2324,1021100
2000-11-30,7.9985,8.0921,7.0396,7.6945,3695600
2000-12-01,7.6945,8.4663,7.6945,8.2558,1681700
2000-12-04,8.2324,8.4663,7.484,8.3961,1426500
2000-12-05,8.4195,10.1502,8.4195,10.1034,2535800
2000-12-06,9.8695,10.3841,9.6356,9.7292,1607600
2000-12-07,9.5421,9.5421,8.9574,9.1913,789400
2000-12-08,9.659,10.9921,9.6356,10.7115,1154700
2000-12-11,10.805,11.8107,10.7816,11.6938,2052600
2000-12-12,11.2962,11.6002,11.1792,11.4131,1830000
2000-12-13,11.5066,11.7873,10.7349,10.8986,1943800
2000-12-14,10.8752,11.0389,9.776,9.776,1308900
2000-12-15,9.8461,9.8929,9.3082,9.776,660600
2000-12-18,9.7994,10.0566,9.051,9.0744,774900
2000-12-19,9.0276,9.9631,8.6768,8.7235,763200
2000-12-20,8.6066,8.7937,7.5308,7.7646,667000
2000-12-21,7.7179,7.8348,7.2501,7.3437,1018100
2000-12-22,7.6477,7.905,7.3905,7.7646,706800
2000-12-26,7.8816,8.0453,7.484,7.6945,338300
2000-12-27,7.6243,8.4897,7.3905,8.209,1288300
2000-12-28,8.3026,9.355,8.0453,9.3082,1378400
2000-12-29,9.0744,9.4252,8.4195,8.5832,1253600
2001-01-02,8.4195,8.6066,7.9284,8.2149,803300
2001-01-03,7.8348,8.7469,6.9461,6.9461,3280500
2001-01-04,7.3671,7.7413,6.9227,7.063,4369300
2001-01-05,7.1098,7.1098,5.9872,6.0574,4061400
2001-01-08,6.0807,6.5017,5.917,6.4549,1782200
2001-01-09,6.5719,6.7356,6.2678,6.2912,389300
2001-01-10,6.3906,7.0163,6.2269,6.9695,736700
2001-01-11,6.7356,7.5542,6.6888,7.5074,926500
2001-01-12,7.5074,8.0453,7.4372,7.905,1090800
2001-01-16,7.8582,8.0453,7.1566,7.3905,750100
2001-01-17,7.7179,8.5364,7.6243,8.2792,995400
2001-01-18,8.3961,8.4663,8.0921,8.3727,506400
2001-01-19,8.6066,8.8405,8.2792,8.3727,1307800
2001-01-22,8.3961,8.3961,7.6945,7.9751,911800
2001-01-23,7.6243,8.1389,7.484,8.1155,2563000
2001-01-24,8.1856,8.7469,8.1856,8.3727,2174500
2001-01-25,8.3727,8.4137,7.5775,7.788,908600
2001-01-26,7.5775,7.7179,7.3905,7.4606,1183800
2001-01-29,7.5249,7.788,7.3905,7.7179,1383400
2001-01-30,7.8582,8.3961,7.6243,8.3026,1340700
2001-01-31,8.3026,9.0276,8.2324,8.4897,1696100
2001-02-01,8.6066,8.63,7.9751,8.1856,1404800
2001-02-02,7.5074,7.6009,7.2969,7.4606,2637800
2001-02-05,7.2969,7.3905,7.1566,7.3437,869500
2001-02-06,7.2969,7.5074,7.2034,7.3437,1056900
2001-02-07,7.2969,7.3437,6.9461,7.3144,1048300
2001-02-08,7.2034,7.2735,7.0163,7.0163,637300
2001-02-09,7.1566,7.1566,6.5017,6.5953,727900
2001-02-12,6.6654,6.6888,6.2912,6.4082,1567600
2001-02-13,6.3614,6.5485,6.186,6.2211,1576100
2001-02-14,6.2211,6.3146,5.9872,6.1509,3001300
2001-02-15,6.2678,6.8292,6.2445,6.642,2652000
2001-02-16,6.3614,6.4783,6.034,6.3614,1013600
2001-02-20,6.4082,6.4082,5.7066,5.8001,1102000
2001-02-21,5.613,5.6364,5.0517,5.3323,2066800
2001-02-22,5.4259,5.5195,5.192,5.3791,1122600
2001-02-23,5.309,5.6598,5.1452,5.6598,1508500
2001-02-26,5.7241,5.9638,5.613,5.9404,1454300
2001-02-27,5.8703,5.917,5.613,5.8761,2126100
2001-02-28,5.7533,5.8469,5.7066,5.8235,2680600
2001-03-01,6.1041,6.4082,6.1041,6.3614,4231600
2001-03-02,6.3614,6.3848,5.8937,6.0574,638600
2001-03-05,5.9872,6.3146,5.9872,6.1977,355900
2001-03-06,6.3146,6.6888,6.3146,6.5719,1053700
2001-03-07,6.7356,6.8525,6.5251,6.5485,1119100
2001-03-08,6.5017,6.7356,6.4783,6.6187,967900
2001-03-09,6.4783,6.5485,6.1977,6.4316,1326800
2001-03-12,6.3614,6.4082,5.8937,5.9872,1144500
2001-03-13,5.9872,6.0807,5.6832,5.8469,2063800
2001-03-14,5.7533,6.0807,5.6364,5.8937,1410400
2001-03-15,5.9463,6.1977,5.9463,6.1041,675300
2001-03-16,6.1509,6.1743,5.8235,5.8469,836100
2001-03-19,5.8937,5.9872,5.8001,5.9872,994900
2001-03-20,6.0807,6.1509,5.7767,5.8001,723400
2001-03-21,5.8469,6.0106,5.8469,5.8937,1479600
2001-03-22,5.8703,6.1977,5.7533,6.0807,1227100
2001-03-23,6.5719,6.9227,6.3614,6.4549,3611400
2001-03-26,6.5953,6.5953,6.2678,6.338,2093500
2001-03-27,6.4316,6.5953,6.3146,6.5953,733000
2001-03-28,6.3848,6.4549,6.1743,6.2211,1172600
2001-03-29,6.1509,6.3146,6.0807,6.1743,653900
2001-03-30,6.2912,6.7122,6.1275,6.7122,919000
2001-04-02,6.7122,6.7356,5.8937,5.9872,2087100
2001-04-03,5.9872,6.034,5.4727,5.5195,1540000
2001-04-04,5.6598,5.6598,4.9348,5.0751,2540800
2001-04-05,5.3323,5.3323,5.0049,5.2856,1268300
2001-04-06,5.2388,5.2856,4.6775,4.8646,1866600
2001-04-09,4.9132,4.9956,4.771,4.8646,747700
2001-04-10,4.8085,5.2163,4.7523,5.1752,1475900
2001-04-11,5.2201,5.5531,5.2201,5.3473,798200
2001-04-12,5.3885,5.9124,5.0255,5.86,1603100
2001-04-16,5.8375,5.9124,5.7066,5.8001,1111400
2001-04-17,5.7103,5.7103,5.4633,5.5831,870900
2001-04-18,5.8749,6.2866,5.7627,6.2828,1437100
2001-04-19,6.1032,6.2866,5.8226,6.2866,3127200
