date,open,high,low,close,volume
2000-10-05,6.8125,6.8125,5.3125,6.0,586100
2000-10-06,6.125,6.25,5.625,5.6875,260300
2000-10-09,5.6875,5.6875,4.75,5.0,347100
2000-10-10,5.0625,5.25,4.625,5.0,1068700
2000-10-11,5.0,5.375,4.875,5.375,666700
2000-10-12,5.4375,5.8125,5.0,5.125,496300
2000-10-13,5.125,5.25,4.9375,5.0,335400
2000-10-16,5.375,5.375,4.9375,5.0625,370400
2000-10-17,5.0625,5.5,4.875,5.0,302000
2000-10-18,4.875,5.3125,4.875,4.9375,219300
2000-10-19,5.125,5.25,4.9375,5.25,215700
2000-10-20,5.0625,5.25,5.0,5.125,105300
2000-10-23,5.2344,5.25,5.0,5.0625,133500
2000-10-24,5.0625,5.2188,5.0625,5.2188,147900
2000-10-25,5.25,5.25,4.9688,5.0312,132200
2000-10-26,5.125,5.25,4.9375,5.125,256700
2000-10-27,5.375,5.375,5.0,5.0625,100400
2000-10-30,5.125,5.1875,4.9375,5.0938,110700
2000-10-31,5.25,5.8125,5.0,5.8125,161100
2000-11-01,5.8594,6.9375,5.8125,6.3125,359700
2000-11-02,6.3125,6.9375,6.125,6.8125,321700
2000-11-03,7.0,7.5,6.875,7.4375,202600
2000-11-06,7.5625,7.625,6.0,6.125,612100
2000-11-07,6.0625,6.0625,5.125,5.3125,539100
2000-11-08,5.1562,5.25,4.9375,5.0312,485400
2000-11-09,5.0312,5.0312,4.8125,4.875,265000
2000-11-10,4.8125,4.875,4.5,4.6875,205600
2000-11-13,4.5312,4.6875,4.375,4.6875,374600
2000-11-14,4.875,5.0625,4.6875,4.75,204500
2000-11-15,4.75,5.0,4.6875,4.8125,299600
2000-11-16,4.8594,5.0,4.6875,4.75,171000
2000-11-17,4.875,4.875,4.4375,4.5,84200
2000-11-20,4.5,4.75,4.25,4.3125,256800
2000-11-21,4.25,4.4375,4.0625,4.0625,192500
2000-11-22,4.0,4.0625,3.4375,3.875,307000
2000-11-24,4.0781,4.375,4.0625,4.125,80000
2000-11-27,4.4375,4.9375,4.125,4.125,161100
2000-11-28,4.0625,4.3125,4.0,4.125,136000
2000-11-29,4.25,4.25,4.0,4.0938,150700
2000-11-30,4.0781,4.0938,3.5,3.875,265700
2000-12-01,3.9688,4.0,3.6875,3.875,142800
2000-12-04,3.875,3.9375,3.5625,3.7188,120300
2000-12-05,3.7031,3.9688,3.625,3.8125,133700
2000-12-06,3.9062,4.0,3.75,4.0,119900
2000-12-07,3.9375,3.9375,3.6875,3.75,297000
2000-12-08,3.9375,3.9375,3.5,3.6875,212600
2000-12-11,3.75,4.125,3.75,3.8125,265600
2000-12-12,3.8125,3.9375,3.6875,3.75,120300
2000-12-13,3.9375,3.9688,3.75,3.875,83300
2000-12-14,3.9062,3.9062,3.6562,3.75,41400
2000-12-15,3.75,3.875,3.3125,3.5,200500
2000-12-18,3.5625,3.625,3.125,3.1562,326500
2000-12-19,3.125,3.1875,2.75,2.875,206400
2000-12-20,2.8125,2.9688,2.5,2.7812,301100
2000-12-21,2.8125,2.875,2.5938,2.625,230800
2000-12-22,2.6875,3.0,2.625,2.875,191400
2000-12-26,2.8125,2.875,2.5,2.5,385100
2000-12-27,2.5,2.5,2.25,2.375,489200
2000-12-28,2.25,2.4688,2.25,2.4375,392500
2000-12-29,2.4375,2.5,2.375,2.375,307300
2001-01-02,2.4375,2.4688,2.25,2.375,228300
2001-01-03,2.25,2.5,2.25,2.5,120500
2001-01-04,2.4375,2.6875,2.4375,2.625,228700
2001-01-05,2.625,2.625,2.375,2.375,66300
2001-01-08,2.4062,2.5625,2.1875,2.3125,99900
2001-01-09,2.5,2.75,2.5,2.6875,95100
2001-01-10,2.875,3.125,2.75,3.125,207500
2001-01-11,3.2188,3.2188,3.0,3.0625,73500
2001-01-12,3.0,3.25,3.0,3.25,104800
2001-01-16,3.25,3.75,3.2188,3.5625,89600
2001-01-17,3.875,4.0,3.625,3.75,126500
2001-01-18,3.6875,3.6875,3.375,3.375,80500
2001-01-19,3.4375,3.875,3.375,3.6562,55400
2001-01-22,3.625,3.625,3.5,3.5625,94500
2001-01-23,3.5938,3.75,3.5,3.625,87500
2001-01-24,3.6875,3.9375,3.625,3.6875,73400
2001-01-25,3.6562,3.75,3.125,3.5,112700
2001-01-26,3.4688,3.4688,3.375,3.4688,17700
2001-01-29,3.4375,3.4375,3.1875,3.375,165200
2001-01-30,3.375,3.4375,3.0938,3.125,198700
2001-01-31,3.375,3.4062,3.25,3.3125,223700
2001-02-01,3.3438,3.625,3.3438,3.4375,81600
2001-02-02,3.3438,3.5,3.3125,3.4375,21300
2001-02-05,3.6875,3.75,3.375,3.5,87000
2001-02-06,3.5312,3.625,3.5,3.5,24600
2001-02-07,3.75,3.875,3.625,3.75,175600
2001-02-08,3.8438,3.875,3.375,3.5,85800
2001-02-09,3.75,3.75,3.5,3.625,70600
2001-02-12,3.5625,3.625,3.375,3.5,55400
2001-02-13,3.4688,3.5,3.375,3.4688,56300
2001-02-14,3.25,3.375,3.0,3.375,44200
2001-02-15,3.1875,3.375,3.0938,3.25,77600
2001-02-16,3.2031,3.375,3.0,3.0,33900
2001-02-20,3.0,3.1406,2.6875,2.75,137600
2001-02-21,2.625,2.7188,2.5,2.5,86600
2001-02-22,2.5,2.75,2.5,2.6719,110000
2001-02-23,2.5625,2.6875,2.5,2.5781,69000
2001-02-26,2.5938,2.6875,2.5625,2.6875,150600
2001-02-27,2.8125,2.8125,2.5,2.6875,151500
2001-02-28,2.7188,2.7188,2.5,2.5625,160100
2001-03-01,2.6094,2.75,2.5625,2.6875,45700
2001-03-02,2.5625,2.75,2.5625,2.7188,16000
2001-03-05,2.5625,2.75,2.5,2.5312,38000
2001-03-06,2.5625,2.875,2.5625,2.7812,60800
2001-03-07,2.8125,2.8125,2.6562,2.75,35900
2001-03-08,2.7344,2.75,2.6875,2.75,14400
2001-03-09,2.6875,2.75,2.5625,2.5625,20800
2001-03-12,2.5,2.625,2.4062,2.4375,60200
2001-03-13,2.4375,2.5625,2.3125,2.5,59500
2001-03-14,2.4375,2.4688,2.25,2.375,54400
2001-03-15,2.25,2.4219,2.25,2.3125,40100
2001-03-16,2.2656,2.3594,2.0312,2.125,47900
2001-03-19,2.0312,2.25,2.0312,2.1562,93400
2001-03-20,2.125,2.1875,2.0312,2.0312,92500
2001-03-21,2.0,2.0312,1.75,1.875,104000
2001-03-22,1.75,1.8125,1.5938,1.625,204500
2001-03-23,1.6875,1.875,1.625,1.6875,184600
2001-03-26,1.75,1.8125,1.6875,1.75,76100
2001-03-27,1.7812,1.875,1.7188,1.8125,215200
2001-03-28,1.8125,1.8125,1.75,1.8125,317000
2001-03-29,1.7812,1.8125,1.75,1.8125,463200
2001-03-30,1.8125,2.0,1.75,1.9688,152500
2001-04-02,2.0,2.125,1.9688,2.125,51400
2001-04-03,2.0625,2.125,1.9375,2.0156,130100
2001-04-04,2.0,2.0625,1.9062,2.0312,142800
2001-04-05,2.0625,2.125,2.0,2.0625,70600
2001-04-06,2.0938,2.25,2.0,2.0938,144400
2001-04-09,2.2,2.2,1.86,1.9,21300
2001-04-10,1.91,2.07,1.91,2.03,218600
2001-04-11,2.02,2.06,1.85,2.0,74500
