date,open,high,low,close,volume
2000-10-05,7.1119,7.1635,7.0604,7.1635,6100
2000-10-06,7.1119,7.1119,7.1119,7.1119,1300
2000-10-09,7.1119,7.1119,6.6996,6.7512,8000
2000-10-10,6.6996,6.8027,6.5966,6.6481,22500
2000-10-11,6.6996,6.6996,6.5966,6.6481,13600
2000-10-12,6.6481,6.6481,6.6481,6.6481,0
2000-10-13,6.6095,7.1119,6.5966,6.8027,1400
2000-10-16,7.0089,7.0089,6.6996,6.6996,900
2000-10-17,6.7512,6.7512,6.7512,6.7512,500
2000-10-18,7.1119,7.1119,7.0089,7.0089,400
2000-10-19,6.7512,6.7512,6.7512,6.7512,3900
2000-10-20,6.6996,7.0089,6.6996,7.0089,400
2000-10-23,6.7512,7.0089,6.7512,7.0089,3300
2000-10-24,6.7125,7.1119,6.6996,7.0089,40300
2000-10-25,7.0089,7.0089,7.0089,7.0089,3600
2000-10-26,6.9058,7.215,6.9058,7.215,300
2000-10-27,7.215,7.215,7.0604,7.1119,1300
2000-10-30,7.1119,7.1119,6.9058,6.9058,400
2000-10-31,7.3181,7.3181,7.0089,7.0089,1200
2000-11-01,7.215,7.2279,7.1119,7.2279,2500
2000-11-02,7.1248,7.215,7.1119,7.1119,12800
2000-11-03,7.1635,7.3696,7.1635,7.215,8000
2000-11-06,7.1635,7.3696,7.1635,7.3696,700
2000-11-07,7.1635,7.2665,7.1635,7.2665,5600
2000-11-08,7.1635,7.1635,7.1635,7.1635,100
2000-11-09,7.4083,7.4083,7.1635,7.1635,6900
2000-11-10,7.1635,7.215,7.1635,7.215,1200
2000-11-13,7.215,7.215,7.1635,7.1635,300
2000-11-14,7.1764,7.215,7.1635,7.1635,1300
2000-11-15,7.1635,7.4212,6.9573,7.4212,36300
2000-11-16,7.4212,7.4212,7.4212,7.4212,300
2000-11-17,7.4212,7.4212,7.3181,7.3181,11200
2000-11-20,7.3181,7.3181,6.8027,7.3181,3200
2000-11-21,7.3181,7.4727,7.3181,7.3438,45300
2000-11-22,7.3181,7.3181,7.3181,7.3181,4400
2000-11-24,7.3181,7.3181,7.3181,7.3181,0
2000-11-27,7.3181,7.3438,7.3181,7.3438,4400
2000-11-28,7.4212,8.1942,7.3181,8.0396,31500
2000-11-29,8.0396,8.0396,7.6273,7.8334,16000
2000-11-30,7.4212,7.5242,7.3181,7.3181,7200
2000-12-01,7.7304,7.8334,7.4212,7.5242,5400
2000-12-04,7.4212,7.4212,7.4212,7.4212,1100
2000-12-05,7.434,7.8334,7.4212,7.4212,600
2000-12-06,7.4212,7.5242,7.4212,7.5242,5100
2000-12-07,7.5371,7.8334,7.4212,7.5758,12000
2000-12-08,7.4727,7.8334,7.4727,7.7304,44600
2000-12-11,7.8334,7.8334,7.8334,7.8334,7700
2000-12-12,7.8334,7.8334,7.8334,7.8334,1200
2000-12-13,7.8334,7.8334,7.8334,7.8334,100
2000-12-14,7.7432,7.8334,7.7432,7.8334,3800
2000-12-15,7.8334,7.8334,7.8334,7.8334,0
2000-12-18,7.9365,8.0396,7.9365,7.9623,13700
2000-12-19,8.0396,8.0396,8.0396,8.0396,15200
2000-12-20,7.8334,7.8334,7.7304,7.8334,54900
2000-12-21,7.9365,7.9365,7.8334,7.8334,5300
2000-12-22,7.9365,7.9365,7.8334,7.885,7400
2000-12-26,7.9365,8.0396,7.9365,7.9494,13900
2000-12-27,7.9365,8.0396,7.9365,7.9365,10300
2000-12-28,8.0396,8.3488,8.0396,8.1427,25400
2000-12-29,8.2457,8.4519,8.2457,8.3488,4200
2001-01-02,8.4519,8.4519,8.2457,8.2457,11800
2001-01-03,8.2457,8.2457,7.885,8.2457,1300
2001-01-04,8.2457,8.2457,8.2457,8.2457,6700
2001-01-05,8.3488,9.328,8.2457,8.8126,16100
2001-01-08,8.3488,8.3488,8.1942,8.1942,2900
2001-01-09,8.1942,8.1942,8.1942,8.1942,0
2001-01-10,8.1942,8.4519,8.1942,8.4519,1100
2001-01-11,8.4519,8.4519,8.1942,8.1942,700
2001-01-12,8.0396,8.2457,8.0396,8.2457,3000
2001-01-16,8.4003,8.7611,8.4003,8.658,3600
2001-01-17,8.7611,8.7611,8.3488,8.658,9900
2001-01-18,8.7611,8.7611,8.4519,8.5549,5100
2001-01-19,8.4519,8.4519,8.4519,8.4519,200
2001-01-22,8.4519,8.4519,8.2457,8.4519,8600
2001-01-23,8.3488,8.5034,8.3488,8.5034,7700
2001-01-24,8.4905,8.8642,8.4905,8.658,13700
2001-01-25,8.658,8.8642,8.5549,8.658,6400
2001-01-26,8.8642,8.8642,8.7611,8.7611,2500
2001-01-29,8.774,8.9157,8.658,8.658,3900
2001-01-30,8.658,8.8642,8.658,8.8642,3000
2001-01-31,9.0703,9.1734,8.9672,9.0703,27500
2001-02-01,9.2249,9.2764,9.0703,9.2764,48700
2001-02-02,9.3795,9.3795,9.1218,9.1218,30300
2001-02-05,9.1734,9.2249,9.1218,9.1218,12100
2001-02-06,9.1734,9.2249,9.0188,9.0188,17400
2001-02-07,8.9801,9.0703,8.9672,9.0703,14200
2001-02-08,9.0188,9.1734,9.0188,9.1734,600
2001-02-09,9.1218,9.6372,9.1218,9.5857,28400
2001-02-12,9.6372,10.2041,9.4826,10.2041,17100
2001-02-13,10.3072,10.3072,9.7918,10.3072,29500
