date,open,high,low,close,volume
2000-10-05,41.6875,43.0,37.625,38.5,244200
2000-10-06,38.875,39.75,37.4375,38.25,195300
2000-10-09,37.875,40.0625,36.0,39.0,128700
2000-10-10,38.375,38.5625,36.375,37.25,177500
2000-10-11,36.75,37.875,36.5,37.0,243200
2000-10-12,37.0,37.625,36.0,36.6875,185800
2000-10-13,36.25,40.875,36.125,40.625,180200
2000-10-16,40.6875,42.125,39.5,40.8125,164600
2000-10-17,41.0,41.5,37.5,38.1875,96400
2000-10-18,38.4375,40.5,36.75,38.3125,183000
2000-10-19,39.25,45.75,39.25,44.9375,454100
2000-10-20,44.9375,44.9375,40.5,44.6875,411700
2000-10-23,43.4375,47.5,42.75,47.1875,250000
2000-10-24,47.125,47.125,44.625,46.4375,388400
2000-10-25,45.875,46.0,42.0,44.0,293600
2000-10-26,44.0,45.0,40.25,44.9375,293800
2000-10-27,45.0,45.75,42.0,44.5625,198800
2000-10-30,44.5,44.5,41.0,42.875,112500
2000-10-31,42.875,45.6875,42.75,45.625,315700
2000-11-01,45.0,46.0,43.25,45.1875,155000
2000-11-02,45.0,46.0,44.75,45.9375,119100
2000-11-03,45.9375,45.9375,44.375,45.125,103300
2000-11-06,45.125,45.5,43.25,43.9375,138300
2000-11-07,43.9375,43.9375,41.4375,42.4375,197800
2000-11-08,42.4375,42.5,40.625,41.125,148200
2000-11-09,41.125,41.25,37.5,40.6875,242800
2000-11-10,40.6875,40.6875,38.25,38.25,237100
2000-11-13,38.4375,39.5,37.25,38.4375,261300
2000-11-14,38.375,43.25,38.375,40.25,165500
2000-11-15,41.0,44.375,41.0,43.5625,371400
2000-11-16,43.3125,43.5,39.375,39.625,300800
2000-11-17,39.875,42.0,39.5,41.0625,145000
2000-11-20,40.0,40.3125,38.6875,39.0,138600
2000-11-21,40.25,40.5,38.5,40.0625,110400
2000-11-22,40.0625,40.0625,37.25,38.1875,168700
2000-11-24,38.875,41.5,38.875,40.3125,122100
2000-11-27,40.3125,42.3125,40.0,40.0,130500
2000-11-28,39.625,40.625,36.375,38.0,218000
2000-11-29,38.125,40.0,38.0,38.0,142600
2000-11-30,37.625,40.25,36.375,39.125,258300
2000-12-01,39.1875,41.5,38.0,39.6875,173700
2000-12-04,40.5,41.5,39.0625,39.375,98300
2000-12-05,40.875,46.75,40.875,45.75,916300
2000-12-06,46.0,48.9375,44.8125,45.75,1344200
2000-12-07,45.75,46.125,43.125,44.0,422300
2000-12-08,44.75,47.75,44.75,46.875,2891500
2000-12-11,47.5,51.5,47.5,49.75,755100
2000-12-12,49.6875,50.125,47.0625,48.8125,262600
2000-12-13,49.75,50.5,46.75,47.25,443400
2000-12-14,48.25,49.375,47.125,48.3125,225800
2000-12-15,46.625,47.25,44.25,46.375,549400
2000-12-18,46.4375,47.375,44.875,46.4375,342100
2000-12-19,46.125,46.625,45.3125,45.625,396600
2000-12-20,44.25,46.0,42.75,43.875,632000
2000-12-21,43.9375,45.6875,42.5,44.5625,452600
2000-12-22,44.5625,46.6875,44.375,46.4375,415300
2000-12-26,46.5,46.875,45.875,46.125,278200
2000-12-27,46.0,48.75,46.0,48.6875,243500
2000-12-28,48.6875,50.875,48.625,49.625,256200
2000-12-29,51.0,52.0,46.25,47.0,486900
2001-01-02,47.0,47.375,41.9375,42.5625,387800
2001-01-03,42.8125,51.3125,42.25,51.1875,522600
2001-01-04,51.0625,51.125,47.5,49.375,962700
2001-01-05,49.875,49.875,43.375,43.375,341300
2001-01-08,43.875,47.125,43.5,45.5,392200
2001-01-09,46.125,46.875,45.0625,46.0625,419000
2001-01-10,45.375,46.5,43.5,46.4375,607700
2001-01-11,46.75,48.75,45.9375,48.0,326700
2001-01-12,48.125,50.625,47.875,49.75,323900
2001-01-16,49.75,50.25,47.5625,47.5625,518400
2001-01-17,49.125,53.8125,49.125,52.3125,1119700
2001-01-18,52.875,54.8125,52.125,54.25,481400
2001-01-19,52.0,53.0,49.5,52.5625,709500
2001-01-22,51.625,51.75,50.0,50.9375,205800
2001-01-23,50.8125,53.5,49.375,52.9375,401900
2001-01-24,51.75,53.875,51.75,53.5625,416500
2001-01-25,53.0,53.25,50.375,50.875,233400
2001-01-26,51.125,51.125,49.25,50.375,262600
2001-01-29,51.25,51.77,50.1,50.18,190300
2001-01-30,50.03,52.99,50.01,52.9,258900
2001-01-31,53.14,54.99,52.76,54.5,543700
2001-02-01,54.26,54.26,52.0,53.49,302500
2001-02-02,53.55,54.24,50.35,52.27,432500
2001-02-05,52.27,52.27,49.29,49.31,296100
2001-02-06,50.35,50.75,48.0,49.55,419300
2001-02-07,48.9,48.9,45.5,47.39,382200
2001-02-08,47.75,49.25,46.2,46.73,332100
2001-02-09,46.5,46.6,43.12,44.49,460700
2001-02-12,43.51,44.6,42.53,43.89,370600
2001-02-13,28.0,30.75,28.0,30.0,4714400
2001-02-14,30.01,30.68,29.85,30.25,998400
2001-02-15,30.2,32.9,30.18,32.55,525300
2001-02-16,32.54,32.54,29.3,29.99,655200
2001-02-20,29.5,29.69,26.5,27.15,497100
2001-02-21,27.1,28.2,26.6,26.82,549600
2001-02-22,27.05,27.2,26.16,26.48,615800
2001-02-23,26.25,26.31,24.85,25.99,722000
2001-02-26,27.25,27.65,26.25,27.2,552000
2001-02-27,27.2,27.68,26.52,26.61,855000
2001-02-28,27.05,27.15,25.07,26.45,343400
2001-03-01,26.35,26.4,25.2,25.63,516600
2001-03-02,25.64,27.05,25.64,25.97,471000
2001-03-05,25.97,26.25,25.1,25.49,460700
2001-03-06,26.0,26.4,24.85,25.3,589600
2001-03-07,25.5,27.32,25.3,26.25,830100
2001-03-08,26.4,26.9,25.08,25.08,274300
2001-03-09,25.05,25.22,24.65,24.77,383900
2001-03-12,24.53,24.75,23.5,23.54,472500
2001-03-13,23.65,24.3,23.4,23.95,358800
2001-03-14,23.6,23.65,22.5,23.49,381400
2001-03-15,23.6,24.35,23.2,23.28,421000
2001-03-16,23.1,23.2,22.0,22.0,644400
2001-03-19,22.0,23.23,21.48,23.0,400800
2001-03-20,16.25,17.34,16.0,16.97,2442800
2001-03-21,17.0,17.98,16.85,17.08,695500
2001-03-22,17.05,17.61,16.85,17.3,716300
2001-03-23,17.9,18.15,17.45,17.66,767800
2001-03-26,17.75,18.62,17.75,17.94,616900
2001-03-27,18.05,18.45,17.92,18.44,554800
2001-03-28,18.0,18.25,17.0,17.17,323700
2001-03-29,17.15,18.11,17.05,17.14,370800
2001-03-30,17.14,17.99,17.14,17.77,318500
2001-04-02,17.77,18.0,17.1,17.1,399700
2001-04-03,17.1,17.33,16.54,16.8,382400
2001-04-04,16.6,17.25,16.52,16.72,349900
2001-04-05,17.15,18.75,17.05,18.74,411600
2001-04-06,18.5,18.5,17.58,17.85,222400
2001-04-09,18.05,18.59,17.84,18.0,193100
2001-04-10,18.35,19.41,18.35,19.34,304100
2001-04-11,20.0,20.72,18.85,19.65,254400
2001-04-12,19.45,20.05,18.74,20.05,353900
2001-04-16,20.15,20.3,19.11,20.1,202400
2001-04-17,19.7,20.39,19.2,19.4,188000
2001-04-18,19.65,21.49,19.6,20.51,514000
2001-04-19,21.0,21.82,20.84,21.7,352200
2001-04-20,21.7,21.7,20.9,21.13,331800
2001-04-23,21.12,21.12,20.0,20.06,148800
2001-04-24,20.05,20.2,19.57,19.64,263700
2001-04-25,19.55,22.25,19.46,19.99,297700
2001-04-26,19.65,19.97,19.2,19.24,326700
2001-04-27,19.55,20.06,19.38,20.05,318200
2001-04-30,20.1,20.1,19.45,19.56,402600
2001-05-01,19.7,20.39,19.25,20.35,327000
2001-05-02,20.6,21.6,20.45,21.5,604200
2001-05-03,20.75,21.55,20.29,21.55,312100
2001-05-04,21.4,22.75,20.33,22.75,333700
2001-05-07,22.55,23.0,21.9,22.53,345200
2001-05-08,22.8,23.0,21.87,22.05,280800
2001-05-09,22.2,22.71,22.0,22.16,190800
2001-05-10,22.5,23.1,22.04,22.04,203400
2001-05-11,22.05,22.32,21.48,21.59,271600
2001-05-14,21.8,21.8,21.0,21.36,191700
2001-05-15,21.55,22.2,21.48,21.75,189100
2001-05-16,22.0,22.21,21.14,22.2,351800
2001-05-17,22.3,23.0,21.5,22.49,416200
2001-05-18,22.8,23.0,22.58,22.7,226400
2001-05-21,22.72,23.5,22.51,23.5,267600
2001-05-22,23.5,25.27,23.4,25.09,448900
2001-05-23,25.1,25.1,23.76,23.94,312700
2001-05-24,24.35,24.35,23.28,23.6,147700
2001-05-25,23.7,23.71,23.15,23.36,140900
2001-05-29,23.5,23.55,22.1,22.1,190600
2001-05-30,22.1,22.1,20.52,20.66,309800
2001-05-31,20.82,22.01,20.82,21.68,199500
2001-06-01,21.7,22.4,21.24,21.82,170200
2001-06-04,21.9,22.8,21.5,22.8,210100
2001-06-05,23.0,23.69,22.95,23.51,227600
2001-06-06,23.45,24.15,23.45,23.81,148200
2001-06-07,23.81,23.95,22.5,23.15,251200
2001-06-08,23.05,23.05,21.91,22.1,146000
2001-06-11,22.2,22.55,20.9,21.27,246300
2001-06-12,20.75,21.2,19.5,21.12,402500
2001-06-13,21.05,21.7,20.73,20.75,108300
2001-06-14,20.6,20.78,19.9,20.4,190200
2001-06-15,19.9,19.91,18.75,19.16,355400
2001-06-18,19.45,19.5,18.31,18.35,156400
2001-06-19,18.6,19.15,17.7,17.9,240700
2001-06-20,17.95,18.08,17.11,17.94,240400
2001-06-21,17.94,17.95,17.05,17.65,446900
2001-06-22,18.0,18.24,17.45,17.49,581000
2001-06-25,17.5,18.4,17.0,18.15,554600
2001-06-26,18.16,20.15,18.16,19.34,889600
2001-06-27,20.5,23.81,20.33,23.2,2060000
2001-06-28,23.2,23.74,21.6,21.62,1078200
2001-06-29,21.62,23.8,21.62,23.15,902400
2001-07-02,23.16,24.3,22.6,22.6,692600
2001-07-03,22.8,23.55,22.18,23.36,392200
2001-07-05,23.37,23.5,22.3,22.85,326300
