date,open,high,low,close,volume
2000-10-05,6.375,6.4375,6.375,6.4375,182400
2000-10-06,6.375,6.4375,6.375,6.4375,118900
2000-10-09,6.4375,6.4375,6.375,6.4375,84000
2000-10-10,6.375,6.4375,6.375,6.4375,161600
2000-10-11,6.375,6.4375,6.3125,6.375,125600
2000-10-12,6.3125,6.375,6.3125,6.3125,196500
2000-10-13,6.3125,6.375,6.25,6.3125,280100
2000-10-16,6.3125,6.3125,6.25,6.3125,91300
2000-10-17,6.25,6.3125,6.1875,6.1875,210100
2000-10-18,6.125,6.1875,6.0,6.0625,163200
2000-10-19,6.125,6.125,6.0625,6.125,184900
2000-10-20,6.125,6.1875,6.0625,6.125,93700
2000-10-23,6.125,6.125,6.0625,6.125,138900
2000-10-24,6.0625,6.1875,6.0625,6.1875,183800
2000-10-25,6.0625,6.125,6.0625,6.125,214400
2000-10-26,6.0625,6.125,6.0625,6.125,117300
2000-10-27,6.0625,6.125,6.0625,6.125,110100
2000-10-30,6.125,6.125,6.0625,6.0625,121200
2000-10-31,6.0625,6.125,6.0,6.0,140600
2000-11-01,6.0625,6.125,6.0312,6.125,228800
2000-11-02,6.125,6.1875,6.0625,6.0625,177900
2000-11-03,6.125,6.1875,6.0625,6.125,194400
2000-11-06,6.125,6.1875,6.125,6.125,227200
2000-11-07,6.125,6.1875,6.125,6.1875,125500
2000-11-08,6.125,6.1875,6.0625,6.0625,178800
2000-11-09,6.0625,6.1875,6.0625,6.0625,141300
2000-11-10,6.125,6.1875,6.0625,6.125,126600
2000-11-13,6.0625,6.125,6.0625,6.125,154200
2000-11-14,6.0625,6.125,6.0625,6.125,167600
2000-11-15,6.0625,6.125,6.0625,6.125,151200
2000-11-16,6.0,6.0625,6.0,6.0,245000
2000-11-17,5.9375,6.0625,5.9375,6.0625,288500
2000-11-20,6.0,6.0625,5.9375,6.0,268200
2000-11-21,5.9375,6.0,5.9375,6.0,208500
2000-11-22,5.9375,6.0,5.9375,6.0,178100
2000-11-24,5.9375,6.0,5.9375,6.0,33200
2000-11-27,6.0,6.0,5.9375,6.0,169800
2000-11-28,6.0,6.0,5.9375,6.0,301300
2000-11-29,5.9375,6.0,5.9375,6.0,126400
2000-11-30,6.0,6.0,5.9375,6.0,211000
2000-12-01,6.0,6.0,5.9375,6.0,191400
2000-12-04,6.0,6.0,5.9375,6.0,375000
2000-12-05,5.9375,6.0625,5.9375,6.0,221400
2000-12-06,6.0,6.125,6.0,6.0625,354500
2000-12-07,6.0625,6.125,6.0,6.0625,231200
2000-12-08,6.0,6.125,6.0,6.0625,228900
2000-12-11,6.0625,6.125,6.0,6.0625,215800
2000-12-12,6.0625,6.125,6.0,6.0625,228000
2000-12-13,6.0625,6.0625,6.0,6.0625,195400
2000-12-14,6.0,6.0625,6.0,6.0625,206500
2000-12-15,6.0,6.125,6.0,6.0625,293000
2000-12-18,6.0625,6.0625,6.0,6.0625,412900
2000-12-19,6.0625,6.0625,5.9375,6.0,345100
2000-12-20,5.9375,6.0625,5.9375,6.0,473900
2000-12-21,6.0,6.0625,5.9375,6.0,357700
2000-12-22,6.0,6.0625,6.0,6.0625,268200
2000-12-26,6.0,6.125,6.0,6.0,242000
2000-12-27,6.0625,6.125,6.0,6.0,310800
2000-12-28,6.0,6.125,6.0,6.0,289300
2000-12-29,6.125,6.125,6.0,6.125,360100
2001-01-02,6.125,6.125,6.0625,6.125,274100
2001-01-03,6.125,6.25,6.125,6.25,435800
2001-01-04,6.25,6.375,6.25,6.375,325900
2001-01-05,6.3125,6.375,6.25,6.375,231600
2001-01-08,6.375,6.5,6.3125,6.4375,310500
2001-01-09,6.375,6.4375,6.375,6.4375,238000
2001-01-10,6.4375,6.5,6.4375,6.5,454900
2001-01-11,6.5,6.5625,6.4375,6.5625,203600
2001-01-12,6.5,6.5625,6.5,6.5,229500
2001-01-16,6.5625,6.5625,6.5,6.5625,188300
2001-01-17,6.5,6.5625,6.4688,6.5625,405700
2001-01-18,6.4375,6.5625,6.4375,6.5625,167700
2001-01-19,6.5,6.5625,6.5,6.5625,327200
2001-01-22,6.5625,6.5625,6.5,6.5625,206500
2001-01-23,6.5625,6.5625,6.5,6.5625,233700
