date,open,high,low,close,volume
2000-10-05,147.75,152.5,140.0,140.5,476700
2000-10-06,141.0,146.25,129.0,130.0,686500
2000-10-09,131.0,136.0,118.0,133.75,671900
2000-10-10,131.25,141.1875,120.0,120.0,533900
2000-10-11,117.5,118.0,98.0,100.0,1827900
2000-10-12,106.0,106.25,84.5,95.0,1242900
2000-10-13,93.25,94.5,66.25,84.75,3787500
2000-10-16,87.75,100.0,84.0,99.25,1508500
2000-10-17,102.75,107.0,76.75,86.75,1455200
2000-10-18,42.0,67.75,40.5,59.5,7553400
2000-10-19,69.5,76.5,63.0,76.0,1992400
2000-10-20,79.0,98.0,78.5,88.0,2055700
2000-10-23,97.25,99.0,88.0,89.5,1760500
2000-10-24,90.25,92.0,78.25,79.0,1319200
2000-10-25,76.5,83.0,73.5,74.25,1015300
2000-10-26,75.75,81.0,72.0,80.5,809900
2000-10-27,83.25,86.0,74.5,76.25,582600
2000-10-30,76.75,79.5,73.0,73.75,443200
2000-10-31,76.0,82.5,75.0,82.4375,759400
2000-11-01,80.25,91.75,78.5,84.5,1467400
2000-11-02,87.75,94.0,85.25,93.0,901700
2000-11-03,94.5,95.0,89.0,89.25,486600
2000-11-06,91.5,93.0,90.0,90.25,375200
2000-11-07,91.0,102.75,89.5,102.25,845700
2000-11-08,105.75,107.0,92.0,92.25,797800
2000-11-09,88.25,91.0,79.0,85.5,828300
2000-11-10,80.75,90.0,80.0,80.0,646000
2000-11-13,74.75,82.25,68.25,75.75,739900
2000-11-14,84.0,85.75,79.1875,85.25,495100
2000-11-15,81.0,87.5,80.5,82.75,412100
2000-11-16,79.375,83.5,78.0,78.25,379200
2000-11-17,78.5,82.5,71.75,73.5,482000
2000-11-20,66.5,70.5,66.0,66.5,674000
2000-11-21,67.75,68.25,60.0,60.25,710500
2000-11-22,56.75,61.25,52.0,54.25,1319300
2000-11-24,62.5,65.5,58.0,64.0,411500
2000-11-27,69.5,73.0,60.75,60.75,510500
2000-11-28,58.0,62.0,52.25,54.125,710800
2000-11-29,55.0,60.0,52.25,55.75,653700
2000-11-30,52.375,53.75,44.25,49.75,1281100
2000-12-01,52.0,56.0,49.5,52.0,819900
