date,open,high,low,close,volume
2000-10-05,21.125,21.125,20.9375,21.0,12700
2000-10-06,20.875,20.9375,20.875,20.875,700
2000-10-09,20.875,20.875,20.875,20.875,0
2000-10-10,20.875,20.9375,20.875,20.9375,2100
2000-10-11,20.875,20.9375,20.75,20.75,3500
2000-10-12,20.75,20.75,20.125,20.4375,7700
2000-10-13,20.3125,20.3125,20.1875,20.3125,3100
2000-10-16,20.1875,20.375,20.1875,20.25,11800
2000-10-17,20.0,20.25,20.0,20.125,7200
2000-10-18,20.125,20.375,20.0,20.375,12400
2000-10-19,20.375,20.375,20.0,20.25,7700
2000-10-20,20.375,20.375,20.125,20.3125,15300
2000-10-23,20.3125,20.375,20.25,20.3125,4900
2000-10-24,20.3125,20.625,20.25,20.25,17500
2000-10-25,20.125,20.25,20.0625,20.125,7900
2000-10-26,20.25,20.25,20.125,20.125,3000
2000-10-27,20.0625,20.0625,19.875,20.0625,7200
2000-10-30,20.0,20.875,20.0,20.875,9100
2000-10-31,20.75,21.6875,20.75,21.6875,12700
2000-11-01,21.4375,21.6875,21.4375,21.5625,6300
2000-11-02,21.4375,21.4375,21.0625,21.25,10200
2000-11-03,21.25,21.375,21.25,21.375,4200
2000-11-06,21.25,21.8125,21.1875,21.8125,17400
2000-11-07,21.75,22.0,21.1875,21.25,11400
2000-11-08,21.0,21.0625,20.3125,20.3125,13200
2000-11-09,20.5625,20.5625,20.1875,20.5,7800
2000-11-10,20.375,20.375,19.875,20.125,3800
2000-11-13,20.25,20.625,20.25,20.5,6700
2000-11-14,20.375,20.625,20.375,20.5625,5300
2000-11-15,20.5625,21.0,20.5625,21.0,2400
2000-11-16,21.0,21.5625,21.0,21.5625,4800
2000-11-17,21.6875,21.75,21.5625,21.5625,4500
2000-11-20,21.5,21.5,21.3125,21.3125,3000
2000-11-21,21.3125,21.375,21.3125,21.3125,5800
2000-11-22,21.1875,21.1875,20.875,20.9375,4000
2000-11-24,20.875,21.0,20.875,21.0,3200
2000-11-27,21.0,21.0625,20.75,20.875,8300
2000-11-28,20.8125,20.8125,20.25,20.25,4400
2000-11-29,20.25,20.75,19.8125,20.75,9600
2000-11-30,20.5,20.5625,20.1875,20.3125,12000
2000-12-01,20.1875,20.6875,20.1875,20.4375,13100
2000-12-04,20.4375,20.5,20.125,20.1875,7200
2000-12-05,20.1875,20.4375,20.1875,20.4375,8400
2000-12-06,20.5,20.5,20.0625,20.0625,10800
2000-12-07,20.0625,21.125,20.0625,20.9375,16700
2000-12-08,20.9375,21.0,20.625,20.75,5500
2000-12-11,20.5625,20.5625,19.75,20.125,6700
