date,open,high,low,close,volume
2000-10-05,7.475,7.5,7.475,7.5,4500
2000-10-06,7.475,7.475,7.475,7.475,8500
2000-10-09,7.45,7.45,7.45,7.45,6500
2000-10-10,7.525,7.65,7.525,7.65,31000
2000-10-11,7.6,7.625,7.475,7.55,38000
2000-10-12,7.525,7.525,7.35,7.375,25500
2000-10-13,7.35,7.35,6.975,7.1625,56500
2000-10-16,7.175,7.25,7.15,7.25,7500
2000-10-17,7.275,7.275,7.125,7.125,7500
2000-10-18,7.15,7.15,6.9,6.9,57500
2000-10-19,6.9,7.175,6.9,7.1,28500
2000-10-20,7.125,7.25,7.125,7.15,19000
2000-10-23,7.2,7.2,7.1,7.125,11000
2000-10-24,7.15,7.225,7.125,7.15,13500
2000-10-25,7.175,7.4,7.15,7.375,21000
2000-10-26,7.3625,7.3625,7.3,7.3,4000
2000-10-27,7.275,7.3,7.275,7.3,2500
2000-10-30,7.25,7.275,7.15,7.2,18000
2000-10-31,7.2,7.2,7.075,7.075,24500
2000-11-01,7.05,7.125,7.05,7.05,33000
2000-11-02,7.075,7.1,7.05,7.05,8500
2000-11-03,7.05,7.075,7.025,7.025,8500
2000-11-06,7.0375,7.075,6.95,7.075,32500
2000-11-07,7.1,7.1,6.9875,7.0,16500
2000-11-08,6.975,7.025,6.95,7.025,16000
2000-11-09,7.0,7.0,6.975,6.975,1500
2000-11-10,6.975,6.975,6.8,6.85,22000
2000-11-13,6.85,6.85,6.7,6.7625,16500
2000-11-14,6.8,6.9625,6.775,6.9625,13500
2000-11-15,6.9875,7.15,6.9875,7.15,30000
2000-11-16,7.175,7.275,7.175,7.2,12500
2000-11-17,7.175,7.175,7.15,7.1625,7000
2000-11-20,7.175,7.2,7.075,7.125,29500
2000-11-21,7.1125,7.325,7.1125,7.325,21500
2000-11-22,7.3125,7.3125,7.1875,7.1875,14000
2000-11-24,7.1875,7.1875,7.1375,7.1375,1000
2000-11-27,7.15,7.15,7.125,7.125,16500
2000-11-28,7.125,7.125,7.05,7.05,13000
2000-11-29,7.05,7.05,6.85,6.9875,24000
2000-11-30,6.9625,7.15,6.9625,7.125,22000
2000-12-01,7.075,7.1,7.0375,7.075,16500
2000-12-04,7.025,7.2,7.025,7.1625,23500
2000-12-05,7.1875,7.1875,7.0875,7.1625,32000
2000-12-06,7.1875,7.2,7.1,7.1875,17500
2000-12-07,7.15,7.175,7.125,7.175,10000
2000-12-08,7.2,7.2,7.15,7.175,4000
2000-12-11,7.125,7.25,7.125,7.2375,29500
2000-12-12,7.225,7.275,7.175,7.25,24000
2000-12-13,7.25,7.2875,7.175,7.275,20500
2000-12-14,7.3,7.3,7.2,7.25,8500
2000-12-15,7.275,7.3,7.275,7.3,2000
2000-12-18,7.2625,7.3,7.25,7.2875,15500
2000-12-19,7.25,7.275,7.125,7.15,13000
2000-12-20,7.025,7.05,6.925,6.925,25500
2000-12-21,6.9125,6.9125,6.7375,6.8125,33500
2000-12-22,6.825,6.9375,6.825,6.9125,7000
2000-12-26,6.8875,6.95,6.875,6.9375,30000
2000-12-27,6.9125,6.925,6.875,6.925,18500
2000-12-28,6.9125,6.95,6.9,6.925,25500
2000-12-29,6.9,7.15,6.9,7.125,21000
2001-01-02,7.125,7.425,7.125,7.425,30000
2001-01-03,7.45,7.625,7.45,7.575,23000
2001-01-04,7.5625,7.625,7.5625,7.6,12000
2001-01-05,7.6,7.7,7.475,7.7,37500
2001-01-08,7.675,7.925,7.65,7.85,29000
2001-01-09,7.8,7.825,7.65,7.725,27500
2001-01-10,7.775,7.925,7.775,7.875,5500
2001-01-11,7.8625,7.9375,7.825,7.9,9000
2001-01-12,7.75,7.85,7.75,7.85,25500
2001-01-16,7.85,7.975,7.825,7.975,5500
2001-01-17,7.95,8.1,7.95,8.0,21000
2001-01-18,8.0,8.0,7.9625,8.0,5000
2001-01-19,8.025,8.1,8.025,8.1,14000
2001-01-22,8.1375,8.225,8.1375,8.15,20000
2001-01-23,8.2,8.25,8.05,8.05,25000
2001-01-24,8.05,8.05,7.925,7.9875,9500
2001-01-25,8.0,8.025,8.0,8.025,1000
2001-01-26,8.05,8.15,8.025,8.125,3500
2001-01-29,8.104,8.12,8.064,8.064,11000
2001-01-30,8.03,8.03,7.92,7.92,13000
2001-01-31,7.9,7.92,7.88,7.918,20500
2001-02-01,7.94,7.94,7.92,7.94,2500
2001-02-02,7.94,7.94,7.91,7.92,10500
2001-02-05,7.94,7.94,7.874,7.89,15500
2001-02-06,7.87,7.87,7.85,7.87,4500
