date,open,high,low,close,volume
2000-10-05,24.8594,27.5,24.375,27.0,653100
2000-10-06,26.9375,27.0625,25.125,25.375,250700
2000-10-09,25.375,25.5,23.25,25.125,424400
2000-10-10,24.8906,26.75,24.875,26.0625,497100
2000-10-11,26.0,26.0,25.5,25.6875,334300
2000-10-12,25.8125,26.0625,24.625,25.5,239600
2000-10-13,25.25,27.625,25.25,27.5,126900
2000-10-16,27.625,29.8125,27.5,29.6875,259800
2000-10-17,29.5156,29.875,25.25,26.875,303400
2000-10-18,26.9844,28.0,25.25,27.6875,196000
2000-10-19,27.5,29.5,27.375,29.0625,137000
2000-10-20,28.9844,30.25,28.75,29.8125,350500
2000-10-23,29.8594,30.125,29.1406,29.375,170300
2000-10-24,29.6719,29.9375,27.6875,27.75,225300
2000-10-25,27.6875,29.125,26.8125,28.125,243600
2000-10-26,27.5625,28.375,26.375,28.0,1060600
2000-10-27,28.25,29.125,28.125,29.0,155900
2000-10-30,28.625,28.875,27.75,27.9219,202500
2000-10-31,27.8125,28.4375,27.5,27.75,462800
2000-11-01,27.6875,28.0625,27.5,27.8125,94500
2000-11-02,27.75,28.0,27.375,27.75,194700
2000-11-03,27.4375,28.125,25.75,26.5,349200
2000-11-06,26.1406,27.625,25.8125,27.5625,277600
2000-11-07,27.75,29.0625,27.4375,28.75,392900
2000-11-08,28.8125,29.5,28.4375,28.5,362900
2000-11-09,28.125,29.0625,27.0,29.0,234800
2000-11-10,27.9375,28.625,27.625,28.0,112400
2000-11-13,27.5625,28.1875,25.0,27.25,106200
2000-11-14,27.0,28.0,26.125,27.0,217600
2000-11-15,27.0781,27.4375,26.5,27.0,151400
2000-11-16,27.0,27.0,25.875,25.9375,88300
2000-11-17,26.2344,26.7344,25.875,26.0,160900
2000-11-20,26.1406,26.25,23.125,25.7812,238000
2000-11-21,25.8281,26.0,23.75,24.875,212900
2000-11-22,25.25,25.6875,23.75,24.375,202600
2000-11-24,24.4844,24.5,23.9375,23.9375,100800
2000-11-27,24.1875,24.5,23.0,23.6875,399900
2000-11-28,23.375,23.625,19.9375,19.9375,168900
2000-11-29,20.7344,21.0,18.9375,19.0,319400
2000-11-30,18.75,19.5625,17.5,19.0625,626500
2000-12-01,19.9844,22.1875,19.875,20.9375,783200
2000-12-04,21.0,21.25,19.25,20.4375,388800
2000-12-05,21.0,23.0,20.25,22.375,497700
2000-12-06,22.4531,22.875,21.5625,21.5625,255700
2000-12-07,21.5,21.9375,21.1875,21.5625,291300
2000-12-08,21.5625,23.0,21.375,22.9375,346600
2000-12-11,23.0625,24.375,22.5,23.9375,586100
2000-12-12,23.7344,23.75,21.75,21.75,618600
2000-12-13,22.5,22.5,20.1875,20.25,655400
2000-12-14,20.375,20.5,18.5,19.3125,569700
2000-12-15,19.4219,19.4375,18.25,18.6875,441700
2000-12-18,18.7969,20.0625,18.7969,19.125,413400
2000-12-19,19.2344,19.875,17.875,18.125,273600
2000-12-20,17.75,17.7812,16.125,16.5625,273900
2000-12-21,17.125,17.625,16.375,17.0,591300
2000-12-22,16.8906,18.375,16.8906,17.5625,325100
2000-12-26,17.625,17.875,17.4375,17.6875,220300
2000-12-27,17.7031,18.6875,17.5,18.375,205600
2000-12-28,17.7969,18.375,17.75,18.1875,374200
2000-12-29,18.0,19.4062,18.0,18.375,945300
2001-01-02,18.375,19.0625,17.8125,17.875,233900
2001-01-03,17.8125,19.125,17.75,18.875,338500
2001-01-04,18.625,21.25,18.625,21.125,857800
2001-01-05,21.25,21.3125,18.75,19.4375,685900
2001-01-08,19.8594,19.8594,18.6875,18.9375,1018200
2001-01-09,19.0,19.0625,15.5625,15.75,1652700
2001-01-10,16.875,17.8125,15.625,17.5625,1755000
2001-01-11,16.75,19.3125,16.6875,18.4375,1173100
2001-01-12,18.8594,19.0,17.875,18.75,700600
2001-01-16,18.9219,19.6094,18.875,19.125,544700
2001-01-17,19.5,20.125,18.375,18.5625,1220900
2001-01-18,18.4844,20.125,17.6875,18.8125,934100
2001-01-19,15.5312,16.1875,14.5,15.5625,3221100
2001-01-22,16.0,16.0625,14.8125,15.4375,1038000
2001-01-23,15.4375,15.5,14.9375,15.3125,1035600
2001-01-24,15.4375,16.125,15.1875,16.0625,879800
2001-01-25,16.1094,16.3125,15.75,16.125,449700
2001-01-26,16.0156,16.25,15.5625,16.125,592800
2001-01-29,16.0625,17.1875,16.0625,17.1875,652200
2001-01-30,17.1406,17.2344,16.75,16.9375,220900
2001-01-31,17.0,17.5625,16.875,17.0,709300
2001-02-01,17.4375,17.4375,16.875,17.0,465100
2001-02-02,17.0625,17.0625,16.5,16.9375,866600
2001-02-05,16.8281,16.9375,16.5625,16.625,279500
2001-02-06,16.6875,16.875,16.5,16.7344,164300
2001-02-07,16.4375,16.5,15.9375,15.9375,318100
2001-02-08,16.0625,16.25,16.0,16.1875,285100
2001-02-09,16.0625,17.8125,16.0625,17.4375,484400
2001-02-12,17.5625,18.25,17.25,17.3125,1125200
2001-02-13,17.875,18.0,16.9375,16.9375,1016100
2001-02-14,16.9375,17.0,16.1875,16.3125,359600
2001-02-15,16.3281,17.375,16.3281,17.125,288700
2001-02-16,16.9375,17.25,16.75,16.875,333400
2001-02-20,16.8125,17.125,16.5625,16.5625,75200
2001-02-21,16.5625,16.625,15.75,15.8125,383100
2001-02-22,15.875,16.0625,15.125,15.1875,271900
2001-02-23,15.125,15.625,14.25,15.375,740300
2001-02-26,16.0,16.5,15.0,16.25,291900
2001-02-27,15.75,15.875,15.3125,15.875,453900
2001-02-28,15.5625,15.5625,15.0625,15.5,229000
2001-03-01,15.4375,15.6875,14.5,14.6562,550200
2001-03-02,14.125,15.25,13.9375,15.0,303800
2001-03-05,14.9844,15.1875,14.4375,14.4375,278700
2001-03-06,14.9531,15.25,14.875,15.1875,149400
2001-03-07,15.0625,15.375,14.6875,14.8125,252800
2001-03-08,14.9375,15.1875,14.6875,15.0,268700
2001-03-09,14.7969,14.875,14.4375,14.5,213900
2001-03-12,14.5,14.5,13.75,14.0,324600
2001-03-13,13.9219,14.125,13.4375,14.0625,300200
2001-03-14,13.75,14.3125,13.75,14.125,335900
2001-03-15,10.0938,10.5,8.375,9.0625,6480300
2001-03-16,9.0,9.25,8.5625,9.0312,986700
2001-03-19,9.1562,9.25,8.8125,8.875,335300
2001-03-20,9.0312,9.0625,8.4375,8.625,342200
2001-03-21,8.625,8.6875,8.0,8.1875,1219500
2001-03-22,8.1562,8.5625,7.5938,8.5,374500
2001-03-23,8.6719,9.0938,8.4062,8.5,304900
2001-03-26,8.5156,8.625,8.375,8.5,154700
2001-03-27,8.625,8.625,7.875,8.0469,192200
2001-03-28,8.0,8.0,7.5625,7.625,297400
2001-03-29,7.6406,8.0,7.4375,7.5,375500
2001-03-30,7.6875,8.125,7.25,7.875,1113200
2001-04-02,7.8438,8.0,7.75,7.9062,236100
2001-04-03,7.9688,7.9688,7.2188,7.3125,118100
2001-04-04,7.2812,7.625,7.0625,7.0625,208400
2001-04-05,7.3281,7.5,7.125,7.5,51900
2001-04-06,7.4844,7.4844,6.75,7.0,183400
2001-04-09,6.98,7.04,6.86,6.99,226200
2001-04-10,7.02,7.63,7.0,7.45,459800
2001-04-11,7.56,8.12,7.56,8.05,534000
2001-04-12,8.07,8.29,7.75,7.92,371800
2001-04-16,8.05,8.06,7.75,7.98,204900
2001-04-17,7.87,7.87,6.98,7.49,298100
2001-04-18,7.69,8.1,7.47,7.5,624800
2001-04-19,7.55,7.55,7.14,7.24,400600
2001-04-20,7.3,7.33,6.75,6.92,696500
2001-04-23,6.9,7.2,6.85,7.0,329200
2001-04-24,6.94,7.14,6.55,6.7,488400
2001-04-25,6.69,6.92,6.5,6.76,1191000
2001-04-26,6.9,7.15,6.8,6.87,481900
2001-04-27,6.97,7.05,6.25,7.01,1994600
2001-04-30,7.04,7.1,6.53,6.82,1493700
2001-05-01,6.95,7.03,6.55,7.0,491100
2001-05-02,7.04,7.13,6.35,7.0,656100
2001-05-03,6.99,7.07,6.65,7.06,497800
2001-05-04,7.01,7.54,6.9,7.24,371700
2001-05-07,7.54,7.64,7.4,7.41,411200
2001-05-08,7.41,7.79,7.4,7.71,937400
2001-05-09,7.65,7.73,7.42,7.52,325100
2001-05-10,7.55,7.79,7.51,7.69,537500
2001-05-11,7.67,7.74,7.5,7.6,398500
2001-05-14,7.53,7.72,7.5,7.7,277000
2001-05-15,7.65,7.7,7.54,7.7,763300
2001-05-16,7.7,8.25,7.66,8.25,875500
2001-05-17,8.3,9.03,8.25,8.96,1051100
2001-05-18,9.04,9.05,8.75,9.0,420700
2001-05-21,9.01,9.75,8.89,9.55,506300
2001-05-22,9.6,9.89,9.55,9.63,388400
2001-05-23,9.7,9.8,9.34,9.66,286500
2001-05-24,9.66,9.66,9.36,9.42,236700
2001-05-25,9.51,9.57,9.24,9.38,195100
2001-05-29,9.39,9.4,9.0,9.1,158900
2001-05-30,8.99,9.07,8.9,9.0,280200
2001-05-31,8.81,9.14,8.75,9.11,752500
2001-06-01,9.22,9.4,8.93,9.4,170100
2001-06-04,9.07,9.45,9.0,9.33,149600
2001-06-05,9.42,9.42,9.0,9.29,259200
2001-06-06,9.4,9.4,9.0,9.11,495300
2001-06-07,9.04,9.14,8.96,9.13,270300
2001-06-08,9.23,9.78,9.15,9.55,282100
2001-06-11,9.6,9.6,9.34,9.34,139300
2001-06-12,9.36,9.37,8.76,9.02,610300
2001-06-13,9.05,9.15,9.0,9.04,109600
2001-06-14,9.02,9.02,8.6,8.6,562600
2001-06-15,8.7,8.71,8.19,8.35,256500
2001-06-18,8.38,8.42,7.7,8.0,250300
2001-06-19,8.11,8.29,8.09,8.2,250600
2001-06-20,8.12,8.21,8.04,8.2,178900
2001-06-21,8.12,8.45,8.12,8.3,103100
2001-06-22,8.47,8.64,8.26,8.64,239000
2001-06-25,8.5,8.81,8.5,8.68,267700
2001-06-26,8.49,8.83,8.46,8.51,155900
2001-06-27,8.52,8.95,8.5,8.71,208500
2001-06-28,8.96,8.97,8.06,8.64,313800
2001-06-29,8.8,9.05,8.21,8.99,1232500
2001-07-02,9.0,9.0,8.6,8.91,884000
2001-07-03,8.9,8.9,8.6,8.74,237900
2001-07-05,8.7,9.0,8.6,8.74,114300
2001-07-06,8.71,8.95,8.68,8.75,183200
2001-07-09,8.75,8.84,8.6,8.7,314100
2001-07-10,8.71,8.71,8.06,8.39,386900
2001-07-11,8.25,8.34,8.0,8.1,464400
2001-07-12,8.16,8.42,8.11,8.4,119500
2001-07-13,8.52,8.52,8.2,8.22,136800
2001-07-16,8.3,8.34,8.07,8.2,125000
2001-07-17,8.15,8.16,7.71,8.05,161500
2001-07-18,8.02,8.02,7.53,7.64,187500
2001-07-19,7.85,7.96,7.56,7.68,134800
2001-07-20,7.71,7.72,7.42,7.68,1269700
2001-07-23,7.63,7.72,7.45,7.54,273600
2001-07-24,7.55,7.55,7.25,7.4,341100
2001-07-25,7.45,7.45,7.1,7.35,381600
2001-07-26,7.37,7.66,7.3,7.56,151800
2001-07-27,7.49,7.66,7.49,7.59,30200
2001-07-30,7.7,7.79,7.55,7.79,220300
2001-07-31,7.77,8.0,7.75,8.0,161400
2001-08-01,7.96,8.0,7.34,7.85,201000
2001-08-02,7.7,7.79,7.25,7.7,187500
2001-08-03,7.4,8.4,7.23,8.0,1375700
2001-08-06,8.0,8.03,7.51,7.75,105900
2001-08-07,7.76,8.03,7.5,7.98,57500
2001-08-08,7.95,8.21,7.85,8.12,72100
2001-08-09,7.97,8.25,7.85,7.96,216800
2001-08-10,8.0,8.05,7.88,8.03,195400
2001-08-13,8.02,8.09,7.95,8.06,221700
2001-08-14,8.05,8.05,7.97,8.0,108000
2001-08-15,8.0,8.25,7.75,8.03,636900
2001-08-16,7.75,7.96,7.26,7.55,581500
2001-08-17,7.36,7.55,7.25,7.45,475500
2001-08-20,7.42,7.71,7.42,7.55,168300
2001-08-21,7.66,7.66,7.41,7.5,184400
2001-08-22,7.51,7.67,7.45,7.53,134900
2001-08-23,7.46,7.55,7.35,7.35,240100
2001-08-24,7.35,7.7,7.35,7.54,143500
2001-08-27,7.71,8.08,7.7,7.9,299700
2001-08-28,8.04,8.1,7.67,7.85,1100600
2001-08-29,7.85,7.99,7.75,7.86,521200
2001-08-30,7.99,8.28,7.94,8.02,1122100
2001-08-31,8.0,8.28,8.0,8.19,687200
2001-09-04,8.1,8.59,8.1,8.2,236900
2001-09-05,8.2,8.47,7.98,8.11,198200
2001-09-06,8.0,8.22,7.46,7.83,279800
2001-09-07,7.81,8.0,7.64,7.64,320500
2001-09-10,7.64,7.89,7.4,7.6,99500
2001-09-17,7.46,7.5,6.99,7.09,245700
2001-09-18,7.54,7.54,6.9,7.15,166000
2001-09-19,7.0,7.15,6.53,6.89,308900
2001-09-20,6.8,6.8,6.13,6.2,161200
2001-09-21,5.79,5.96,5.39,5.65,1001300
2001-09-24,6.01,6.17,5.79,6.1,308600
2001-09-25,6.05,6.32,5.82,6.05,118100
2001-09-26,6.03,6.03,5.62,5.93,123000
2001-09-27,5.98,6.4,5.9,6.34,225800
2001-09-28,6.34,7.86,6.24,7.81,451600
2001-10-01,7.2,7.49,6.92,6.98,152100
2001-10-02,6.93,7.27,6.93,7.01,135800
2001-10-03,7.0,7.29,7.0,7.17,119800
2001-10-04,7.32,7.8,7.04,7.71,113100
2001-10-05,7.54,7.65,7.21,7.56,99500
2001-10-08,7.55,7.65,7.45,7.59,106100
2001-10-09,7.65,7.88,7.4,7.8,119600
2001-10-10,7.78,7.99,7.72,7.88,173000
2001-10-11,7.9,8.0,7.55,7.65,228400
2001-10-12,7.69,7.95,7.65,7.75,83900
2001-10-15,7.9,7.9,7.77,7.84,87700
2001-10-16,7.83,7.89,7.65,7.65,112600
2001-10-17,7.9,8.15,7.53,7.67,270000
2001-10-18,7.74,7.8,7.45,7.46,198500
2001-10-19,7.7,7.9,7.45,7.87,68900
2001-10-22,7.9,8.04,7.45,8.04,110500
2001-10-23,8.0,8.1,7.85,7.91,204300
2001-10-24,8.0,8.09,7.88,7.88,48600
2001-10-25,7.88,8.15,7.86,7.98,269700
2001-10-26,8.0,8.17,7.83,7.99,266100
2001-10-29,7.98,8.11,7.9,7.95,129400
2001-10-30,8.01,8.05,7.75,7.75,30200
2001-10-31,8.0,8.25,7.82,8.08,178000
2001-11-01,8.08,8.24,8.0,8.01,446000
2001-11-02,8.07,8.11,8.0,8.0,483500
2001-11-05,8.01,8.15,7.96,8.04,286400
2001-11-06,7.92,8.12,7.92,8.07,134200
2001-11-07,8.07,8.68,8.06,8.52,281600
2001-11-08,8.54,9.23,8.43,8.81,355100
2001-11-09,8.82,8.82,8.51,8.69,78600
2001-11-12,8.8,8.81,8.65,8.8,58900
2001-11-13,8.79,9.02,8.45,8.92,88200
2001-11-14,8.92,9.9,8.81,9.76,1148300
2001-11-15,9.76,9.94,9.45,9.48,562700
2001-11-16,9.65,9.87,9.45,9.61,426000
2001-11-19,9.7,10.2,9.67,9.98,1147300
2001-11-20,10.05,10.22,9.1,9.55,997500
2001-11-21,9.39,9.7,9.1,9.57,220700
2001-11-23,9.57,9.86,9.41,9.66,68200
2001-11-26,9.55,10.1,9.55,9.76,672400
2001-11-27,9.97,10.0,9.71,9.95,803500
2001-11-28,9.95,10.0,9.8,9.94,880300
2001-11-29,9.92,12.1,9.9,12.05,5307600
2001-11-30,12.06,12.9,11.96,12.25,3522100
2001-12-03,12.25,13.23,11.9,12.73,1350700
2001-12-04,12.75,13.8,12.74,13.29,2500700
2001-12-05,13.35,14.18,13.35,13.69,639400
2001-12-06,13.78,14.14,13.37,13.82,628600
2001-12-07,13.95,14.25,13.75,14.15,362000
2001-12-10,14.21,14.24,12.82,12.89,464700
2001-12-11,12.86,13.7,12.85,13.14,368500
2001-12-12,13.3,13.4,12.49,12.99,595700
2001-12-13,12.75,13.1,12.49,12.52,251400
2001-12-14,12.89,13.22,12.89,13.0,463800
2001-12-17,12.98,13.18,12.8,13.1,716600
2001-12-18,13.18,13.9,13.18,13.75,542300
2001-12-19,13.75,14.52,13.43,14.01,589700
2001-12-20,13.9,14.0,13.45,13.58,607000
2001-12-21,13.58,13.7,13.25,13.31,441900
2001-12-24,13.23,13.58,13.23,13.52,67000
2001-12-26,13.52,14.14,13.51,14.0,201900
2001-12-27,13.71,14.44,13.71,14.37,379400
2001-12-28,14.01,14.65,14.0,14.48,384300
2001-12-31,14.49,14.75,14.17,14.33,307100
2002-01-02,14.27,14.33,13.61,13.98,104400
2002-01-03,13.91,14.34,13.76,13.82,279400
2002-01-04,13.78,13.9,13.55,13.75,467900
2002-01-07,13.75,14.25,12.95,12.96,413700
2002-01-08,12.93,13.09,12.55,12.63,599700
2002-01-09,12.58,13.79,12.58,13.4,258300
2002-01-10,13.38,14.0,13.38,13.99,151900
2002-01-11,13.91,14.0,13.0,13.0,223100
2002-01-14,12.98,13.37,12.95,13.1,600500
2002-01-15,13.05,13.26,12.91,13.26,239100
2002-01-16,13.19,13.75,12.98,13.55,568000
2002-01-17,13.81,14.5,13.81,14.49,568100
2002-01-18,15.89,16.05,14.55,15.08,2799700
2002-01-22,15.29,15.65,14.8,15.2,880800
2002-01-23,15.24,15.25,14.9,15.04,819900
2002-01-24,15.28,15.75,15.21,15.26,566200
2002-01-25,15.25,15.65,15.04,15.16,286900
2002-01-28,15.21,15.74,15.2,15.67,561900
2002-01-29,15.74,15.74,14.91,15.26,280400
2002-01-30,15.26,15.55,14.6,15.41,262500
2002-01-31,15.45,15.65,15.21,15.51,285600
2002-02-01,15.65,16.05,15.4,15.69,726800
2002-02-04,15.5,15.61,14.79,15.1,355900
2002-02-05,15.06,15.33,14.78,15.11,379200
2002-02-06,15.01,15.25,13.86,14.19,605200
2002-02-07,14.15,15.21,14.02,14.76,326800
2002-02-08,15.0,15.14,14.37,15.14,196300
2002-02-11,15.11,15.26,14.5,14.94,149100
2002-02-12,14.96,15.09,14.55,14.79,242700
2002-02-13,14.61,15.06,14.58,14.8,182800
2002-02-14,14.9,14.95,12.53,13.02,1401300
2002-02-15,13.01,13.02,10.55,10.92,2227300
2002-02-19,11.0,11.4,10.85,10.93,1481500
2002-02-20,11.13,11.35,10.72,11.34,657900
2002-02-21,10.91,11.74,10.9,11.14,291700
2002-02-22,11.01,11.68,10.81,11.59,232900
2002-02-25,11.59,12.18,11.48,11.83,323600
2002-02-26,11.95,12.3,11.91,12.08,433300
2002-02-27,12.12,12.25,11.91,12.08,292000
2002-02-28,12.04,12.11,11.4,11.63,494200
2002-03-01,11.65,12.05,11.51,11.85,223500
2002-03-04,11.95,12.23,11.72,12.1,392800
2002-03-05,11.97,12.19,11.79,12.0,273100
2002-03-06,11.96,12.1,11.86,12.1,146400
2002-03-07,12.05,13.03,12.0,12.95,411400
2002-03-08,13.0,13.45,12.8,12.98,291300
2002-03-11,12.96,13.25,12.9,13.08,214800
2002-03-12,13.07,13.29,12.9,13.15,149400
2002-03-13,13.15,13.24,12.9,13.06,137400
2002-03-14,13.15,13.15,12.55,12.67,79200
2002-03-15,12.77,13.0,12.33,12.45,906300
2002-03-18,12.45,12.47,12.25,12.39,581900
2002-03-19,12.44,12.5,12.31,12.36,618800
2002-03-20,12.36,12.45,11.87,11.98,531900
2002-03-21,11.98,12.1,11.8,11.87,810400
2002-03-22,11.94,11.95,11.5,11.77,1096100
2002-03-25,11.79,12.84,11.75,12.69,717700
2002-03-26,12.6,12.94,12.39,12.93,513600
2002-03-27,12.95,13.1,12.76,12.76,101100
2002-03-28,12.88,13.5,12.74,13.43,224400
2002-04-01,13.32,13.45,12.75,12.86,250100
2002-04-02,12.8,13.05,12.75,12.83,164800
2002-04-03,12.85,13.02,12.75,12.78,111000
2002-04-04,12.76,13.0,12.75,12.85,67700
2002-04-05,12.8,13.11,12.67,13.09,201300
2002-04-08,12.98,13.17,12.76,13.04,208300
2002-04-09,13.02,13.43,12.96,13.11,317700
2002-04-10,13.05,13.3,12.8,13.27,184000
2002-04-11,13.19,13.58,13.11,13.2,253700
2002-04-12,13.2,13.82,13.2,13.8,212500
2002-04-15,13.57,13.75,13.41,13.72,219600
2002-04-16,13.7,14.18,13.7,14.18,329100
2002-04-17,14.15,14.18,13.7,14.16,538000
2002-04-18,14.15,14.18,13.65,13.79,227200
2002-04-19,13.84,13.85,13.4,13.4,168100
2002-04-22,13.4,13.8,12.67,12.81,339700
2002-04-23,12.79,13.33,12.74,13.0,171500
2002-04-24,13.0,13.15,12.25,12.27,579800
2002-04-25,12.46,12.8,12.35,12.73,575400
2002-04-26,12.8,12.9,12.4,12.47,282300
2002-04-29,12.58,12.58,12.05,12.25,501400
2002-04-30,12.05,12.3,12.05,12.25,321000
2002-05-01,12.23,12.56,12.0,12.3,635300
2002-05-02,12.33,12.48,12.25,12.3,297700
2002-05-03,12.3,12.34,12.25,12.27,230100
2002-05-06,12.25,12.35,12.15,12.15,169500
2002-05-07,12.15,12.36,12.12,12.3,262800
2002-05-08,12.27,12.65,12.25,12.4,113300
2002-05-09,12.35,12.6,12.23,12.25,209000
2002-05-10,12.29,12.34,11.92,12.12,251600
2002-05-13,12.2,12.4,12.07,12.35,121700
2002-05-14,12.26,13.0,12.26,12.85,285500
2002-05-15,12.77,12.94,12.52,12.65,303000
2002-05-16,12.65,12.7,12.27,12.6,235400
2002-05-17,12.59,12.65,12.25,12.47,115800
2002-05-20,12.49,12.55,12.04,12.21,619900
2002-05-21,12.21,12.55,12.21,12.41,352800
2002-05-22,12.4,12.49,12.25,12.37,170000
2002-05-23,12.37,12.38,12.15,12.3,257400
2002-05-24,12.25,12.4,12.24,12.24,131800
2002-05-28,12.26,12.34,12.25,12.3,109300
2002-05-29,12.28,12.3,12.25,12.26,101900
2002-05-30,12.25,12.31,12.15,12.22,370600
2002-05-31,12.15,12.34,11.77,11.87,332800
2002-06-03,11.8,11.88,10.7,10.73,465400
2002-06-04,10.73,11.0,10.7,10.99,463200
2002-06-05,11.01,11.3,10.95,11.3,324100
2002-06-06,11.18,11.18,10.59,10.64,305500
2002-06-07,10.58,10.63,10.18,10.45,392500
2002-06-10,10.4,10.55,10.12,10.22,243500
2002-06-11,10.22,10.35,9.6,9.75,445700
2002-06-12,9.7,10.16,9.7,9.93,252000
2002-06-13,9.95,10.15,9.8,9.8,149200
2002-06-14,9.73,10.04,9.14,10.01,652600
2002-06-17,10.03,10.19,9.73,10.01,435600
2002-06-18,9.95,10.08,9.89,10.01,128100
2002-06-19,10.02,10.2,9.81,9.85,407100
2002-06-20,9.7,10.05,9.56,9.85,418100
2002-06-21,10.0,10.05,8.21,9.25,891400
2002-06-24,9.2,9.71,9.0,9.46,644400
2002-06-25,9.5,9.8,9.26,9.53,547700
2002-06-26,9.24,9.6,8.95,9.5,522000
2002-06-27,9.52,9.74,9.25,9.63,178000
2002-06-28,9.58,9.96,8.75,9.54,933400
2002-07-01,9.62,9.62,9.0,9.22,418500
2002-07-02,9.3,9.35,8.44,8.6,610200
2002-07-03,8.6,8.71,7.96,8.05,434400
2002-07-05,8.48,8.7,8.4,8.47,118500
2002-07-08,8.46,8.69,8.14,8.14,64000
2002-07-09,8.13,8.14,7.75,8.1,227600
2002-07-10,8.05,8.25,7.93,8.11,133000
2002-07-11,8.1,8.51,7.82,7.82,276900
2002-07-12,7.9,8.2,7.72,7.72,163000
2002-07-15,7.74,8.03,7.67,7.95,150100
2002-07-16,7.97,8.25,7.88,8.01,166000
2002-07-17,8.03,8.22,7.95,8.08,307200
2002-07-18,8.05,8.05,7.71,7.71,421600
2002-07-19,7.72,7.83,6.9,7.24,248100
2002-07-22,7.25,7.49,6.88,7.3,313200
2002-07-23,7.3,7.45,7.18,7.33,180000
2002-07-24,7.35,8.15,6.78,8.11,411900
2002-07-25,8.17,8.3,7.45,7.5,200000
2002-07-26,6.82,6.83,5.91,6.0,1490800
2002-07-29,6.22,6.5,6.0,6.4,1096600
2002-07-30,6.4,6.4,5.95,6.11,710200
2002-07-31,6.11,6.11,5.66,5.67,662700
2002-08-01,5.65,6.04,5.35,5.99,1395500
2002-08-02,6.0,6.03,5.35,5.41,538300
2002-08-05,5.42,5.96,4.97,5.35,577900
2002-08-06,5.47,5.89,5.36,5.89,143000
2002-08-07,5.9,5.95,5.31,5.86,279600
2002-08-08,5.86,5.99,5.69,5.93,228400
2002-08-09,5.92,5.93,5.71,5.77,118000
2002-08-12,5.95,6.32,5.74,6.17,143800
2002-08-13,6.05,6.26,5.75,5.75,108500
2002-08-14,5.75,6.2,5.75,6.15,229300
2002-08-15,6.21,6.4,6.04,6.32,36700
2002-08-16,6.29,6.45,6.1,6.41,117500
2002-08-19,6.38,6.5,6.21,6.36,194200
2002-08-20,6.35,6.45,6.19,6.2,281000
2002-08-21,6.35,6.48,6.15,6.4,430800
2002-08-22,6.35,6.59,6.13,6.4,215700
2002-08-23,6.37,6.5,6.35,6.37,131900
2002-08-26,6.35,6.47,6.35,6.4,78900
2002-08-27,6.36,6.55,6.07,6.11,128000
2002-08-28,6.11,6.39,6.11,6.14,67000
2002-08-29,6.15,6.37,6.06,6.37,296200
2002-08-30,6.33,6.4,6.26,6.3,353800
2002-09-03,6.3,6.4,6.05,6.12,269800
2002-09-04,6.08,6.43,6.08,6.35,144000
2002-09-05,6.39,6.4,6.17,6.36,100400
2002-09-06,6.38,6.4,6.31,6.36,368400
2002-09-09,6.39,6.4,6.24,6.31,152400
2002-09-10,6.29,6.54,6.22,6.37,405300
2002-09-11,6.39,6.39,6.26,6.3,187000
2002-09-12,6.35,6.64,6.31,6.6,232300
2002-09-13,6.6,6.6,6.29,6.38,113700
2002-09-16,6.4,6.5,6.31,6.45,214000
