date,open,high,low,close,volume
2000-10-05,13.125,13.1875,13.0625,13.125,90100
2000-10-06,13.125,13.1875,12.75,12.875,123600
2000-10-09,12.9375,13.0,12.75,12.875,145800
2000-10-10,12.875,12.875,12.6875,12.6875,108200
2000-10-11,12.6875,12.75,12.375,12.5,142800
2000-10-12,12.5625,12.625,11.625,12.0,130700
2000-10-13,12.125,12.25,12.0,12.0625,136300
2000-10-16,12.0,12.1875,12.0,12.125,123900
2000-10-17,12.25,12.25,12.0,12.0,103600
2000-10-18,12.0,12.0625,11.3125,12.0,171800
2000-10-19,12.125,12.5,12.125,12.375,107400
2000-10-20,12.5,12.625,12.375,12.5,87800
2000-10-23,12.625,12.75,12.5625,12.75,118000
2000-10-24,12.75,13.0,12.75,12.875,105100
2000-10-25,12.75,12.9375,12.75,12.75,42500
2000-10-26,12.8125,12.8125,12.6875,12.8125,61000
2000-10-27,12.875,13.0,12.875,13.0,98300
2000-10-30,13.0,13.0,12.75,12.875,96800
2000-10-31,12.875,12.9375,12.75,12.9375,91400
2000-11-01,12.875,12.875,12.75,12.875,67300
2000-11-02,12.875,13.0,12.8125,12.9375,59700
2000-11-03,13.0,13.0,12.875,12.875,50600
2000-11-06,13.0,13.0,12.9375,13.0,79900
2000-11-07,12.9375,13.0625,12.9375,13.0625,108400
2000-11-08,13.0625,13.125,12.9375,13.0,72700
2000-11-09,13.125,13.125,12.875,13.0,113900
2000-11-10,13.0,13.0,12.875,12.875,85500
2000-11-13,12.75,12.9375,12.4375,12.875,234900
2000-11-14,13.0,13.125,13.0,13.0625,104600
2000-11-15,12.8125,12.875,12.625,12.75,111900
2000-11-16,12.75,12.8125,12.625,12.6875,93500
2000-11-17,12.6875,12.75,12.625,12.6875,71200
2000-11-20,12.6875,12.6875,12.375,12.375,78200
2000-11-21,12.25,12.5,12.125,12.4375,139000
2000-11-22,12.3125,12.375,12.0625,12.25,86900
2000-11-24,12.25,12.5,12.25,12.4375,28700
2000-11-27,12.5,12.5625,12.1875,12.1875,103400
2000-11-28,12.1875,12.25,12.125,12.1875,106400
2000-11-29,12.25,12.3125,12.125,12.1875,118200
2000-11-30,12.0625,12.0625,11.875,12.0,108200
2000-12-01,12.0625,12.1875,11.875,12.0,112300
2000-12-04,12.125,12.1875,12.0625,12.125,119300
2000-12-05,12.125,12.4375,12.125,12.4375,125200
2000-12-06,12.4375,12.4375,12.3125,12.3125,62600
2000-12-07,12.25,12.3125,12.0625,12.1875,98000
2000-12-08,12.25,12.375,12.25,12.375,79700
2000-12-11,12.375,12.4375,12.25,12.4375,89300
2000-12-12,12.375,12.5625,12.3125,12.5,117900
2000-12-13,12.5625,12.875,12.4375,12.6875,115100
2000-12-14,12.6875,12.75,12.5,12.5625,106100
2000-12-15,12.5,12.625,12.4375,12.625,97800
2000-12-18,12.625,12.6875,12.3125,12.3125,137300
2000-12-19,12.375,12.625,12.25,12.25,115500
2000-12-20,12.25,12.25,12.0625,12.125,131200
2000-12-21,12.0625,12.25,12.0625,12.1875,122700
2000-12-22,12.0625,12.25,12.0625,12.25,114100
2000-12-26,12.25,12.4062,12.125,12.25,102800
2000-12-27,12.25,12.4375,12.1875,12.25,133900
2000-12-28,12.25,12.3125,12.1875,12.25,116600
2000-12-29,12.375,12.5625,12.3125,12.375,167400
2001-01-02,12.5625,12.625,12.375,12.5625,122000
2001-01-03,12.5,13.125,12.5,13.0625,190400
2001-01-04,12.8125,13.0,12.8125,12.9375,150500
2001-01-05,12.875,13.0,12.75,12.875,140700
2001-01-08,12.75,12.8125,12.6875,12.6875,124300
2001-01-09,12.6875,12.8125,12.625,12.8125,111300
2001-01-10,12.75,12.8125,12.6875,12.75,88900
2001-01-11,12.8125,12.875,12.6875,12.875,193400
2001-01-12,12.9375,12.9375,12.75,12.75,148100
2001-01-16,12.75,12.8125,12.6875,12.8125,138500
2001-01-17,12.875,13.0,12.8125,12.8125,167000
2001-01-18,12.875,13.0,12.875,12.9375,111000
2001-01-19,13.0625,13.0625,12.875,12.9375,102200
2001-01-22,13.0,13.0,12.8125,12.9375,80300
2001-01-23,13.0,13.1875,12.875,13.125,126500
2001-01-24,13.0625,13.25,13.0625,13.1875,114700
2001-01-25,13.1875,13.1875,13.0,13.0625,108800
2001-01-26,13.0,13.125,13.0,13.0625,118400
2001-01-29,13.07,13.19,13.01,13.19,149900
2001-01-30,13.19,13.38,13.13,13.35,127300
2001-01-31,13.38,13.54,13.35,13.5,154400
2001-02-01,13.57,13.57,13.42,13.49,157100
2001-02-02,13.56,13.57,13.35,13.45,161400
2001-02-05,13.35,13.5,13.25,13.3,140600
2001-02-06,13.38,13.39,13.22,13.35,155500
2001-02-07,13.27,13.35,13.21,13.31,113100
2001-02-08,13.35,13.45,13.3,13.32,92700
2001-02-09,13.3,13.32,13.15,13.22,141800
2001-02-12,13.25,13.5,13.25,13.45,147700
2001-02-13,13.45,13.52,13.38,13.44,197100
2001-02-14,13.38,13.38,13.09,13.25,200300
2001-02-15,13.3,13.45,13.28,13.44,140500
2001-02-16,13.23,13.42,13.2,13.21,124800
2001-02-20,13.31,13.44,13.21,13.29,126900
2001-02-21,13.26,13.34,13.2,13.3,116100
2001-02-22,13.27,13.32,13.09,13.15,130200
2001-02-23,13.11,13.15,13.0,13.1,138600
2001-02-26,13.1,13.2,13.06,13.18,173300
2001-02-27,13.19,13.25,13.1,13.16,122300
2001-02-28,13.04,13.1,12.9,12.95,141700
2001-03-01,12.85,12.88,12.51,12.64,171800
2001-03-02,12.55,12.93,12.51,12.9,90500
2001-03-05,12.88,12.95,12.72,12.89,130900
2001-03-06,12.89,13.0,12.89,12.96,91400
2001-03-07,12.91,12.97,12.9,12.96,78300
2001-03-08,12.85,13.05,12.85,12.93,99700
2001-03-09,12.9,12.95,12.75,12.85,65100
2001-03-12,12.75,12.75,12.25,12.29,130900
2001-03-13,12.26,12.5,12.26,12.44,132000
2001-03-14,12.3,12.5,12.3,12.31,132300
2001-03-15,12.3,12.46,12.25,12.28,110200
2001-03-16,12.38,12.48,12.3,12.34,148100
2001-03-19,12.71,12.71,12.35,12.44,143000
2001-03-20,12.37,12.7,12.35,12.35,163600
2001-03-21,12.3,12.35,11.96,12.1,140000
2001-03-22,11.85,11.94,11.5,11.88,185500
2001-03-23,12.08,12.3,12.0,12.25,154300
2001-03-26,12.15,12.5,12.15,12.18,143700
2001-03-27,12.12,12.45,12.12,12.45,117700
2001-03-28,12.4,12.4,12.15,12.26,95600
2001-03-29,12.23,12.27,12.13,12.23,113900
2001-03-30,12.2,12.3,12.12,12.25,89400
2001-04-02,12.26,12.34,12.2,12.23,75800
2001-04-03,12.2,12.2,11.75,11.95,126000
2001-04-04,12.0,12.05,11.5,11.74,161000
2001-04-05,11.84,12.22,11.84,12.17,109300
2001-04-06,12.2,12.29,12.17,12.25,132900
2001-04-09,12.29,12.4,12.2,12.26,94700
2001-04-10,12.32,12.42,12.2,12.28,126200
2001-04-11,12.38,12.45,12.3,12.4,91200
2001-04-12,12.38,12.59,12.31,12.52,78700
2001-04-16,12.52,12.7,12.45,12.58,117000
2001-04-17,12.48,12.64,12.42,12.5,102300
2001-04-18,12.6,12.95,12.6,12.92,106100
2001-04-19,12.85,13.03,12.79,12.95,104700
2001-04-20,12.91,13.05,12.8,13.0,102300
2001-04-23,13.0,13.06,12.97,13.03,70200
2001-04-24,13.08,13.1,12.98,13.03,77200
2001-04-25,13.0,13.05,12.93,13.0,87800
2001-04-26,13.02,13.09,12.75,12.9,137900
2001-04-27,12.95,13.06,12.91,13.06,72500
