date,open,high,low,close,volume
2000-10-05,3.0938,3.0938,3.0938,3.0938,400
2000-10-06,3.1875,3.1875,3.1875,3.1875,10400
2000-10-09,3.1875,3.1875,3.1875,3.1875,0
2000-10-10,3.2188,3.2188,3.2188,3.2188,1200
2000-10-11,3.125,3.125,3.125,3.125,1200
2000-10-12,3.2188,3.2188,3.2188,3.2188,800
2000-10-13,3.1562,3.1875,3.1562,3.1875,24000
2000-10-16,3.1875,3.1875,3.1875,3.1875,0
2000-10-17,3.1875,3.1875,3.1875,3.1875,0
2000-10-18,3.1875,3.1875,3.1875,3.1875,0
2000-10-19,3.1875,3.1875,3.1875,3.1875,0
2000-10-20,3.1875,3.1875,3.1875,3.1875,0
2000-10-23,3.1875,3.1875,3.1875,3.1875,0
2000-10-24,3.1875,3.1875,3.1875,3.1875,0
2000-10-25,3.1875,3.1875,3.1875,3.1875,0
2000-10-26,3.25,3.25,3.25,3.25,1200
2000-10-27,3.25,3.25,3.25,3.25,0
2000-10-30,3.25,3.25,3.25,3.25,800
2000-10-31,3.25,3.25,3.25,3.25,0
2000-11-01,3.25,3.25,3.25,3.25,0
2000-11-02,3.25,3.3125,3.25,3.3125,8800
2000-11-03,3.2812,3.3125,3.25,3.3125,13600
2000-11-06,3.3125,3.3125,3.3125,3.3125,0
2000-11-07,3.375,3.625,3.3438,3.4688,20400
2000-11-08,3.4688,3.4688,3.4688,3.4688,400
2000-11-09,3.4688,3.4688,3.4688,3.4688,0
2000-11-10,3.5,3.5,3.4375,3.5,56400
2000-11-13,3.4688,3.4688,3.375,3.4062,59200
2000-11-14,3.375,3.375,3.375,3.375,4400
2000-11-15,3.375,3.375,3.375,3.375,0
2000-11-16,3.4375,3.4375,3.4375,3.4375,2400
2000-11-17,3.4375,3.4375,3.4375,3.4375,0
2000-11-20,3.4375,3.4375,3.4375,3.4375,0
2000-11-21,3.5,3.5,3.5,3.5,800
2000-11-22,3.5,3.5,3.5,3.5,0
2000-11-24,3.5,3.5,3.5,3.5,0
2000-11-27,3.5,3.5,3.5,3.5,0
2000-11-28,3.5,3.5,3.5,3.5,0
2000-11-29,3.5,3.5,3.5,3.5,0
2000-11-30,3.5,3.5,3.5,3.5,800
2000-12-01,3.5,3.5312,3.5,3.5312,14800
2000-12-04,3.4844,3.4844,3.4844,3.4844,400
2000-12-05,3.4844,3.4844,3.4844,3.4844,0
2000-12-06,3.4844,3.4844,3.4844,3.4844,0
2000-12-07,3.5938,3.5938,3.5938,3.5938,2000
2000-12-08,3.4688,3.4688,3.4688,3.4688,800
2000-12-11,3.4688,3.4688,3.4688,3.4688,6000
2000-12-12,3.5312,3.5625,3.5312,3.5625,18000
2000-12-13,3.5625,3.5625,3.5625,3.5625,0
2000-12-14,3.5625,3.5625,3.5625,3.5625,0
2000-12-15,3.5312,3.5312,3.4688,3.4688,4800
2000-12-18,3.4219,3.4688,3.4219,3.4375,116800
2000-12-19,3.4375,3.4375,3.4375,3.4375,0
2000-12-20,3.4375,3.4375,3.4375,3.4375,0
2000-12-21,3.4375,3.4375,3.4375,3.4375,2400
2000-12-22,3.4375,3.4375,3.4062,3.4062,1200
2000-12-26,3.4062,3.4062,3.4062,3.4062,0
2000-12-27,3.4062,3.4062,3.4062,3.4062,1200
2000-12-28,3.4062,3.4062,3.4062,3.4062,3200
2000-12-29,3.4062,3.4062,3.25,3.375,16400
2001-01-02,3.3438,3.3438,3.3438,3.3438,1200
2001-01-03,3.3438,3.4375,3.3438,3.4375,31200
2001-01-04,3.375,3.375,3.3438,3.3438,11200
2001-01-05,3.3438,3.3438,3.3438,3.3438,0
2001-01-08,3.3438,3.3438,3.3438,3.3438,0
2001-01-09,3.3438,3.3438,3.3438,3.3438,0
2001-01-10,3.4062,3.4062,3.4062,3.4062,6400
2001-01-11,3.4062,3.4062,3.4062,3.4062,0
2001-01-12,3.4375,3.4375,3.4375,3.4375,8000
2001-01-16,3.5,3.5938,3.4961,3.5156,37600
2001-01-17,3.5938,3.5938,3.5938,3.5938,800
2001-01-18,3.5,3.5469,3.5,3.5469,2000
2001-01-19,3.5469,3.5469,3.5469,3.5469,0
2001-01-22,3.5,3.5,3.5,3.5,3200
